"V12GSE11852_1","V12GSE11852_2","V12GSE11852_3","V12GSE11852_4"
"AT1G01010",4.18,4.5,4.79,5.33
"AT1G01030",3.94,2.59,4.33,3.28
"AT1G01040",7.85,7.64,7.94,7.75
"AT1G01050",11.64,11.71,11.65,11.74
"AT1G01060",9.38,10,9.38,9.04
"AT1G01070",8.42,7.53,8.3,6.48
"AT1G01080",9.64,9.75,9.74,9.8
"AT1G01090",11.7,11.63,11.81,11.65
"AT1G01100",13.7,13.61,13.7,13.59
"AT1G01110",6.77,7.47,6.7,7.17
"AT1G01120",9.21,9.33,8.37,8.16
"AT1G01130",6.66,6.68,6.33,6.24
"AT1G01140",9.7,9.31,9.7,9.18
"AT1G01150",4.44,4.34,4.46,4.6
"AT1G01160",9.51,9.41,9.52,9.68
"AT1G01170",11.28,11.43,11.43,11.62
"AT1G01180",5.3,4.99,5.23,5.81
"AT1G01190",2.1,2.05,1.9,2.05
"AT1G01200",6.15,6.43,6.39,6.17
"AT1G01220",9.37,9.4,9.38,9.27
"AT1G01225",6.37,6.74,6.08,6.61
"AT1G01230",9.54,9.77,9.54,9.69
"AT1G01240",6.65,7.06,7.03,7.74
"AT1G01250",3.57,3.25,4.1,3.33
"AT1G01260",8.32,8.21,8.21,8.01
"AT1G01280",1.14,0.32,0.72,1.09
"AT1G01290",8.78,9.13,8.4,8.73
"AT1G01300",12.49,12.37,12.14,11.75
"AT1G01310",1.39,1.55,1.33,1.23
"AT1G01320",11.88,11.59,12.13,11.58
"AT1G01330",9.48,9.54,9.59,9.39
"AT1G01340",5.34,4.66,6.56,4.44
"AT1G01360",7.36,7.17,7.96,7.82
"AT1G01370",7.31,7.31,7.12,7.04
"AT1G01390",5.46,5.02,5.7,4.8
"AT1G01410",3.4,3.69,2.45,3.95
"AT1G01420",3.47,2.83,4.68,3.83
"AT1G01430",9.97,9.87,9.74,9.8
"AT1G01440",7.38,7.32,7.47,7.2
"AT1G01450",5.34,5.22,5.02,5.27
"AT1G01460",1.97,1.68,1.51,1.93
"AT1G01470",9.25,9.45,9.62,10.39
"AT1G01480",2.12,2.69,2.94,2.7
"AT1G01490",10.02,10.49,9.97,10.43
"AT1G01500",7.99,8.27,8.34,8.8
"AT1G01510",9.82,9.89,9.87,9.94
"AT1G01520",5.77,6,6.7,7.53
"AT1G01530",3.82,4.08,3.36,4.54
"AT1G01540",9.62,9.72,9.31,9.32
"AT1G01550",10.31,10.45,10.32,10.39
"AT1G01560",6.02,5.65,5.66,5.82
"AT1G01570",5.51,5.71,5.67,5
"AT1G01600",9.72,10.08,8.82,8.91
"AT1G01610",10.95,10.69,10.39,9.83
"AT1G01620",11.04,10.83,10.43,10.04
"AT1G01630",7.88,7.94,7.78,7.73
"AT1G01640",6.08,5.72,6.04,6.84
"AT1G01650",9.41,9.16,9.58,9.35
"AT1G01660",4.12,4.85,4.6,5.06
"AT1G01670",5.17,5.54,5.52,5.72
"AT1G01690",5.72,5.39,4.93,5.42
"AT1G01700",1.26,1.94,2.36,2.4
"AT1G01710",7.57,7.53,7.64,7.59
"AT1G01720",9.59,9.71,9.8,10.14
"AT1G01725",6.43,6.41,6.68,7.16
"AT1G01730",8.96,9.26,9.02,9.25
"AT1G01740",7.36,7.31,7.28,7.36
"AT1G01750",8.41,9.06,9.34,9.96
"AT1G01760",3.22,3.48,3.54,2.88
"AT1G01770",7.77,8.09,8.16,8.25
"AT1G01780",7.61,7.41,7.73,7.67
"AT1G01790",7.91,8.04,8.3,8.31
"AT1G01800",10.41,10.47,10.33,10.55
"AT1G01820",9.13,9.29,9.18,9.4
"AT1G01830",6.81,6.84,6.9,7.13
"AT1G01840",7.3,7.31,7.13,7.09
"AT1G01860",7.86,7.62,8.19,7.86
"AT1G01900",5.6,4.21,4.4,3.45
"AT1G01910",11.08,11,10.88,10.68
"AT1G01920",7.09,7.13,7.1,7.21
"AT1G01930",8.34,8.31,8.12,8.33
"AT1G01940",9.47,9.65,9.34,9.49
"AT1G01950",8.4,8.32,8.29,8.24
"AT1G01960",10.62,10.51,10.84,10.61
"AT1G01970",9.17,9.17,9.38,9.35
"AT1G01980",3.57,1.95,1.91,2.21
"AT1G01990",8.38,8.69,9.02,8.9
"AT1G02000",7.66,7.73,7.55,7.57
"AT1G02020",7.45,7.46,7.92,7.75
"AT1G02050",5.84,5.68,6.54,6.98
"AT1G02060",6.39,6.55,6.7,6.93
"AT1G02070",4.11,4.42,4.53,3.84
"AT1G02080",10.48,10.4,10.57,10.44
"AT1G02090",9.84,9.72,9.47,9.43
"AT1G02100",9.26,9.18,9.21,9.09
"AT1G02110",8.52,8.4,8.74,8.58
"AT1G02120",8.53,8.75,8.73,8.91
"AT1G02130",9.88,9.89,9.78,9.7
"AT1G02140",11.9,11.88,11.83,11.84
"AT1G02150",11.38,11.22,11.71,11.59
"AT1G02160",9.94,10.21,9.97,10.33
"AT1G02170",9.05,9.04,9.03,9.06
"AT1G02180",8.83,8.52,8.62,8.38
"AT1G02190",2.87,3.54,2.15,2.67
"AT1G02200",10.99,10.99,9.24,9.03
"AT1G02205",11.73,11.49,10.3,9.68
"AT1G02220",7.38,8.15,7.8,8.54
"AT1G02250",4.68,4.36,3.7,3.91
"AT1G02260",7.91,8.19,8.14,8.44
"AT1G02270",7.8,7.77,7.98,8.25
"AT1G02280",11.91,11.66,12.04,11.88
"AT1G02300",5.84,6.52,6.23,6.82
"AT1G02305",11.04,11.43,11.27,11.75
"AT1G02310",4.26,4.64,4.56,4.47
"AT1G02320",0.65,0.62,1.76,0.52
"AT1G02330",9.19,9.09,8.96,9.07
"AT1G02340",7.87,7.7,6.21,5.54
"AT1G02360",7.6,7.23,7.23,7.02
"AT1G02370",8.08,8.11,8.03,8.08
"AT1G02390",7.23,7.79,7.51,7.7
"AT1G02400",6.2,6.56,5.94,6.5
"AT1G02410",9.18,9.4,9.11,9.4
"AT1G02420",7.01,6.99,7.12,7.19
"AT1G02450",5.89,6.38,5.02,5.39
"AT1G02460",6.56,5.94,6.24,5.75
"AT1G02470",7.65,7.68,7.81,7.73
"AT1G02475",8.24,8.53,8.5,8.85
"AT1G02490",1.86,4.08,3.71,2.82
"AT1G02500",11.68,11.95,11.71,11.94
"AT1G02540",1.68,2,2.71,1.92
"AT1G02550",4.69,5.19,4.56,5.26
"AT1G02560",11.91,11.77,11.99,11.89
"AT1G02570",5.4,4.97,5.14,5.32
"AT1G02580",2.21,2.13,2.09,2.09
"AT1G02620",6.9,6.94,6.55,6.71
"AT1G02640",13.44,13.24,13.18,12.62
"AT1G02660",6.75,6.95,7.06,7.45
"AT1G02670",3.57,3.85,3.97,4.26
"AT1G02680",7.26,7.2,7.06,7.35
"AT1G02690",9.18,9.17,9.42,9.31
"AT1G02700",9.07,9.08,9.76,10.42
"AT1G02710",5.96,5.31,4.66,4.47
"AT1G02720",7.48,7.72,7.53,7.58
"AT1G02730",8.59,8.68,8.84,8.98
"AT1G02740",6.35,6.45,6.07,6.44
"AT1G02750",8.44,8.38,8.47,8.52
"AT1G02780",14.36,14.24,14.26,14.17
"AT1G02790",3.51,3.58,3.83,4.25
"AT1G02800",2.66,3.05,2.71,2.97
"AT1G02810",8.7,8.65,7.85,7.46
"AT1G02813",3.77,4.01,3.68,3.97
"AT1G02816",9.91,10.21,9.93,10.44
"AT1G02820",3.93,3.72,4.4,3.99
"AT1G02830",5.84,5.34,5.45,5.58
"AT1G02840",11.14,11,11.15,10.96
"AT1G02850",10.02,10.1,11.24,11.56
"AT1G02860",8.89,8.77,8.87,8.69
"AT1G02870",10.99,10.77,10.72,10.75
"AT1G02890",9.38,9.36,9.54,9.4
"AT1G02900",9.65,8.23,9.16,7.48
"AT1G02910",7.82,7.86,8.07,7.91
"AT1G02940",4.73,5.25,5.08,5.28
"AT1G02950",6.13,6.13,5.82,4.46
"AT1G02960",7.26,7.46,7.17,7.63
"AT1G02970",7.63,7.53,7.54,7.16
"AT1G02980",3.87,4.51,4.16,4.9
"AT1G03000",9.59,9.54,9.54,9.39
"AT1G03010",3.37,2.15,2.21,2.97
"AT1G03020",3.1,3.74,3.5,3.88
"AT1G03030",7.87,8.28,8.24,8.58
"AT1G03040",7.86,8.17,8.33,8.51
"AT1G03050",2.4,1.75,2.46,2.23
"AT1G03055",4.42,5.48,5.52,5.49
"AT1G03060",8.64,8.64,9.02,8.79
"AT1G03070",7.07,6.95,6.89,7.08
"AT1G03080",7.69,7.93,7.72,8.01
"AT1G03090",7.34,7.34,7.85,7.99
"AT1G03100",6.9,6.9,6.76,6.76
"AT1G03110",9.62,9.31,9.49,9.02
"AT1G03130",8.33,7.36,8.65,8.48
"AT1G03150",9.61,9.42,9.36,8.94
"AT1G03160",8.44,8.69,8.73,8.94
"AT1G03170",3.84,2.84,3.53,3.15
"AT1G03180",6.78,7.06,6.73,6.79
"AT1G03190",7.79,7.63,7.8,7.71
"AT1G03210",7.48,7.6,8.06,8.21
"AT1G03250",8.42,8.51,8.48,8.47
"AT1G03260",7.46,7.28,7.4,7.14
"AT1G03270",6.74,6.55,7.16,7.36
"AT1G03280",8.67,8.61,8.61,8.74
"AT1G03290",6.62,6.83,6.78,7.43
"AT1G03300",5.77,6.11,6.09,6.28
"AT1G03310",8.98,9.27,9.68,9.99
"AT1G03320",6.21,6.08,6.12,6
"AT1G03330",11.29,11.24,11.47,11.24
"AT1G03350",9.83,9.83,9.86,9.65
"AT1G03360",9.67,9.26,9.45,9.1
"AT1G03370",7.31,7.32,7.36,7.36
"AT1G03380",7.74,7.93,8.32,8.56
"AT1G03390",3.48,1.95,2.26,2.27
"AT1G03400",4.43,4.88,4.4,5.14
"AT1G03410",5.75,5.02,5.1,5.28
"AT1G03420",9.58,9.85,9.58,9.68
"AT1G03430",7.83,7.67,7.71,7.51
"AT1G03440",6.56,6.48,6.52,6.84
"AT1G03445",5.33,5.69,5.13,5.9
"AT1G03457",6,6.36,6.33,6.53
"AT1G03470",6.58,6.46,6.89,6.86
"AT1G03475",10.6,10.51,10.89,10.72
"AT1G03490",3.54,3.31,3.64,3.83
"AT1G03510",6.32,6.16,6.09,6.21
"AT1G03520",7.36,7.27,7.19,7.12
"AT1G03530",8.87,8.64,8.97,8.68
"AT1G03540",6.06,5.95,6.06,5.88
"AT1G03550",7.72,8.33,8.2,8.35
"AT1G03560",7.01,7.24,7.12,7.33
"AT1G03590",8.79,9.21,8.7,9.12
"AT1G03600",11.18,11.19,11.47,11.51
"AT1G03610",8.98,9.07,9.03,9.09
"AT1G03620",5.01,5.15,5.16,5.71
"AT1G03630",10.46,10.24,10.57,10.13
"AT1G03660",5.42,5.67,4.97,5.76
"AT1G03675",11.23,11.04,11.41,11.1
"AT1G03687",8.25,8.12,8.28,7.99
"AT1G03700",1.94,1.87,1.6,2.02
"AT1G03710",3.48,2.81,2.73,3.5
"AT1G03720",2.1,2.26,2,2.1
"AT1G03730",8.64,8.49,8.71,8.43
"AT1G03740",6.38,6.83,6.84,7.24
"AT1G03750",6.06,6.35,6.19,6.66
"AT1G03760",7.13,7,7.29,7.47
"AT1G03770",6.18,6.74,6.28,7.22
"AT1G03780",5.89,6.04,6.12,6.57
"AT1G03790",9.92,9.91,10.92,11.35
"AT1G03820",6.33,6.49,6.5,6.94
"AT1G03830",7.17,6.89,7.35,7.31
"AT1G03840",5.62,4.92,5.81,5.33
"AT1G03850",9.39,9.54,9.1,9.21
"AT1G03860",12.02,11.93,11.84,11.63
"AT1G03870",11.93,11.94,10.99,10.81
"AT1G03880",5.16,7.48,6.38,8.51
"AT1G03890",3.98,5.74,3.74,5.32
"AT1G03900",11.02,11.32,10.97,11.25
"AT1G03905",6.83,6.92,6.8,6.98
"AT1G03910",10.54,10.31,10.49,10.46
"AT1G03920",5.04,5.31,5.08,5.05
"AT1G03950",6.48,7.03,6.2,7.12
"AT1G03960",6.61,6.8,6.6,6.55
"AT1G03970",7.25,7.58,7.51,7.84
"AT1G03980",6.6,6.84,6.01,6.27
"AT1G03990",5.54,4.82,4.77,5.18
"AT1G04000",7.76,8.08,8.01,8.22
"AT1G04010",7.08,7.12,6.82,7.06
"AT1G04020",9.18,9.12,8.89,8.5
"AT1G04030",6.1,6.46,6.21,6.81
"AT1G04040",10.79,11.26,10.7,10.76
"AT1G04050",5.6,6.07,6.19,6.61
"AT1G04060",3.3,3.43,5.11,4.53
"AT1G04070",9.18,8.88,8.98,8.63
"AT1G04080",10.67,10.58,10.77,10.41
"AT1G04090",5.85,5.77,5.63,5.83
"AT1G04100",6.19,6.27,6.52,6.38
