"V12GSE18071_1","V12GSE18071_10","V12GSE18071_13","V12GSE18071_16","V12GSE18071_19","V12GSE18071_22","V12GSE18071_4","V12GSE18071_7"
"AT1G01010",5.93,6.77,6.64,7.14,7.17,7.22,7.18,6.41
"AT1G01030",5.08,5.51,5.42,5.31,5.43,4.93,5.19,5.27
"AT1G01040",8.16,8.3,8.23,8,7.97,8.1,8.2,8.14
"AT1G01050",11.42,11.74,11.57,11.72,11.49,11.68,11.65,11.43
"AT1G01060",6.38,5.91,6.98,7.94,8.23,6.57,6.18,6.02
"AT1G01070",7,8.09,7.43,7.95,8.36,7.5,7.42,6.53
"AT1G01080",10.74,10.88,10.47,10.21,9.93,10.39,10.67,10.71
"AT1G01090",12.52,12.27,12.41,11.99,11.94,11.82,12.5,12.47
"AT1G01100",13.03,13.12,12.94,12.96,12.74,12.89,12.9,13
"AT1G01110",3.82,3.74,3.52,4.62,3.13,4.08,4.28,5.06
"AT1G01120",11.1,10.82,9.01,10.23,9.13,8.79,10.98,11.29
"AT1G01130",4.77,4.68,3.53,6,5.03,4.37,3.24,4.46
"AT1G01140",10.22,10.3,10.57,10.19,11.14,10.46,10.43,10.25
"AT1G01150",4.39,3.86,2.43,2.34,4.22,1.56,5.34,3.64
"AT1G01160",9,9.12,9.59,9.27,9.31,9.37,9.22,8.91
"AT1G01170",11.31,11.6,11.72,11.71,11.5,11.4,11.1,10.96
"AT1G01180",3.48,4.59,4.91,3.99,3.26,4.51,4.37,4.2
"AT1G01190",3.06,2.37,3.98,4.47,4.95,4.26,2.99,4.4
"AT1G01200",3.89,4.45,4.64,4.8,4.96,3.15,3.83,3.93
"AT1G01220",8.49,8.34,8.55,8.23,8.34,8.22,8.26,8.32
"AT1G01225",7.1,6.58,6.54,5.78,5.97,6.32,6.48,7.18
"AT1G01230",9.5,9.39,9.87,9.68,9.89,9.35,9.26,9.55
"AT1G01240",9.17,7.29,10.66,9.36,10.84,8.87,7.62,8.51
"AT1G01250",6.06,5.08,5.69,5.15,6.52,5.5,5.13,5.64
"AT1G01260",7.45,7.46,7.42,8.14,7.98,8.25,7.59,7.58
"AT1G01280",1.55,1.55,1.48,2.02,2.17,4.08,1.69,1.49
"AT1G01290",8.09,8.24,8.25,8.45,8.13,8.25,8.02,7.98
"AT1G01300",10.66,10.56,9.99,10.34,9.95,9.64,10.71,10.85
"AT1G01310",1.16,1.51,1.31,1.8,2.21,2.55,1.45,0.84
"AT1G01320",10.93,11.08,10.36,9.7,10.19,9.39,11.05,11.07
"AT1G01330",5.94,6.32,5.9,5.31,6.17,4.4,6.44,6.37
"AT1G01340",5.58,7.01,6.37,6.97,6.63,7.88,7.14,6.21
"AT1G01360",8.2,7.73,8.29,8.31,8.69,8.29,7.71,7.98
"AT1G01370",6.33,6.43,6.14,6.71,5.98,4.81,6.02,6.28
"AT1G01390",6.52,5.36,3.96,4.8,2.7,5.29,5.87,6.26
"AT1G01410",2.09,1.41,1.33,0.58,3.34,3,1.25,2.46
"AT1G01420",6.82,7.33,6.33,5.87,6.55,5.3,7.19,6.74
"AT1G01430",10.25,10.46,10.43,10.64,10.26,10.05,10.39,10.13
"AT1G01440",7.64,7.59,7.73,7.38,7.44,7.48,7.34,7.53
"AT1G01450",4.74,4.59,4.78,4.91,5.1,5.18,4.16,4.93
"AT1G01460",1.5,2,0.83,1.47,2.21,2.91,3.04,1.61
"AT1G01470",12.43,12.58,12.01,11.9,12.31,12.4,12.02,11.95
"AT1G01480",2.35,5.39,6.13,7.12,7.43,8.46,5.95,4.25
"AT1G01490",10.94,11.29,11.53,11.62,11.46,11.62,11.26,11.1
"AT1G01500",9.18,9.13,9.39,9.05,9.37,8.89,9.13,9.14
"AT1G01510",9.21,8.97,9.45,9.06,9.12,8.83,9.17,9.08
"AT1G01520",4.75,3.85,4.75,3.75,3.33,3.39,1.37,4.08
"AT1G01530",3.62,3.68,2.74,3.16,3.98,2.5,2.58,3.34
"AT1G01540",9.95,9.6,10.54,10.33,10.37,9.85,9.72,10.08
"AT1G01550",11.41,11.22,11.6,11.67,11.66,11.56,11.34,11.42
