"V12GSE2169_1","V12GSE2169_10","V12GSE2169_17","V12GSE2169_18","V12GSE2169_2","V12GSE2169_9"
"AT1G01010",9.13,8.18,8.65,8.34,8.6,8.42
"AT1G01030",5.23,3.69,5.47,3.82,5.14,4.8
"AT1G01040",7.14,6.54,7.02,6.8,6.94,6.67
"AT1G01050",11.15,11.05,10.91,10.91,10.89,11.02
"AT1G01060",9.45,9.32,9.23,8.84,9.07,9.07
"AT1G01070",8.39,8.12,8.25,8.04,8.38,8.49
"AT1G01080",8.33,8.46,8.16,8.08,8.3,8.46
"AT1G01090",11.46,11.71,11.44,11.28,11.21,11.41
"AT1G01100",12.92,12.91,12.9,12.79,12.79,12.92
"AT1G01110",4.99,5.74,5.33,3.72,5.1,4.96
"AT1G01120",10.67,11.03,10.65,10.71,10.44,10.88
"AT1G01130",5.33,5.12,5.35,4.62,4.65,5.61
"AT1G01140",9.98,9.71,9.74,9.71,9.68,10.15
"AT1G01150",3.97,4.95,3.99,3.18,3.93,4.02
"AT1G01160",8.84,8.5,9.09,8.64,8.87,8.94
"AT1G01170",10.52,9.99,10.51,10.09,10.52,10.24
"AT1G01180",4.61,4.15,4.7,4.05,3.65,5.06
"AT1G01190",8.73,9.21,8.55,8.73,8.7,9.1
"AT1G01200",5.74,6.15,6.01,5.51,5.99,6
"AT1G01220",7.97,7.67,7.72,7.64,7.68,7.8
"AT1G01225",6.51,6.61,6.88,6.58,6.79,6.73
"AT1G01230",10.15,9.94,10,9.76,9.68,10.12
"AT1G01240",8.51,7.7,8.6,7.83,8.5,8.51
"AT1G01250",5.47,5.45,5.54,5.4,4.6,5.93
"AT1G01260",8.94,9.08,8.98,9.29,9.17,8.96
"AT1G01280",2.02,0.76,2.27,2.17,2.16,1.84
"AT1G01290",7.98,7.26,7.8,7.29,7.44,7.67
"AT1G01300",10.05,10.4,9.9,9.65,9.61,9.87
"AT1G01310",1.19,0.46,1.29,1.55,0.78,1.24
"AT1G01320",9.28,8.95,9.44,9.13,9.25,9.29
"AT1G01330",6.56,6.77,6.88,7.02,6.8,7.04
"AT1G01340",8.76,9.52,8.65,9.54,8.91,9.32
"AT1G01360",9.26,8.69,9.37,8.46,8.75,9.1
"AT1G01370",5.59,5.97,5.63,6.03,5.74,5.37
"AT1G01390",3.71,3.68,2.63,4.87,3.57,4.79
"AT1G01410",3.32,2.48,3.51,4.4,3.53,2.38
"AT1G01420",7.63,7.13,7.56,6.88,7.45,7.44
"AT1G01430",9.88,9.62,9.81,9.26,9.54,9.74
"AT1G01440",8.18,8.44,8.2,8.43,8.48,8.27
"AT1G01450",4.54,3.51,3.27,4.08,2.4,3.09
"AT1G01460",2.19,1.98,1.51,2.63,1.55,1.77
"AT1G01470",11.75,12.16,11.46,11.8,11.44,11.85
"AT1G01480",7.14,7.52,7.38,8.29,7.31,7.39
"AT1G01490",11.31,10.71,11.44,11.08,11.14,11.42
"AT1G01500",8.6,8.25,8.83,8.44,8.36,8.8
"AT1G01510",8.84,8.9,8.89,8.59,8.78,8.87
"AT1G01520",2.9,1.94,3,3.26,2.66,3.51
"AT1G01530",3.57,3.93,3.92,4,4.85,3.89
"AT1G01540",9.55,9.53,9.54,9.54,9.59,9.45
"AT1G01550",12.41,12.56,12.55,12.72,12.63,12.5
"AT1G01560",9.33,11.23,9.07,11.65,11.27,9.27
"AT1G01570",6.24,5.74,6.26,5.94,5.89,6.06
"AT1G01600",6.68,7.17,5.58,6.16,5.2,6.54
"AT1G01610",10.4,10.7,10.26,10.08,9.95,10.46
"AT1G01620",11.45,12.09,11.44,11.22,11.68,11.54
"AT1G01630",10.61,10.43,10.65,10.57,10.13,10.72
"AT1G01640",9.28,9.05,9.32,9.08,9.36,8.99
"AT1G01650",10.35,10.28,10.42,10.25,10.28,10.22
"AT1G01660",6.42,6.21,5.88,6.48,6.16,6.07
"AT1G01670",5.88,5.68,5.73,6.3,6.02,6.44
"AT1G01690",3.6,4.59,4.15,3.64,4.04,5.17
"AT1G01700",3.64,1.76,3.21,3.85,3.58,3.95
"AT1G01710",9.33,8.82,9.37,9.22,9.2,9.3
"AT1G01720",10.25,8.82,10.32,9.13,9.38,10.14
"AT1G01725",8.18,7.52,8.03,7.66,8.18,7.72
"AT1G01730",9.66,9.28,9.52,9.29,9.49,9.6
"AT1G01740",7.13,6.47,7.03,7.15,6.95,7.28
"AT1G01750",10.06,10.48,9.95,10.1,9.85,10.38
"AT1G01760",3.98,2.32,3.45,3.12,1.95,3.84
"AT1G01770",6.66,5.76,6.81,6.32,6.83,6.36
"AT1G01780",8.45,8.59,8.39,8.38,8.38,8.62
"AT1G01790",8.41,8.7,8.3,8.37,8.28,8.55
"AT1G01800",11.42,11.06,11.42,11.3,11.16,11.54
"AT1G01820",10.53,10.22,10.69,10.51,10.5,10.61
"AT1G01830",8.01,7.47,8.06,7.47,7.36,8.32
"AT1G01840",5.29,4.78,4.71,4.31,4.5,5.06
"AT1G01860",6.54,5.92,6.34,5.11,5.75,6.3
"AT1G01900",5.9,6.42,5.72,5.17,5.59,5.93
"AT1G01910",9.88,9.98,10.02,9.83,9.71,10.12
"AT1G01920",5.47,4.94,5.83,5.72,5.98,5.34
"AT1G01930",7.89,7.56,7.95,7.24,7.55,7.96
"AT1G01940",8.56,8.35,8.81,8.58,8.28,9.12
"AT1G01950",7.93,7.76,7.68,7.82,7.74,7.49
"AT1G01960",9.91,9.7,9.99,9.69,9.73,9.78
"AT1G01970",8.06,8.09,8.21,7.55,7.93,8.21
"AT1G01980",2.21,2.55,1.38,2.96,2.95,1.93
"AT1G01990",8.69,7.9,8.47,8.1,8.1,8.55
"AT1G02000",7.2,7.23,7.4,7.13,7.26,7.43
"AT1G02020",7.43,7.04,7.53,7.05,7.23,7.16
"AT1G02050",6.09,5.03,6.15,5.77,5.85,5.88
"AT1G02060",5.59,5.2,5.81,5.64,5.89,5.46
"AT1G02070",4.88,4.84,4.63,3.45,4.62,3.88
"AT1G02080",9.85,9.3,9.84,9.54,9.77,9.71
"AT1G02090",8.81,8.86,9.05,8.52,8.75,8.95
"AT1G02100",9.43,9.08,9.56,9.36,9.38,9.35
"AT1G02110",7.14,6.97,7.28,7.22,7.02,6.96
"AT1G02120",10.45,10.46,10.49,10.38,10.33,10.56
"AT1G02130",9.48,9.52,9.68,9.33,9.39,9.64
"AT1G02140",11.56,11.23,11.59,11.27,11.33,11.46
"AT1G02150",9.11,9.16,9.21,8.73,8.82,9.15
"AT1G02160",9.55,9.26,9.61,9.32,9.41,9.43
"AT1G02170",9.84,10.28,9.93,10.31,10.13,9.97
"AT1G02180",6.49,6.46,6.82,6.52,6.46,6.5
"AT1G02190",2.93,1.09,0.44,4.09,3.73,3.13
