"V12GSE31837_1","V12GSE31837_2","V12GSE31837_3","V12GSE31837_4","V12GSE31837_5","V12GSE31837_6","V12GSE31837_7"
"AT1G01010",8.79,8.79,8.53,9.2,9.14,9.09,9.14
"AT1G01030",1.41,1.48,2.66,2.48,1.38,1.44,1.64
"AT1G01040",7.84,7.42,6.91,8.76,8.75,8.72,8.76
"AT1G01050",11.72,12.21,12.63,11.76,11.69,11.78,11.81
"AT1G01060",8.42,8.55,8.64,10.42,10.4,10.27,10.24
"AT1G01070",2.33,2.91,1.96,1.21,0.8,0.76,0.96
"AT1G01080",7.8,7.41,7.21,7.12,6.98,6.95,6.78
"AT1G01090",11.24,11.67,12.04,11.37,11.36,11.43,11.49
"AT1G01100",14.01,14.26,14.49,13.85,13.86,13.88,13.9
"AT1G01110",1.76,2.08,1.51,1.42,1.2,1.21,1.4
"AT1G01120",4.06,3.48,2.3,4.09,2.96,3.42,3.11
"AT1G01130",3.64,3.25,3.74,1.58,1.98,2.15,2.07
"AT1G01140",5.43,5.23,4.15,5.59,5.96,5.77,6.09
"AT1G01150",4.43,4.79,4.44,4.7,4.83,4.84,4.02
"AT1G01160",9.79,9.66,8.74,9.02,8.9,8.93,8.89
"AT1G01170",10.44,10.81,11.32,10.26,10.18,10.29,10.25
"AT1G01180",3.7,4.12,4.36,2.72,4.2,4.92,4.33
"AT1G01190",2.69,3.47,3.35,1.86,2.48,2.74,3.27
"AT1G01200",2.67,2.93,3.09,2.65,2.69,2.01,2.68
"AT1G01220",8.52,7.42,7.11,9.28,9.16,9.25,9.05
"AT1G01225",9.32,8.22,7.39,9.37,9.34,9.27,9.07
"AT1G01230",9.07,9.23,8.66,9.39,9.53,9.62,9.71
"AT1G01240",7.39,7.68,7.01,7.91,8.03,8.2,8.16
"AT1G01250",2.68,3.83,4.48,3.3,4.21,2.54,2.55
"AT1G01260",8.03,6.81,6.97,7.7,7.76,7.47,7.28
"AT1G01280",1.27,2.85,1.58,1.5,1.1,1.31,0.73
"AT1G01290",9.08,9.09,8.81,8.17,8.31,8.2,8.2
"AT1G01300",11.72,11.82,11.64,10.93,11.06,10.98,11.25
"AT1G01310",1.03,1.37,1.43,1.58,1.1,1.45,0.97
"AT1G01320",10.04,9.82,9.08,9.26,9.24,9.23,9.16
"AT1G01330",7.96,7.73,6.98,7.23,7.26,7.27,7.26
"AT1G01340",6,5.94,6.16,7.85,7.56,7.75,7.87
"AT1G01360",7.75,8.08,7.66,7.55,7.83,7.47,7.49
"AT1G01370",7.93,8.12,8.02,7.29,7.24,7.22,7.11
"AT1G01390",3.24,4.65,3.42,4.24,3.34,2.75,3.15
