"V12GSE4733_1","V12GSE4733_10","V12GSE4733_2","V12GSE4733_3","V12GSE4733_4","V12GSE4733_5","V12GSE4733_6","V12GSE4733_7","V12GSE4733_8","V12GSE4733_9"
"AT1G01010",4.96,4.12,6.03,5.35,6.31,2.88,5.81,5.38,6.22,3.82
"AT1G01030",4.97,6.28,5.85,5.11,4.84,5.77,4.95,5.54,5.2,5.75
"AT1G01040",9.52,9.36,9.59,9.43,9.39,8.83,9.33,9.58,9.46,9.39
"AT1G01050",12.62,12.29,12.44,12.51,12.51,11.93,12.69,12.61,12.53,12.44
"AT1G01060",10.56,11.15,10.44,10.53,11.21,10.32,10.6,10.86,11.11,10.81
"AT1G01070",8.55,10.5,7.85,7.93,9.94,11.51,8.3,7.86,8.17,8.93
"AT1G01080",8.02,8.37,8.12,7.86,8.05,8.04,8.05,7.95,8.19,8.22
"AT1G01090",12.11,12.09,12.01,12.19,12.28,12.25,12.14,12.03,12.39,12.24
"AT1G01100",12.85,12.71,12.87,12.82,12.7,12.76,12.84,12.79,12.88,12.56
"AT1G01110",4.26,5.68,5.05,3.56,3.48,4.61,5.35,5.74,6.17,5.36
"AT1G01120",7.41,8.86,8,7.97,7.53,10.47,7.78,7.34,7.7,6.81
"AT1G01130",4.69,5.6,5.82,5.7,3.81,4.68,5.96,6.26,4.73,4.71
"AT1G01140",10.06,11.88,10.48,10.03,10.08,10.46,10.26,10.03,10.2,10.88
"AT1G01150",5.51,4.81,6.41,5.89,6.37,5.69,5.77,4.85,5.75,5.9
"AT1G01160",8.78,8.88,8.83,8.88,8.49,8.4,8.85,9.05,8.81,8.44
"AT1G01170",10.18,9.77,10.25,9.99,9.81,9.73,10.31,10.26,10.34,10.07
"AT1G01180",6.87,6.39,6.81,6.68,6.63,6.73,6.45,6.54,6.31,6.37
"AT1G01190",3.76,2.59,3.31,3.8,3.67,3.56,3.95,3.1,3.21,3.89
"AT1G01200",6.38,6.58,5.94,6.85,6.66,6.29,6.97,6.14,6.45,6.32
"AT1G01220",8.68,8.1,8.59,8.54,8.53,8.47,8.63,8.71,8.43,8.29
"AT1G01225",7.92,7.74,7.91,7.5,7.78,7.39,7.72,7.88,7.52,7.5
"AT1G01230",9.73,9.35,9.84,9.7,9.64,9.34,9.9,9.84,9.57,9.49
"AT1G01240",9.46,9.59,9.26,9.15,9.84,10.17,9.26,9.68,9.14,9.49
"AT1G01250",7.76,8.24,7.92,8.85,8.69,8.84,7.74,7.78,8.29,8.85
"AT1G01260",7.82,7.74,8.5,8.66,8.24,8.24,8.04,8.28,8.18,8
"AT1G01280",2.93,2.44,2.82,3.19,4.58,4.39,3.06,2.76,2.15,3.42
"AT1G01290",8.69,8.62,8.71,8.42,8.14,7.66,8.78,8.68,8.83,7.89
"AT1G01300",10.58,10.72,10.84,11.13,10.98,10.95,10.7,10.74,11.07,11.02
"AT1G01310",8.89,10.95,8.46,9.22,9.87,11.44,8.32,9.24,8.84,10.89
"AT1G01320",9.54,9.71,9.5,9.78,10.72,9.86,9.59,9.56,9.7,9.93
"AT1G01330",6.74,6.96,7.44,6.93,7.25,7.12,6.82,6.88,6.67,7.3
"AT1G01340",6.91,6.52,6.7,6.93,6.51,6.69,5.8,7.2,6.7,7.05
"AT1G01360",9.31,9.39,9.64,8.84,8.58,9.11,9.45,9.47,9.61,9.12
"AT1G01370",7.52,7.07,7.55,7.31,7.16,7.28,7.48,7.67,7.08,7.25
"AT1G01390",5.82,4.86,5.12,5.47,4.12,4.41,5.15,5.42,5.17,6.08
"AT1G01410",5.32,5.67,5.93,6.04,6.26,5.91,6.07,6.24,4.46,6.45
"AT1G01420",6.14,3.78,6.4,5.93,6.26,6.06,5.75,5.86,5.96,6.35
"AT1G01430",9.03,8.75,9.04,9.03,8.96,9.21,8.85,8.89,9.31,9.44
"AT1G01440",7.05,6.99,7.04,7.1,7.04,6.43,7.21,6.81,7.22,6.69
"AT1G01450",5.56,5.86,6.08,6.47,5.96,6.3,5.63,5.72,5.65,6.39
"AT1G01460",4.92,9.83,5.84,5.65,7.37,10.39,6.4,6.3,6,9.36
"AT1G01470",9.8,9.53,9.64,9.94,8.7,8.84,9.98,9.97,10.23,10.38
"AT1G01480",3.96,3.48,3.81,3.95,3.43,3.56,4.15,3.57,3.76,3.34
"AT1G01490",10.08,10.03,9.94,10.12,10.12,9.94,10.06,10.25,10.12,10.39
"AT1G01500",9.82,10.97,9.58,9.6,10.15,11.21,9.39,9.27,9.18,10.66
"AT1G01510",8.66,8.37,8.81,8.29,8.24,7.46,8.92,8.79,8.97,8.08
"AT1G01520",4.87,4.36,5.65,4.32,4.03,3.61,6.2,4.91,3.37,4.39
"AT1G01530",5.93,5.35,5.91,6.03,6.04,5.79,5.34,5.73,5.09,5.91
"AT1G01540",9.43,9.22,9.65,9.28,9.16,9.34,9.6,9.43,9.62,9.39
"AT1G01550",11.42,11.44,11.44,11.39,11.69,11.84,11.46,11.35,11.45,11.36
"AT1G01560",7.49,7.13,7.19,7.57,7.56,7,7.3,7.31,7.12,7.44
"AT1G01570",7.25,6.76,7.16,7.18,6.72,6.47,7.35,7.42,7.03,6.95
"AT1G01600",10.95,11.25,10.91,12.07,11.92,11.33,10.99,11.15,11.73,11.66
"AT1G01610",10.73,10.81,10.83,11.05,10.78,10.4,10.85,10.71,11.15,10.84
"AT1G01620",10.7,10.98,10.9,10.47,10.82,11.15,10.84,10.71,10.78,10.85
"AT1G01630",8.88,9.96,9.06,8.99,9.81,10.31,9.19,8.57,9.11,8.84
"AT1G01640",8.11,7.56,8.01,7.6,7.44,7.18,7.9,8.1,8.09,7.53
"AT1G01650",10.12,10.06,10.08,10.42,10.28,10.04,10.02,10.26,10.32,10.18
"AT1G01660",5.9,6.1,6.35,5.84,6.27,5.9,5.68,6.18,5.84,5.74
"AT1G01670",7.4,7.71,7.14,7.4,7.12,7.34,6.83,7.36,6.99,7.06
"AT1G01690",7.67,6.76,7.3,7.42,7.74,7.62,7.27,7.39,6.9,7.78
"AT1G01700",4.04,3.73,3.57,3.27,3.35,4.61,4.22,3.43,5.13,3.48
"AT1G01710",9.16,9.19,9.05,9.19,9.2,9.22,9.26,9.4,9.16,9.19
"AT1G01720",9.78,8.49,9.89,10.36,9.56,8.39,9.72,10.06,9.77,10.07
"AT1G01725",8.98,9.31,9.17,8.85,8.72,9.3,9.19,9.16,9.06,8.85
"AT1G01730",8.98,8.71,9.31,9.15,8.87,8.79,9.36,9.28,9.23,9.12
"AT1G01740",7.67,7.33,7.25,7.26,7.41,7.17,7.77,7.77,7.18,7.21
"AT1G01750",5.71,10.33,6.17,5.52,8.06,11.35,4.24,4.7,6.06,4.99
"AT1G01760",3.63,2.92,4.06,4.09,3.8,3.74,3.22,3.46,3.84,4.49
"AT1G01770",8.81,8.85,8.68,8.7,9.45,9.24,8.69,8.84,8.44,8.32
"AT1G01780",11.85,12.46,11.56,11.76,12.15,12.5,11.64,11.75,11.54,12.38
"AT1G01790",9.21,8.88,9.25,9.12,9.05,8.64,9.25,9.34,9.45,9.12
"AT1G01800",10.62,10.42,10.74,10.7,10.48,10.34,10.39,10.52,10.78,10.73
"AT1G01820",8.93,8.59,9.14,8.98,8.76,8.76,9.17,9.23,9.12,9.19
"AT1G01830",7.95,7.18,8,7.81,7.38,7.64,7.78,7.92,7.92,8.18
"AT1G01840",6.3,5.92,6.52,6.42,6.88,6.18,6.69,6.58,6.54,6.01
"AT1G01860",7.32,6.8,6.88,6.92,7.08,6.8,7.05,6.92,6.5,6.93
"AT1G01900",9.08,8.28,9.26,9.42,9.15,8.49,9.25,9.18,9.35,9.14
"AT1G01910",9.95,9.56,9.83,9.82,9.7,9.54,10.03,9.93,9.86,9.44
"AT1G01920",7.49,7.07,7.52,6.95,7.02,7.17,7.25,7.57,7.56,7.34
"AT1G01930",8.22,8.5,8.04,7.96,8.38,8.1,8.17,8.29,8.28,8.18
"AT1G01940",8.51,8.62,8.44,8.46,8.25,8.06,8.65,8.59,8.66,8.42
"AT1G01950",7.97,7.93,8.12,7.91,7.99,7.55,7.84,7.89,7.96,7.94
"AT1G01960",9.38,9.22,9.3,9.47,9.15,8.82,9.32,9.46,9.43,9.07
"AT1G01970",7.82,7.42,7.65,7.75,7.39,7.72,7.88,7.96,7.99,7.69
"AT1G01980",5.96,10.13,4.47,4.58,5.89,11.19,3.12,4,4.75,8.91
"AT1G01990",8.16,7.89,7.44,8.05,7.96,7.94,8.42,8.36,8.18,7.87
"AT1G02000",8.35,10.54,8.11,8.25,9.15,10.99,8.08,8.2,8.04,9.97
"AT1G02020",6.97,6.88,7.15,7,6.83,7.02,7.31,7.24,7.1,7.12
"AT1G02050",5.28,5.12,5.85,5.15,5.93,5.78,4.07,5.55,5.46,5.54
"AT1G02060",4.65,3.28,5.22,4.75,5.1,3.66,6.45,5.89,5.78,4.71
"AT1G02070",6.49,7.16,6.65,6.59,6.19,5.91,6.85,6.63,7,6.99
"AT1G02080",10.53,10.34,10.6,10.56,10.48,10.28,10.54,10.59,10.58,10.34
"AT1G02090",8.71,8.36,8.8,8.69,8.43,8.36,8.49,8.46,8.6,8.37
"AT1G02100",8.82,8.87,8.86,8.47,8.07,7.76,8.89,8.82,8.62,8.64
"AT1G02110",7,6.88,7.16,6.96,6.97,6.44,7.01,6.45,6.62,6.59
"AT1G02120",9.19,8.97,9.28,9.18,8.9,8.7,9.21,9.16,9.33,9.21
"AT1G02130",9.56,9.24,9.59,9.36,9.23,9.14,9.58,9.63,9.77,9.38
