"V12GSE5621_1","V12GSE5621_10","V12GSE5621_11","V12GSE5621_12","V12GSE5621_2","V12GSE5621_3","V12GSE5621_4","V12GSE5621_5","V12GSE5621_6","V12GSE5621_7","V12GSE5621_8","V12GSE5621_9"
"AT1G01010",4.67,9.14,4.04,10.13,8.52,4.55,8.59,3.84,9.11,2.86,8.97,3.04
"AT1G01030",6.18,4.22,4.45,4.83,5.24,6.75,5.37,6.45,4.19,5.59,5.56,6.03
"AT1G01040",8.86,9.29,9.34,9.74,8.91,8.59,8.88,8.82,9.05,9.05,9.35,9.23
"AT1G01050",11.14,11.25,10.88,10.95,11.57,11.19,11.53,11,11.38,10.93,11.29,10.98
"AT1G01060",11.64,8.66,11.47,9.53,8.86,12.39,8.5,11.91,8.71,11.75,8.38,11.3
"AT1G01070",7.74,7.49,4.53,7.47,8.41,7.81,8.41,7.35,8.23,6.91,8.54,6.18
"AT1G01080",10.8,6.94,10.14,6.59,7.05,10.68,7.1,10.49,6.99,10.38,7.54,10.22
"AT1G01090",11.99,11.48,12.03,11.27,11.66,12.27,11.58,11.96,11.68,11.94,11.46,11.97
"AT1G01100",12.94,13.4,13.04,13.33,13.54,12.9,13.44,12.86,13.32,12.79,13.32,12.8
"AT1G01110",3.66,7.47,2.78,6.18,7.89,3.3,7.67,3.84,7.73,3.28,7.55,2.73
"AT1G01120",10.91,10.21,8.32,10.3,10.51,10.62,10.57,10.72,10.34,9.7,10.43,6.83
"AT1G01130",3,4.69,5.38,5.67,3.84,4.85,5.48,6.09,6.17,5.75,5.38,3.98
"AT1G01140",10.03,5.13,12.46,5.56,3.03,9.94,2.27,10.9,4.46,11.76,4.91,11.66
"AT1G01150",5.14,4.72,4.88,3.67,4.15,5.05,4.84,4.55,4.42,4.85,4.4,4.8
"AT1G01160",8.84,8.84,7.9,8.22,9.77,8.91,9.82,8.5,9.77,8.16,9.21,7.88
"AT1G01170",11.73,8.84,10.63,8.5,9.07,11.57,9.28,11.5,9.1,11.23,9.12,11.09
"AT1G01180",6.38,5.92,6.14,6.71,6.34,6.68,6.33,5.74,5.66,6.14,6.3,6.03
"AT1G01190",6.19,9.8,3.9,9.55,10.86,6.67,10.89,5.65,10.84,4.29,10.61,4.45
"AT1G01200",5.02,7.47,4.25,7.21,7.47,4.55,7.38,4.77,7.4,5.8,7.41,5.95
"AT1G01220",8.62,8.12,8.15,8.11,8.21,8.51,8.3,8.48,8.24,8.38,8.3,8.28
"AT1G01225",7.51,7.68,6.86,7.58,8.28,7.21,8.36,7.16,8.12,6.8,8.01,7.23
