"V12GSE5626_1","V12GSE5626_10","V12GSE5626_11","V12GSE5626_12","V12GSE5626_13","V12GSE5626_14","V12GSE5626_2","V12GSE5626_3","V12GSE5626_4","V12GSE5626_5","V12GSE5626_6","V12GSE5626_7","V12GSE5626_8","V12GSE5626_9"
"AT1G01010",5.05,8.34,5.99,8.41,5.91,8.81,8.42,5.55,8.58,5.28,9.15,5.22,8.26,6.7
"AT1G01030",5.66,3.34,5.31,5.17,5.95,3.94,3.31,6.11,5.03,6.12,5.37,5.44,3.7,6.03
"AT1G01040",8.82,9.46,8.47,9.49,8.93,9.41,9.21,8.45,8.72,8.35,8.88,8.55,9.14,8.8
"AT1G01050",11.29,11.47,11.41,11.32,11.43,11.43,11.45,11.22,11.28,11,11.23,10.68,11.12,10.25
"AT1G01060",11.68,3.44,7.4,5.89,12,8.52,8.27,11.52,8.66,11.3,8.07,10.62,6.77,8.96
"AT1G01070",7.35,7.66,6.41,7.54,6.88,8.87,8.6,7.25,8.57,6.7,7.3,6.29,7.3,6.94
"AT1G01080",10.66,7.25,10.66,7.3,10.47,7.16,7.34,10.36,7.23,10.51,6.87,10.27,7.41,9.84
"AT1G01090",12.01,11.47,11.49,11.46,11.89,11.69,11.53,12,11.58,12.09,11.53,11.89,11.81,11.37
"AT1G01100",13.11,13.36,13.05,13.43,12.98,13.3,13.44,13.21,13.43,13.23,13.57,12.86,13.31,12.82
"AT1G01110",3.35,7.32,5.04,7.84,3.23,7.13,7.79,4.36,7.65,3.65,7.85,5.15,7.61,2.61
"AT1G01120",10.73,10.41,9.45,10.59,10.65,11.06,10.62,10.95,10.73,10.85,10.88,9.71,10.74,8.41
"AT1G01130",5.71,5,3.36,5.25,3.31,5.53,5.42,5.42,6.03,5.5,5.28,2.96,4.85,3.04
"AT1G01140",10.58,4.05,10.34,2.68,10.67,2.59,2.63,10.53,5.07,9.74,2.66,9.32,3.54,9.84
"AT1G01150",4.95,4.31,4.4,4.53,4.47,3.96,4.81,4.92,4.48,4.75,4.07,4.32,3.96,4.26
"AT1G01160",8.98,9.54,8.97,9.82,9.07,9.86,9.44,8.57,9.63,8.55,9.49,8.71,9.82,8.96
