"V12GSE5738_1","V12GSE5738_10","V12GSE5738_2","V12GSE5738_3","V12GSE5738_4","V12GSE5738_5","V12GSE5738_6","V12GSE5738_7","V12GSE5738_9"
"AT1G01010",4.22,4.82,6.08,5.93,4.52,5.49,6.22,6.09,6.57
"AT1G01030",4.53,4.91,4.83,4.95,5.55,5.96,4.64,4.41,4.6
"AT1G01040",5.04,3.82,4.4,5.62,4.36,3.28,3.95,5.09,3.66
"AT1G01050",11.11,10.79,11.14,11.08,11.27,11.08,11.18,11.05,11.03
"AT1G01060",6.07,5.42,9.07,8.28,8.75,8.13,6.57,7.09,7.04
"AT1G01070",4.57,5.5,5.46,5.16,4.01,4.66,8.02,5.42,5.98
"AT1G01080",8.2,10.97,8.59,8.12,10.46,10.31,8.08,8.58,11.01
"AT1G01090",9.96,10.58,10.23,9.97,10.48,10.4,10.55,10.7,10.8
"AT1G01100",11.44,11.36,10.7,11.57,11.9,11.73,11.3,11.38,11.77
"AT1G01110",6.16,4.08,5.45,6.49,5.28,6.22,5.3,6.44,4.49
"AT1G01120",8.26,8.74,8.18,7.89,9.01,8.41,7.91,8.04,9.14
"AT1G01130",6.18,5.26,5.56,5.52,6.9,6.18,5.16,4.28,5.12
"AT1G01140",3.98,9.18,4.88,5.02,11.29,11.4,3.94,5.93,9.27
"AT1G01150",7.41,6.2,7.76,7.94,6.18,6.59,7.03,7.03,5.06
"AT1G01160",8.88,7.86,8.15,8.37,8.31,7.65,7.2,7.7,7.21
"AT1G01170",9.52,12.1,8.48,8.92,11.31,11.54,9.75,10.6,12.03
"AT1G01180",8.38,8.19,8.76,8.41,8.26,8.66,8.58,8.66,8.74
"AT1G01190",8.32,8.39,7.5,7.54,6.27,7.23,7.35,7.63,7.82
"AT1G01200",7.99,6.25,8.53,7.21,6.54,6.08,6.53,7.22,6.77
"AT1G01220",8.08,8.43,8.7,8.66,8.5,8.31,8.41,8.54,8.69
"AT1G01225",9.55,8.79,9.84,9.55,8.65,8.76,9.91,9.62,9.2
"AT1G01230",10.68,10.97,10.38,10.62,10.68,10.4,11.11,11.14,11.2
"AT1G01240",10.64,11.04,10.18,10.4,10.6,10.75,10.58,10.76,10.47
"AT1G01250",5.28,9.24,5.84,4.81,10.18,10.24,4.92,6.95,9.04
"AT1G01260",7.4,8.45,8.57,8.08,8.63,7.84,8.53,8.62,8.05
"AT1G01280",3.37,4.09,5.42,4.82,3.51,3.78,4.14,4.59,3.67
"AT1G01290",6.99,6.58,5.7,6.79,6.79,6.63,5.99,5.7,5.09
"AT1G01300",9.88,11.3,8.07,8.54,10.78,10.48,8.85,9.42,11.2
"AT1G01310",3.68,2.78,3.74,3.86,3.23,2.84,3.72,3.1,2.79
"AT1G01320",8.47,10.36,8.34,8.13,10,10.18,7.97,8.97,9.91
"AT1G01330",8.5,8.11,8.48,8.17,8.17,8.22,8.17,8.34,8.14
"AT1G01340",9.59,4.44,8.65,9.84,5.08,5.33,7.63,7.41,5.36
"AT1G01360",8.07,8.91,6.84,8.48,7.75,7.81,8.47,8.39,8.45
"AT1G01370",8.4,7.56,8.79,8.4,7.91,7.78,7.82,7.73,7.32
"AT1G01390",6.8,6.9,6.96,6.92,6.96,6.94,6.68,6.38,7.22
"AT1G01410",6.71,6.35,7.96,7.21,6.57,7.07,7.2,6.92,7.05
"AT1G01420",5.24,4.18,5.7,5.5,5.68,4.87,4.84,5.47,4.91
"AT1G01430",8.23,10.68,7.69,8.59,9.98,10.14,8.5,8.83,10.5
"AT1G01440",7.7,5.87,5.77,7.58,6.64,5.61,7.47,5.84,6.57
"AT1G01450",7.92,7.31,8.47,8.84,7.24,7.29,8.42,7.96,8.12
"AT1G01460",5.42,4.7,5.96,5.1,4.49,4.62,4.73,4.57,4.6
"AT1G01470",11.37,12.82,10.92,10.04,11.92,11.25,11.69,11.79,13.03
"AT1G01480",4.97,4.12,8.48,7.45,7.39,7.41,8.77,7.12,6.08
"AT1G01490",10.14,10.05,10.79,10.75,10.29,9.89,11.28,11,10.37
"AT1G01500",9.76,10.31,10,10.18,10.61,9.91,10.36,10.19,10.43
"AT1G01510",9.64,8.75,7.66,8.81,7.37,7.27,9.33,8.93,7.43
"AT1G01520",6.39,5.72,6.23,4.63,4.61,4.33,5.57,5.32,5.93
"AT1G01530",7.84,6.99,8.44,7.97,6.33,6.87,7.48,7.63,7.17
"AT1G01540",9.24,9.22,8.46,9.04,9.65,9.45,9.6,9.95,9.63
"AT1G01550",12.78,11.66,12.94,13.3,11.56,11.87,12.55,12.13,11.52
"AT1G01560",9.17,9.72,9.91,9.16,9.9,9.89,9.91,9.91,10.21
"AT1G01570",8.39,7.06,8.77,6.99,5.16,7.38,7.61,7.54,6.88
"AT1G01600",7.36,7.38,5.59,6.65,7.39,6.74,5.94,6.18,7.19
"AT1G01610",9.2,9.39,8.98,9.64,9.13,8.25,10.03,9.04,9.3
"AT1G01620",13.16,10.21,11.21,12.05,10.49,10.25,12.36,11.96,11.08
"AT1G01630",9.36,9.17,9.66,9.41,9.04,9.26,9.47,9.52,9.44
"AT1G01640",10.26,11.07,9.89,9.83,9.79,9.52,10.55,10.79,10.64
"AT1G01650",11.23,11.09,10.4,10.86,10.49,10.54,11.31,11.2,10.91
"AT1G01660",8.63,7.71,8.76,8.75,7.58,7.65,7.78,8.09,7.13
"AT1G01670",9.68,9.44,10.13,10.04,9.59,9.63,9.69,9.35,9.26
"AT1G01690",8.54,7.89,8.23,8.48,8.05,8.34,7.71,8.46,8.38
"AT1G01700",4.88,4.31,4.29,4.36,4.52,5.47,3.43,2.79,3.63
"AT1G01710",9.38,10.32,10.12,9.91,9.7,9.96,9.98,9.76,9.92
"AT1G01720",6.12,8.48,8.84,8.66,8.71,8.35,9.74,9.37,8.07
"AT1G01725",8.63,9.38,7.93,8.49,8.22,8.11,8.99,9.2,9.38
"AT1G01730",9.79,8.85,9.98,9.86,9.06,9.1,8.89,8.96,8.39
"AT1G01740",9.14,9.13,9.06,8.75,9.67,9.74,9.11,8.78,9.31
"AT1G01750",12.2,4.55,10.2,11.07,4.67,4.49,10.29,10.15,5.35
"AT1G01760",6.03,5,5.79,5.65,5.41,5.41,5.43,5.76,5.34
"AT1G01770",8.04,8.09,8.71,8.06,7.33,7.9,8.39,8.23,7.81
"AT1G01780",10.23,8.32,9.75,9.79,8.32,8.57,9.43,9.29,8.04
"AT1G01790",8.58,10.03,9.14,8.98,8.78,9.06,8.39,8.96,9.42
"AT1G01800",10.21,10.94,9.95,10.28,11.04,10.88,10.6,11.1,11.07
"AT1G01820",10.27,10.43,10.5,10.58,10.23,10.01,10.84,10.85,10.34
"AT1G01830",7.88,7.64,8.6,8.16,6.88,7.6,7.95,8.26,7.86
"AT1G01840",8.36,7.67,7.85,8.12,7.81,6.91,7.75,8.02,7.7
"AT1G01860",7.43,7.55,7.88,8.42,8.88,9,7.78,8.29,7.74
"AT1G01900",3.67,3.03,4.19,4.17,4.39,3.77,4.26,4.15,4.82
"AT1G01910",10.79,10.63,10.87,10.97,10.53,10.38,11.23,10.98,10.63
"AT1G01920",7.81,8.49,8.56,8.75,8.1,8.14,8.71,8.68,8.18
"AT1G01930",5.45,7.35,7.58,6.94,7.84,7.4,6.16,6.93,7.31
"AT1G01940",8.62,8.88,8.84,8.97,9.24,9.24,9.18,9.17,8.58
"AT1G01950",8.6,8.17,9.02,9.06,8.51,8.7,9.02,8.39,8.15
"AT1G01960",10.08,10.11,8.94,10.06,9.34,9.4,10.27,9.97,9.73
"AT1G01970",5.95,8.52,6.3,6.7,8.41,8.15,6.6,7.06,8.51
"AT1G01980",3.49,3.67,4.92,4.16,2.99,3.3,4.36,3.93,3.65
"AT1G01990",7.01,9.01,9.8,9.06,8.23,8.15,9.05,9.37,8.77
"AT1G02000",7.82,7.03,5.39,6.84,7.62,7.45,6.46,6.94,7.29
"AT1G02020",8.95,9.27,8.58,8.92,8.35,8.31,9.06,9.02,8.81
"AT1G02050",7.53,6.15,7.4,6.71,6.42,6.3,6.88,7.22,7.12
"AT1G02060",6.93,5.83,6.78,7.03,4.11,5.72,5.99,5.8,5.22
"AT1G02070",7.65,5.68,8.03,7.21,7.3,7.19,7.94,6.86,6.58
"AT1G02080",9.05,10.07,9,9.52,9,9.3,9.93,9.2,9.44
"AT1G02090",5.42,4.79,5.45,5.1,4.26,4.47,5.01,5.06,4.45
"AT1G02100",5.26,5.97,6.22,6.12,6.8,6.91,5.89,5.84,6.38
"AT1G02110",7.87,6.69,7.6,6.92,6.07,6.85,7.13,6.84,7.37
"AT1G02120",9.35,10.43,10.27,10.12,9.93,9.87,10.42,10.57,10.09
"AT1G02130",9.41,8.64,8.27,9.52,9.35,9.55,7.9,8.08,8.85
"AT1G02140",13.01,12.51,12.54,12.77,12.8,12.75,12.6,12.47,12.38
"AT1G02150",8.82,10.41,8.86,8.56,9.6,9.47,8.45,9.34,9.89
"AT1G02160",10.99,10.92,10.63,10.91,10.78,10.78,10.59,10.7,10.94
"AT1G02170",10.52,10.54,10.16,10.4,9.76,9.88,10.98,11.01,10.57
"AT1G02180",9.81,9.59,9.86,9.72,9.11,9.15,9.51,9.55,9.5
"AT1G02190",5.22,5.97,5.09,5.42,4.74,4.04,4.79,4.5,4.58
"AT1G02200",5.24,4.68,5.67,5.46,4.9,5.16,4.91,4.8,5.48
"AT1G02205",6.06,8.48,8.27,7.71,8.52,8.35,6.82,6.79,7.45
"AT1G02220",5.93,4.69,3.55,4.38,4.94,5.91,5.83,5.97,6.14
"AT1G02250",7.71,6.5,7.34,7.5,6.98,7.43,7.04,7.29,7.29
"AT1G02260",10.36,9.01,9.93,9.89,9.17,9.06,9.63,9.65,9.16
"AT1G02270",8.83,8.93,8.61,9.11,9.35,9.28,8.75,8.81,9.01
"AT1G02280",8.06,9.07,6.04,7.74,9.94,9.43,6.87,8.13,9.13
"AT1G02300",8.65,6.47,8.84,8.7,9.37,9.42,6.71,6.82,7.03
"AT1G02305",12.36,11.79,10.97,11.44,11.26,11.11,11.64,11.76,11.71
"AT1G02310",8.19,7.6,9.21,8.64,8.37,8.62,8.35,8.16,7.34
"AT1G02320",4.45,2.99,4.73,3.57,3.73,4.3,4.03,3.1,3.75
"AT1G02330",8.45,8.46,9.01,8.84,8.61,8.41,8.63,8.66,8.19
"AT1G02340",4.05,5.3,5.36,5.39,4.59,4.74,4.53,5.55,4.8
"AT1G02360",7.92,7.85,8.73,9.11,7.98,6.86,10.56,10.03,7.95
"AT1G02370",5.97,5.56,4.57,4.44,4.84,4.94,5.89,4.81,4.98
"AT1G02390",7.97,8.02,8.96,8.38,8.59,8.43,7.98,7.14,8.36
"AT1G02400",9.49,8.1,9.33,9.29,7.92,8.18,9.54,9.89,7.98
"AT1G02410",9.48,10.14,10.08,9.9,9.54,9.59,10.09,10.25,10.18
"AT1G02420",7.36,6.9,7.15,6.73,7.35,6.43,7.62,6.99,7.49
"AT1G02450",8.2,9.97,7.96,7.34,10.09,8.88,8.75,8.88,10.41
"AT1G02460",6.02,7.89,8.69,8.64,7.88,8.31,8.94,8.48,8.16
"AT1G02470",8.02,9.52,8.23,7.88,8.51,8.83,7,8.07,9.85
"AT1G02475",8.62,11.72,9.39,8.9,10.24,9.7,8.05,9.29,11.49
"AT1G02490",5.22,2.73,4.95,5.42,2.68,3.09,5.85,4.48,2.86
"AT1G02500",12.53,11.72,11.82,11.94,11.53,11.29,12.81,12.77,10.92
"AT1G02540",4.36,3.94,4.87,5.47,4.14,4.71,3.9,4.21,3.47
