"V12GSE19264_1","V12GSE19264_2","V12GSE19264_3","V12GSE19264_4","V12GSE19264_5","V12GSE19264_6","V12GSE19264_7","V12GSE19264_8","V12GSE19264_9"
"AT1G01010",5.21,6.01,5.56,5.67,6.01,6.76,6.04,6.15,5.82
"AT1G01030",4.74,5,4.22,4.87,5.4,4.09,3.86,4.05,4.64
"AT1G01040",6.86,7.1,7.54,6.9,7.15,6.71,7.36,7.22,7.48
"AT1G01050",11.51,11.61,11.42,11.54,11.62,11.56,11.43,11.49,11.45
"AT1G01060",4.81,6.15,4.55,7.11,6.95,6.8,12.14,12.21,12.05
"AT1G01070",5.23,4.26,4.16,4.51,4.57,4.18,6.8,6.46,5.89
"AT1G01080",10.63,10.74,10.42,10.51,10.46,10.25,9.92,9.69,10.09
"AT1G01090",12.31,12.3,12.24,12.11,12.16,11.9,12.17,12.15,12.32
"AT1G01100",12.9,12.87,12.92,12.71,12.78,12.69,13.06,12.82,13.18
"AT1G01110",3.39,4.41,4.81,3.78,3.87,4.43,3.51,2.86,2.99
"AT1G01120",11.14,11.25,10.95,11.12,11.2,11.35,11.31,11.46,11.53
"AT1G01130",3.12,2,4.4,3.33,3.63,2.13,3.5,2.5,3.72
"AT1G01140",10.61,10.68,10.96,10.75,10.79,10.95,11.11,11.26,11.21
"AT1G01150",2.27,3.58,3.59,5.32,3.11,4.75,2.96,3.64,4.52
"AT1G01160",7.89,8.2,8.27,8.15,8.04,8.17,8.15,8.27,8.46
"AT1G01170",11.44,11.61,11.5,11.52,11.46,11.54,11.03,11.3,11.19
"AT1G01180",4.85,4.19,5.89,4.58,5.51,5.7,5.32,5.4,5.52
"AT1G01190",4.28,2.24,4.32,3.04,2.93,2.54,5.28,5.03,5.55
"AT1G01200",5.48,4.51,4.75,3.51,5.58,4.23,3.83,3.98,3.68
"AT1G01220",8.93,8.85,8.88,8.68,8.59,8.58,8.09,7.82,8.26
"AT1G01225",7.18,7.29,6.85,7.04,6.92,6.69,6.97,6.8,6.67
"AT1G01230",9.65,9.62,9.77,9.59,9.6,9.77,9.51,9.54,9.55
"AT1G01240",8.84,8.59,9.41,7.98,8.1,8.94,9.16,9.44,9.24
"AT1G01250",6.93,6.94,6.93,6.7,6.18,6.74,5.95,6.52,6.36
"AT1G01260",8.24,7.9,7.31,7.86,8.21,7.7,7.99,8.09,7.95
"AT1G01280",1.26,2,1.85,1.83,1.07,1.67,1.39,1.03,2
"AT1G01290",7.9,7.85,7.87,7.86,7.87,7.88,8.21,8.07,7.99
"AT1G01300",10.88,10.7,10.41,10.38,10.59,10.35,9.93,9.6,9.33
"AT1G01310",1.9,0.9,1.6,1.21,1.1,1.53,1.2,1.46,1.9
"AT1G01320",11.61,11.7,11.34,11.59,11.53,11.6,11.6,11.48,11.74
"AT1G01330",9.05,9.2,8.34,9.24,9.05,9.15,9.12,8.84,9.19
"AT1G01340",7.69,7.61,8.01,7.97,8.08,8.35,7.68,8.02,7.34
"AT1G01360",9.32,9.4,9.31,9.48,9.31,9.54,9.34,9.19,8.95
"AT1G01370",6.22,5.9,5.74,6.16,5.83,6,5.74,5.74,5.78
"AT1G01390",6.04,6.26,6.16,6.69,6.46,6.23,6.69,6.73,6
"AT1G01410",3.29,3.86,4.4,3.63,4.14,3.5,3.68,4.61,3.84
"AT1G01420",6.84,6.89,7.31,7.54,7.24,7.8,8.05,7.66,7.6
"AT1G01430",10.39,10.53,10.5,10.3,10.3,10.41,10.86,10.79,10.95
"AT1G01440",8.17,8.06,7.93,8.07,8.03,7.93,8.29,7.97,8.13
"AT1G01450",4.13,5.31,4.77,4.53,3.03,5.06,3.44,4.47,4.27
