"V12GSE50526_1","V12GSE50526_10","V12GSE50526_2","V12GSE50526_3","V12GSE50526_4","V12GSE50526_5","V12GSE50526_6","V12GSE50526_7","V12GSE50526_8","V12GSE50526_9"
"AT1G01010",5.78,6.33,5.78,5.91,4.64,4.63,4.69,6.93,6.83,6.87
"AT1G01030",4.58,6.02,3.3,4.53,4.74,5.61,5.28,5.07,4.92,4.46
"AT1G01040",8.44,8.54,7.65,7.78,8.09,7.69,8.08,8.13,7.88,8.07
"AT1G01050",11.69,11.3,11.11,11.07,11.1,10.8,11.77,11.72,11.73,11.28
"AT1G01060",5.22,12.52,4.36,3.52,3.35,4.19,12.22,12.77,12.55,12.26
"AT1G01070",6.33,7.52,6.38,6.35,5.19,4.2,8.31,8.36,9.01,7.39
"AT1G01080",10.22,9.21,9.4,9.59,9.6,9.8,9.76,9.41,8.23,8.94
"AT1G01090",11.95,12.37,11.99,12.23,11.96,12.19,12.46,12.03,11.87,11.9
"AT1G01100",12.91,12.69,12.88,12.56,12.68,12.65,13.12,12.79,12.2,12.63
"AT1G01110",2.3,2.84,2.29,3.47,2.39,3.93,2.91,2.49,3.26,2.13
"AT1G01120",11.12,11.13,10.69,10.58,10.92,11.13,12.46,11.8,11.64,11.54
"AT1G01130",4.31,5.24,3.75,3.64,4.52,4.86,5.6,5.48,4.69,4.14
"AT1G01140",10.21,11.32,9.56,9.1,9.79,9.51,10.19,11.19,10.82,10.65
"AT1G01150",3.71,2.76,4.03,2.76,4.46,3.61,4.79,2.44,3.82,3.97
"AT1G01160",8.94,9.07,8.59,8.94,8.53,8.61,8.96,9.04,8.83,8.99
"AT1G01170",12.06,11.41,11.63,11.79,11.79,11.58,11.75,11.61,11.6,11.51
"AT1G01180",4.17,4.63,3.64,2.75,3.67,4.05,4.33,4.33,5.17,5.17
"AT1G01190",7.57,5.37,6.52,6.69,6.95,6.97,7.99,5.41,4.73,4.31
"AT1G01200",4.69,3.46,5.04,4.74,4.83,3.59,6.53,3.66,2.52,4.2
"AT1G01220",8.45,7.66,7.85,8.2,8.05,8.06,7.97,7.72,7.66,7.56
"AT1G01225",7.15,5.66,5.52,6.45,6.67,6.11,7,5.29,5.34,5.72
"AT1G01230",10.04,9.68,10.1,10.36,10.15,10.1,9.64,9.61,9.51,9.43
"AT1G01240",9.05,8.86,8.81,9.23,8.7,8.26,8.84,8.54,8.87,8.02
"AT1G01250",6.02,7.04,5.09,6.19,3.51,5.03,7.4,6.34,7.91,6.5
"AT1G01260",7.79,8.22,8.15,7.55,8.2,8.37,7.64,8.06,7.46,8
"AT1G01280",0.92,1.11,1,1.19,0.84,1.01,2.73,1.27,1.42,0.86
"AT1G01290",7.07,7.5,7.13,7.28,7.13,6.71,7.54,8.01,7.26,7.5
"AT1G01300",10.9,8.63,10.39,10.74,10.62,10.44,9.63,8.2,8.42,8.69
"AT1G01310",1.29,2.54,1.18,1.44,1.66,1.52,2.49,1.9,2.83,1.39
"AT1G01320",10.74,10.92,9.4,9.62,9.52,9.61,10.74,10.93,10.39,10.41
"AT1G01330",6.82,7.09,6.49,6.71,6.73,6.26,7.2,7.28,6.86,7.19
"AT1G01340",7.64,8.71,9.45,9.19,9.1,9.21,7.48,9.06,9.68,9.42
"AT1G01360",8.9,8.58,8.04,8.65,8.24,8.26,9.28,8.87,8.95,8.6
"AT1G01370",6.24,5.02,6.15,5.58,6,5.33,5.16,5.46,6.2,4.49
"AT1G01390",7.96,9.05,7.3,7.55,7.34,7.39,8.83,8.5,8.49,8.32
"AT1G01410",4.04,2.07,4.2,2.9,3.27,2.72,4.63,1.5,0.54,3.39
"AT1G01420",7.33,8.61,7.02,7.34,7.01,7.11,8.12,8.38,8.4,8.14
"AT1G01430",10.41,10.12,9.5,9.98,9.79,9.57,11.3,10.32,10,9.93
"AT1G01440",7.51,7.42,7.78,7.9,7.45,7.54,7.41,7.47,8.01,7.57
"AT1G01450",4.86,2.86,3.94,3.5,5.15,2.61,3.99,3.54,4.1,3.33
"AT1G01460",2.28,2.13,2.32,1.66,1.93,1.09,2.3,1.07,2.23,1.99
"AT1G01470",12.61,11.59,12.74,12.67,12.66,12.49,11.61,11.66,12.19,11.69
"AT1G01480",3.25,9.67,9.51,9,9.52,10.26,4.77,8.98,10.9,10.84
"AT1G01490",11.41,12.81,11.74,11.37,11.21,11.76,12.45,12.81,12.4,12.4
"AT1G01500",9.2,9.37,9.61,9.68,9.54,9.65,8.24,8.82,8.16,8.95
"AT1G01510",8.65,8.67,8.16,8.38,7.77,7.73,8.65,8.22,8.15,8.09
"AT1G01520",2.63,7.33,4.58,3.45,4.41,4.75,7.3,8,8.16,7.12
"AT1G01530",4.76,3.15,4.39,3.68,3.98,4.05,4.79,3.46,5.19,3.58
"AT1G01540",9.91,9.37,9.01,9.22,9.26,9.23,10.4,9.5,9.45,9.39
"AT1G01550",11.34,12.13,11.79,11.96,11.9,12.03,12,12,12.08,12.08
"AT1G01560",8.18,7.59,10.09,10.72,10.29,9.86,8.06,7.9,9.47,8.67
"AT1G01570",6.31,4.33,6.47,6.27,6,6.45,5.68,5.05,5.22,4.76
"AT1G01600",4.44,4.24,4.05,2.71,5.08,4.34,5.39,4.33,5.09,5.01
"AT1G01610",10.15,10.15,9.8,9.89,9.83,9.63,10.43,10.26,8.78,9.7
"AT1G01620",12.37,11.87,11.58,12.17,12.01,11.69,13.33,12.13,12.56,12.18
