"V12GSE7743_1","V12GSE7743_10","V12GSE7743_13","V12GSE7743_15","V12GSE7743_18","V12GSE7743_4","V12GSE7743_7"
"AT1G01010",6.63,6.98,5.38,7.2,6.44,6.69,6.36
"AT1G01030",6.1,6.37,5.28,6.39,5.73,6.68,6.12
"AT1G01040",7.96,8.28,8.18,8.1,8.06,8.09,8.34
"AT1G01050",12.13,11.8,11.63,12.15,11.82,11.83,11.54
"AT1G01060",10.68,9.36,10.03,9.09,9.4,9.05,9.62
"AT1G01070",6.87,7.45,7.46,7.77,7.45,7.54,7.65
"AT1G01080",10.77,10.01,10.46,9.99,10.44,9.92,10.41
"AT1G01090",12.53,12.05,12.24,12.18,12.33,11.95,12.31
"AT1G01100",13.86,13.45,13.57,13.59,13.42,13.46,13.44
"AT1G01110",4.41,5.65,5.45,3.74,5.26,4.29,5.89
"AT1G01120",10.1,10.78,10.32,10.83,11.05,10.57,10.26
"AT1G01130",5.05,4.04,4.74,2.5,4.87,4.1,4.21
"AT1G01140",8.95,9.61,9.6,9.98,10.05,9.53,9.98
"AT1G01150",4.47,1,4.79,3.23,3.89,4.47,4.21
"AT1G01160",8.12,8.8,8.82,8.7,8.82,8.95,8.73
"AT1G01170",11.35,11.43,11.69,11.24,11.58,11.56,11.84
"AT1G01180",4.43,5.53,3.96,4.58,3.81,5.19,4.42
"AT1G01190",4.85,3.46,4.8,3.16,6.2,4.25,2.94
"AT1G01200",6.65,5.7,5.7,5.31,4.56,5.76,6.01
"AT1G01220",8.55,8.21,8.6,8.53,8.76,8.46,8.74
"AT1G01225",7.13,7.37,7.4,6.51,6.92,6.75,7.1
"AT1G01230",9.21,9.34,9.44,9.38,9.83,9.36,9.49
"AT1G01240",5.31,8.21,8.41,7.44,8.12,7.27,8.19
"AT1G01250",7.33,7.38,6.46,6.58,6.14,7.32,5.84
"AT1G01260",7.54,7.59,7.58,7.16,7.72,7.75,7.72
"AT1G01280",0.78,0.75,2.46,0.59,1.54,0.87,0.85
"AT1G01290",8.25,8.31,8.01,8.08,8.17,7.91,8.27
"AT1G01300",10.44,9.76,10.12,9.14,10.34,9.4,10.24
"AT1G01310",2.15,0.65,0.79,0.94,0.82,1.08,1.34
"AT1G01320",11.48,11.31,11.17,11.38,11.17,11.39,11.17
"AT1G01330",8.83,9.08,8.87,8.91,8.74,9.1,8.93
"AT1G01340",6.49,4.92,5.98,5.94,5.75,5.89,6.15
"AT1G01360",8.2,8.59,8.91,9.1,8.95,8.52,8.79
"AT1G01370",7.22,6.38,6.9,6.6,6.66,6.47,6.88
"AT1G01390",7.27,5.75,6.16,5.83,6.06,5.04,6.1
"AT1G01410",1.78,4.99,1.54,3.17,1.95,4.53,5.22
"AT1G01420",8.66,7.74,7.11,7.78,7.77,7.55,7.5
"AT1G01430",9.67,9.79,10.87,9.7,11.18,9.39,10.74
"AT1G01440",6.87,7.02,7.48,6.94,7.53,6.99,7.51
