"GeneID","LowPh.Root.30","LowPh.Root.60","LowPh.Root.180","LowPh.Root.360","LowPh.Root.720","LowPh.Root.1440","LowPh.Root.2880"
"1","AT1G01010",7.88,8.64,8.8,8.56,9.14,9.24,9.15
"2","AT1G01030",3.01,2.37,3,1.9,2.54,4.68,4.05
"3","AT1G01040",7.58,7.72,8.03,8.23,8.49,8.27,8.23
"4","AT1G01050",11.89,11.75,11.36,11.37,11.25,11.59,11.34
"5","AT1G01060",7.62,9.13,8.62,7.41,10.98,7.19,7.28
"6","AT1G01070",9.27,8.93,9.21,9.02,9.86,9.97,9.59
"7","AT1G01080",6.73,6.44,6.52,6.55,6.54,6.47,6.9
"8","AT1G01090",12.78,12.74,12.71,12.39,12.42,12.16,12
"9","AT1G01100",13.89,13.75,13.62,13.7,13.67,13.67,13.9
"10","AT1G01110",6.92,7.23,6.71,6.97,6.8,6.74,7.3
"11","AT1G01120",10.36,11.18,11.15,10.78,11.41,11.18,10.8
"12","AT1G01130",3.88,5.63,4.15,4.54,6.04,3.88,4.81
"13","AT1G01140",7.96,8.45,7.44,6.66,7.3,6.98,7.3
"14","AT1G01150",4.32,2.45,3.96,4.14,4.37,2.42,3.5
"15","AT1G01160",8.38,8.81,8.79,8.75,9.12,8.75,8.78
"16","AT1G01170",9.34,9,9.07,9.12,9.04,9.32,9.49
"17","AT1G01180",4.03,3.85,5.08,4.01,4.66,5.06,4.84
"18","AT1G01190",5.09,4.84,5.3,5.22,7.34,7.73,8.59
"19","AT1G01200",6.42,6.73,6.68,6.87,6.98,6.85,6.86
"20","AT1G01220",8.21,8.59,8.24,8.21,8.36,8.53,8.32
"21","AT1G01225",7.1,7.22,7.3,7.25,6.81,6.96,6.97
"22","AT1G01230",10.06,10.2,10.59,10.23,9.82,9.59,9.6
"23","AT1G01240",7.98,7.84,7.88,8.04,7.66,8.62,8.59
"24","AT1G01250",1.97,3.26,1.19,2.5,3.26,3.27,1.64
"25","AT1G01260",7.76,8.17,8.13,7.89,8.2,8.07,8.04
"26","AT1G01280",1.23,2,1.74,1.1,2.12,1.19,1.04
"27","AT1G01290",8.05,8.3,8.16,8.08,8.44,8.87,9
"28","AT1G01300",10.32,10.34,9.79,10.09,9.55,9.7,9.95
"29","AT1G01310",1.78,1.25,1.06,0.74,0.62,1.18,1.98
"30","AT1G01320",7.67,7.76,7.87,7.56,7.44,7.03,7.34
"31","AT1G01330",5.11,5.23,5.09,4.18,4.95,3.75,5.51
"32","AT1G01340",7.18,7.46,7.48,7.9,9.09,8.79,8.96
"33","AT1G01360",9,9.3,9.52,9.65,10.06,9.57,9.55
"34","AT1G01370",7.34,7.19,6.89,6.54,6.42,6.55,7.09
"35","AT1G01390",3.38,4.75,4.38,4.33,2.98,3.86,3.29
"36","AT1G01410",3.47,3.72,2.29,1.66,3.85,2.18,2.08
"37","AT1G01420",6.42,7.25,7.53,7.63,7.4,6.84,6.91
"38","AT1G01430",9.4,9.55,9.34,9.18,8.77,9.04,8.85
"39","AT1G01440",7.86,7.81,7.61,7.86,7.89,7.88,7.92
"40","AT1G01450",2.13,2.96,4.89,2.69,4.29,2.57,3.87
"41","AT1G01460",1.46,0.84,0.92,1.12,1.98,1.92,0.75
"42","AT1G01470",12.58,12.74,13.03,12.83,11.44,12.55,12.28
"43","AT1G01480",6.15,5.39,4.23,5.08,6.8,5.8,6.41
"44","AT1G01490",10.91,10.66,11.38,11.41,11.85,11.42,11.39
"45","AT1G01500",8.31,8.32,8.37,8.67,8.81,8.91,8.88
"46","AT1G01510",9.72,9.77,9.75,9.75,9.76,9.8,9.75
"47","AT1G01520",1.54,2.08,4.56,3.79,2.2,0.69,2.38
"48","AT1G01530",3.03,3.27,4.29,2.58,1.38,3.42,2.8
"49","AT1G01540",9.42,9.47,9.34,9.2,8.7,8.83,8.91
"50","AT1G01550",11.51,11.36,11.07,11.3,11.63,11.66,11.71
"51","AT1G01560",5.89,5.53,5.7,5.69,7.33,7.61,9.01
"52","AT1G01570",7.07,6.87,7.24,7.08,6.89,6.2,6.55
"53","AT1G01600",7.02,7.29,7.86,7.17,8.47,8.06,7.68
"54","AT1G01610",10.66,11.22,11.27,11.05,11.3,10.47,10.07
"55","AT1G01620",12.62,12.45,12.21,12.17,11.66,11.44,11.23
"56","AT1G01630",10.3,10.11,10,10.38,10.34,10.22,9.98
"57","AT1G01640",9.07,8.75,8.8,9.38,9.61,9.7,9.83
"58","AT1G01650",9.62,9.63,9.22,9.46,9.45,9.46,9.64
"59","AT1G01660",4.5,5.55,3.62,5.17,4.71,5.12,4.88
"60","AT1G01670",5.04,5.11,5.55,5.92,5.46,6.41,5.92
"61","AT1G01690",4.38,4.96,4.3,5.04,4.97,5.03,4.99
"62","AT1G01700",1.15,1.69,2.23,2.6,3.22,3.75,4.57
"63","AT1G01710",8.37,8.15,8.68,8.58,9.07,9.1,8.82
"64","AT1G01720",10.39,10.68,10.61,10.61,10.75,10.79,10.88
"65","AT1G01725",7.17,6.91,6.91,7.68,8.31,8.52,8.46
"66","AT1G01730",9.02,9.07,9.11,9.49,9.68,9.66,9.59
"67","AT1G01740",6.78,6.2,6.5,6.79,6.53,6.87,6.8
"68","AT1G01750",10.39,10.47,10.25,10.46,8.75,7.42,7.84
"69","AT1G01760",4.84,5.23,3.33,2.88,4,4.34,2.92
"70","AT1G01770",6.75,6.55,7.35,7.51,8.03,8.13,7.7
"71","AT1G01780",8.8,8.57,9.36,9.14,8.18,8,8.1
"72","AT1G01790",7.32,7.79,8.02,7.34,7.5,7.22,7.55
"73","AT1G01800",11.12,11.25,11.18,11.16,11.73,11.65,11.5
"74","AT1G01820",9.34,9.05,9.29,9.98,9.85,10.29,10.01
"75","AT1G01830",6.63,6.62,6.98,7.09,7.15,6.83,6.84
"76","AT1G01840",5.86,6.68,6.17,5.29,6.28,6.11,6.7
"77","AT1G01860",6.31,6.52,6.1,6.71,6.54,6.27,6.7
"78","AT1G01900",6.13,6.52,6.12,6.3,5.99,7.46,5.56
"79","AT1G01910",10.32,10.37,10.3,10.18,9.91,10.13,10.17
"80","AT1G01920",6.54,6.64,6.57,6.41,6.58,6.92,6.9
"81","AT1G01930",7.84,7.94,8.38,8.16,8.12,7.91,8.19
"82","AT1G01940",9.66,9.43,9.43,9.5,9.06,9.43,9.55
"83","AT1G01950",7.96,8.01,7.55,7.92,7.99,7.85,7.89
"84","AT1G01960",10.25,10.15,10.25,10.29,10.14,10.12,10.06
"85","AT1G01970",7.19,7.53,7.23,7.11,7.45,7.7,7.58
"86","AT1G01980",1.76,1.52,2.55,1.35,1.02,2.93,2.19
"87","AT1G01990",8.16,7.3,7.93,8.24,8.1,8.18,8.18
"88","AT1G02000",7.68,8.18,8.49,8.08,7.88,7.45,7.16
"89","AT1G02020",6.77,6.9,6.8,6.96,7.21,7.07,6.99
"90","AT1G02050",6.39,5.84,6.25,6.16,5.73,6.62,6.54
"91","AT1G02060",4.7,4.59,5.92,6.21,5.51,6.05,6.25
"92","AT1G02070",3.4,2.56,4.32,3.09,4.68,3.16,3.69
"93","AT1G02080",10.52,10.73,10.78,10.88,10.93,10.93,10.85
"94","AT1G02090",9.29,9.68,9.67,9.57,9.36,9.09,9.21
"95","AT1G02100",9.25,9.31,9.21,9.1,9.32,9.41,9.36
"96","AT1G02110",7.88,7.89,7.97,8.13,8.37,8.16,8.01
"97","AT1G02120",9.21,9.61,9.66,9.71,10.08,9.93,9.86
"98","AT1G02130",10.22,10.09,10.48,10.48,10.2,10.22,10.07
"99","AT1G02140",11.94,11.87,11.92,11.91,11.76,11.75,11.88
"100","AT1G02150",9.11,8.91,8.73,9.06,8.68,9.16,9.18
"101","AT1G02160",9.87,9.87,9.94,10.02,9.91,10.15,10.22
"102","AT1G02170",9.69,9.8,9.96,9.91,10.18,10.05,10.07
"103","AT1G02180",7.11,6.58,7.05,6.88,6.7,6.84,7.13
"104","AT1G02190",3.23,3.6,1.5,2.55,3.19,3.81,2.84
