"GeneID","StdPh.Root.30","StdPh.Root.60","StdPh.Root.180","StdPh.Root.360","StdPh.Root.720","StdPh.Root.1440","StdPh.Root.2880"
"1","AT1G01010",8.05,7.97,8.29,8.24,9.37,8.5,9.06
"2","AT1G01030",3.01,3.44,2.76,1.61,4.66,3.29,3.82
"3","AT1G01040",7.38,8.13,8.38,8.12,7.9,7.88,8.38
"4","AT1G01050",11.96,11.75,11.6,11.79,11.78,11.41,11.08
"5","AT1G01060",7.96,8.98,8.72,7.56,10.38,6.57,7.94
"6","AT1G01070",9.18,9.36,9.28,9.06,9.59,9.38,9.87
"7","AT1G01080",6.77,6.51,6.47,6.94,6.58,6.96,6.42
"8","AT1G01090",12.59,12.59,12.7,12.63,12.45,12.01,12.17
"9","AT1G01100",13.82,13.76,13.79,13.82,13.59,13.76,13.62
"10","AT1G01110",7.06,7.36,7.19,6.85,7.11,6.93,7.58
"11","AT1G01120",10.54,10.93,10.89,10.46,11.34,10.31,10.88
"12","AT1G01130",4.88,4.5,5.99,3.76,5.12,4.97,6.24
"13","AT1G01140",8.41,8.55,7.49,7.09,6.55,6.44,7.45
"14","AT1G01150",3.39,4.03,2.83,4,3.19,4.09,3.71
"15","AT1G01160",8.58,8.66,9.05,9.08,9.14,9.17,9.2
"16","AT1G01170",9.18,8.78,8.7,9.01,9.43,9.88,9.75
"17","AT1G01180",1.84,4.41,4.47,5.68,4.34,5.72,4.65
"18","AT1G01190",5.94,5.05,5.33,6.02,6.03,7.43,8.99
"19","AT1G01200",6.7,6.75,6.37,6.87,7.39,6.04,6.72
"20","AT1G01220",8.51,8.39,8.51,8.41,8.54,8.4,8.04
"21","AT1G01225",7.2,7.57,7.59,7.27,6.91,7.18,7.31
"22","AT1G01230",10.12,10.29,10.41,10.36,10.05,10.27,9.98
"23","AT1G01240",8.15,8.05,7.82,7.92,7.5,8.61,8.51
"24","AT1G01250",3.24,2.54,2.68,1.98,4.99,1.98,3.51
"25","AT1G01260",8.12,8.26,8.27,7.95,8.21,7.58,8.16
"26","AT1G01280",1.3,1.28,1.52,0.55,2.17,3.45,2.39
"27","AT1G01290",8.33,8.43,8.14,8.11,8.07,7.84,8.68
"28","AT1G01300",10.37,10.12,10.35,10.32,9.89,9.8,9.9
"29","AT1G01310",1,1.21,0.55,0.91,1.28,0.68,1.96
"30","AT1G01320",7.58,7.47,7.4,7.26,7.46,7.96,7.39
"31","AT1G01330",5,4.76,4.76,4.73,4.89,5.42,5.95
"32","AT1G01340",7.28,7.24,7.63,7.48,8.36,8.95,8.88
"33","AT1G01360",9.02,9.3,9.41,9.32,9.38,9.84,10.13
"34","AT1G01370",7.25,7.12,7.06,6.98,6.86,6.55,6.84
"35","AT1G01390",1.03,4.88,3.95,3.18,4.46,4.85,2.67
"36","AT1G01410",2.13,3.73,4.14,4.65,4.01,2.78,1.81
"37","AT1G01420",7.05,7.62,8.05,7.54,8,7.54,6.96
"38","AT1G01430",9.52,9.75,9.58,9.69,9.56,9.21,8.73
"39","AT1G01440",7.92,7.67,7.48,7.46,7.68,7.64,8.05
"40","AT1G01450",3.85,3.98,3.03,3.15,3.44,4.31,4.64
"41","AT1G01460",1.47,2.55,2.08,3.54,1.48,3.24,3.02
"42","AT1G01470",12.63,12.73,13.29,12.56,11.62,12.72,12.35
"43","AT1G01480",6.2,4.29,5.7,5.65,6.07,5.38,4.79
"44","AT1G01490",11.12,10.81,10.91,10.93,11.11,11.04,11.16
"45","AT1G01500",8.32,8.16,8.3,8.45,8.21,8.37,8.79
"46","AT1G01510",9.52,9.77,9.55,9.58,9.89,9.68,9.77
"47","AT1G01520",2.73,2.04,3.94,1.92,1.76,2.98,1.04
"48","AT1G01530",0.91,2.74,3.02,3.04,4.24,4.33,2.77
"49","AT1G01540",9.16,9.35,9.15,9.14,9.07,9.04,8.66
"50","AT1G01550",11.46,11.41,11.26,11.32,11.56,11.53,11.78
"51","AT1G01560",5.46,4.53,5.44,5.85,6.61,6.19,8.88
"52","AT1G01570",6.87,7.01,7.21,6.54,7.13,6.53,6.34
"53","AT1G01600",7.31,7.7,7.15,6.84,7.78,7.29,8.01
"54","AT1G01610",10.78,11.21,11.19,10.3,11.1,9.92,10.16
"55","AT1G01620",12.59,12.59,12.66,12.59,12.63,12.53,11.75
"56","AT1G01630",10.07,10.34,10.38,10.28,10.22,10.4,10.16
"57","AT1G01640",9.07,8.9,8.62,9.03,9.5,10.29,10.36
"58","AT1G01650",9.84,9.54,9.34,9.38,9.71,9.68,9.45
