"GeneID","Nacl.RootCortex.60","Nacl.RootCortex.180","Nacl.RootCortex.480","Nacl.RootCortex.1200","Nacl.RootCortex.1920","Nacl.RootCortex.2880"
"1","AT1G01010",10.39,10.09,9.41,9.25,8.72,9.4
"2","AT1G01030",3.99,3.29,3.21,5.09,4.32,4.25
"3","AT1G01040",7.66,7.34,6.91,7.41,7.16,7.46
"4","AT1G01050",11.3,11.24,11.18,11.26,11.47,11.33
"5","AT1G01060",8.05,6.75,7.26,7.96,7.12,8.49
"6","AT1G01070",6.77,6.87,5.52,6.01,3.42,5.19
"7","AT1G01080",5.48,5.62,4.69,5.68,5.58,5.66
"8","AT1G01090",11.5,11.62,11.68,11.79,12.15,11.77
"9","AT1G01100",12.85,13.07,13.13,13.49,13.85,13.46
"10","AT1G01110",6.89,6.18,5.7,6.96,6.96,6.27
"11","AT1G01120",11.02,10.84,10.74,9.37,8.22,9.52
"12","AT1G01130",6.19,4.77,4.27,4.22,3.4,5.18
"13","AT1G01140",11.47,10.59,11.02,10.17,10.14,10.26
"14","AT1G01150",2.26,2.94,2.62,2.87,0.93,2.72
"15","AT1G01160",8.1,7.95,8.23,8.25,8.27,8.2
"16","AT1G01170",7.32,6.95,7.96,8.07,7.82,8.71
"17","AT1G01180",3.62,4.59,3.13,3.93,3.54,3.8
"18","AT1G01190",2.45,2.7,1.82,2.51,1.7,2.41
"19","AT1G01200",5.7,5.02,5.55,6.3,6.33,6.88
"20","AT1G01220",8.15,8.4,8.3,8.12,8.31,8.23
"21","AT1G01225",5.42,5.75,5.96,6.13,5.41,5.05
"22","AT1G01230",10.89,10.72,10.71,10.63,10.57,10.59
"23","AT1G01240",9.63,8.01,8.46,8.09,8.07,8
"24","AT1G01250",1.81,3.38,1.76,3.89,3.14,3.62
"25","AT1G01260",7.35,7.92,8.07,8.31,8.07,8.18
"26","AT1G01280",2.13,1.4,1.41,2.41,-0.22,1.83
"27","AT1G01290",5.87,6.87,6.41,6.95,7.13,6.75
"28","AT1G01300",9.81,9.22,9.53,9.64,9.66,9.53
"29","AT1G01310",1.04,0.57,1.35,0.89,1.03,1.12
"30","AT1G01320",6.01,5.74,7.04,6.51,5.79,7.05
"31","AT1G01330",5.29,5.3,5.02,5.17,5.53,5.58
"32","AT1G01340",8.46,8.07,7.98,7.78,7.31,8.3
"33","AT1G01360",9.91,9.73,9.13,9.13,8.73,8.96
"34","AT1G01370",5.19,5.29,5.79,6.34,6.53,6.19
"35","AT1G01390",1.3,3.69,3.25,1.85,3.28,3.91
"36","AT1G01410",3.84,1.82,1.01,2.87,3.29,3.67
"37","AT1G01420",3.95,4.45,5.38,3.76,4.12,3.14
"38","AT1G01430",8.6,8.97,8.27,8.58,8.66,8.94
"39","AT1G01440",7.32,7.62,7.26,7.56,7.16,7.3
"40","AT1G01450",3.53,3.35,3.63,4,3.1,3.91
"41","AT1G01460",3.08,2.95,1.87,2.53,1.76,3.1
"42","AT1G01470",14.25,14.04,14.1,13.74,13.56,13.55
"43","AT1G01480",8.57,8.07,8.1,7.45,7.29,7.6
"44","AT1G01490",10.74,10.43,10.48,10.4,10.37,10.44
"45","AT1G01500",8.1,7.74,7.99,8.19,7.85,7.84
"46","AT1G01510",9.29,9.19,9.27,9.24,9.51,9.17
"47","AT1G01520",4.7,2.86,4.36,3.14,2.31,3.23
"48","AT1G01530",1.71,1.27,3.1,3.1,2.84,2.93
"49","AT1G01540",8.64,9.1,8.97,8.89,9.04,8.58
"50","AT1G01550",11.89,11.83,11.94,11.83,11.61,11.77
"51","AT1G01560",6.47,7.11,7.82,7.7,7.37,7.51
"52","AT1G01570",7,6.93,6.99,6.77,6.8,6.63
"53","AT1G01600",4.75,4.84,6.6,3.21,3.1,3.29
"54","AT1G01610",3.28,6.99,8.03,3.22,2.45,2.92
"55","AT1G01620",13.66,13.17,11.43,12.38,12.77,13.05
"56","AT1G01630",10.23,10.45,10.3,10.26,10.53,10.56
"57","AT1G01640",6.99,6.62,6.83,6.59,5.56,6.15
"58","AT1G01650",11.37,10.68,10.68,10.44,10.08,10.41
"59","AT1G01660",5.39,3.72,5.73,6.18,4.91,4.92
"60","AT1G01670",5.73,5.48,5.6,5.78,5.17,6.45
"61","AT1G01690",5.97,4.94,4.99,5.29,4.76,4.19
"62","AT1G01700",2.08,1.67,1.32,1.84,1.06,1.88
"63","AT1G01710",8.02,7.72,7.34,7.62,7.43,8.1
"64","AT1G01720",13.52,13.04,12.96,12.5,12.19,12.18
"65","AT1G01725",5.98,6.42,6.54,6.61,6.76,7.34
"66","AT1G01730",7.88,8.15,8.33,8.26,8.38,8.27
"67","AT1G01740",5.77,5.88,5.65,5.76,6.23,5.69
"68","AT1G01750",9.69,10.85,11.25,11.1,10.33,10.22
"69","AT1G01760",2.28,4.86,4.44,4.03,4.67,3.37
"70","AT1G01770",8.03,7.3,7.9,7.66,7.08,7.48
"71","AT1G01780",7.65,7.84,7.59,8.46,7.71,7.61
"72","AT1G01790",7.2,7.42,7.14,7.1,7.29,7.16
"73","AT1G01800",12,11.86,12.17,12.22,12.21,12.27
"74","AT1G01820",9.07,9.26,9.6,9.49,9.33,9.82
"75","AT1G01830",7.87,6.77,6.77,6.81,7.14,7.21
"76","AT1G01840",4.37,5.42,5.84,6.09,6.11,5.96
"77","AT1G01860",5.77,5.63,5.79,5.71,5.79,6.35
"78","AT1G01900",5.17,5.09,5.89,5.18,3.48,4.69
"79","AT1G01910",10.14,10.22,10.25,10.22,10.36,9.87
"80","AT1G01920",6.53,6.08,6.63,6.78,6.68,6.45
"81","AT1G01930",8.14,7.76,7.99,8.15,7.83,7.45
"82","AT1G01940",8.42,8.17,8.51,9.05,9.2,8.81
"83","AT1G01950",7.79,8.08,8.02,7.86,8.03,7.78
"84","AT1G01960",9.98,9.96,10.11,9.97,10.09,9.93
"85","AT1G01970",6.09,6.13,6.27,6.68,6.51,6.04
"86","AT1G01980",3.14,2,2.22,1.88,0.97,2.75
"87","AT1G01990",7.63,7.32,7.62,7.85,7.45,7.46
"88","AT1G02000",10.1,9.15,9.11,9.34,9.01,9.24
"89","AT1G02020",6.45,6.71,6.39,6.39,6.15,6.1
"90","AT1G02050",2.71,4.31,3.27,4.91,3.59,4.06
"91","AT1G02060",2.47,2.49,4.47,4.49,4.48,4.01
"92","AT1G02070",4.42,1.22,3.98,3.72,3.92,2.27
"93","AT1G02080",10.61,10.58,10.69,10.6,10.4,10.43
"94","AT1G02090",9.12,8.95,9.14,9.15,8.97,8.99
"95","AT1G02100",8.72,8.54,8.97,8.67,8.63,8.75
"96","AT1G02110",7.02,6.62,6.4,7.01,7.06,7.38
"97","AT1G02120",9.39,9.4,9.61,9.44,8.87,9.26
"98","AT1G02130",9.13,9.21,9.36,9.46,9.67,9.61
"99","AT1G02140",11.02,11.16,11.03,11.19,11.56,11.2
"100","AT1G02150",7.05,6.97,7.35,7.35,7.29,7.06
"101","AT1G02160",8.84,9.11,9.36,9.4,9.86,9.49
"102","AT1G02170",10.3,10.41,10.68,10.48,10.24,10.52
"103","AT1G02180",5.68,5.7,5.46,5.6,5.64,6.02
"104","AT1G02190",3.16,3.08,3.3,3.95,2.62,3.83
"105","AT1G02200",4.52,1.59,1.78,2.23,2.36,2.29
"106","AT1G02205",7.66,6.61,5.12,5.43,5.68,7
"107","AT1G02220",8.81,8.1,8.61,8.37,7.26,7.68
"108","AT1G02250",5,3.75,3.1,2.96,3.98,4.71
"109","AT1G02260",8.73,8.52,8.82,8.85,8.97,9.11
"110","AT1G02270",11.34,10.95,10.55,10.48,10.4,10.82
"111","AT1G02280",7.46,7.43,7.04,7.21,7.72,7.51
"112","AT1G02300",4.51,4.85,3.83,4.94,4.31,5.03
"113","AT1G02305",11.4,11.29,10.97,10.88,10.72,11.12
"114","AT1G02310",10.65,8.96,9.65,9.7,9,10.42
"115","AT1G02320",2.18,2.94,0.73,1.72,2,1.24
"116","AT1G02330",9.1,8.99,9.25,9.2,9.35,9.1
"117","AT1G02340",9.34,7.24,7.77,7.9,7.56,7.75
"118","AT1G02360",9.75,12.15,12.46,12.28,11.85,12.09
"119","AT1G02370",4.55,5.29,5.69,6.23,6.8,6.08
"120","AT1G02390",7.92,8.34,8.11,7.88,7.38,7.13
"121","AT1G02400",11.9,11.44,11.18,10.46,10.4,11.06
"122","AT1G02410",9.87,9.79,9.84,9.61,9.75,9.53
"123","AT1G02420",5.29,5.45,5.86,5.06,5.26,5.48
"124","AT1G02450",4.65,5.41,4.05,5.33,4.18,4.28
"125","AT1G02460",6.42,6.82,6.37,6.14,5.72,5.52
"126","AT1G02470",4.7,4.68,4.52,5.41,4.55,5.35
"127","AT1G02475",6.34,7.35,7.59,7.45,7.41,7.68
"128","AT1G02490",2.85,4.38,3.07,4.12,3.1,4.13
"129","AT1G02500",13.3,13.06,12.97,12.76,12.79,12.73
"130","AT1G02540",2.06,2.43,2.9,3.24,1.16,2.94
"131","AT1G02550",3.51,4.02,3.26,3.72,2.69,4.32
"132","AT1G02560",9.58,9.84,10.01,9.98,10.31,10.21
"133","AT1G02570",5.28,5.66,5.82,5.46,5.23,5.72
"134","AT1G02580",4.55,3.61,3.43,3.48,4.76,3.23
"135","AT1G02620",4.8,5.37,5.59,4.87,5.31,5.13
"136","AT1G02640",6.77,5.89,5.84,6.41,6.3,5.73
"137","AT1G02660",8.84,7.47,7.77,7.56,7.51,7.88
"138","AT1G02670",3.51,3.81,4.86,5.27,4.69,4.22
"139","AT1G02680",7.44,7.3,7.56,7.57,7.93,7.83
"140","AT1G02690",7.12,7.06,7.28,8.07,8.34,7.39
"141","AT1G02700",4.67,4.39,4.75,6.06,5.77,4.94
"142","AT1G02710",4.23,5.67,4.18,4.22,5.84,4.19
"143","AT1G02720",6.98,6.68,6.43,6.38,6.79,6.53
"144","AT1G02730",5.52,6.32,6.28,7.02,7.52,6.48
"145","AT1G02740",5.59,5.82,6.61,5.6,6.33,6.37
"146","AT1G02750",8.99,8.84,9.07,9.15,8.76,9.28
"147","AT1G02780",12.99,13.2,13.48,13.75,13.95,13.65
"148","AT1G02790",3.16,2.68,3.87,3.33,1.9,2.62
"149","AT1G02800",2.01,1.98,1.81,2.46,2.71,1.9
"150","AT1G02810",9.37,10.71,10.66,10.81,10.92,10.73
"151","AT1G02813",5.2,4.96,4.83,5.22,5.09,5.69
"152","AT1G02816",11.45,10.73,10.54,10.54,10.93,10.71
"153","AT1G02820",5.32,6.06,4.16,5.41,5.08,4.82
"154","AT1G02830",3.82,3.74,2.44,3.2,4.18,2.92
"155","AT1G02840",10.58,10.39,10.4,10.54,10.64,10.39
"156","AT1G02850",11.96,11.53,11.49,11.33,11.23,11.5
"157","AT1G02860",8.78,8.64,8.37,8.86,8.41,8.96
"158","AT1G02870",8.03,8.75,8.76,9.57,9.91,9.26
"159","AT1G02890",10.75,10.38,10.45,10.1,9.78,10.1
"160","AT1G02900",12.27,12.41,11.8,11.33,11.65,11.86
"161","AT1G02910",7.5,7.39,7.19,7,6.71,7.05
"162","AT1G02940",4.27,3.47,3,4.68,3.89,4.28
"163","AT1G02950",2.04,1.59,3.68,3.53,4.22,3.85
"164","AT1G02960",7.07,6.99,7.35,7.67,7.63,7.52
"165","AT1G02970",5.6,5.33,5.39,6.36,6.78,5.94
"166","AT1G02980",5.9,5.34,5.62,5.22,4.62,5.41
"167","AT1G03000",7.69,7.58,7.44,7.42,7.87,7.76
"168","AT1G03010",4.03,2.56,1.77,3.3,1.42,1.72
"169","AT1G03020",2.91,2.28,3.31,2.15,3.2,3.17
"170","AT1G03030",7.95,7.84,8.31,8.26,8.03,7.97
"171","AT1G03040",9.93,9.12,8.64,8.29,8.33,8.26
"172","AT1G03050",3.26,3.31,2.49,2.89,2.59,3.36
"173","AT1G03055",3.51,5.05,3.5,2.39,3.8,3.71
"174","AT1G03060",8.74,8.59,8.62,8.43,8.26,8.2
"175","AT1G03070",8.29,8.46,8.47,9.2,8.06,7.98
"176","AT1G03080",9.28,9.06,8.95,9.18,8.82,9.21
"177","AT1G03090",10.11,8.44,8.97,9.57,9.58,10.19
"178","AT1G03100",5.06,5.17,5.85,5.81,5.81,5.88
"179","AT1G03110",7.29,7.69,7.86,8.16,8.35,7.86
"180","AT1G03130",7.86,7.67,7.81,7,6.8,7.07
"181","AT1G03150",8.66,8.82,8.94,9.06,9.17,9.05
"182","AT1G03160",5.62,5.89,6.08,6.26,6.03,5.83
"183","AT1G03170",3.5,2.82,1.43,2.87,3.17,1.88
"184","AT1G03180",7.36,7.18,7.34,7.4,7.36,7.39
"185","AT1G03190",7.91,7.79,7.88,8.09,7.75,7.92
"186","AT1G03210",9.49,8.89,8.89,9.51,9.56,10.2
"187","AT1G03250",8.15,8.15,8.15,8.37,8.41,8.4
"188","AT1G03260",8.33,8.64,8.81,8.63,8.65,8.58
"189","AT1G03270",5.85,5.58,6.16,6.39,6.45,6.22
"190","AT1G03280",8.64,8.54,8.56,8.83,8.68,8.64
"191","AT1G03290",9.31,8.96,9.01,8.96,8.87,9.12
"192","AT1G03300",4.78,4.34,3.28,5.06,2.69,4.38
"193","AT1G03310",5.73,6.04,6.03,4.9,6.22,5.91
"194","AT1G03320",2.82,2.96,4.55,3.76,4.84,3.37
"195","AT1G03330",10.36,10.45,10.42,10.57,10.63,10.63
"196","AT1G03350",9.88,9.93,9.77,9.84,9.9,9.73
"197","AT1G03360",6.79,7.15,7.38,8.03,8.3,7.36
"198","AT1G03370",9.54,9.36,9.62,9.62,8.97,9.35
"199","AT1G03380",7.91,7.86,7.91,7.81,7.57,7.94
"200","AT1G03390",2.6,3.62,5,3.19,3.08,3.38
"201","AT1G03400",3.88,4.09,4.3,2.78,2.66,5.11
"202","AT1G03410",5.6,5.72,6.25,6.66,6.84,7.15
"203","AT1G03420",8.44,8.32,8.32,8.92,9.53,9.07
"204","AT1G03430",6.8,7.5,7.53,8,7.96,8.11
"205","AT1G03440",4.76,5.26,5.24,5.63,4.98,4.55
"206","AT1G03445",4.83,5.55,5.67,4.91,4.8,4.6
"207","AT1G03457",7.14,7.48,7.09,7.01,7.23,7.34
"208","AT1G03470",6.65,4.48,5.81,6.27,6.34,6.34
"209","AT1G03475",7.16,7.31,7.35,7.53,7.23,7.19
"210","AT1G03490",4.2,3.96,3.92,2.99,2.92,2.49
"211","AT1G03510",3.39,4.35,3.4,4.52,4.1,3.37
"212","AT1G03520",9.16,8.52,8.63,8.36,8.15,8.55
"213","AT1G03530",6.52,7.28,7.06,7.52,7.73,7.18
"214","AT1G03540",1.65,2.55,2.6,4.15,4.37,4.04
"215","AT1G03550",7.74,8.34,8.31,8.44,7.95,8.11
"216","AT1G03560",6.01,5.68,6.06,6.18,6.32,5.66
"217","AT1G03590",10.25,10.23,10.24,10.31,10.2,9.98
"218","AT1G03600",8.97,8.46,8.8,8.61,8.68,8.88
"219","AT1G03610",9.92,9.86,10.45,10.42,10.19,10.08
"220","AT1G03620",4.7,4.94,4.38,3.68,4.6,3.4
"221","AT1G03630",5.09,3.12,4.86,2.92,4.85,3.28
"222","AT1G03660",5.57,6.32,5.8,6.89,6.26,6.37
"223","AT1G03675",7.27,7.19,7.59,7.65,7.45,7.56
"224","AT1G03687",6.46,6.16,6.33,6.82,6.52,6.19
"225","AT1G03700",4.19,5.26,6.66,4.78,4.14,2.34
"226","AT1G03710",3.31,2.67,1.57,2.62,2.47,3.66
"227","AT1G03720",1.58,1.16,1.46,1.28,1.23,1.13
"228","AT1G03730",8.68,8.7,9.11,9.22,8.97,9.13
"229","AT1G03740",7.93,8.1,8.62,8.37,7.84,8.1
"230","AT1G03750",7.4,7.67,7.66,7.42,7.17,7.26
"231","AT1G03760",6.09,6.11,6.66,6.51,6.77,6.84
"232","AT1G03770",4.99,5.32,6.26,6.07,6.38,5.76
"233","AT1G03780",3.11,3.93,5.2,5.78,6.55,4.43
"234","AT1G03790",11.07,9.03,9.76,9.4,8.49,8.57
"235","AT1G03820",5,5.02,6.71,5.59,3.1,4.79
"236","AT1G03830",4.95,5.5,5.48,5.4,6.23,5.7
"237","AT1G03840",5,6.9,4.8,7.09,7.38,6.78
"238","AT1G03850",9.57,10.12,10.63,10.4,9.61,10.12
"239","AT1G03860",9.92,10.26,10.36,10.79,10.83,10.49
"240","AT1G03870",10.67,13.49,11.64,12.03,12.92,12.72
"241","AT1G03880",2.49,3.16,4.21,3.33,2.79,3.9
"242","AT1G03890",2.69,2.48,2.2,3.82,1.99,2.11
"243","AT1G03900",11.32,11.36,11.4,11.47,11.51,11.36
"244","AT1G03905",9.49,8.97,8.44,8.86,8.67,8.85
"245","AT1G03910",10.15,9.99,9.89,9.88,9.75,9.55
"246","AT1G03920",9.63,9.22,8.7,7.99,8.43,8.5
"247","AT1G03950",8.6,8.67,9.04,8.98,8.51,8.82
"248","AT1G03960",5.74,5.5,5.58,5.47,5.97,5.84
"249","AT1G03970",9.81,9.69,9.65,9.62,9.5,9.8
"250","AT1G03980",5.19,5.92,4.63,5.87,6.09,5.68
"251","AT1G03990",4.95,4.88,4.21,5.41,3.94,4.42
"252","AT1G04000",7.94,7.44,7.43,7.35,7.38,7.39
"253","AT1G04010",6.85,6.83,7.03,7.42,6.79,6.83
"254","AT1G04020",7.03,7.25,7.16,7.17,7.66,6.99
"255","AT1G04030",3.83,4.55,4.56,4.81,4.76,4.53
"256","AT1G04040",11.96,12.83,12.79,12.39,12.28,12.64
"257","AT1G04050",4.68,5.31,5.03,6.03,5.98,5.38
"258","AT1G04060",2.11,2.12,1.57,2.36,3.05,1.96
"259","AT1G04070",7.3,7.07,7.62,7.71,7.8,7.89
"260","AT1G04080",10,9.87,10,10.25,10.34,10.22
"261","AT1G04090",4.58,3.57,4.44,4.83,4.69,3.96
"262","AT1G04100",7.44,8.09,8.16,7.8,7.55,7.71
"263","AT1G04110",4.89,4.09,4.34,4.3,3.88,2.56
"264","AT1G04120",10.5,9.92,9.93,9.47,9.07,9.28
"265","AT1G04130",7.14,7.45,7.52,8.2,7.8,7.73
"266","AT1G04140",9.66,9.58,9.72,9.59,9.77,9.64
"267","AT1G04150",5.04,5.37,5.72,5.69,5.2,5.74
"268","AT1G04160",7.98,8.53,8.48,8.4,8.13,7.92
"269","AT1G04170",9.59,9.98,9.93,10.18,10.37,10.07
"270","AT1G04180",7.9,7.89,7.55,7.11,7.25,6.92
"271","AT1G04190",8.96,9.12,8.85,9.57,9.91,9.51
"272","AT1G04200",9.3,9.45,9.68,9.49,9.69,9.29
"273","AT1G04220",6.35,7.59,8.15,2.74,3.2,4.55
"274","AT1G04230",7.86,7.97,8.2,8.02,8.12,7.89
"275","AT1G04240",6.39,6.27,5.66,6.22,6.75,6.37
"276","AT1G04250",12.66,12.71,12.22,12.17,12.53,12.33
"277","AT1G04260",8.56,8.57,8.59,8.77,8.65,8.61
"278","AT1G04270",12.16,12.68,12.83,13.26,13.43,12.93
"279","AT1G04290",8.87,9.2,9.4,9.37,9.77,9.36
"280","AT1G04300",10.06,9.75,9.7,9.68,9.55,9.67
"281","AT1G04310",8.11,6.72,7.01,6.59,6.76,6.55
"282","AT1G04330",2.18,1.84,2.16,2.18,2.43,2.08
"283","AT1G04340",9.4,9.74,9.65,10,10.32,9.94
"284","AT1G04350",5.78,6.05,4.94,5.38,4.94,4.93
"285","AT1G04360",5.51,6.47,6.25,6.17,6.61,5.46
"286","AT1G04380",3.83,4.7,4.58,4.29,3.94,3.47
"287","AT1G04390",6.22,5.63,5.98,6.07,6.13,5.94
"288","AT1G04400",12.07,11.17,11.2,10.91,10.97,11.11
"289","AT1G04410",14.29,14.28,14.15,13.99,14.25,14.24
"290","AT1G04420",6.34,6.29,6.46,6.44,5.95,5.42
"291","AT1G04430",10.95,11.73,11.32,11.39,11.84,11.44
"292","AT1G04440",10.94,10.55,10.87,10.72,10.41,10.9
"293","AT1G04470",2.63,1.96,1.83,0.12,0.79,0.19
"294","AT1G04480",11.51,11.88,11.93,12.38,12.71,12.23
"295","AT1G04490",8.31,6.97,7.59,7.19,6.9,7.23
"296","AT1G04500",1.82,2.98,2.91,2.76,2.86,3.44
"297","AT1G04510",8.58,8.79,8.87,9.12,9.21,8.71
"298","AT1G04520",7.88,7.62,7.63,8.22,8.93,8.37
"299","AT1G04530",9.17,8.65,8.79,8.53,8.64,8.71
"300","AT1G04540",5.17,3.56,3.59,4.96,4.61,5.24
"301","AT1G04550",4.72,5.09,3.37,4.79,4.76,5.26
"302","AT1G04560",9.35,7.83,6.28,6.32,5.71,6.57
"303","AT1G04590",7.75,8.02,8.01,8.54,8.7,8.24
"304","AT1G04600",4.96,4.24,4.13,4.4,4.6,4.73
"305","AT1G04610",8.94,9.76,9.47,9.4,9.96,9.62
"306","AT1G04620",5.1,4.72,5.46,5.74,5.48,4.8
"307","AT1G04630",2.54,0.66,1.09,1.72,3.85,2.97
"308","AT1G04640",4.75,5.75,6.27,6.02,7.04,6.4
"309","AT1G04645",2.33,3.23,3.76,3.41,3.53,2.79
"310","AT1G04650",3.95,5.06,4.23,4.9,4.72,5.12
"311","AT1G04660",5.56,3.88,3.52,3.85,3.85,2.98
"312","AT1G04670",-0.32,2.07,3.84,3.64,4.55,2.22
"313","AT1G04680",10.17,10.64,10.51,10.4,10.59,10.37
"314","AT1G04690",11.67,11.7,11.79,11.73,12.03,11.8
"315","AT1G04700",7.77,7.9,8.03,7.89,7.59,7.45
"316","AT1G04710",6.58,6.94,7.03,6.66,6.96,6.95
"317","AT1G04730",5.8,6.11,6.08,6.25,6.5,6.05
"318","AT1G04750",11.2,11.38,11.35,11.24,11.52,11.32
"319","AT1G04760",4.44,5.26,5.46,5.48,5.41,3.86
"320","AT1G04770",10.76,10.12,9.94,10.1,9.84,9.9
"321","AT1G04780",10.24,9.6,9.83,9.63,9.66,9.62
"322","AT1G04790",7.12,6.96,7.34,7.18,7.22,7.34
"323","AT1G04800",6.94,6.74,5.55,5.75,5.47,6.11
"324","AT1G04810",10.28,10.13,9.95,9.58,9.91,9.72
"325","AT1G04820",12.13,12.08,11.77,12.03,12.52,12.33
"326","AT1G04830",10.15,9.38,9.45,9.41,9.28,9.16
"327","AT1G04840",4.29,2.43,1.05,2.95,4.61,3.6
"328","AT1G04850",11.01,11.22,11.22,11.17,11.24,11.01
"329","AT1G04860",8.3,8.01,8.16,8.2,8.17,8.17
"330","AT1G04870",8.63,9.26,9.28,10,10.39,9.87
"331","AT1G04880",3,4.94,4.41,5.15,4.4,4.94
"332","AT1G04900",6.65,7.05,7.15,7.69,7.79,7.24
"333","AT1G04910",9.31,9.54,9.31,9.34,9.55,9.37
"334","AT1G04920",2.46,2.78,2.66,2.5,3.08,2.76
"335","AT1G04930",6.68,6.48,6.57,6.4,6.36,6.16
"336","AT1G04940",4.81,5.73,5.98,6.63,6.73,6.24
"337","AT1G04950",7.12,6.95,7.25,7.09,7.28,7.3
"338","AT1G04960",10.69,10.56,10.72,10.53,10.51,10.76
"339","AT1G04970",9.98,9.93,10.11,9.86,9.33,9.64
"340","AT1G04980",8.65,8.48,9.09,9.09,8.95,8.79
"341","AT1G04985",9.14,8.77,9.36,9.23,9.11,9.14
"342","AT1G04990",9.45,9.44,9.26,9.06,9.35,9.24
"343","AT1G05000",6.83,7.82,7.52,7.12,7.32,7.49
"344","AT1G05010",10.74,11.65,11.79,11.76,11.69,11.29
"345","AT1G05020",5.51,5.91,5.95,5.94,5.02,5.35
"346","AT1G05030",8.58,8.18,8.22,8.14,8.11,8.35
"347","AT1G05040",3.9,3.63,1.78,3.03,2.78,4.22
"348","AT1G05050",7.31,7.75,7.84,7.99,8.27,7.84
"349","AT1G05060",6.77,7.18,7.69,7.91,7.44,7.67
"350","AT1G05070",8.37,7.99,8.32,8.61,8.65,8.31
"351","AT1G05100",11.23,10.08,10.35,10.28,9.8,10.12
"352","AT1G05120",7.45,7.34,7.41,7.58,7.12,7.2
"353","AT1G05130",3.03,2.85,3.58,2.66,3.77,4.36
"354","AT1G05140",7.11,6.42,6.7,6.56,6.53,7.21
"355","AT1G05150",7.72,8.18,7.5,7.97,7.93,7.81
"356","AT1G05160",7.11,6.74,6.46,6.61,6.76,6.41
"357","AT1G05170",9.6,8.91,9.03,9.15,9.18,8.9
"358","AT1G05180",9.56,9.63,9.55,9.6,9.84,9.78
"359","AT1G05190",6.83,6.4,6.44,6.07,6.58,6.25
"360","AT1G05200",5.9,6.6,6.82,6.91,7.17,6.75
"361","AT1G05205",10.58,10.76,10.65,10.66,11.01,10.89
"362","AT1G05210",9.59,9.65,9.97,10.02,10.47,10.24
"363","AT1G05230",5.68,5.42,6.09,5.72,5.94,5.92
"364","AT1G05260",13.7,12.9,10.96,11.19,10.43,12.28
"365","AT1G05270",8.21,7.96,7.73,8.04,8.1,7.86
