GeneID,Nacl.RootEndoderm.60,Nacl.RootEndoderm.180,Nacl.RootEndoderm.480,Nacl.RootEndoderm.1200,Nacl.RootEndoderm.1920,Nacl.RootEndoderm.2880
AT1G01010,9.78,9.84,9.22,9.38,9.93,9.76
AT1G01030,4.1,3.31,2.38,3.55,3.71,2.85
AT1G01040,8.65,8.23,8.09,7.9,7.87,8.18
AT1G01050,11.24,11.18,11.18,11.06,11.14,11.24
AT1G01060,7.99,8.0,7.85,8.52,8.4,8.18
AT1G01070,8.32,9.17,7.32,6.9,7.17,7.19
AT1G01080,6.32,4.17,6.11,4.25,6.14,6.15
AT1G01090,11.92,13.05,12.66,12.37,11.85,11.85
AT1G01100,12.11,12.6,12.77,13.34,13.2,13.09
AT1G01110,7.38,7.33,7.32,7.65,7.71,8.0
AT1G01120,13.53,13.66,13.53,12.62,11.7,12.08
AT1G01130,7.38,6.59,6.17,6.46,6.22,5.97
AT1G01140,10.55,10.14,10.19,9.67,10.71,11.0
AT1G01150,2.8,2.43,3.28,1.62,2.65,3.11
AT1G01160,8.78,9.21,8.75,9.16,9.04,9.12
AT1G01170,6.55,6.84,7.28,6.66,6.64,6.81
AT1G01180,5.71,5.2,3.66,2.76,4.78,4.6
AT1G01190,1.93,2.47,2.82,3.08,2.15,2.95
AT1G01200,6.99,6.5,6.79,6.86,5.45,6.19
AT1G01220,7.85,7.98,7.77,7.58,7.67,7.87
AT1G01225,6.5,6.72,6.94,6.79,5.74,6.01
AT1G01230,10.86,10.59,10.65,10.74,10.8,10.99
AT1G01240,9.33,8.42,7.85,7.47,8.3,8.24
AT1G01250,3.57,3.72,3.42,3.89,2.59,1.31
AT1G01260,8.12,8.27,8.57,8.23,7.72,7.49
AT1G01280,2.42,2.13,0.81,1.76,0.21,0.5
AT1G01290,5.94,6.64,7.04,7.16,7.11,7.04
AT1G01300,7.72,7.82,8.35,8.31,8.76,9.0
AT1G01310,2.77,2.33,3.16,2.72,1.67,1.72
AT1G01320,4.56,5.32,5.59,4.58,4.69,5.1
AT1G01330,4.93,5.73,5.54,5.0,4.18,5.33
AT1G01340,9.44,9.33,9.38,9.07,8.47,8.79
AT1G01360,9.61,8.5,8.98,8.83,8.93,8.66
AT1G01370,5.82,5.6,5.52,6.24,6.31,6.15
AT1G01390,4.3,3.6,4.26,4.14,4.87,4.56
AT1G01410,4.18,3.65,3.6,3.04,2.25,3.72
AT1G01420,5.46,4.2,2.55,1.73,2.56,3.78
AT1G01430,7.42,7.33,7.47,7.97,8.0,7.4
AT1G01440,7.73,7.67,7.55,7.61,7.23,7.36
AT1G01450,4.8,4.69,4.24,2.48,1.91,2.62
AT1G01460,3.12,2.84,2.85,3.55,3.01,4.65
AT1G01470,14.07,13.41,13.37,13.0,13.13,12.97
AT1G01480,10.42,9.18,9.34,9.22,8.34,8.0
AT1G01490,11.08,11.02,11.26,11.08,10.78,11.08
AT1G01500,9.02,8.68,8.42,8.95,8.59,8.59
AT1G01510,8.36,8.42,8.5,8.7,8.8,8.93
AT1G01520,4.71,2.13,4.24,1.23,3.78,2.08
AT1G01530,4.32,2.42,4.52,3.51,3.91,2.61
AT1G01540,8.2,8.48,8.82,8.94,8.82,8.59
AT1G01550,12.81,12.72,12.76,12.64,12.36,12.41
AT1G01560,6.82,7.11,7.85,7.15,6.61,6.84
AT1G01570,8.52,7.87,8.7,8.19,7.11,7.1
AT1G01600,5.34,8.32,8.1,7.22,5.98,5.07
AT1G01610,8.68,11.71,11.49,9.63,7.21,8.09
AT1G01620,13.8,12.46,11.82,12.9,13.23,13.29
AT1G01630,10.28,9.82,9.56,9.73,9.99,10.0
AT1G01640,6.7,6.91,7.11,7.32,7.02,6.77
AT1G01650,10.62,10.34,10.17,10.17,9.98,10.49
AT1G01660,3.93,3.2,4.63,4.49,2.43,2.29
AT1G01670,5.29,5.95,5.8,5.69,5.63,6.0
AT1G01690,6.7,5.33,5.47,3.55,5.01,5.29
AT1G01700,2.35,4.2,3.79,4.11,0.79,2.02
AT1G01710,8.77,8.59,8.35,8.81,8.44,8.51
AT1G01720,13.8,13.28,13.02,12.28,12.91,12.62
AT1G01725,6.15,6.89,6.45,6.65,6.85,6.43
AT1G01730,8.02,8.6,8.62,8.64,8.45,8.66
AT1G01740,5.75,6.14,6.27,6.13,6.14,6.63
AT1G01750,10.19,9.21,9.3,9.21,9.16,8.06
AT1G01760,4.94,3.58,2.65,3.8,4.32,4.24
AT1G01770,7.31,8.15,7.42,7.54,7.94,8.29
AT1G01780,7.46,7.36,7.47,7.65,7.88,7.59
AT1G01790,8.05,7.65,7.53,7.26,7.47,7.39
AT1G01800,11.09,11.28,11.54,11.93,12.08,12.05
AT1G01820,8.9,9.31,9.41,9.63,9.59,9.96
AT1G01830,7.41,7.19,7.24,7.49,7.38,7.22
AT1G01840,5.61,5.61,4.71,6.36,5.78,6.04
AT1G01860,5.34,6.49,5.87,6.57,6.85,6.7
AT1G01900,6.04,5.51,5.61,5.7,5.71,5.26
AT1G01910,9.9,10.06,10.05,10.08,10.29,10.23
AT1G01920,4.85,6.0,6.4,5.6,6.89,6.03
AT1G01930,7.91,8.06,7.73,7.63,8.02,7.87
AT1G01940,7.89,8.53,8.62,9.41,9.63,9.44
AT1G01950,8.11,8.29,8.12,8.2,7.92,7.99
AT1G01960,9.55,9.52,9.49,9.54,9.62,9.49
AT1G01970,6.52,6.8,6.58,7.06,7.1,7.16
AT1G01980,2.77,3.36,3.37,3.06,2.24,2.47
AT1G01990,8.24,8.12,8.34,8.13,8.48,8.13
AT1G02000,9.68,9.36,9.32,9.48,9.33,9.19
AT1G02020,7.79,7.37,7.42,6.81,7.19,7.3
AT1G02050,1.64,2.34,1.62,4.0,2.58,0.93
AT1G02060,2.82,2.17,4.72,3.17,3.67,1.27
AT1G02070,3.4,1.59,3.28,3.27,3.9,2.35
AT1G02080,10.77,10.69,10.58,10.54,10.44,10.52
AT1G02090,9.34,9.34,9.57,9.53,9.81,9.49
AT1G02100,8.13,8.93,8.65,8.93,8.93,8.79
AT1G02110,6.74,7.05,7.25,7.34,6.75,6.9
AT1G02120,9.72,9.93,9.91,9.85,9.58,9.71
AT1G02130,9.29,9.43,9.51,9.6,9.85,9.82
AT1G02140,11.48,11.53,11.33,11.35,11.47,11.38
AT1G02150,7.05,7.48,7.3,7.44,7.13,7.14
AT1G02160,8.41,8.93,9.11,9.29,9.26,9.27
AT1G02170,10.99,11.64,11.33,11.06,10.68,10.9
AT1G02180,6.3,6.4,5.4,5.48,6.06,5.87
AT1G02190,4.97,4.68,3.1,4.2,2.24,3.64
AT1G02200,3.66,3.32,4.75,5.24,6.54,5.38
AT1G02205,8.53,7.59,8.19,8.45,9.15,8.5
AT1G02220,8.81,9.56,8.91,8.93,8.54,9.08
AT1G02250,5.48,2.92,4.09,3.47,3.97,3.57
AT1G02260,7.31,7.96,8.05,8.0,7.73,8.15
AT1G02270,11.42,10.63,10.47,10.67,10.86,10.58
AT1G02280,7.4,7.97,7.48,7.71,7.97,7.86
AT1G02300,5.12,5.14,4.56,3.03,3.49,2.68
AT1G02305,11.95,11.1,11.52,11.45,11.62,11.57
AT1G02310,10.05,9.47,9.89,8.94,8.63,8.4
AT1G02320,3.96,3.26,2.87,3.75,2.18,1.77
AT1G02330,9.27,9.24,9.48,9.58,9.48,9.48
AT1G02340,8.2,6.96,6.72,6.27,6.87,5.86
AT1G02360,10.39,11.98,12.85,12.22,11.59,11.94
AT1G02370,3.53,4.93,5.87,6.02,5.58,6.09
AT1G02390,6.14,6.33,6.9,5.88,6.02,5.65
AT1G02400,13.11,12.01,12.13,11.02,11.07,10.67
AT1G02410,10.06,10.36,10.2,10.12,10.11,9.98
AT1G02420,6.6,6.75,6.81,6.75,5.97,6.57
AT1G02450,5.78,5.27,4.5,3.67,5.61,5.43
AT1G02460,7.71,7.15,7.08,6.68,6.11,6.46
AT1G02470,5.51,5.77,5.87,5.24,5.34,5.38
AT1G02475,4.77,6.3,6.78,6.78,6.92,7.41
AT1G02490,3.91,4.12,4.79,3.49,4.08,3.23
AT1G02500,14.75,14.38,14.34,14.43,13.95,13.93
AT1G02540,5.16,2.76,3.12,2.46,1.51,4.2
AT1G02550,3.88,2.29,3.94,2.34,2.78,3.21
AT1G02560,9.47,10.08,9.91,10.12,10.33,10.24
AT1G02570,6.2,6.01,6.16,5.89,6.38,5.95
AT1G02580,3.46,3.94,3.72,3.75,2.78,4.2
AT1G02620,5.86,5.34,5.66,4.69,4.53,4.74
AT1G02640,7.0,6.39,6.52,6.52,7.1,6.68
AT1G02660,8.88,7.88,7.76,7.74,7.71,7.49
AT1G02670,4.44,5.34,4.59,4.36,4.65,4.71
AT1G02680,7.97,8.02,7.71,7.58,7.92,8.09
AT1G02690,7.06,7.5,7.14,7.58,7.96,7.69
AT1G02700,4.98,4.47,4.78,5.8,4.8,4.91
AT1G02710,6.8,5.23,5.58,6.73,6.04,5.65
AT1G02720,6.68,6.46,6.34,6.08,6.83,6.89
AT1G02730,5.24,4.83,5.16,6.31,6.88,6.15
AT1G02740,5.51,6.2,5.43,6.53,6.83,6.68
AT1G02750,10.42,10.29,10.5,10.78,10.31,10.41
AT1G02780,12.35,12.66,12.89,13.41,13.3,13.27
AT1G02790,4.85,3.03,3.09,4.44,3.63,1.65
AT1G02800,3.39,3.05,3.48,2.46,2.76,3.34
AT1G02810,7.98,7.63,8.9,8.95,9.09,8.49
AT1G02813,8.13,6.79,7.12,8.22,6.41,6.79
AT1G02816,11.06,10.18,10.43,10.09,10.55,10.66
AT1G02820,5.28,5.41,4.6,5.2,6.03,5.55
AT1G02830,5.49,4.76,4.75,2.13,5.3,2.28
AT1G02840,10.38,10.57,10.24,10.58,10.56,10.6
AT1G02850,10.34,11.15,10.94,10.88,11.02,11.89
AT1G02860,8.33,8.37,8.17,8.17,8.27,8.32
AT1G02870,7.87,8.66,9.11,9.71,9.5,9.32
AT1G02890,11.18,11.11,10.84,10.68,10.45,10.44
AT1G02900,13.64,13.82,13.95,13.55,13.4,13.36
AT1G02910,7.89,8.19,8.26,7.58,7.13,7.57
AT1G02940,3.82,4.63,5.09,2.26,4.21,4.52
AT1G02950,3.97,5.39,5.2,5.43,4.25,3.59
AT1G02960,7.03,6.63,7.07,7.12,7.46,7.46
AT1G02970,5.37,5.62,5.62,5.66,6.3,6.07
AT1G02980,7.34,7.41,7.07,5.02,6.03,5.26
AT1G03000,7.96,7.56,7.68,7.84,7.6,8.01
AT1G03010,4.6,1.62,1.08,3.22,1.69,3.37
AT1G03020,3.56,4.45,3.47,3.0,2.99,1.95
AT1G03030,7.9,8.14,7.96,7.7,8.36,8.24
AT1G03040,11.59,10.77,10.76,10.68,10.43,10.48
AT1G03050,3.81,4.93,5.1,3.26,3.71,3.31
AT1G03055,4.24,3.22,5.56,5.31,3.84,4.21
AT1G03060,8.63,8.74,8.58,8.35,8.24,8.19
AT1G03070,8.49,8.2,8.47,8.8,8.05,7.53
AT1G03080,9.77,9.78,9.04,9.37,9.47,9.75
AT1G03090,9.85,9.31,8.78,9.73,9.96,10.66
AT1G03100,6.13,6.43,5.83,6.43,5.66,5.7
AT1G03110,5.39,7.0,7.44,7.81,7.96,7.83
AT1G03130,6.38,6.51,6.22,6.53,5.85,5.99
AT1G03150,8.53,8.77,8.55,8.87,8.89,9.04
AT1G03160,6.15,5.85,6.26,6.87,6.78,6.63
AT1G03170,3.86,3.56,3.97,3.36,4.98,2.35
AT1G03180,7.06,7.48,7.36,7.09,7.72,7.32
AT1G03190,8.62,8.6,8.17,8.31,8.18,8.51
AT1G03210,9.11,8.99,8.93,9.31,8.83,9.32
AT1G03250,8.48,8.68,8.76,8.76,8.8,8.58
AT1G03260,8.12,8.49,8.66,8.93,8.72,8.54
AT1G03270,5.65,4.93,6.06,6.0,5.92,5.69
AT1G03280,9.01,8.99,8.95,9.06,8.88,8.94
AT1G03290,9.58,9.45,9.29,9.11,8.93,9.08
AT1G03300,5.83,4.89,5.02,5.2,2.76,4.29
AT1G03310,3.91,5.74,5.45,5.14,4.64,5.02
AT1G03320,2.64,3.79,4.32,4.62,4.32,3.63
AT1G03330,10.35,10.62,10.63,10.72,10.7,10.68
AT1G03350,9.99,10.15,9.98,10.1,9.94,10.0
AT1G03360,5.77,6.67,7.45,7.87,7.76,7.4
AT1G03370,8.97,9.48,9.56,9.53,9.15,8.98
AT1G03380,8.15,8.78,8.38,8.17,8.37,8.54
AT1G03390,2.64,1.93,2.65,2.38,2.98,2.65
AT1G03400,4.26,4.81,3.85,4.23,3.62,4.07
AT1G03410,5.89,6.03,5.23,6.0,6.09,4.71
AT1G03420,7.25,7.22,7.51,8.57,8.28,8.22
AT1G03430,7.04,7.76,8.37,9.04,8.39,8.18
AT1G03440,5.41,5.57,5.99,5.48,5.91,5.63
AT1G03445,4.83,5.38,5.85,3.64,4.43,5.22
AT1G03457,6.76,6.3,6.46,6.41,6.07,6.36
AT1G03470,5.74,6.12,5.23,5.7,4.96,5.56
AT1G03475,7.15,7.94,7.63,8.39,7.97,8.2
AT1G03490,3.77,3.37,3.36,1.93,4.54,2.62
AT1G03510,4.46,3.14,3.52,5.28,4.49,4.86
AT1G03520,9.22,8.76,8.64,8.38,8.64,8.66
AT1G03530,7.04,7.02,7.42,7.78,7.35,7.44
AT1G03540,3.64,3.7,3.92,4.42,2.59,2.89
AT1G03550,8.36,7.82,7.63,7.41,7.67,8.01
AT1G03560,6.2,5.72,5.54,6.21,5.51,6.1
AT1G03590,9.23,9.62,9.88,10.04,10.14,9.91
AT1G03600,7.32,7.62,8.12,7.98,8.4,8.37
AT1G03610,9.67,10.1,10.31,10.13,10.54,10.33
AT1G03620,3.94,4.26,5.0,4.87,4.5,3.61
AT1G03630,3.52,4.31,4.41,4.46,2.89,2.9
AT1G03660,6.01,4.76,5.01,5.28,4.35,4.53
AT1G03675,5.55,6.49,7.12,7.26,7.35,7.56
AT1G03687,6.31,6.53,6.51,6.37,6.57,6.47
AT1G03700,7.7,9.51,9.23,8.26,6.22,6.73
AT1G03710,3.47,3.02,2.74,1.66,3.33,3.9
AT1G03720,3.21,2.96,3.24,3.18,1.35,1.8
AT1G03730,8.88,8.4,8.99,9.09,9.12,9.03
AT1G03740,7.9,8.95,8.83,8.94,8.45,8.43
AT1G03750,7.98,8.01,7.96,7.76,7.61,7.7
AT1G03760,7.25,7.18,7.02,7.51,7.29,7.59
AT1G03770,5.53,6.47,5.91,6.9,6.85,6.81
AT1G03780,4.65,3.14,4.37,6.19,6.01,6.2
AT1G03790,10.33,10.48,9.97,9.35,10.68,10.63
AT1G03820,6.24,6.35,6.97,5.79,5.15,5.82
AT1G03830,4.99,4.48,5.66,5.16,5.13,5.34
AT1G03840,4.31,5.89,6.2,7.58,6.32,6.37
AT1G03850,10.61,11.62,11.5,11.17,10.79,11.47
AT1G03860,9.64,10.03,10.02,10.55,10.33,10.24
AT1G03870,9.59,9.19,10.11,10.88,11.02,10.83
AT1G03880,3.42,4.23,1.78,2.27,3.04,3.15
AT1G03890,2.41,2.41,2.24,1.24,1.39,1.42
AT1G03900,10.7,11.04,11.13,11.13,11.42,11.38
AT1G03905,9.85,9.51,9.45,9.3,9.29,9.5
AT1G03910,10.64,10.22,10.11,9.78,10.1,10.22
AT1G03920,12.51,11.05,11.65,11.51,10.31,10.44
AT1G03950,8.62,8.98,8.73,9.09,9.19,9.01
AT1G03960,6.45,7.38,6.6,6.05,6.42,6.56
AT1G03970,10.03,9.78,9.66,9.58,9.35,9.25
AT1G03980,6.16,5.94,6.23,6.46,6.34,5.72
AT1G03990,3.95,5.71,4.72,4.52,5.49,4.36
AT1G04000,8.92,8.73,8.47,8.56,8.27,8.49
AT1G04010,6.23,6.91,6.69,6.42,6.67,6.56
AT1G04020,5.92,4.12,6.5,6.91,6.78,6.04
AT1G04030,5.45,4.05,5.25,5.89,4.7,4.89
AT1G04040,12.71,11.99,12.51,12.21,12.84,12.85
AT1G04050,5.53,6.06,6.4,6.31,6.27,6.97
AT1G04060,2.45,2.98,3.34,2.36,2.94,2.05
