GeneID,Nacl.RootEpiderm.60,Nacl.RootEpiderm.180,Nacl.RootEpiderm.480,Nacl.RootEpiderm.1200,Nacl.RootEpiderm.1920,Nacl.RootEpiderm.2880
AT1G01010,8.55,8.03,7.63,7.69,7.26,7.61
AT1G01030,1.73,4.11,3.47,2.79,4.02,4.66
AT1G01040,6.23,6.71,6.54,6.81,6.8,6.39
AT1G01050,11.64,11.81,12.01,11.76,11.81,11.72
AT1G01060,4.48,5.3,4.54,4.6,5.64,5.81
AT1G01070,3.95,4.45,2.77,1.2,1.25,2.35
AT1G01080,5.39,3.93,5.05,5.61,5.24,5.6
AT1G01090,11.38,11.9,11.74,11.78,12.0,11.69
AT1G01100,13.44,13.86,13.82,13.93,14.13,14.18
AT1G01110,6.66,7.07,6.57,6.59,7.09,7.54
AT1G01120,9.51,8.72,7.91,8.52,7.71,8.46
AT1G01130,6.29,3.2,3.08,3.32,3.19,5.05
AT1G01140,11.49,10.21,10.34,10.6,8.29,9.28
AT1G01150,3.66,2.8,2.16,2.86,2.4,3.51
AT1G01160,8.19,9.2,8.96,9.19,9.48,9.37
AT1G01170,4.31,5.74,5.77,5.95,6.34,6.76
AT1G01180,4.01,3.78,3.78,2.66,4.41,2.96
AT1G01190,2.82,3.4,2.38,2.13,1.52,2.39
AT1G01200,6.64,5.62,5.96,6.1,6.07,5.87
AT1G01220,8.39,8.8,8.6,8.56,8.33,8.17
AT1G01225,6.08,5.97,6.07,6.3,6.4,6.51
AT1G01230,10.72,10.62,10.7,10.93,10.29,10.66
AT1G01240,9.31,8.94,8.45,8.95,8.9,8.8
AT1G01250,3.02,1.56,3.6,3.08,0.85,2.0
AT1G01260,7.48,7.9,8.03,7.85,8.35,8.17
AT1G01280,1.33,0.79,0.52,1.15,0.73,1.64
AT1G01290,6.67,7.0,7.46,7.0,7.94,7.59
AT1G01300,10.09,9.79,10.15,10.12,10.11,9.65
AT1G01310,0.61,1.17,1.69,1.44,1.14,2.72
AT1G01320,5.1,5.37,4.64,5.37,5.88,5.65
AT1G01330,5.13,5.16,4.61,5.33,4.96,5.45
AT1G01340,5.0,5.54,3.9,4.16,5.17,5.82
AT1G01360,9.54,9.2,9.23,9.08,9.45,8.98
AT1G01370,6.47,6.2,6.73,6.64,7.21,7.29
AT1G01390,3.57,2.86,1.52,2.52,4.38,4.11
AT1G01410,2.88,3.56,3.64,3.35,1.86,3.34
AT1G01420,3.81,3.57,2.61,3.21,4.94,1.61
AT1G01430,7.14,7.28,6.82,7.25,7.97,7.04
AT1G01440,7.33,7.27,7.13,7.31,7.03,7.15
AT1G01450,2.31,3.25,3.3,3.64,1.23,2.42
AT1G01460,1.57,2.1,1.23,3.32,1.99,2.89
AT1G01470,14.51,14.69,14.53,14.33,14.24,14.44
AT1G01480,6.66,6.34,6.17,6.02,6.65,7.42
AT1G01490,11.23,11.17,11.18,11.25,11.32,11.51
AT1G01500,8.42,8.81,8.58,8.68,8.7,8.51
AT1G01510,9.6,9.63,9.78,9.63,9.54,9.71
AT1G01520,3.13,2.55,3.42,2.12,4.25,1.2
AT1G01530,2.08,1.34,0.68,2.6,1.18,1.92
AT1G01540,8.86,8.89,8.91,8.47,8.82,8.5
AT1G01550,11.78,11.88,11.72,11.65,11.99,11.8
AT1G01560,6.64,6.92,7.06,7.13,6.88,7.68
AT1G01570,7.08,7.41,7.44,6.56,7.14,6.61
AT1G01600,1.71,3.45,4.98,3.11,4.28,3.73
AT1G01610,1.93,2.46,2.59,1.52,1.86,1.99
AT1G01620,12.87,11.09,10.55,10.98,10.67,10.89
AT1G01630,10.3,9.9,10.49,10.39,10.44,10.22
AT1G01640,6.58,6.24,6.7,6.39,6.88,6.66
AT1G01650,11.22,11.09,10.58,10.41,10.18,9.8
AT1G01660,5.96,3.8,3.8,5.5,2.58,4.79
AT1G01670,5.31,5.18,5.35,5.38,4.95,3.62
AT1G01690,5.34,5.26,5.38,4.52,5.41,4.69
AT1G01700,2.62,2.63,2.36,3.73,2.98,2.89
AT1G01710,7.11,6.73,6.51,6.93,7.08,7.0
AT1G01720,13.81,13.51,13.62,12.88,13.1,13.05
AT1G01725,5.94,6.03,6.37,6.01,6.16,6.81
AT1G01730,8.25,8.5,8.57,8.71,8.57,8.87
AT1G01740,6.26,5.92,6.33,6.41,6.53,6.76
AT1G01750,11.12,9.84,10.61,10.82,9.54,9.46
AT1G01760,4.17,4.73,5.09,5.79,4.45,5.99
