"GeneID","Nacl.RootStele.60","Nacl.RootStele.180","Nacl.RootStele.480","Nacl.RootStele.1200","Nacl.RootStele.1920","Nacl.RootStele.2880"
"1","AT1G01010",10.21,10.68,9.67,9.51,10.09,9.62
"2","AT1G01030",2.98,3.76,3,1.38,2.05,2.36
"3","AT1G01040",8.29,8.51,8.26,7.74,7.77,7.55
"4","AT1G01050",11.27,11.27,11.39,11.24,11.41,11.4
"5","AT1G01060",7.52,7.66,7.13,6.8,7.83,7.95
"6","AT1G01070",10.56,10.87,9.2,8.02,8.19,8.04
"7","AT1G01080",5.17,5.73,5.62,5.53,4.66,5.83
"8","AT1G01090",10.69,11.56,11.59,11.08,11.34,11.5
"9","AT1G01100",12.96,12.75,12.93,12.89,12.94,13.36
"10","AT1G01110",5.83,5.57,5.69,6.47,6.99,6.94
"11","AT1G01120",11.14,11.85,11.63,10.32,10.08,9.77
"12","AT1G01130",5.85,4.56,4.07,3.5,3.67,4.23
"13","AT1G01140",10.8,10.49,10.89,11.07,10.42,10.17
"14","AT1G01150",3.76,3.64,4.16,3.05,2.81,2.99
"15","AT1G01160",8.98,9.08,8.37,8.48,9.01,8.94
"16","AT1G01170",7.08,7.02,7.55,7.14,7.11,7.65
"17","AT1G01180",3.93,1.99,3.64,3.64,3.15,1.7
"18","AT1G01190",3.17,2.24,2.3,2.1,2.06,2.3
"19","AT1G01200",6.13,5.41,6.14,6.14,6.5,5.89
"20","AT1G01220",7.93,8.3,8.21,8.11,7.88,7.87
"21","AT1G01225",6.01,6.25,6.44,5.86,5.87,6.31
"22","AT1G01230",10.81,10.61,10.45,10.85,10.63,10.47
"23","AT1G01240",9.59,9.17,9.57,8.92,8.99,8.54
"24","AT1G01250",2.49,2.87,4.02,2.16,2.12,3.18
"25","AT1G01260",7.78,7.91,8.25,7.94,7.92,7.85
"26","AT1G01280",0.25,-0.21,0.47,0.27,0.75,0.29
"27","AT1G01290",6.74,6.7,6.83,6.84,6.82,7.01
"28","AT1G01300",7.86,7.66,9.22,9.27,8.73,9.16
"29","AT1G01310",1.34,1.04,1.21,0.92,1.45,1.39
"30","AT1G01320",5.51,4.98,5.6,3.71,5.47,4.86
"31","AT1G01330",5.18,3.84,5,4.34,3.89,5.57
"32","AT1G01340",8.21,8.4,7.77,7.17,7.47,7.78
"33","AT1G01360",9.47,8.78,9.15,9.42,9.11,9.2
"34","AT1G01370",5.37,5.59,5.17,6.14,6.22,6.29
"35","AT1G01390",2.2,3.71,2.23,3.38,3.89,3.82
"36","AT1G01410",4.24,2.97,3.73,2.36,1.3,1.26
"37","AT1G01420",3.11,2.85,2.54,2.53,3.16,3.35
"38","AT1G01430",7.27,7.09,7.55,7.83,7.92,7.84
"39","AT1G01440",7.8,7.83,7.42,7.69,7.73,7.62
"40","AT1G01450",3.88,3.16,3.2,2.56,2.28,4.4
"41","AT1G01460",2.09,1.1,1.67,2.63,1.79,2.75
"42","AT1G01470",14.36,13.87,14,13.74,13.43,13.42
"43","AT1G01480",9.16,9.24,9.68,7.76,7.94,8.36
"44","AT1G01490",10.94,10.63,10.41,10.22,10.28,10.11
"45","AT1G01500",8.29,8.47,8.32,8.25,8.16,8.21
"46","AT1G01510",8.57,8.47,9.12,8.87,8.92,9.18
"47","AT1G01520",3.04,3.17,2.47,3.36,2.4,3.84
"48","AT1G01530",0.39,3.07,2.51,1.13,0.24,2.75
"49","AT1G01540",8.15,8.13,9.01,8.92,8.58,8.93
"50","AT1G01550",12.28,12.23,12.27,12.01,12.15,12.28
"51","AT1G01560",6.83,6.74,8.43,7.26,7.31,7.26
"52","AT1G01570",6.52,6.22,6.94,6.35,6.15,6.42
"53","AT1G01600",4.9,5.63,6.35,4.83,4.79,2.65
"54","AT1G01610",6.19,8.9,9.02,5.97,4.9,3.85
"55","AT1G01620",13.49,12.99,12.73,12.83,12.97,13.1
"56","AT1G01630",10.15,10.33,9.75,10.36,9.99,9.94
"57","AT1G01640",7.86,7.95,8.61,7.49,7.75,8.53
"58","AT1G01650",10.62,10.64,10.55,10.21,9.86,10.01
"59","AT1G01660",5.84,3.54,4.82,6.68,6.01,5.11
"60","AT1G01670",5.64,4.55,5.64,4.82,4.88,5.54
"61","AT1G01690",5.61,4.61,4.04,4.6,3.83,4.11
"62","AT1G01700",2.31,3.21,0.4,1.43,2.99,2.39
"63","AT1G01710",8.22,8.55,7.44,7.35,8.03,7.88
"64","AT1G01720",13.2,13.21,13.18,12.92,12.73,12.33
"65","AT1G01725",6.54,6.9,6.62,6.34,6.67,6.77
"66","AT1G01730",8.12,8.54,8.47,8.47,8.39,8.49
"67","AT1G01740",5.92,5.88,6.1,5.53,5.63,6.09
"68","AT1G01750",11.01,10.27,10.58,12.2,11.34,10.43
