"GeneID","Cold.Shoot.30","Cold.Shoot.60","Cold.Shoot.180","Cold.Shoot.360","Cold.Shoot.720","Cold.Shoot.1440"
"1","AT1G01010",4.67,4.55,3.84,2.86,3.04,4.04
"2","AT1G01030",6.18,6.75,6.45,5.59,6.03,4.45
"3","AT1G01040",8.86,8.59,8.82,9.05,9.23,9.34
"4","AT1G01050",11.14,11.19,11,10.93,10.98,10.88
"5","AT1G01060",11.64,12.39,11.91,11.75,11.3,11.47
"6","AT1G01070",7.74,7.81,7.35,6.91,6.18,4.53
"7","AT1G01080",10.8,10.68,10.49,10.38,10.22,10.14
"8","AT1G01090",11.99,12.27,11.96,11.94,11.97,12.03
"9","AT1G01100",12.94,12.9,12.86,12.79,12.8,13.04
"10","AT1G01110",3.66,3.3,3.84,3.28,2.73,2.78
"11","AT1G01120",10.91,10.62,10.72,9.7,6.83,8.32
"12","AT1G01130",3,4.85,6.09,5.75,3.98,5.38
"13","AT1G01140",10.03,9.94,10.9,11.76,11.66,12.46
"14","AT1G01150",5.14,5.05,4.55,4.85,4.8,4.88
"15","AT1G01160",8.84,8.91,8.5,8.16,7.88,7.9
"16","AT1G01170",11.73,11.57,11.5,11.23,11.09,10.63
"17","AT1G01180",6.38,6.68,5.74,6.14,6.03,6.14
"18","AT1G01190",6.19,6.67,5.65,4.29,4.45,3.9
"19","AT1G01200",5.02,4.55,4.77,5.8,5.95,4.25
"20","AT1G01220",8.62,8.51,8.48,8.38,8.28,8.15
"21","AT1G01225",7.51,7.21,7.16,6.8,7.23,6.86
"22","AT1G01230",9.13,9.2,9.29,9.37,9.95,10.18
"23","AT1G01240",8.64,8.68,8.61,8.72,8.54,8.95
"24","AT1G01250",6.41,5.89,6.06,5.34,6.08,6.85
"25","AT1G01260",7.42,8.11,7.8,8.05,8.1,8.21
"26","AT1G01280",1.62,1.17,1.38,1.87,1.06,0.98
"27","AT1G01290",8.66,8.05,8.09,8.2,7.64,7.1
"28","AT1G01300",8.48,9.54,10.05,10.46,10.91,10.24
"29","AT1G01310",2.1,1.97,1.36,1.64,1.62,1.3
"30","AT1G01320",11.91,12.03,12.07,11.86,11.32,10.14
"31","AT1G01330",9.95,10.38,10.27,10.05,9.22,8.3
"32","AT1G01340",5.8,5.81,6.37,5.49,5.85,5.28
"33","AT1G01360",8.84,8.84,8.8,8.53,9.44,9.14
"34","AT1G01370",7.05,6.95,6.87,6.6,7.05,6.81
"35","AT1G01390",7.99,7.9,8.16,8.39,8.41,8.93
"36","AT1G01410",3.61,5.29,3.53,4.54,3.75,4.54
"37","AT1G01420",7.48,7.58,7.59,8.43,9.74,10.25
"38","AT1G01430",10.76,10.97,10.57,9.98,9.14,9.29
"39","AT1G01440",7.58,8,7.9,7.94,7.34,7.81
"40","AT1G01450",6.09,5.75,5.08,5.77,5.64,5.89
"41","AT1G01460",2.19,3.05,2.67,2,2.96,3.29
"42","AT1G01470",10.13,9.82,11.75,13.46,14.59,15
"43","AT1G01480",3.33,4.08,2.26,2.71,4.17,4.71
"44","AT1G01490",12.05,12.04,11.73,10.94,8.8,8.96
"45","AT1G01500",9.21,9.02,9.59,10.03,10.69,10.41
"46","AT1G01510",9.15,9.02,9.21,9.28,9.59,9.86
"47","AT1G01520",7.84,7.62,6.73,5.66,5.45,9.26
"48","AT1G01530",4.8,4.48,4.75,4.66,5.22,4.21
"49","AT1G01540",10.43,10.33,10.27,10.23,10.45,10.87
"50","AT1G01550",11.37,11.61,11.58,11.71,12.06,12.11
"51","AT1G01560",6.93,7.33,9.18,9.54,9.13,7.8
"52","AT1G01570",6.44,6.62,6.14,5.97,6.18,6.26
"53","AT1G01600",7.79,7.9,7.68,7.88,7.5,7.06
"54","AT1G01610",9.77,9.65,9.66,9.76,9.09,8.97
"55","AT1G01620",12.76,12.97,12.77,12.75,12.17,11.41
"56","AT1G01630",10.34,10.71,10.41,10.27,9.95,9.5
"57","AT1G01640",4.8,4.34,3.63,5.02,5.94,6.17
"58","AT1G01650",8.86,8.73,9.17,9.86,10.59,10.94
"59","AT1G01660",4.04,4.16,4.2,4.89,5.28,4.75
"60","AT1G01670",6.58,6.93,6.67,5.5,5.23,5.63
"61","AT1G01690",6.33,6.53,6.36,6.19,6.44,6.03
"62","AT1G01700",5.01,4.26,3.29,4.78,5.08,4.58
"63","AT1G01710",8.67,8.86,8.47,8.65,8.09,8.09
"64","AT1G01720",9.09,9.36,9.5,9.19,8.04,11.39
"65","AT1G01725",8.14,7.91,6.98,7.36,7.62,7.63
"66","AT1G01730",8.39,8.16,8.14,8.02,8.45,8.77
"67","AT1G01740",8.2,8.17,7.91,7.73,8.16,7.72
"68","AT1G01750",3.51,2.25,2.17,2.29,2.44,3.04
"69","AT1G01760",3.1,4.07,2.79,2.82,2.91,3.03
"70","AT1G01770",8.48,8.14,8.23,7.86,6.75,6.21
"71","AT1G01780",7.06,7.31,7.39,7.21,6.74,6.63
"72","AT1G01790",11.39,11.55,11.49,11.45,11.61,11.41
"73","AT1G01800",10.63,10.62,10.48,10.29,10.08,9.66
"74","AT1G01820",8.62,8.8,8.57,8.68,8.82,9.17
"75","AT1G01830",7.21,6.93,7.28,7.17,6.78,7.44
"76","AT1G01840",7.23,6.51,6.58,6.36,6.58,6.64
"77","AT1G01860",8.2,8.18,8.25,7.98,7.56,6.91
"78","AT1G01900",7.83,7.9,7.9,8.05,8.12,8.12
"79","AT1G01910",9.96,9.79,9.82,9.87,10.16,10.18
"80","AT1G01920",7.17,6.7,6.64,6.74,6.67,6.01
"81","AT1G01930",8.48,8.27,8.29,7.65,7,7.73
"82","AT1G01940",8.39,8.34,8.22,8.35,9.32,10.21
"83","AT1G01950",8.36,8.46,8.48,8.57,8.33,8.03
"84","AT1G01960",8.46,9.59,9.39,9.59,9.38,9.44
"85","AT1G01970",10.02,9.96,9.62,9.77,9.57,9.53
"86","AT1G01980",3.41,2.7,2.5,3.56,2.82,2.66
"87","AT1G01990",8.37,8.21,8.69,8.46,8.66,8.44
"88","AT1G02000",7.83,7.85,7.8,7.46,7.27,7.49
"89","AT1G02020",8.72,8.41,8.45,8.72,8.56,8.84
"90","AT1G02050",5.53,4.56,6.2,5.43,2.82,3.1
"91","AT1G02060",6.5,6.22,5.95,5.82,5.07,5.29
"92","AT1G02070",5.1,5.04,4.17,3.12,5.03,3.17
"93","AT1G02080",10.22,10.31,10.38,10.42,10.34,10.36
"94","AT1G02090",8.41,8.45,8.25,7.96,8.68,9.26
"95","AT1G02100",8.61,8.86,8.87,8.7,8.8,9.08
"96","AT1G02110",7.91,8.07,7.68,8.03,7.4,7.19
"97","AT1G02120",9.91,9.8,9.61,9.61,9.29,9.12
"98","AT1G02130",9.61,8.86,9.06,8.9,8.69,8.72
"99","AT1G02140",11.11,11.53,11.48,11.17,11.44,11.48
"100","AT1G02150",11.62,11.31,11.31,11.4,11.06,10.86
"101","AT1G02160",9.36,8.95,9.04,8.9,8.77,8.57
"102","AT1G02170",9.16,8.8,8.93,9.11,8.57,8.66
