"GeneID","Osmotic.Shoot.30","Osmotic.Shoot.60","Osmotic.Shoot.180","Osmotic.Shoot.360","Osmotic.Shoot.720","Osmotic.Shoot.1440"
"1","AT1G01010",5.69,5.3,6.34,5.99,5.69,5.51
"2","AT1G01030",6.21,6.74,5.98,5.62,3.26,3.52
"3","AT1G01040",8.46,8.69,8.46,8.56,8.72,8.95
"4","AT1G01050",10.95,10.99,10.85,10.84,11.07,11
"5","AT1G01060",11.11,10.84,8.79,6.21,6.84,12.22
"6","AT1G01070",7.41,7.47,7.52,7.5,8.55,8.44
"7","AT1G01080",10.3,10.65,9.93,9.3,9.08,8.53
"8","AT1G01090",12.16,12.08,11.87,11.74,11.41,11.66
"9","AT1G01100",13.07,13.16,12.64,12.21,12.29,11.88
"10","AT1G01110",4.84,4.2,3.85,2.88,3.04,2.67
"11","AT1G01120",10.56,10.6,11.3,11.07,10.96,10.84
"12","AT1G01130",3.57,5.04,3.54,2.78,4.08,5.21
"13","AT1G01140",10.96,10.31,11.55,11.34,10.68,11.03
"14","AT1G01150",5.17,3.68,4.42,3.33,3.72,4.1
"15","AT1G01160",8.97,8.96,8.71,9.02,9.09,9.09
"16","AT1G01170",11.63,11.54,11.3,11.13,11.09,10.85
"17","AT1G01180",6.3,5.83,5.74,5.97,5.41,6.66
"18","AT1G01190",6.48,6.05,4.38,3.28,2.02,3.65
"19","AT1G01200",4.22,4.67,3.72,3.38,3.81,5.12
"20","AT1G01220",8.59,8.69,8.51,8.77,8.55,8.27
"21","AT1G01225",7.41,7.45,7.27,7.08,6.66,6.72
"22","AT1G01230",9.47,9.63,9.68,9.91,9.59,9.4
"23","AT1G01240",9.27,9.16,11.03,11.28,10.5,11.09
"24","AT1G01250",5.05,6.01,7.13,7.98,9,9.5
"25","AT1G01260",7.73,8.18,7.56,7.33,7.45,7.54
"26","AT1G01280",1.96,0.93,2.14,1.56,0.65,2.54
"27","AT1G01290",8.12,8.12,8.11,8.18,8.45,8.6
"28","AT1G01300",9.25,9.82,9.06,8.87,8.6,7.23
"29","AT1G01310",1.92,1.14,2.03,1.26,1.54,1.59
"30","AT1G01320",11.78,11.73,10.78,11.19,11.56,11.97
"31","AT1G01330",10.06,9.9,9.38,9.66,9.88,10.32
"32","AT1G01340",6.24,6.46,7.52,6.92,6.66,5.69
"33","AT1G01360",8.55,9.25,9.8,8.91,9.09,8.77
"34","AT1G01370",6.61,6.85,6.44,6.27,5.91,5.79
"35","AT1G01390",7.3,7.82,7.18,6.4,5.96,6.14
"36","AT1G01410",3.62,3.88,4.89,4.22,3.02,4.58
"37","AT1G01420",7.37,7.92,8.38,8.26,7.64,7.68
"38","AT1G01430",10.94,10.07,9.66,9.57,9.1,9.07
"39","AT1G01440",8.28,7.92,7.94,8.09,8.12,8.22
"40","AT1G01450",5.88,5.62,5.7,5.62,3.58,4.71
"41","AT1G01460",2.63,2.83,2.06,2.21,2.62,3.55
"42","AT1G01470",10.17,11.15,13.77,14.15,14.01,13.69
"43","AT1G01480",3.97,4.78,7.45,7.49,9.22,10.12
"44","AT1G01490",12.01,11.04,11.67,11.48,11.13,11.81
"45","AT1G01500",9.56,9.24,9.28,9.71,9.09,9.71
"46","AT1G01510",9.29,9.66,9.23,8.88,9.35,9.05
"47","AT1G01520",6.18,9.13,9.16,6.46,7.46,9.32
"48","AT1G01530",5.18,4.13,3.75,4.38,3.92,3.15
"49","AT1G01540",10.14,9.68,9.21,9.3,9.82,9.78
"50","AT1G01550",11.53,11.63,11.65,11.29,11.44,11.64
"51","AT1G01560",7.55,8.07,8.43,7.53,8.27,8.16
"52","AT1G01570",6.31,6.05,7.99,7.21,7.28,6.37
"53","AT1G01600",7.56,7.27,7.68,7.53,6.97,5.6
"54","AT1G01610",9.61,9.77,9.62,9.62,9.7,9.27
"55","AT1G01620",12.88,12.85,12.54,11.85,11.43,11.44
"56","AT1G01630",10.52,10.27,9.97,9.75,10.07,10.03
