"GeneID","Salt.Shoot.30","Salt.Shoot.60","Salt.Shoot.180","Salt.Shoot.360","Salt.Shoot.720","Salt.Shoot.1440"
"1","AT1G01010",2.97,4.54,4.95,5.7,5.1,3.75
"2","AT1G01030",6,5.15,5.96,5.31,6.08,6.04
"3","AT1G01040",8.61,8.76,8.7,8.46,8.39,8.25
"4","AT1G01050",11,11.11,10.91,10.79,11.13,11.12
"5","AT1G01060",11.08,11.16,8.41,6.81,4.83,11.3
"6","AT1G01070",7.95,7.3,7.85,7.63,7.19,7.97
"7","AT1G01080",10.38,10.55,10.34,9.82,10.07,9.4
"8","AT1G01090",12.21,12.28,12.05,11.57,11.55,11.91
"9","AT1G01100",12.99,13.05,12.72,12.41,12.57,12.62
"10","AT1G01110",5.36,4.72,2.8,3.7,3.93,4.5
"11","AT1G01120",10.51,10.57,11.12,10.88,10.29,11.3
"12","AT1G01130",4.34,3.28,2.48,2.99,4.76,5.62
"13","AT1G01140",10.84,10.2,10.71,10.44,10.91,11.31
"14","AT1G01150",5.2,4.98,4.71,4.18,4.92,4.58
"15","AT1G01160",8.91,9.16,8.64,8.82,8.8,9.05
"16","AT1G01170",11.64,11.56,11.75,11.52,11.68,11.31
"17","AT1G01180",6.04,6.46,6.1,5.27,5.7,4.88
"18","AT1G01190",5.61,4.49,3.21,2.95,2.46,3.44
"19","AT1G01200",4.65,4.01,5.06,5.24,3.62,2.84
"20","AT1G01220",8.52,8.92,8.74,9.08,9.07,9.09
"21","AT1G01225",7.57,7.81,7.91,7.46,7.38,6.94
"22","AT1G01230",9.42,9.62,9.91,10,9.51,9.38
"23","AT1G01240",9.57,9.36,10.99,10.61,8.63,9.52
"24","AT1G01250",5.3,4.5,8.32,8.53,8.53,8.65
"25","AT1G01260",7.7,7.91,7.39,7.54,7.79,7.27
"26","AT1G01280",1.72,1.67,1.33,2.38,0.6,1.4
"27","AT1G01290",8.37,8.46,8.69,8.55,8.17,8.63
"28","AT1G01300",9.37,9.81,8.89,9.52,9.92,8.96
"29","AT1G01310",1.46,1.62,1.61,0.96,1.21,1.25
"30","AT1G01320",11.8,11.92,11.05,11.2,11.62,11.69
"31","AT1G01330",10.18,10.33,9.15,9.78,9.8,9.83
"32","AT1G01340",5.2,5.04,3.7,5.5,5.04,2.84
"33","AT1G01360",9.13,9.27,9.71,9.46,9.41,8.61
"34","AT1G01370",6.39,6.77,7.05,6.52,5.99,5.97
"35","AT1G01390",7.92,7.7,7.35,6.23,6.33,5.8
"36","AT1G01410",4.68,5.07,4.61,4.73,4.99,4.93
"37","AT1G01420",7.5,7.7,7.99,7.88,7.32,7.72
"38","AT1G01430",10.83,10.22,9.97,10.3,9.93,10.35
"39","AT1G01440",8.35,7.93,7.78,8.31,7.98,7.96
"40","AT1G01450",5.93,5.93,6.07,5.86,5.73,5.4
"41","AT1G01460",2.69,2.74,3.12,2.44,2.21,2.52
"42","AT1G01470",10.46,10.54,13.43,13.65,13.31,13.3
"43","AT1G01480",2.63,3.11,5.22,5.59,4.24,7.38
"44","AT1G01490",11.97,11.5,11.47,10.76,10.4,11.05
"45","AT1G01500",9.07,9.62,9.56,9.84,8.99,9.07
"46","AT1G01510",9.54,9.85,9.6,9.55,9.7,9.48
"47","AT1G01520",6.11,8.29,9.27,5.83,5.7,8.72
"48","AT1G01530",4.6,5.34,4.74,4.93,4.1,4.53
"49","AT1G01540",10.21,9.88,9.85,10.03,10.04,10.35
"50","AT1G01550",11.55,11.62,11.18,11.25,10.91,11.4
"51","AT1G01560",6.99,6.9,7.07,7.49,6.78,6.92
"52","AT1G01570",6,6.74,7.49,7.84,7.3,6.87
"53","AT1G01600",7.76,7.79,7.75,8.25,8.13,7.95
"54","AT1G01610",9.55,10,9.38,9.7,9.86,10.09
"55","AT1G01620",13.13,12.95,12.93,12.56,12.06,12.28
"56","AT1G01630",10.45,10.34,10,10.39,10.3,10.68
"57","AT1G01640",4,3.79,5.1,6.5,6.14,4.75
"58","AT1G01650",9.15,9.58,10.19,10.31,10.21,9.97
"59","AT1G01660",5.27,6.05,5.74,4.78,5.56,4.81
"60","AT1G01670",6.81,7.02,7.05,7.15,7.09,6.7
"61","AT1G01690",6.26,6.94,6.58,6.52,6.46,5.94
"62","AT1G01700",3.89,4.86,5.2,5.67,3.3,3.19
"63","AT1G01710",8.96,8.92,9.37,9.09,9.06,9.3
"64","AT1G01720",9.22,9.11,10.73,9.72,10.58,10.12
"65","AT1G01725",7.72,7.79,8.31,8.14,7.97,7.77
"66","AT1G01730",8.26,8.78,9.05,9.25,9.46,8.98
"67","AT1G01740",8.21,8.43,8.14,7.97,7.55,7.19
"68","AT1G01750",2.97,2.01,1.78,3.38,2.52,3.89
"69","AT1G01760",3.17,3.26,2.99,2.99,2.82,2.74
"70","AT1G01770",8.57,8.59,9,8.85,8.62,8.43
"71","AT1G01780",7.42,7.34,7.61,7.9,7.69,7.56
"72","AT1G01790",11.42,11.45,11.38,10.72,10.98,10.47
"73","AT1G01800",10.54,10.61,10.46,10.57,11.03,11.04
"74","AT1G01820",8.76,9.37,9.53,9.75,9.8,8.81
"75","AT1G01830",7.09,7.73,7.74,8.03,8.28,8.61
"76","AT1G01840",7.21,7.34,7.31,6.93,6.62,7.35
"77","AT1G01860",8.12,7.88,7.62,7.86,7.5,7.61
"78","AT1G01900",7.87,7.69,8.57,8.71,8.93,7.79
"79","AT1G01910",9.97,10.12,9.91,9.91,9.98,9.79
"80","AT1G01920",6.9,6.95,6.93,7.01,7.11,7
"81","AT1G01930",8.89,8.45,8.46,8.18,8.23,8.24
"82","AT1G01940",8.05,8.42,7.83,7.8,7.86,7.84
"83","AT1G01950",8.84,8.42,7.94,8.05,8.27,8.14
"84","AT1G01960",9.65,9.74,9.46,9.91,10.03,9.82
"85","AT1G01970",9.43,9.88,9.48,9.42,9.7,9.47
"86","AT1G01980",2.59,3.13,2.41,3.38,2.43,1.02
"87","AT1G01990",8.43,8.61,8.28,8.54,8.72,8.83
"88","AT1G02000",8.01,8.09,7.55,8.18,7.54,8.12
"89","AT1G02020",8.84,8.74,8.98,9,9.04,8.89
