"GeneID","Drought.Root.15","Drought.Root.30","Drought.Root.60","Drought.Root.180","Drought.Root.360","Drought.Root.720","Drought.Root.1440"
"1","AT1G01010",8.87,8.32,9.43,8.68,8.43,8.4,8.53
"2","AT1G01030",5.21,5,5.16,4.6,5.16,3.54,4.63
"3","AT1G01040",9.36,9.11,8.86,9,9.17,9.21,9.23
"4","AT1G01050",11.33,11.21,10.96,11.02,11.12,11.26,11.33
"5","AT1G01060",8.75,8.31,7.92,6.21,4.75,6.21,8.71
"6","AT1G01070",7.74,7.64,6.74,7.65,7.88,7.46,8.43
"7","AT1G01080",6.79,7.12,7.07,7.08,7.19,7.25,7.04
"8","AT1G01090",11.59,11.61,11.52,11.38,11.12,11.64,11.75
"9","AT1G01100",13.61,13.39,13.32,13.38,13.23,13.43,13.62
"10","AT1G01110",7.57,7.93,7.85,7.7,7.48,7.62,7.84
"11","AT1G01120",10.48,10.75,10.9,10.32,10.62,10.68,10.48
"12","AT1G01130",5.13,4.4,4.98,5.33,4.92,5.54,5.18
"13","AT1G01140",3.03,5.59,5.45,1.56,4.3,1.79,1.42
"14","AT1G01150",4.34,4.29,3.6,4.64,4.3,4.54,4.57
"15","AT1G01160",9.92,9.62,9.52,9.94,10.05,9.57,10.03
"16","AT1G01170",9.48,8.57,8.77,8.94,9.55,8.86,9.11
"17","AT1G01180",5.84,5.92,5.88,5.79,6.11,5.56,5.7
"18","AT1G01190",10.18,10.96,10.1,9.8,9.88,10.55,10.63
"19","AT1G01200",7,6.81,6.13,6.59,6.73,7.25,6.75
"20","AT1G01220",8.29,8.35,8.19,8.31,8.27,8.46,8.46
"21","AT1G01225",7.97,7.73,7.84,7.8,8.07,8.05,8.15
"22","AT1G01230",9.57,9.32,9.51,9.55,9.68,9.45,9.72
"23","AT1G01240",8.68,8.39,8.79,8.88,9.25,8.46,9.01
"24","AT1G01250",3.38,4.08,3.25,4.38,3.52,3.84,1.91
"25","AT1G01260",8.6,9.18,9.23,8.66,8.7,8.66,8.7
"26","AT1G01280",1.36,1.38,0.7,0.56,0.58,1.48,1.4
"27","AT1G01290",8.39,8.48,8.7,8.48,8.57,8.7,8.68
"28","AT1G01300",9.89,10.01,9.77,9.36,9.48,10.38,10.11
"29","AT1G01310",1,1.24,0.67,1.56,1.14,1.04,0.68
"30","AT1G01320",7.2,7.04,7.16,7.07,7.42,7.37,6.95
"31","AT1G01330",6.28,6.29,6.39,6.64,6.49,6.53,5.99
"32","AT1G01340",8.56,8.57,8.77,8.74,8.89,8.88,8.46
"33","AT1G01360",9.91,9.36,9.57,9.6,9.5,9.31,9.38
"34","AT1G01370",6.9,6.86,7.02,6.56,6.54,6.96,7.21
"35","AT1G01390",4.38,4.06,4.62,4.56,4.79,5.1,4.57
"36","AT1G01410",4.34,1.76,3.41,2.84,4.57,4.25,4.75
"37","AT1G01420",5.49,5.09,5.49,5.38,5.56,5.78,5.51
"38","AT1G01430",9.04,9.23,9.03,9,8.88,9.48,9.14
"39","AT1G01440",8.11,7.92,8.05,7.73,7.9,7.84,7.86
"40","AT1G01450",4.93,5.04,5.1,5.69,5.19,5.01,5.08
"41","AT1G01460",1.96,1.88,1.08,2.27,2.26,1.55,2
"42","AT1G01470",11.07,12.24,12.64,11.66,11.32,10.93,10.46
"43","AT1G01480",6.61,6.76,7.2,7.09,8.12,6.91,5.63
"44","AT1G01490",11.23,10.62,11.04,11.25,11.37,11.04,11.29
"45","AT1G01500",8.83,8.55,8.73,9.02,8.66,8.7,8.88
"46","AT1G01510",10.36,10,9.95,10.01,10.16,10.21,10.14
"47","AT1G01520",4.25,0.57,3.93,4.34,1.28,1.87,3.01
"48","AT1G01530",4.4,4.9,4.82,4.2,4.69,4.87,4.86
"49","AT1G01540",9.5,9.26,9.29,9.13,9.06,9.29,9.37
"50","AT1G01550",11.8,11.96,11.98,11.72,11.73,11.58,11.67
"51","AT1G01560",8.2,8.67,8.38,7.85,7.77,6.95,7.32
"52","AT1G01570",6.66,6.34,6.64,6.79,6.15,6.51,6.38
"53","AT1G01600",8.02,8.19,8.19,7.45,7.61,8.49,8.2
"54","AT1G01610",9.48,9.88,10.36,9.73,9.62,10.43,9.71
"55","AT1G01620",12.81,12.79,12.73,12.66,12.41,12.25,12.73
"56","AT1G01630",9.94,9.97,9.77,9.82,10.21,10.36,10.28
"57","AT1G01640",9.2,8.95,9.21,9.57,9.94,9.64,9.11
"58","AT1G01650",9.29,9.95,9.87,9.56,9.64,9.5,9.57
"59","AT1G01660",5.01,5.53,4.62,4.66,4.8,5.47,5
"60","AT1G01670",5.68,5.29,5.55,6.41,5.61,5.58,5.5
"61","AT1G01690",5.77,5.72,5.76,5.9,5.7,5.37,5.51
"62","AT1G01700",2.78,3.35,4.61,4.08,4.37,3.64,5.11
"63","AT1G01710",8.54,8.51,8.8,8.8,9.07,8.84,8.63
"64","AT1G01720",10.36,10.96,11.04,10.64,10.82,10.37,10.41
"65","AT1G01725",8.2,7.79,7.81,7.79,8.33,7.73,8.27
"66","AT1G01730",9.46,9.2,9.19,9.46,9.86,9.46,9.65
"67","AT1G01740",7.56,7.31,7.3,7.5,7.59,7.79,7.49
"68","AT1G01750",8.11,8.73,8.22,8.1,7.96,8.74,9.02
"69","AT1G01760",4.37,4.88,4.63,6.04,4.22,4.78,4.32
"70","AT1G01770",8.06,7.7,7.64,8.43,9.14,7.99,7.94
"71","AT1G01780",8.44,8.39,7.99,8.3,8.46,8.38,8.5
"72","AT1G01790",8.69,8.77,8.81,8.59,8.88,8.71,8.66
"73","AT1G01800",10.88,10.94,10.91,11.15,11.21,11.09,10.88
"74","AT1G01820",10.16,9.73,10,10.64,10.75,10.21,10.1
"75","AT1G01830",7.54,7.21,7.21,7.38,7.56,6.95,7.44
"76","AT1G01840",6.51,6.42,6.14,6.62,6.22,6.39,6.56
