"GeneID","Genotoxic.Root.30","Genotoxic.Root.60","Genotoxic.Root.180","Genotoxic.Root.360","Genotoxic.Root.720","Genotoxic.Root.1440"
"1","AT1G01010",8.88,8.96,9.09,8.9,8.73,8.97
"2","AT1G01030",5.19,4.88,3.67,4.54,4.15,4.3
"3","AT1G01040",9.25,9.07,9.21,9.35,9.39,9.43
"4","AT1G01050",11.33,11.27,11.3,11.09,11.25,11.32
"5","AT1G01060",8.19,7.77,6.48,4.74,6.77,9.35
"6","AT1G01070",8,7.66,7.55,7.38,7.52,8.56
"7","AT1G01080",6.84,7.21,7.26,7.38,7.29,7.31
"8","AT1G01090",11.58,11.54,11.57,11.48,11.43,11.34
"9","AT1G01100",13.53,13.44,13.45,13.25,13.13,12.93
"10","AT1G01110",8.13,7.93,7.63,7.62,7.11,6.38
"11","AT1G01120",10.63,10.64,10.84,10.51,10.67,10.87
"12","AT1G01130",5.36,5.46,4.6,5.29,4.67,5.25
"13","AT1G01140",5.03,4.96,2.13,3.92,4.52,3.59
"14","AT1G01150",3.27,4.46,4.9,4.56,4.37,4.21
"15","AT1G01160",9.75,9.75,9.38,10.07,9.96,9.79
"16","AT1G01170",9.27,9.38,9.62,9.5,9.22,9.55
"17","AT1G01180",5.84,5.66,5.91,6.45,5.63,6.12
"18","AT1G01190",10.18,9.7,9.96,10.46,10.5,10.05
"19","AT1G01200",6.61,6.89,6.57,6.85,7.35,7.24
"20","AT1G01220",8.33,8.62,9.16,9,8.95,9.04
"21","AT1G01225",7.98,8.05,8.15,8.18,8.36,8.34
"22","AT1G01230",9.67,9.76,9.66,9.65,9.68,9.86
"23","AT1G01240",8.96,9.1,9.23,9.28,8.89,9.18
"24","AT1G01250",2.81,3.42,3.53,3.18,4.04,1.83
"25","AT1G01260",9.13,8.9,8.28,8.51,8.39,8.25
"26","AT1G01280",1.15,0.42,1.3,1.84,0.18,1.22
"27","AT1G01290",8.71,8.6,8.55,8.52,8.52,8.54
"28","AT1G01300",9.59,9.81,9.57,9.59,9.96,9.46
"29","AT1G01310",0.45,0.57,0.8,0.84,1.16,0.78
"30","AT1G01320",7.14,7.17,7.56,7.17,7.21,7.08
"31","AT1G01330",6.35,6.11,6.2,6.22,6.41,6.41
"32","AT1G01340",8.67,9.16,9.79,9.87,9.68,9.34
"33","AT1G01360",9.5,9.31,9.45,9.57,9.7,9.7
"34","AT1G01370",6.9,7.12,6.59,6.54,6.54,6.34
"35","AT1G01390",1.41,4.25,4.55,3.84,4.58,3.25
"36","AT1G01410",4.5,4.5,4.48,3.85,4.01,4.71
"37","AT1G01420",5.89,5.55,5.75,5.64,5.81,5.46
"38","AT1G01430",9.08,9.04,9.14,8.95,9.1,8.77
"39","AT1G01440",7.75,7.99,8.14,8.07,8.05,7.91
"40","AT1G01450",5.39,5.08,5.32,5.69,5.28,5.35
"41","AT1G01460",2.04,2.25,1.64,2.02,1.88,1.56
"42","AT1G01470",11.54,11.64,11.6,11.52,11.34,11.4
"43","AT1G01480",6.81,6.02,5.12,6.47,6.37,6.8
"44","AT1G01490",11.03,11,10.82,11.04,11.04,11.42
"45","AT1G01500",8.95,8.97,8.89,8.5,8.81,8.86
