"GeneID","Genotoxic.Shoot.30","Genotoxic.Shoot.60","Genotoxic.Shoot.180","Genotoxic.Shoot.360","Genotoxic.Shoot.720","Genotoxic.Shoot.1440"
"1","AT1G01010",4.37,4.04,4.05,5.62,6.02,4.78
"2","AT1G01030",6.32,6.73,6.24,5.37,5.83,6.21
"3","AT1G01040",8.9,9.27,8.82,8.86,8.87,8.91
"4","AT1G01050",10.85,10.8,10.63,10.79,11.28,11.22
"5","AT1G01060",11.25,11.26,8.98,6.52,6.22,11.91
"6","AT1G01070",7.03,7.12,7.2,6.45,5.96,7.22
"7","AT1G01080",10.47,10.77,10.79,10.96,11.02,10.5
"8","AT1G01090",12.19,12.05,12.14,11.84,11.49,12.05
"9","AT1G01100",13.01,12.82,12.8,12.32,12.27,12.62
"10","AT1G01110",4.17,5.35,4.7,3.63,3.5,3.95
"11","AT1G01120",10.8,11.63,9.88,9.79,9.54,10.87
"12","AT1G01130",5.76,6.54,2.71,2.84,4.37,3.21
"13","AT1G01140",10.88,10.6,10.07,9.8,9.96,10.32
"14","AT1G01150",4.95,3.92,4.51,4.62,4.73,4.17
"15","AT1G01160",9.21,9.12,9.07,9.12,9.07,9.51
"16","AT1G01170",11.56,11.4,11.56,11.8,11.83,11.63
"17","AT1G01180",6.12,5.79,5.58,6.1,6.03,6.15
"18","AT1G01190",4.23,5.23,5.94,3.42,2.52,2.73
"19","AT1G01200",3.44,5.41,5.03,2.7,5.01,3.5
"20","AT1G01220",8.61,8.77,9.38,9.75,10.1,9.12
"21","AT1G01225",7.28,7.05,7.52,7.33,7.01,7.16
"22","AT1G01230",9.24,9.23,9.48,9.62,9.12,9.46
"23","AT1G01240",10.09,9.03,10.04,9.89,8.25,9.43
"24","AT1G01250",5.81,5.73,6.13,4.63,5.46,6.55
"25","AT1G01260",8,8.3,7.5,7.64,7.5,7.45
"26","AT1G01280",1.62,1.44,0.76,1.26,0.85,3.95
"27","AT1G01290",8.42,8.64,8.62,8.49,8.61,8.55
"28","AT1G01300",9.47,10.14,9.45,9.66,10.4,9.34
"29","AT1G01310",1.21,1.23,1.5,1.88,1.31,2.01
"30","AT1G01320",11.67,11.84,11.7,11.59,12.24,11.89
"31","AT1G01330",9.64,10.06,9.88,9.38,10.18,9.82
"32","AT1G01340",5.16,6.12,4.25,5.36,7.51,6.57
"33","AT1G01360",8.75,8.8,8.84,9.05,9.27,9.29
"34","AT1G01370",6.66,6.8,6.55,6.29,5.57,6.32
"35","AT1G01390",7.39,7.74,7.68,7.68,8.12,7.85
"36","AT1G01410",5,3.49,5,2.9,3.88,4.36
"37","AT1G01420",6.95,8.14,7.83,7.75,7.89,7.92
"38","AT1G01430",10.67,10.46,10.87,10.47,10.16,10.68
"39","AT1G01440",8.7,8.04,8.09,8.12,8.09,8.2
"40","AT1G01450",5.77,5.25,4.89,5.17,5.58,5.5
"41","AT1G01460",2.15,2.02,1.99,2,2.39,2.56
"42","AT1G01470",10.03,10.14,10.8,11.61,11.26,10.83
"43","AT1G01480",3.06,2.21,3.83,3.06,2.64,2.98
"44","AT1G01490",12.29,11.73,11.36,11.07,11.03,11.96
"45","AT1G01500",9.49,9.34,9.17,9.09,8.86,9.13
"46","AT1G01510",9.57,9.67,9.38,9.17,9.27,9.41
"47","AT1G01520",5.86,7.93,6.11,3.33,4.12,7.77
"48","AT1G01530",4.86,3.61,3.22,4.61,5.13,4.88
"49","AT1G01540",10.49,10.34,9.96,9.94,9.89,10.2
"50","AT1G01550",11.33,11.47,11.32,10.96,10.86,11.29
"51","AT1G01560",7.43,7,6.66,6.95,7.38,7.5
"52","AT1G01570",6.29,6.22,6.05,6.25,6.08,6.04
"53","AT1G01600",7.71,7.64,7.72,7.71,7.99,8.13
"54","AT1G01610",9.68,10.52,9.72,9.7,9.95,9.65
"55","AT1G01620",13.29,13.18,12.77,12.59,11.47,12.43
"56","AT1G01630",10.06,10.39,10.3,10.27,10.36,10.69
"57","AT1G01640",3.54,3.17,4.22,5.54,6.08,5.47
"58","AT1G01650",9.27,9.28,9.16,9.25,9.52,9.1
"59","AT1G01660",4.66,3.53,5.13,4.33,5.61,5.32
"60","AT1G01670",5.98,6.71,6.67,6.61,6.47,6.25
"61","AT1G01690",5.92,6.38,6.35,6.12,6.32,6.02
"62","AT1G01700",4.48,5.04,4.81,5.48,2.64,3.83
"63","AT1G01710",9.04,8.96,9.19,9.14,8.81,9.05
"64","AT1G01720",8.39,8.57,7.82,7.97,9.3,9.16
"65","AT1G01725",8.37,7.9,8.05,8.15,7.34,7.86
"66","AT1G01730",8.29,8.56,8.62,8.89,8.97,8.48
"67","AT1G01740",8.16,8.09,7.96,7.9,7.69,8.29
"68","AT1G01750",2.92,2.16,2.59,3.1,1.99,1.93
"69","AT1G01760",3.17,3.4,2.71,3.56,4.01,2.92
"70","AT1G01770",8.73,8.64,8.9,9.02,8.68,8.34
"71","AT1G01780",7.54,7.32,7.6,7.7,7.5,6.8
"72","AT1G01790",11.45,11.39,11.48,11.44,11.54,11.42
"73","AT1G01800",10.62,10.64,10.59,10.63,11.08,10.91
"74","AT1G01820",9.01,9.28,9.78,10.26,10.09,9.05
"75","AT1G01830",6.99,7.63,7.06,6.86,6.7,7.39
"76","AT1G01840",7.37,6.44,7.35,6.75,6.46,7.34
"77","AT1G01860",7.91,7.49,7.93,7.85,7.8,8.02
"78","AT1G01900",7.81,8,8.09,8.13,8.28,8.29
"79","AT1G01910",9.96,9.94,10.12,9.89,10.03,9.87
"80","AT1G01920",7.36,6.71,7.01,6.78,6.42,6.7
"81","AT1G01930",8.93,8.87,8.72,8.57,8.57,8.21
"82","AT1G01940",8.09,7.88,8.06,7.87,8.32,8.23
"83","AT1G01950",8.8,8.75,8.19,7.99,8.02,8.21
"84","AT1G01960",9.65,10,9.84,9.98,9.97,9.48
"85","AT1G01970",9.37,9.84,9.97,9.94,10.39,9.7
"86","AT1G01980",2.74,3.01,3.79,2.74,2.12,1.77
"87","AT1G01990",8.62,8.57,8.54,8.45,8.44,8.4
"88","AT1G02000",8.13,8,7.64,7.28,7.53,7.83
"89","AT1G02020",8.79,8.69,8.78,8.8,8.73,8.64
"90","AT1G02050",6.63,5.98,6.42,5.49,5.68,6.66
"91","AT1G02060",6.33,5.97,6,5.8,5.93,5.66
"92","AT1G02070",5.3,5.46,5.52,5.14,4.93,4.38
"93","AT1G02080",10.55,10.75,10.67,10.61,10.56,10.47
"94","AT1G02090",7.97,8.11,8,7.98,8.54,8.38
"95","AT1G02100",9.12,8.92,8.89,9.02,9.19,8.91
"96","AT1G02110",8.57,8.77,8.61,8.38,8.02,7.58
"97","AT1G02120",9.85,9.98,9.88,9.85,10.15,9.94
"98","AT1G02130",9.36,9.36,9.61,9.49,9.35,9.47
"99","AT1G02140",11.33,11.3,11.36,11.11,11.43,11.64
"100","AT1G02150",11.56,11.57,11.77,11.56,11.35,11.18
"101","AT1G02160",9.18,9.37,9.51,9.85,9.5,8.96
