"GeneID","UVb.Shoot.15","UVb.Shoot.30","UVb.Shoot.60","UVb.Shoot.180","UVb.Shoot.360","UVb.Shoot.720","UVb.Shoot.1440"
"1","AT1G01010",5.05,5.55,5.28,5.22,6.7,5.99,5.91
"2","AT1G01030",5.66,6.11,6.12,5.44,6.03,5.31,5.95
"3","AT1G01040",8.82,8.45,8.35,8.55,8.8,8.47,8.93
"4","AT1G01050",11.29,11.22,11,10.68,10.25,11.41,11.43
"5","AT1G01060",11.68,11.52,11.3,10.62,8.96,7.4,12
"6","AT1G01070",7.35,7.25,6.7,6.29,6.94,6.41,6.88
"7","AT1G01080",10.66,10.36,10.51,10.27,9.84,10.66,10.47
"8","AT1G01090",12.01,12,12.09,11.89,11.37,11.49,11.89
"9","AT1G01100",13.11,13.21,13.23,12.86,12.82,13.05,12.98
"10","AT1G01110",3.35,4.36,3.65,5.15,2.61,5.04,3.23
"11","AT1G01120",10.73,10.95,10.85,9.71,8.41,9.45,10.65
"12","AT1G01130",5.71,5.42,5.5,2.96,3.04,3.36,3.31
"13","AT1G01140",10.58,10.53,9.74,9.32,9.84,10.34,10.67
"14","AT1G01150",4.95,4.92,4.75,4.32,4.26,4.4,4.47
"15","AT1G01160",8.98,8.57,8.55,8.71,8.96,8.97,9.07
"16","AT1G01170",11.71,11.9,11.43,11.19,10.97,11.8,11.73
"17","AT1G01180",6.45,6.48,5.96,5.77,5.79,5.79,6.3
"18","AT1G01190",5.29,3.56,6.17,6.48,4.38,2.04,5.58
"19","AT1G01200",5.3,3.42,3.94,3.29,4.02,5.18,3.23
"20","AT1G01220",8.37,8.25,8.48,8.43,8.46,8.92,8.68
"21","AT1G01225",7.38,6.87,7.12,6.91,6.29,6.84,7.03
"22","AT1G01230",9.25,9.12,9.11,9.45,9.59,9.14,9.29
"23","AT1G01240",8.79,8.12,8.11,8.55,9.39,8.41,9.29
"24","AT1G01250",3.67,5.47,4.47,2.04,2.85,4.48,5.25
"25","AT1G01260",7.87,7.72,7.92,8.99,7.8,7.51,7.59
"26","AT1G01280",1.64,4.53,1.5,1.45,1.22,1.04,4.09
"27","AT1G01290",8.22,8.55,8.27,8.08,8.45,8.49,8.17
"28","AT1G01300",9.33,9.35,9.62,9.06,9.43,9.97,9.07
"29","AT1G01310",1.3,1.37,1.59,1.09,1.17,1.15,1.46
"30","AT1G01320",11.71,11.69,11.76,11.36,10.64,12.18,12.09
"31","AT1G01330",8.95,9.12,9.79,9.02,8.56,10.07,10.13
"32","AT1G01340",6.96,6.99,8.03,8.8,8.94,7.54,7.7
"33","AT1G01360",8.77,8.87,8.53,7.97,8.3,8.47,9.14
"34","AT1G01370",6.94,6.35,6.89,6.72,6.19,6.34,6.58
"35","AT1G01390",7.64,8.11,8.21,7.23,6.69,7.15,7.55
"36","AT1G01410",4.06,3.84,4.02,2.1,1.75,4.1,4.21
"37","AT1G01420",7.54,8.39,7.32,6.39,7.18,7.87,7.93
"38","AT1G01430",10.3,10.38,9.77,9.34,9.62,9.98,10.75
"39","AT1G01440",7.79,7.85,7.9,8.4,8.21,7.72,8.04
"40","AT1G01450",4.62,5.37,5.69,5.33,5.08,5.27,5.31
"41","AT1G01460",2.2,2.27,2.91,2.46,2.17,2.13,2.77
"42","AT1G01470",10.37,10.87,10.9,10.83,11.52,11.14,10.27
"43","AT1G01480",4.7,2.84,4.16,11.59,10.34,3.34,3.26
"44","AT1G01490",12.27,12.03,11.29,11.38,11.48,11.18,12.29
"45","AT1G01500",9.02,8.9,8.64,9,9.16,8.4,8.62
"46","AT1G01510",9.21,9.24,9.44,9.22,9.19,9.56,9.29
"47","AT1G01520",6.85,8.21,9.25,5.08,2.74,3.92,7.67
"48","AT1G01530",3.8,4.01,5.27,4.66,5.13,4.17,5.02
"49","AT1G01540",9.89,10.04,10.18,9.34,8.86,9.61,10.13
"50","AT1G01550",11.24,11.55,11.47,11.91,11.89,10.84,11.41
"51","AT1G01560",8.46,8.01,9.21,11.05,10.29,7.61,8.16
"52","AT1G01570",5.98,6.01,5.42,6.11,5.68,5.63,5.56
"53","AT1G01600",7.5,7.77,7.8,7.04,7.15,7.43,7.58
"54","AT1G01610",8.66,9.36,8.95,8.67,8.48,10.11,9.72
"55","AT1G01620",12.8,12.63,12.72,11.66,11.35,11.7,12.66
"56","AT1G01630",10.27,10.27,9.88,9.7,9.92,10.46,10.36
"57","AT1G01640",4.49,4.25,4.5,4.39,5.33,6.03,4.34
"58","AT1G01650",9.09,9.04,9.48,9.43,9.62,9.14,9.16
"59","AT1G01660",4.68,4.6,4.93,4.87,3.38,5.29,5.23
"60","AT1G01670",6.46,6.67,6.62,6.24,6.59,6.79,6.74
"61","AT1G01690",5.78,6.04,6.44,5.79,6.16,5.87,6.41
"62","AT1G01700",3.64,3.23,4.53,2.62,3.42,5.2,5.2
"63","AT1G01710",8.86,8.84,8.74,8.88,8.84,9.02,8.95
"64","AT1G01720",9.39,10.38,8.73,8.98,9.06,9.16,9.14
"65","AT1G01725",7.84,7.59,7.86,6.89,7.89,7.17,7.84
"66","AT1G01730",8.45,8.62,8.53,9.2,9.84,8.88,8.49
"67","AT1G01740",8.2,7.75,8.09,8.27,8.25,8.11,7.99
"68","AT1G01750",2.04,3.46,2.91,3.04,2.63,3.15,3.19
"69","AT1G01760",2.92,2.64,2.94,2.33,3.14,3.1,2.75
"70","AT1G01770",8.1,8.12,7.82,7.86,8.14,8.41,8.59
"71","AT1G01780",7.48,7.29,7.46,7.27,7.25,7.37,7.25
"72","AT1G01790",11.29,11.14,11.32,11.16,10.35,10.8,11.02
"73","AT1G01800",10.7,10.94,10.78,10.76,10.59,11.04,10.98
"74","AT1G01820",8.67,8.65,8.79,9.69,10.62,10.07,9.45
"75","AT1G01830",7.08,7.34,6.97,6.49,6.75,7.36,7.46
"76","AT1G01840",7.02,7.06,7.29,6.42,6.5,6.69,6.66
"77","AT1G01860",7.94,7.87,7.78,7.48,7.53,7.85,7.92
"78","AT1G01900",7.54,7.42,7.73,7.79,8.03,7.86,7.51
"79","AT1G01910",9.81,9.68,9.94,9.98,10.07,9.91,9.91
"80","AT1G01920",6.83,6.65,6.92,6.79,6.88,6.66,6.47
"81","AT1G01930",8.31,8.25,7.54,8.5,8.64,8.46,8.32
"82","AT1G01940",8.57,8.07,8.03,8.71,10.02,9.27,8.78
"83","AT1G01950",8.37,8.61,8.75,8.07,7.67,7.83,8.16
"84","AT1G01960",9.3,9.32,9.12,9.61,9.89,9.89,9.29
