GeneID,Wounding.Root.15,Wounding.Root.30,Wounding.Root.60,Wounding.Root.180,Wounding.Root.360,Wounding.Root.720,Wounding.Root.1440
AT1G01010,8.71,8.74,8.71,8.82,8.5,8.7,8.48
AT1G01030,5.12,5.05,4.86,4.98,4.72,4.71,4.88
AT1G01040,9.34,8.98,9.11,8.97,9.15,9.32,9.08
AT1G01050,11.32,11.43,11.46,11.34,11.34,11.25,11.34
AT1G01060,8.45,8.13,7.36,3.99,4.08,5.36,8.34
AT1G01070,8.78,8.29,7.88,8.3,7.94,7.18,8.68
AT1G01080,7.13,6.91,7.02,7.25,7.06,7.02,7.32
AT1G01090,11.57,11.45,11.46,11.21,11.2,11.34,11.34
AT1G01100,13.38,13.43,13.48,13.44,13.36,13.38,13.34
AT1G01110,7.42,7.51,7.82,7.34,7.42,6.86,7.83
AT1G01120,10.77,10.47,10.81,10.54,10.46,10.46,10.74
AT1G01130,4.85,4.91,5.53,5.44,3.92,5.2,5.62
AT1G01140,3.24,5.14,3.81,1.77,3.56,2.21,2.71
AT1G01150,4.56,4.75,4.75,4.07,4.13,4.2,5.02
AT1G01160,9.64,9.39,9.68,9.94,9.61,9.5,9.91
AT1G01170,9.21,9.0,9.4,9.75,9.91,9.41,9.66
AT1G01180,6.02,5.99,6.15,6.25,5.99,5.36,5.65
AT1G01190,10.82,10.16,10.11,10.05,10.1,10.34,10.28
AT1G01200,7.14,7.16,7.11,6.66,6.47,7.42,6.99
AT1G01220,8.32,8.33,8.04,8.09,8.34,8.34,8.27
AT1G01225,8.13,8.27,8.2,8.25,8.05,7.81,8.21
AT1G01230,9.6,9.93,9.95,9.96,9.72,9.61,9.81
AT1G01240,9.33,9.31,9.07,9.22,9.24,8.34,9.29
AT1G01250,3.91,4.54,3.53,3.46,4.71,3.38,2.83
AT1G01260,8.46,8.68,8.79,8.57,8.59,8.69,8.95
AT1G01280,1.23,1.35,1.65,0.71,1.62,0.69,1.28
AT1G01290,8.77,8.5,8.48,8.28,8.36,8.84,8.43
AT1G01300,9.69,9.71,9.88,9.62,9.39,10.11,9.59
AT1G01310,0.97,1.36,1.68,0.95,0.98,1.08,1.21
AT1G01320,7.06,6.62,7.21,7.34,7.37,7.42,7.37
AT1G01330,6.24,6.53,6.04,6.36,6.28,6.52,6.5
AT1G01340,8.97,9.04,8.84,9.2,9.42,9.54,9.19
