"GeneID","Heat.Root.15","Heat.Root.30","Heat.Root.60","Heat.Root.180"
"1","AT1G01010",8.27,8.6,8.25,6.79
"2","AT1G01030",4.48,4.88,2.79,2.29
"3","AT1G01040",9.05,9,8.42,8.63
"4","AT1G01050",11.35,11.47,11.61,11.12
"5","AT1G01060",8.7,7.81,7.39,4.56
"6","AT1G01070",8.98,8.46,8.25,8.04
"7","AT1G01080",7.14,7.71,6.94,6.61
"8","AT1G01090",11.32,11.6,11.47,10.86
"9","AT1G01100",13.38,13.57,13.75,13.82
"10","AT1G01110",7.7,7.82,7.04,6.48
"11","AT1G01120",10.73,10.75,10.65,10.48
"12","AT1G01130",5.83,5.54,3.65,4.38
"13","AT1G01140",2.59,1.57,3.27,1.42
"14","AT1G01150",4.45,5.27,4.61,4.39
"15","AT1G01160",9.71,9.31,9.5,10.13
"16","AT1G01170",9.55,8.83,8.98,9.3
"17","AT1G01180",6.63,6.58,6.42,6.77
"18","AT1G01190",10.59,10.03,10.12,6.97
"19","AT1G01200",6.84,6.97,5.45,4.8
"20","AT1G01220",8.4,8.49,7.83,7.56
"21","AT1G01225",8.29,8.22,7.61,7.15
"22","AT1G01230",9.64,9.63,9.61,9.38
"23","AT1G01240",9.21,9.36,9.77,10.2
"24","AT1G01250",3.25,3.92,4.92,5.38
"25","AT1G01260",8.22,8.36,7.75,8.12
"26","AT1G01280",1.57,1.93,0.62,2.06
"27","AT1G01290",8.66,8.64,8.38,7.93
"28","AT1G01300",8.87,9.58,9.6,8.36
"29","AT1G01310",1.13,1.87,0.9,1.54
"30","AT1G01320",7.12,6.81,6.89,7.66
"31","AT1G01330",6.52,7.04,6.35,6.73
"32","AT1G01340",8.62,8.83,8.5,7.75
"33","AT1G01360",9.84,9.77,9.69,10.91
"34","AT1G01370",7.25,7.25,6.96,6.34
"35","AT1G01390",3.83,4.98,4.71,3.31
"36","AT1G01410",4.66,5.12,3.86,4.28
"37","AT1G01420",5.7,5.42,4.45,4.92
"38","AT1G01430",9.1,8.82,8.57,8.64
"39","AT1G01440",7.55,7.38,7.64,7.78
"40","AT1G01450",5.51,5.98,5.53,6.02
"41","AT1G01460",2.26,2.85,2.24,2.63
"42","AT1G01470",10.97,10.65,11.22,11.5
"43","AT1G01480",5.7,6.27,5.7,6.29
"44","AT1G01490",11.46,11.44,11.21,11.77
"45","AT1G01500",8.84,8.61,8.18,8.47
