"GeneID","Heat.Shoot.15","Heat.Shoot.30","Heat.Shoot.60","Heat.Shoot.180"
"1","AT1G01010",4.09,4.34,3.74,4.09
"2","AT1G01030",5.85,6.31,5.68,3.04
"3","AT1G01040",8.77,8.9,7.93,8.58
"4","AT1G01050",11.23,11.12,10.98,10.59
"5","AT1G01060",11.59,11.31,10.29,6.61
"6","AT1G01070",7.66,7.23,6.78,6.4
"7","AT1G01080",10.57,10.82,10.36,9.63
"8","AT1G01090",11.73,12.11,12.21,11.7
"9","AT1G01100",12.89,13.12,13.41,13.27
"10","AT1G01110",4.62,3.12,2.93,2.66
"11","AT1G01120",11.02,10.75,9.46,10.88
"12","AT1G01130",4.22,2.67,2.54,2.67
"13","AT1G01140",10.18,9.86,9.78,11
"14","AT1G01150",5.03,4.53,5.12,4.58
"15","AT1G01160",9.09,9.44,9.29,10.1
"16","AT1G01170",11.82,11.74,11.82,11.88
"17","AT1G01180",6.18,6.17,6.5,5.78
"18","AT1G01190",2.58,3.96,3.28,5.27
"19","AT1G01200",5.7,3.36,3.82,3.6
"20","AT1G01220",8.54,8.51,8.24,8.41
"21","AT1G01225",7.61,7.45,7.12,7.33
"22","AT1G01230",9.46,9.44,9.22,8.83
"23","AT1G01240",9.16,9.5,10.06,10.03
"24","AT1G01250",6.75,6.29,6.14,4.56
"25","AT1G01260",7.13,7.87,7.08,7.55
"26","AT1G01280",1.34,1.52,2.06,1.25
"27","AT1G01290",8.48,8.62,8.02,7.41
"28","AT1G01300",8.33,9.17,8.61,7.73
"29","AT1G01310",2.08,1.92,1.24,2.67
"30","AT1G01320",11.6,11.76,11.35,11.4
"31","AT1G01330",9.66,8.92,9.64,9.58
"32","AT1G01340",5.63,4.67,4.39,4.23
"33","AT1G01360",8.94,9.24,8.66,9.47
"34","AT1G01370",6.98,6.95,6.51,6.08
"35","AT1G01390",7.76,7.12,5.94,5.48
"36","AT1G01410",5.12,4.93,2.86,2.85
"37","AT1G01420",6.96,6.54,6.15,6.28
"38","AT1G01430",10.93,10.56,10.52,10.29
"39","AT1G01440",7.44,7.7,7.46,7.77
"40","AT1G01450",5.6,5.59,6.04,5.04
"41","AT1G01460",2.58,1.88,2.54,2.56
"42","AT1G01470",10.34,10.16,10.01,10.14
"43","AT1G01480",3.65,3.56,3.91,5.81
"44","AT1G01490",12.07,11.79,11.45,11.64
"45","AT1G01500",9.01,8.68,7.8,9.1
"46","AT1G01510",9.09,9.41,9.45,9.7
"47","AT1G01520",7.54,6.75,6.49,5.11
"48","AT1G01530",4.7,5.11,3.93,5.24
"49","AT1G01540",10.39,10.23,9.87,10.14
"50","AT1G01550",11.19,11.48,10.91,11.22
"51","AT1G01560",7.02,6.79,7.14,6.86
"52","AT1G01570",6.05,6.23,6.27,5.48
"53","AT1G01600",7.85,7.63,7.29,7.22
"54","AT1G01610",9.59,10.05,9.75,9.89
"55","AT1G01620",12.93,12.91,13.14,13.38
"56","AT1G01630",10.53,10.42,10.2,9.61
"57","AT1G01640",3.28,4.63,3.86,3.8
"58","AT1G01650",8.81,9.38,9.16,8.43
"59","AT1G01660",2.83,4.46,4.85,3.75
"60","AT1G01670",6.89,6.7,5.99,6.5
"61","AT1G01690",6.63,6.27,6.48,6.56
"62","AT1G01700",4.21,4.03,4.73,3.38
"63","AT1G01710",8.53,8.83,8.59,8.74
"64","AT1G01720",8.47,9.11,10.46,10.18
"65","AT1G01725",8.16,7.88,7.9,8.49
"66","AT1G01730",8.57,8.53,8.14,7.78
"67","AT1G01740",8.38,8.07,8.1,7.17
"68","AT1G01750",1.81,2.21,2.54,4.17
"69","AT1G01760",3.06,2.91,3.13,2.85
"70","AT1G01770",8.39,8.43,8.77,9.32
"71","AT1G01780",7.14,7.2,7.31,8.19
"72","AT1G01790",11.7,11.54,11.32,10.38
"73","AT1G01800",10.72,10.5,10.41,10.47
"74","AT1G01820",8.61,9.11,9.12,9.8
"75","AT1G01830",7.08,7.82,9.32,8.29
"76","AT1G01840",7.17,6.8,7.26,7.33
"77","AT1G01860",7.91,7.83,6.98,7.36
"78","AT1G01900",8.2,7.53,7.3,7.27
"79","AT1G01910",9.85,9.98,9.79,9.56
"80","AT1G01920",6.98,6.99,7.22,6.75
"81","AT1G01930",8.77,8.75,8.89,9.77
"82","AT1G01940",8.21,8.77,10.91,12.31
"83","AT1G01950",8.48,8.26,8.12,8
"84","AT1G01960",8.07,9.4,9.49,9.29
"85","AT1G01970",9.75,9.7,9.44,9.38
"86","AT1G01980",2.93,3.04,2.79,3.09
"87","AT1G01990",8.43,8.74,8.37,8.9
"88","AT1G02000",7.6,7.58,7.7,7.31
"89","AT1G02020",8.72,8.82,8.56,8.41
"90","AT1G02050",5.96,6.45,5.33,4.69
"91","AT1G02060",6.24,6.26,6.42,6.69
"92","AT1G02070",4.3,5.39,5.14,5.95
"93","AT1G02080",10.26,10.41,10.19,10.22
"94","AT1G02090",8.43,8.79,10.11,10.39
"95","AT1G02100",8.63,8.9,9.12,9.59
"96","AT1G02110",7.76,8.57,8.25,8.5
"97","AT1G02120",9.86,9.98,9.74,9.41
"98","AT1G02130",9.48,9.62,9.61,9.39
"99","AT1G02140",10.91,11.75,11.8,12.16
"100","AT1G02150",11.64,11.64,11.57,11.12
"101","AT1G02160",9.63,9.51,9.52,9.07
"102","AT1G02170",8.73,9.31,9.29,9.26
"103","AT1G02180",7.88,7.83,7.77,7.99
"104","AT1G02190",4.67,3.6,3.75,6.07
"105","AT1G02200",8.99,8.48,8.08,8.82
"106","AT1G02205",9.98,9.81,8.68,9.4
"107","AT1G02220",5.69,4.78,4.88,2.9
"108","AT1G02250",5.85,5.31,5.72,6.01
"109","AT1G02260",8.01,8.55,8.02,7.05
"110","AT1G02270",8.52,8.68,8.66,9.09
"111","AT1G02280",11.17,11.09,10.99,11.25
"112","AT1G02300",7.81,7.87,8.25,10.21
"113","AT1G02305",10.45,10.66,10.6,11.14
"114","AT1G02310",6.2,5.94,5.84,6.02
"115","AT1G02320",-0.61,2.33,0.53,-0.25
"116","AT1G02330",8.92,8.82,8.55,9.18
"117","AT1G02340",6.86,6.51,5.85,7.69
"118","AT1G02360",4.38,5.04,6.01,4.46
"119","AT1G02370",6.42,6.47,5.5,7.68
"120","AT1G02390",7.18,6.74,6.46,7.19
"121","AT1G02400",6.02,6.12,6.14,6.42
"122","AT1G02410",9.74,9.25,8.93,9
