"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins"
"1","AT1G01010",1.827,1.649,1.5,2.739,5.675
"2","AT1G01020",6.27,5.611,5.172,5.747,7.511
"3","AT1G03987",0.312,0,0.28,0.118,0.098
"4","AT1G01030",2.462,1.15,5.768,4.825,2.212
"5","AT1G01040",9.085,10.256,11.511,12.622,14.587
"6","AT1G03993",0,0,0,0,0
"7","AT1G01050",62.984,60.709,52.553,55.318,94.802
"8","AT1G03997",0.052,0,0.15,0,0.047
"9","AT1G01060",162.008,115.529,75.462,30.788,67.103
"10","AT1G01070",2.867,1.363,0.928,0.351,1.508
"11","AT1G04003",0,0,0,0,0
"12","AT1G01080",48.38,47.093,36.16,37.188,25.557
"13","AT1G01090",92.602,92.272,79.449,88.775,97.842
"14","AT1G01100",108.444,109.219,76.522,93.874,141.581
"15","AT1G01110",0.89,0.406,0.222,0.065,0.048
"16","AT1G01120",64.356,45.22,3.58,19.404,18.867
"17","AT1G01130",4.268,4.759,1.198,0.592,1.011
"18","AT1G01140",113.616,185.271,150.221,146.344,68.551
"19","AT1G01150",0.008,0.048,0,0.029,0.008
"20","AT1G01160",10.549,6.615,5.213,5.899,8.395
"21","AT1G04007",1.611,0.603,0.592,1.345,1.745
"22","AT1G01170",45.388,45.562,34.194,27.22,24.865
"23","AT1G04013",4.961,4.174,2.053,3.276,3.126
"24","AT1G01180",4.026,0.728,0.504,2.096,1.582
"25","AT1G01190",2.341,2.971,0.697,1.066,0.444
"26","AT1G01200",1.46,1.646,0.73,0.572,0.366
"27","AT1G01210",6.617,8.529,5.135,7.007,11.782
"28","AT1G04017",0,0,0,0,0
"29","AT1G01220",5.976,5.415,5.671,8.762,11.702
"30","AT1G04023",0,0,0,0,0
"31","AT1G01225",1.657,1.402,1.27,1.09,0.9
"32","AT1G01230",14.361,18.812,28.018,29.928,32.131
"33","AT1G01240",5.035,2.744,6.165,7.476,12.341
"34","AT1G01250",11.763,4.61,3.994,8.351,16.392
"35","AT1G01260",3.822,5.354,4.798,5.197,5.13
"36","AT1G01270",0,0,0,0,0
"37","AT1G01280",0,0,0,0,0.006
"38","AT1G01290",5.691,4.762,3.568,2.793,4.328
"39","AT1G01300",18.032,66.84,101.014,37.925,15.134
"40","AT1G01305",0,0,0,0,0
"41","AT1G01310",0.014,0,0,0.016,0.027
"42","AT1G01320",123.008,90.584,39.698,47.991,83.62
"43","AT1G01335",0,0,0,0,0
"44","AT1G01340",1.379,1.692,1.208,1.306,1.06
"45","AT1G01350",8.966,8.63,8.46,9.95,10.181
"46","AT1G01355",0.14,0.168,0.094,0.234,0.23
"47","AT1G01360",10.821,19.788,22.27,16.086,10.332
"48","AT1G01370",1.03,0.897,0.664,0.992,0.92
"49","AT1G01380",0.869,0.656,0.59,0.814,1.039
"50","AT1G01390",15.733,16.309,16.035,18.111,13.96
"51","AT1G01400",0,0,0,0.039,0
"52","AT1G01410",0,0,0.034,0,0
"53","AT1G01420",7.801,19.443,19.851,27.37,12.168
