GeneID,60mins,180mins,360mins,720mins,1440mins
AT1G01010,1.967,3.42,2.35,4.04,3.64
AT1G01020,6.707,8.307,10.673,13.317,10.162
AT1G03987,0.452,0.834,0.28,1.247,0.255
AT1G01030,2.839,2.987,1.393,1.795,0.755
AT1G01040,3.716,4.697,5.147,10.995,9.494
AT1G03993,0,0,0,0,0
AT1G01050,52.726,37.904,45.999,37.118,22.022
AT1G03997,0.579,0.164,0,0.123,0
AT1G01060,127.321,70.296,36.298,7.349,0.314
AT1G01070,0.896,0.6,1.64,2.619,2.276
AT1G04003,0,0,0,0,0
AT1G01080,39.828,19.049,16.407,10.575,1.756
AT1G01090,105.632,76.505,80.981,40.648,38.53
AT1G01100,172.075,274.113,153.957,133.541,175.178
AT1G01110,0.186,0.516,0.369,1.104,0.701
AT1G01120,16.162,18.657,10.02,8.733,3.197
AT1G01130,1.967,2.827,0.99,1.194,1.381
AT1G01140,67.55,97.873,78.597,61.314,42.747
AT1G01150,0.026,0,0,0,0
AT1G01160,10.366,12.326,22.871,32.511,24.578
AT1G04007,0.885,0.984,3.003,5.951,5.005
AT1G01170,32.883,66.007,138.639,183.779,99.188
AT1G04013,2.963,3.116,4.327,2.886,1.05
AT1G01180,1.604,4.941,7.734,9.176,10.399
AT1G01190,0.702,0.962,1.399,0.7,0.099
AT1G01200,0.679,0.038,0,0,0
AT1G01210,7.472,6.349,8.988,12.537,11.283
AT1G04017,0,0,0,0,0
AT1G01220,3.3,2.751,3.103,7.037,2.702
AT1G04023,0,0,0,0,0
AT1G01225,1.598,0.895,0.533,0.569,0.696
AT1G01230,7.769,8.964,8.89,8.088,5.615
AT1G01240,3.595,25.376,29.883,42.728,99.379
AT1G01250,2.21,1.542,0.834,2.44,1.061
AT1G01260,1.95,2.947,8.239,13.676,18.862
AT1G01270,0,0,0,0.466,0
AT1G01280,0,0,0,0,0.028
AT1G01290,3.023,3.159,2.67,2.514,1.561
AT1G01300,3.299,1.985,3.792,3.811,4.699
AT1G01305,0.398,0.075,0.136,0,0
AT1G01310,2.601,0.944,1.115,2.16,1.74
AT1G01320,70.323,70.022,88.243,118.15,115.611
AT1G01335,0,0.369,0.31,1.984,3.628
AT1G01340,0.839,2.251,4.222,2.542,4.016
AT1G01350,7.577,16.211,18.912,13.508,17.806
AT1G01355,0.187,0.362,0.996,0.584,0.914
AT1G01360,37.139,37.807,20.363,12.566,29.293
AT1G01370,0.646,0.436,0.628,0.268,0.064
AT1G01380,0.528,0.585,0.46,0.674,0.46
AT1G01390,9.266,4.314,3.42,2.357,0.019
AT1G01400,0,0,0,0,0
AT1G01410,0,0,0,0,0
AT1G01420,3.777,2.556,3.586,2.951,0.584
AT1G01430,8.392,10.441,10.717,10.343,3.772
AT1G01440,2.144,3.76,5.208,8.944,12.195
