GeneID,60mins,180mins,360mins,720mins,1440mins,2880mins
AT1G01010,19.946,11.367,5.803,8.205,5.256,4.899
AT1G01020,11.245,12.622,9.867,9.131,8.163,7.564
AT1G03987,4.821,4.758,1.355,1.309,0.118,0.811
AT1G01030,26.977,14.989,5.135,3.433,4.508,4.801
AT1G01040,16.317,11.171,10.822,11.584,9.546,10.785
AT1G03993,0,0,0,0,0,0
AT1G01050,44.898,42.148,51.072,63.811,77.141,67.679
AT1G03997,0.124,0,0,0,0.112,0
AT1G01060,157.984,45.596,5.367,5.157,263.137,245.916
AT1G01070,0.722,2.52,4.113,1.458,6.798,6.143
AT1G04003,0,0,0,0,0,0
AT1G01080,39.865,36.131,40.439,70.919,45.667,39.852
AT1G01090,100.905,94.857,89.707,88.695,107.298,107.345
AT1G01100,124.793,144.935,91.562,113.517,156.888,115.439
AT1G01110,0.377,0.134,0.909,0.754,0.334,0.738
AT1G01120,143.591,74.513,50.193,43.085,55.321,60.62
AT1G01130,5.19,3.316,3.994,8.594,6.925,2.827
AT1G01140,109.835,69.751,43.776,68.043,41.718,39.942
AT1G01150,0.021,0.023,0,0,0,0.024
AT1G01160,12.081,17.122,13.972,14.311,15.332,16.125
AT1G04007,2.752,3.029,3.293,3.354,2.275,3.365
AT1G01170,28.244,49.718,74.314,58.839,66.351,49.341
AT1G04013,1.663,6.218,4.849,7.467,8.096,6.533
AT1G01180,2.822,10.552,8.912,6.995,6.815,6.844
AT1G01190,2.198,1.028,6.563,2.46,3.48,1.79
AT1G01200,1.484,0.791,0.626,0.775,1.274,1.129
AT1G01210,7.16,6.027,5.742,7.403,10.674,9.415
AT1G04017,0,0,0,0,0,0
AT1G01220,4.068,6.72,7.386,11.046,5.933,6.575
AT1G04023,0,0,0,0,0,0
AT1G01225,0.706,1.774,2.075,1.994,1.456,1.848
AT1G01230,17.947,27.74,29.267,23.787,15.07,14.489
AT1G01240,4.166,20.687,26.451,7.307,3.628,5.111
AT1G01250,7.061,8.177,6.41,7.876,15.043,11.637
AT1G01260,13.89,3.767,4.332,6.113,3.727,4.865
AT1G01270,0,0,0,0,0,0
AT1G01280,0.042,0,0,0,0,0.022
AT1G01290,4.251,6.429,6.45,5.415,5.885,6.96
AT1G01300,12.926,7.638,8.034,25.731,4.845,6.832
AT1G01305,0,0.059,0,0,0.052,0
AT1G01310,0.175,0.074,0.142,0.118,0.362,0
AT1G01320,61.024,60.662,56.311,91.882,96.711,121.16
AT1G01335,0,0,0,0,0,0
AT1G01340,2.61,0.479,0.453,1.807,1.56,2.039
AT1G01350,15.884,11.569,8.837,10.361,9.677,9.355
AT1G01355,0.356,0.252,0.236,0.07,0.399,0.17
AT1G01360,25.462,11.359,10.386,11.7,24.45,28.006
AT1G01370,0.909,0.374,0.596,1.56,1.098,0.676
AT1G01380,0.844,1.211,1.818,1.345,1.611,1.113
AT1G01390,5.772,4.896,9.579,10.511,21.878,19.671
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,8.922,13.12,6.513,4.606,11.185,12.448
AT1G01430,18.799,47.86,32.812,16.009,27.466,25.889
AT1G01440,4.416,6.23,6.312,9.329,4.758,6.014
AT1G01448,0.808,1.838,2.103,2.581,1.461,1.428
AT1G01450,0.025,0.104,0.082,0.043,0.022,0
AT1G01453,0.022,0,0,0,0,0
AT1G01460,0,0.04,0.015,0,0,0
AT1G01470,324.423,144.833,158.335,168.772,76.562,59.008
AT1G01480,1.248,1.246,1.058,0.649,0.324,0.194
AT1G01490,30.303,42.529,27.761,21.001,44.141,43.819
AT1G01500,4.845,9.433,12.422,10.141,2.705,3.56
AT1G01510,9.335,10.161,10.42,11.872,8.899,9.977
AT1G01520,22.844,8.16,2.21,1.013,68.41,61.828
AT1G01530,0.224,0.096,0,0.154,0.084,0
AT1G01540,61.739,43.734,34.985,49.401,35.584,43.61
AT1G01550,73.768,72.316,71.232,67.342,76.888,68.549
AT1G01560,1.524,0.912,1.536,17.782,2.776,1.152
AT1G01570,2.443,0.778,1.262,1.25,1.356,1.078
AT1G01580,2.739,2.744,1.962,0.899,4.604,3.067
AT1G01590,0.066,0.042,0.024,0.034,0.073,0.228
AT1G01600,1.994,0.618,0.331,0.216,0.289,0.748
AT1G01610,64.239,62.242,32.112,29.375,26.84,32.328
AT1G01620,178.523,204.606,203.686,134.852,223.699,191.084
AT1G01630,21.359,30.484,35.75,34.159,31.746,27.466
AT1G01640,0.644,0.522,1.809,2.39,1.563,1.684
AT1G01650,77.333,18.093,12.749,23.469,11.241,14.252
AT1G01660,0.495,0.326,0.266,1.126,0.379,0.673
AT1G01670,0.976,1.02,0.868,2.55,0.908,1.668
AT1G01680,0.259,0.622,2.488,2.527,1.451,0.432
AT1G01690,0.592,0.713,1.617,1.976,0.928,0.794
AT1G01695,0.041,0.111,0.1,0.271,0.193,0.108
AT1G04033,0,0.102,0,0,0,0.209
AT1G04037,6.878,3.434,2.482,3.617,1.813,2.39
AT1G01700,1.139,1.167,1.342,1.622,1.016,0.664
AT1G01710,31.464,28.26,24.928,24.648,21.334,24.701
AT1G01715,3.288,1.916,1.318,1.977,2.531,2.114
AT1G04043,0,0,0,0,0,0
AT1G01720,46.776,17.426,16.834,23.706,48.066,35.396
AT1G01725,12.473,17.065,19.587,14.771,16.08,12.925
AT1G04047,0.688,0.812,0.798,1.105,1.28,0.983
AT1G01730,5.604,7.346,10.769,12.746,10.338,8.98
AT1G01740,1.816,2.477,2.948,3.027,2.824,3.166
AT1G01750,0.163,0.318,0.158,0.228,0.243,0.319
AT1G04053,0.119,0.128,0.056,0,0,0.062
AT1G01760,1.242,1.748,2.192,1.745,1.797,1.88
AT1G04057,0,0,0,0,0,0
AT1G01770,5.067,9.321,13.684,13.626,7,8.136
AT1G01780,2.397,5.803,6.835,5.531,4.796,3.763
AT1G01790,54.197,42.525,37.883,59.733,60.418,73.256
AT1G04063,0,0.078,0.069,0,0,0
AT1G01800,41.293,42.056,44.761,63.183,54.902,53.739
AT1G01810,0.525,1.182,0.53,0.862,0.735,0.556
AT1G01820,16.06,23.374,42.144,41.467,23.475,22.057
AT1G01830,6.401,10.785,7.415,8.229,12.672,12.227
AT1G04067,0,0,0,0,0,0
AT1G01840,0,0.089,0.134,0.037,0.078,0
AT1G01860,4.342,6.967,8.055,7.44,7.058,6.428
AT1G04073,0,0.63,0.613,0.254,0.412,0.152
AT1G01870,0,0,0,0,0,0
AT1G01880,0.367,0.586,0.554,0.821,0.75,0.66
AT1G01890,0,0,0,0,0.88,0
AT1G01900,2.16,2.373,1.396,2.321,1.387,0.757
AT1G04077,0,0,0,0,0,0
AT1G01910,18.582,26.129,25.799,26.682,13.814,17.252
AT1G04083,0.128,0.536,0.754,1.085,0.232,0.276
AT1G01920,5.255,5.008,3.927,6.255,5.262,5.008
AT1G01930,5.798,6.235,6.042,6.48,5.22,5.705
AT1G01940,4.542,5.236,5.774,8.491,5.836,5.659
AT1G01950,6.657,5.476,5.091,7.562,7.92,8.769
AT1G01960,9.166,10.024,13.224,16.645,8.457,10.486
AT1G01970,18.797,19.74,21.274,24.226,24.813,24.105
AT1G01980,0.018,0,0,0,0,0.037
AT1G01990,9.332,9.976,9.393,10.322,10.255,11.322
AT1G02000,11.576,7.261,5.576,5.434,7.027,8.198
AT1G02010,4.957,4.728,5.447,5.199,6.119,7.377
AT1G02020,6.057,5.295,5.992,8.008,6.304,8.48
AT1G02030,0.08,0.052,0.132,0.127,0.06,0.226
AT1G02040,0,0.031,0.055,0.026,0.027,0.032
