,exp1,exp2,exp3,exp4,exp5,exp6
AT5G53980,4.2376433,1.180806746,5.370107823,6.209973686,5.800051344,7.399998556
AT2G21900,4.858143906,2.449878699,1.820119375,2.750048135,3.500085681,6.170013638
AT1G68240,5.186472651,0.610236825,1.839979462,1.680126435,3.650043001,4.989997272
AT2G28700,1.180639236,2.010544891,4.8397651,3.010112957,4.770010269,5.090012676
AT3G61950,2.511486416,4.439842116,3.619821579,2.230118092,4.069888005,0.580072845
AT3G63350,6.1095302,5.499682308,3.849821579,2.460021821,2.799983955,2.300012034
AT5G60140,3.6709396,4.889555231,2.580102688,3.380055837,4.24995732,2.919956678
AT3G02310,3.688606004,1.880508308,4.519715039,2.300194466,5.329866184,1.160025833
AT4G37850,4.700323469,5.119730443,3.720077016,4.319856236,2.079989089,1.739997754
AT3G02550,6.498652214,4.750175212,5.660186123,7.110020538,7.430031127,8.400009467
AT4G03170,2.24835185,0.110300364,1.670152749,2.859971761,2.419965343,1.3400568
AT4G18390,3.659969193,3.620148256,4.389677815,1.880022463,2.230068994,4.380030165
AT3G12820,5.119160522,4.029976895,3.910189974,5.390157884,7.849975291,7.079970477
AT4G25410,5.170870285,6.299886401,5.709939671,5.240032732,5.749880946,2.040028079
AT4G22680,3.59882165,2.069747771,0.760005134,0.800244527,4.609935178,2.590015885
AT3G53310,3.350061613,3.430333096,5.159786921,3.499808743,0.520115525,4.120004814
AT2G20180,1.842618556,5.239982671,5.150141197,6.249930685,5.170022142,5.859995026
AT5G58080,5.108297939,2.899639949,1.030361977,3.849915282,2.529954753,1.120021982
AT4G00232,3.688382657,1.590490979,4.140061613,4.619840833,2.140097875,5.189947212
AT5G60970,1.572426015,4.719437781,1.800130928,2.820148256,5.129939029,3.230019415
AT5G06070,2.138813948,0.60077594,4.629856236,3.509994866,3.430024709,4.19996454
AT4G11880,3.229083505,2.040190615,3.030211795,4.679962134,4.090000642,4.110036583
AT5G43840,0.190238751,0.500240676,1.749919133,1.119977537,0.770113599,4.309961492
AT3G60390,3.911093632,5.329957641,5.11,5.11002118,5.440008343,5.699937585
AT3G23250,4.889337659,4.030217571,5.160069315,5.70011745,7.529981067,6.940007862
AT1G63910,5.677196605,2.040575697,5.02990373,4.280048777,5.040038829,6.24998219
AT4G21050,2.450985809,3.729568708,1.490173287,2.840108465,4.529872281,0.5500215
AT1G66380,1.389376168,0.580616131,3.779647008,1.030159809,3.519994866,3.359997593
AT4G17710,3.451632747,5.569202881,1.430286244,3.66005712,4.549964701,3.450023747
AT3G01080,2.471802183,4.80983634,3.960075733,4.550039792,5.170032732,6.190003209
AT1G21340,3.850038508,3.899948014,3.630200243,5.189961492,4.589901804,1.53000722
AT4G26170,0.231848392,2.629562932,0.360195108,1.880058404,2.790035941,3.909967429
AT1G80580,5.12877544,3.539884475,2.93996791,2.69003209,3.189936462,1.21000369
AT4G10240,2.798952578,1.439917207,1.00990758,0.290129002,2.300063538,4.279973526
AT1G23420,4.448783142,2.869732368,1.480079584,2.100116166,3.910013799,4.34001059
AT1G01520,1.540415888,2.080477501,4.559901162,3.789897953,2.199951544,0.690027116
AT2G28610,4.536734507,0.300367753,2.21001797,2.350037225,2.929994866,2.769978821
AT5G51860,2.310862583,3.429539827,1.040438993,4.459830564,1.820058725,3.64996069
AT3G04410,3.720315767,4.130082793,4.559620053,1.600044926,2.299962134,1.120027277
AT1G71200,3.300877986,4.439638023,2.559925551,1.980034657,2.51995379,1.079992298
AT1G32540,3.560716252,4.489468587,1.730145047,2.860074449,4.020041075,5.299947693
AT4G25530,4.619522499,3.999780503,2.860200243,4.419831848,1.800114883,5.379953309
AT1G75430,3.927481565,0.660388933,2.680075733,3.270022463,3.619972723,2.770032251
AT5G44260,6.799044997,5.560136704,6.269844684,5.059856878,2.830052307,4.460010429
AT1G70510,5.167473864,1.890610355,5.060019254,5.210028881,5.65999294,5.439988127
AT1G56650,3.339899879,3.209751622,1.920193824,3.430109107,5.129873244,1.180018612
AT1G26680,5.939707338,5.559460886,2.760451829,6.279994866,6.200005455,6.369979623
AT4G26150,2.269853669,2.080371604,4.010026956,4.219807459,1.220062255,3.159965664
AT4G28140,2.78051601,3.449820937,2.520264423,4.579827355,1.890101726,5.059997272
AT2G42440,4.029360764,3.200057762,3.500211795,5.150046852,5.880023105,6.599977056
AT5G06510,2.460677744,3.340329245,5.049937103,4.560054553,5.410001605,5.46000722
AT5G62110,0.081155245,1.579476289,-1.139564858,2.249912073,0.879947372,-0.759993742
AT2G31210,2.990184839,3.229795907,2.169672681,-0.379847893,1.99001412,2.429976093
AT3G61250,1.341755973,3.620194466,4.630007702,4.689979462,4.370022142,5.059986843
AT3G27810,3.448944876,2.080065464,2.419961492,2.120012194,2.310072845,4.579935338
AT2G26320,3.49990758,3.379462811,0.590341439,3.250062255,4.219957641,2.899979141
AT5G42910,3.980146331,4.169403123,1.070179705,2.469971119,2.020049419,3.559966145
AT3G30530,3.750107823,3.889946089,3.610175854,4.979905013,3.500082151,6.060006097
AT1G71030,7.278659915,5.539959566,5.330192541,6.829880625,4.970077016,7.370013478
AT3G57670,2.729229836,1.730425515,3.940091136,4.650003851,4.710002888,4.799965664
AT5G67060,3.650793268,4.679976895,4.559735577,2.500018612,2.789960529,1.560048777
