,exp1,exp2,exp3,exp4,exp5,exp6
AT3G23250,3.579021892,2.310050061,2.570268274,4.660048135,5.410007381,5.640034336
AT2G12940,4.289476289,3.609374242,0.360001284,0.370076375,1.56003209,2.560042519
AT2G21900,1.831609642,3.919948014,3.649851102,2.48998588,2.270071561,4.500043001
AT1G57560,7.130631534,7.95007124,8.319901162,7.550066106,8.57994288,6.799944965
AT4G03170,-0.229322256,0.650075091,1.039789489,-0.59977922,2.840037225,3.999969193
AT4G25530,4.288297939,2.080258005,3.420195108,4.93979719,1.780109107,5.179933252
AT2G26150,5.538267132,3.290175212,4.19957641,0.900270841,5.119916566,2.520034336
AT5G53980,4.948890965,3.510335021,5.250097554,6.01001412,6.230062576,8.179990373
AT4G11880,3.638321044,1.460144406,2.210051344,2.61005712,3.500054232,5.190010108
AT2G20350,2.521278471,4.179364615,0.880123226,1.840052628,2.660077337,5.069992459
AT1G10585,3.608051486,1.080221422,2.230101405,3.019768951,-0.579867468,3.549989892
AT1G14440,4.120831777,5.199832489,4.329848535,3.14983634,0.600053591,2.270010911
AT2G37740,4.630731655,5.579222135,1.540101405,2.33004621,3.050018291,3.620026153
AT1G06170,2.65037738,3.139383869,-0.059436497,4.329869072,2.290062576,4.239965984
AT3G11020,4.290369679,4.770121301,5.400023105,5.57979719,2.420116166,6.040017489
AT3G27920,3.200854882,4.309347286,0.920382515,3.899810668,0.950077337,3.360016366
AT4G13480,2.87117835,4.399639949,2.530242602,4.419808743,1.440108144,4.810012997
AT1G33070,3.081255367,4.709200955,0.560057762,1.010111674,2.749985239,2.29002487
AT2G31210,2.349799757,2.089618769,0.110435142,3.499779862,0.07006065,1.960029523
AT5G27810,1.142487628,4.369815161,3.409865221,2.360146973,4.649935499,2.639973365
AT2G28700,2.5695302,1.959992298,1.920053911,2.339947372,1.520068352,3.650032732
AT5G27050,0.902079442,3.600346574,5.399676531,2.880062255,3.849951865,2.350029523
AT1G31630,2.487997575,-0.109815161,0.84995379,0.490129644,2.510043322,3.85998235
AT5G60470,4.488659915,2.749940312,2.440397918,5.539834415,2.959965984,1.900051826
AT1G66390,2.948174712,0.580077016,0.980302931,3.340046852,4.069986522,3.650005134
AT4G26150,1.78244912,4.959310704,1.380337588,4.01000706,4.120024389,4.879980265
AT3G44460,2.680877986,3.820152107,4.609647008,1.859987164,1.660122905,5.489969354
AT5G35900,2.94193311,5.449210582,1.350282393,3.550057762,4.450020538,5.089979302
AT1G54160,4.079661128,3.63962262,1.680164302,2.960144406,5.209931648,3.080041557
