,exp1,exp2,exp3,exp4,exp5
AT1G17950,0.280502532,2.890249533,6.129897953,2.94993229,0.839995427
AT2G40750,2.951134066,8.839829024,6.619993261,6.409968873,5.44000361
AT3G46130,0.980720103,4.719983827,4.509909827,1.699991336,1.42998219
AT2G46130,1.950696998,5.570067004,6.439938066,4.509959246,3.23997858
AT2G43140,1.070862583,5.549703487,1.699995507,1.560021821,2.239966546
AT5G52170,2.790433217,5.040083178,6.120028239,7.00001412,7.439979783
AT1G10585,1.890406261,4.00009473,5.230006739,5.439965984,4.3800568
AT5G62110,0.499799757,-0.539754318,2.650031769,3.63995732,2.309960529
AT1G69560,3.510263781,4.879751237,1.650069957,3.829904371,0.85007461
AT1G25330,3.749934536,3.409782814,0.589999037,0.56006771,2.669948736
AT5G39700,2.859946089,2.579829794,0.370119696,4.099901804,1.040060169
AT1G16640,1.200227198,2.380067774,3.260066427,5.329931648,3.200022142
AT1G67100,3.819876774,3.180211795,5.930018291,6.499955395,5.110034176
AT4G28110,5.190292662,6.710073936,7.669919775,5.16996791,4.17
AT5G51860,4.689343436,1.279963802,0.810080867,3.329964059,2.210005536
AT3G24650,5.119703487,3.580010012,3.709924909,1.370066106,3.429958363
AT2G25820,1.540165585,2.400106283,3.780031769,4.769879983,1.030037305
AT3G24310,4.259967268,4.089869072,2.389953469,0.940082472,3.50995379
AT5G65100,7.209664979,5.469940697,4.700008664,4.969984597,4.489966305
AT1G77980,4.889817086,3.939930685,3.03997497,2.260017329,2.799958122
AT4G17785,5.480381231,7.460027726,7.819897312,4.620023747,5.359994705
AT5G53200,2.840265706,4.220135549,5.979998075,5.920006418,6.119988448
AT1G31630,0.760063538,1.090164045,3.220008664,3.490003851,3.609952105
AT2G28610,4.419688084,2.800009242,2.920018612,3.49990758,0.620038508
AT4G37850,5.980292662,7.500039278,8.010034978,9.099997112,9.01000698
AT1G18710,4.139957641,3.920154803,5.930008664,6.200013478,6.620006258
AT5G67180,2.969763175,1.740010012,1.87008536,4.529998395,4.479990373
AT2G22200,3.309716965,1.840264166,5.269976895,4.549981388,3.970022624
AT2G34440,3.100219497,4.239782814,1.420000642,1.440001925,1.500048617
AT1G75250,5.150136704,5.859985367,5.669982992,5.140023747,5.879921299
AT5G61850,3.659428154,0.690265706,4.139938708,2.229994545,2.060010349
AT3G28470,2.789820937,1.860183299,4.239976253,3.499913357,0.800048135
AT3G23240,3.510367753,5.42004775,6.040022142,6.729988448,6.370005536
AT4G33280,4.310059688,4.619845967,2.619964701,1.52002503,2.300023827
AT5G62165,6.009728517,4.600021565,4.880057441,6.670004172,6.800021902
AT5G25160,4.239745846,2.919872923,1.27006065,3.159934857,1.13002503
AT5G23260,4.729636098,2.84004852,3.47003209,4.469927476,2.210074369
AT2G20880,9.619651501,7.809981516,7.569979462,6.929988448,6.569996149
AT3G02380,4.309464736,1.530251843,4.79998203,4.23997144,3.350019495
AT4G13480,4.220023105,4.339785124,1.550056158,3.300036904,4.44995355
AT4G01460,1.220140555,1.950062383,2.760045247,4.169974649,3.380015403
AT1G75520,4.599701562,3.050171746,5.279914961,2.629988768,2.280026715
AT4G25410,5.54971889,4.089965343,3.640037225,4.800030486,5.750025271
AT5G50480,4.480219497,5.619879854,4.060038508,5.259992298,5.019936943
AT4G31620,2.379792056,1.299933766,0.440022463,1.140002888,1.230058966
AT4G37780,2.050059688,2.360196392,4.909910148,2.110031127,3.080020939
AT5G22570,7.460591101,10.52995841,9.990017329,10.52998267,9.989989651
AT2G03710,2.529763175,1.300204864,3.960011232,4.309928118,2.070026715
AT1G33070,2.109757398,0.850184069,3.239993582,3.039914961,0.390041878
AT1G34170,4.529466662,1.76,1.760022784,2.470005455,2.639968953
AT4G09820,0.54025993,1.889956871,1.330017008,1.859948656,0.260076535
AT5G43840,2.489730443,1.09004775,1.71008183,4.25995379,2.819970156
AT5G57620,11.18987485,10.53992298,9.539976895,8.819975932,8.070034176
AT1G14440,0.820173287,1.720130928,3.419994866,3.259923305,0.870025271
AT5G14340,5.930489054,8.469772032,5.51000706,5.730009627,6.029990614
AT1G64000,4.77997497,4.650099351,5.939922021,3.510019896,4.129966546
AT5G56620,2.150381231,4.12985752,2.280080546,4.789950902,3.260025752
AT3G10590,4.599497468,1.990193311,4.49998235,3.949947693,2.320024068
AT2G03060,2.719942238,2.420215646,5.219958925,3.940026314,4.759981227
AT5G51870,5.01950517,2.450018484,2.690019575,3.299999358,3.27996438
AT4G00130,3.489776653,2.330126307,3.970036583,5.109969193,4.149955475
AT4G23810,5.850525637,8.580035428,9.039968552,8.05999647,7.949999519
AT1G28300,0.830408187,2.949917593,1.88001765,2.429987806,2.050048857
AT4G36870,2.999876774,2.360012323,2.520004493,2.660068673,4.799994464
AT2G12940,3.599449333,0.740030807,1.140006418,1.339987164,0.94002864
AT3G44750,8.310148256,9.080006931,9.170041717,10.47002343,11.1999769
AT4G39410,4.120323469,5.800025415,6.130008023,6.380016687,6.900004091
AT1G08810,3.939680382,2.28000231,2.310063859,4.300002567,4.379948977
AT2G20180,3.539832489,2.670144021,4.539977858,3.849998395,3.799945607
AT5G40350,2.029948014,1.760180988,4.109969514,3.159975932,2.410044284
AT5G06080,5.219957641,4.999911431,3.849974007,3.039984597,2.560023346
AT4G26170,2.190136704,2.900073936,3.859902446,0.820029844,1.749998556
AT5G04640,1.019957641,0.800079327,1.829924267,-0.529952186,0.960039712
AT5G42640,1.180302289,2.749987677,2.590052949,4.239921058,1.780029844
AT1G32770,1.99018869,2.969926834,2.019997754,1.950082793,4.529976414
AT1G56160,2.220073166,2.60014325,4.459988448,4.100009627,4.400006498
AT4G10240,3.569678457,1.90014171,3.739970156,2.809939991,0.940041637
AT5G15310,2.1402349,3.360079327,4.389906939,1.490043964,2.860019013
AT2G22750,4.060136704,4.769966113,4.330054553,6.030004493,6.170007942
AT3G50890,5.409553305,3.090013863,3.269972402,2.410037545,3.579981949
AT3G56520,3.179944163,2.89000154,2.909925872,0.600038829,1.81003562
AT5G27810,-0.12995379,0.110167896,2.289952827,0.819965984,-0.239953309
AT5G19490,3.199819012,2.260078557,3.280045247,4.689998716,4.650002407
AT4G00940,7.059963417,6.869989218,6.729940954,4.889998395,4.840012034
AT4G17695,1.340057762,1.639937617,0.829961813,-0.359905655,2.579944885
AT1G73830,2.330473651,4.789937617,3.980027918,4.849942559,3.059998075
AT4G35590,4.909743921,3.5800955,4.82003562,5.929978179,5.249951143
AT3G58190,5.389872923,4.730110133,6.159973686,5.33992876,3.120037545
AT1G34650,3.989572559,1.770128617,3.439980746,2.839958604,1.550051986
AT5G06710,2.460129002,3.130020794,3.400027598,4.259941917,2.450061854
AT1G29600,0.900028881,1.050030807,1.450022784,2.160043322,3.509980505
AT2G14760,3.249865221,2.550108593,3.95997144,3.069931969,0.950035139
