,exp1,exp2,exp3,exp4,exp5
AT1G17950,5.810604578,8.949993839,8.869959246,7.599869393,3.530038268
AT4G37780,2.16988255,1.560383541,6.539927155,4.2699002,1.160031288
AT5G60890,4.550198317,5.580149412,7.520060009,9.389990373,9.089972563
AT3G66656,5.259770876,4.069798217,1.449978179,0.770003851,0.890005776
AT4G37850,4.510240676,5.760020024,6.020068994,8.170027918,9.039999759
AT1G64000,6.380344648,8.17004929,8.809940633,6.959901804,3.900040434
AT1G73410,1.700379306,3.670117065,5.19002118,5.849882871,2.199995186
AT2G46130,7.140523711,9.859982286,9.629958925,8.349913036,5.640033695
AT4G38340,7.75959759,5.670024645,5.989997754,5.919908864,3.080026715
AT4G28110,9.940167511,10.80996765,10.38993101,8.239965343,7.160002888
AT5G11050,5.500057762,5.799919133,4.749955074,3.350000963,3.379956919
AT1G68880,6.149620694,4.179891407,2.770014761,3.229987806,2.849968953
AT3G48920,7.120051986,7.389932996,6.519901804,3.460057762,5.259987485
AT2G12900,2.750421665,4.939855979,3.06994673,1.41007124,3.629931407
AT5G06710,3.330080867,3.750214876,6.539989089,6.200010269,6.519998797
AT5G56860,4.369745846,3.050178678,5.369888005,1.879995828,1.750005776
AT2G43140,1.640440919,3.930007702,4.030010269,4.349922663,1.939973526
AT2G01430,8.790242602,10.04999692,10.00994448,8.279944163,6.540009868
AT2G26320,0.840144406,1.590258005,4.939879662,1.190022463,1.890012756
AT1G18710,4.809393496,1.660066234,2.520005776,2.700086323,5.389969193
AT5G17490,3.029820937,2.099964572,1.64008536,4.300008023,4.550015403
AT3G53820,5.339524424,2.869927605,1.930104614,5.18998588,4.749959085
AT1G01520,4.709503245,2.130162505,4.239903409,1.23008183,3.779959085
AT1G56650,3.880077016,4.27995456,3.689965022,2.599955395,1.209996149
AT4G22680,3.690338872,5.449779733,2.590010911,2.929991657,2.669966065
AT3G58190,7.289926834,6.909934536,6.059914319,3.3900783,5.830018773
AT2G45660,1.770504457,4.390022335,4.679988127,4.309938066,2.380068593
AT3G50750,2.9997651,1.780103972,3.130048135,4.62998588,4.190033695
AT1G66550,6.769888326,6.189808229,3.700015082,4.170011873,4.539975692
AT1G32770,1.329980746,1.230041589,1.770032732,2.790062255,4.729963177
AT1G31630,3.580028881,3.730027726,4.089938708,2.179983634,1.669977376
AT5G61470,5.239984597,5.159976895,4.860001925,4.919898595,1.760075813
AT5G10140,4.760211795,5.859772802,2.910025351,3.7000215,4.369947051
AT3G02380,4.119582186,1.950151722,3.92002856,4.809901162,1.730065705
AT1G06160,3.319847893,2.530175597,4.810009948,5.119936782,3.150065945
AT3G12910,3.479770876,2.290154033,4.289955074,2.889993903,2.699944885
AT2G20880,9.169584112,7.010013863,7.189977537,6.489988127,6.119980505
AT4G22950,2.23978628,1.130023105,1.430011232,1.780086964,4.489974007
AT2G27990,5.869331883,2.400015403,2.60004268,3.929965343,2.850008424
AT1G60350,2.910044284,3.140043129,3.69990758,0.820119696,4.549982431
AT5G06080,5.039986522,4.96995225,4.349927476,2.090013478,2.510016607
AT1G75250,3.129745846,1.810148642,3.740035941,4.859894423,1.570020939
AT4G23750,3.770375455,5.720098581,7.000005134,7.159974649,6.37000361
AT5G60970,2.770309991,4.379852129,2.459979783,1.830042359,3.149941034
AT2G22750,1.92051986,4.619942238,3.869926193,1.570039792,2.810029362
AT4G25410,2.910138629,3.629983827,3.420055195,5.140022142,5.829992058
AT5G16770,10.01007894,10.41999538,10.35995283,8.889962455,7.720003851
AT1G22130,4.239884475,3.639842887,1.600059046,3.439928439,1.210051505
AT1G80730,2.529699636,0.970218726,3.80992523,1.479985559,1.029989892
AT3G63350,4.649955716,4.42014094,6.250029202,7.159998395,7.109988207
AT1G14920,4.63033117,6.350041589,6.890020217,7.520002567,7.600007702
AT2G16910,6.939822862,6.019957641,5.469958283,4.169984276,3.680036101
AT3G13960,4.89002503,5.019865992,3.280017008,3.809944805,2.090013237
AT2G03060,2.690288811,4.189854439,2.299977216,1.590064501,3.600026234
AT1G30500,3.430342723,5.210043899,5.780022142,6.469998075,6.410000722
AT3G44750,7.360180988,8.300084718,9.400036262,10.52998235,9.97999639
AT2G20570,6.019378093,2.790127077,4.440046531,5.88995379,4.45000698
AT5G56200,6.28990373,5.789968423,5.379976574,4.649982671,4.109975451
AT3G27650,3.030184839,3.990130158,5.679998716,5.639935178,3.619991336
AT4G27410,14.43976125,13.19993223,12.31996021,11.08003402,12.13999471
AT2G46870,3.790346574,5.589836725,3.469950902,1.940052307,3.570000722
AT5G25470,5.029376168,1.790167896,3.970022142,4.659990373,4.359999519
AT4G31620,4.429406974,1.350083178,2.429989731,2.109977537,1.41003562
AT5G15060,5.869730443,4.470016944,4.690003209,4.789923946,2.420036823
AT5G39700,2.939824788,2.030174057,4.289975291,3.519948656,1.919983153
AT4G34680,7.480009627,7.529932996,6.659997754,6.58993229,4.480034176
AT2G26580,2.259813235,1.290173287,3.539957962,2.230045568,3.649932851
AT5G07100,4.350475576,6.820016173,7.030006097,7.220000321,7.229999519
AT1G13600,9.609564858,7.350026186,7.689995507,7.549963417,6.410006258
AT2G16210,3.040336947,4.790073166,5.739974007,4.930015403,5.409948014
AT1G77950,3.810051986,4.079854439,2.190044605,3.57997144,2.689962936
AT1G71030,5.180011552,5.239896028,3.890046852,5.349913036,2.64006402
AT1G61110,4.949455109,2.1202349,5.169971761,4.290011873,4.659991576
AT3G01080,4.609482065,1.919975355,1.60003915,2.819974007,2.010004573
AT5G52260,5.029824788,4.119868302,2.410022142,3.100013799,3.529965102
AT2G38300,3.27992876,2.910013863,3.08993935,1.200109748,4.619965102
AT3G28470,2.700107823,3.26,3.260064501,5.26992876,3.04997497
AT5G18000,4.289844042,3.479970734,3.09998588,2.659956678,1.310067389
AT5G43840,2.029682308,0.380225658,3.309985239,2.849945126,1.140008424
AT5G61430,7.319996149,7.299898338,5.979991015,5.69996438,4.59001781
AT3G61910,4.549555231,2.240113984,3.720044926,5.119931327,2.980000722
AT4G17785,10.47020217,11.52000847,11.62996438,10.51996149,9.319993261
AT1G16060,8.790204093,9.849916052,8.759980104,8.139964059,7.02000361
AT5G40360,3.859595664,1.760044669,2.339979783,1.710073486,3.999992539
AT5G60200,8.940161734,9.779966113,9.34004974,10.89001797,11.44999519
AT5G07700,6.209930685,5.849973814,5.509998075,5.449982992,4.919959085
AT3G23230,4.810387007,6.820064694,7.659997433,7.57998235,7.030004573
AT1G75430,3.909896028,3.369959181,2.839978821,2.180079904,4.670004814
AT1G17590,2.940057762,3.23990604,2.020070277,4.209924267,1.850058966
AT2G39880,3.670412037,5.810030807,6.209991977,5.960014761,6.419962214
AT5G10970,1.890431292,4.129938387,3.329969835,2.390065785,4.439949939
AT5G67180,1.440223347,2.599936076,1.770084397,4.399947051,2.750002888
AT1G26680,2.829998075,2.819955331,2.240085681,4.909983955,4.40997136
AT3G61950,4.079951865,3.829924524,2.850033053,3.879941917,2.069990132
AT2G42280,5.390390858,7.419989218,7.280025993,8.089994866,7.93000361
AT1G74430,3.590217571,4.719789745,1.990040113,3.240047173,4.709980987
AT3G44460,3.219859445,2.490063924,3.32003562,4.430031127,5.39995716
AT5G16600,9.159603366,7.099966113,6.660008023,6.909998075,6.8499858
AT3G46770,5.619495543,3.0001394,4.809946089,3.130025672,3.929991817
AT5G11590,4.379869072,3.700083178,4.779910148,1.980063218,3.949975451
AT2G20350,4.100065464,4.439916052,3.349942238,1.550073807,3.849993261
AT2G31210,2.420284961,3.899789745,1.170000321,1.180044926,2.579991576
AT2G28450,5.71025993,7.060073936,8.020011552,8.379987164,7.980005776
AT2G22760,6.840177138,7.760038508,8.260020217,8.89002856,9.779976414
AT4G37650,3.910179063,4.840097811,6.110014441,6.55997497,5.780012756
AT5G62110,1.119886401,0.529851358,-1.399956357,-0.039970798,0.870012034
AT1G19510,3.590032732,3.759835185,1.620067389,3.720008343,3.980015163
AT5G61420,2.140211795,3.239891407,1.830069315,3.989965984,2.930035379
AT5G57720,6.219709263,4.710056222,5.439968873,4.46996791,3.470010349
AT5G04640,0.470180988,1.410130928,3.109926834,0.830025351,1.620022142
AT1G28300,4.520132853,5.210006931,5.299954753,3.89000353,3.999966065
AT5G15480,3.410250303,4.70985829,2.870000963,2.899961171,1.690047895
AT5G52170,2.530242602,3.790074706,4.760009948,5.069973365,4.240023346
AT1G15790,2.790479427,5.279909121,4.100030486,5.050006097,5.24
AT1G79430,6.610067389,6.95990758,5.759968231,4.769989731,4.450020457
AT1G56160,5.169630322,3.250020794,3.519978821,2.86000706,3.080045006
AT4G26150,3.579867147,2.890052371,3.569919454,1.060041075,2.340028159
AT3G61120,5.109957641,4.889896028,3.53996791,2.540068673,4.679999519
AT5G07500,4.699851744,3.930137859,5.719940633,3.870050382,5.439945607
AT2G02540,5.259455109,2.430137859,4.220000963,4.249986843,3.839982671
AT4G09960,4.060159809,4.88995379,4.289926834,2.010053911,3.690009627
AT3G44350,2.580258005,3.920003851,3.970004493,4.110035299,5.209940072
AT2G42150,8.569703487,7.029964572,6.569976895,5.850006097,6.040012997
AT3G56520,3.949911431,3.489963802,3.020005455,3.189936462,1.210026474
AT5G04150,4.360059688,4.669891407,3.259997433,3.17998203,2.620058966
AT5G62165,6.200026956,6.340043129,6.900028239,7.779993903,7.590028159
AT5G35900,3.950028881,4.100012323,4.259950902,2.729987485,2.339993502
AT1G25330,3.109620694,1.139967653,0.71999647,0.61003915,1.829973285
AT3G16160,2.400215646,3.520027726,3.879939991,2.010015082,2.479970397
AT1G68640,5.000067389,5.349845197,3.340068673,5.479998075,5.420019495
AT5G06650,3.150023105,3.269919903,2.229958925,0.950080225,3.449964621
AT5G57520,3.900300364,5.460061613,6.259981709,5.690013799,6.120012274
AT3G54390,4.160055837,4.449886786,2.98008536,5.639931969,3.520034898
AT5G15800,4.219842116,3.400010012,3.529937103,1.570024068,2.320027918
AT2G14760,2.150171361,3.039840576,0.970038508,2.169982992,1.639968712
AT5G40430,2.700165585,3.56004544,4.149982992,3.619947372,1.980063298
AT3G49950,3.300113599,3.889983056,3.669943521,1.910031448,2.889967268
AT5G10120,4.020107823,4.580040049,5.09991111,2.33007124,4.549990373
AT4G00940,10.28008857,10.73996611,10.2999631,9.149975291,8.380010349
AT3G50890,4.649859445,3.920051601,4.58996438,3.480085039,6.1299432
AT3G24310,4.040009627,4.089896028,2.740033374,3.779936782,1.810014922
AT5G67060,4.169770876,2.980168666,5.16996791,4.169948977,2.580042359
AT2G18490,3.089722741,1.649956101,1.080022784,1.789988127,1.419970397
AT1G17310,9.329980746,9.229926064,8.269966947,7.240010911,7.579992298
AT3G02150,6.259938387,5.940059303,6.710017329,7.250028239,8.130001925
AT4G36870,3.249990373,3.200051601,3.869929081,1.66004268,2.99003562
AT5G23000,3.450100121,3.970067004,4.840001284,4.87996085,3.659968953
