,exp1,exp2,exp3,exp4,exp5
AT1G59530,4.049768951,3.749892177,3.189902446,2.430254154,6.390080867
AT1G49720,7.820361977,8.290309991,9.900318334,12.38005199,13.18998492
AT3G53600,1.50202553,4.130242602,5.390147615,6.540078942,7.769972402
AT5G48250,7.200231049,7.500173287,8.400260572,10.43010526,12.06999615
AT3G10040,9.650369679,10.12974585,8.809792056,7.189949939,6.409949618
AT2G43500,6.779830564,6.560198317,7.590037225,7.880141838,10.0900491
AT5G60890,11.03996919,10.99991721,10.56995122,10.189828,7.509972082
AT3G07650,5.730431292,6.290180988,7.230270841,9.340033374,9.859992298
AT5G22380,2.341062826,3.719872923,3.060318334,5.540059046,6.459995507
AT5G37260,8.130492905,8.7704698,11.21014248,12.31995764,11.66000513
AT5G32460,4.619514797,3.989406974,0.910387649,3.929802967,0.860022784
AT5G05410,8.28009242,8.4004698,10.84015275,12.02998203,11.74999615
AT1G16530,8.410038508,8.459967268,8.289946089,7.86982928,5.209986201
AT3G11020,6.059938387,5.98039856,8.050197675,9.589982671,9.319993582
AT3G24310,5.430531413,6.120496755,8.700097554,9.459928118,8.340013478
AT3G50750,5.800061613,5.879992298,5.839984597,5.719913998,4.3799217
AT2G46310,7.530084718,7.64004621,7.879952507,7.509867789,5.449955074
AT1G80730,5.700462098,6.299892177,5.739776653,3.99990373,2.500032732
AT5G61600,10.62056992,11.3601136,11.94989218,11.10983698,8.569994224
AT4G27410,9.050130928,9.220003851,9.240151466,10.42003915,11.03005905
AT5G59820,9.100962704,10.35036005,12.22005263,12.6299801,12.32001219
AT5G04340,9.15084718,10.25026763,11.6401335,12.6800077,12.79998524
AT2G46830,7.910154033,8.110044284,8.340143764,9.460060329,10.40003915
AT5G07580,9.420277259,9.779973044,9.639816444,8.209918491,6.939981067
AT2G26150,5.869468587,5.180105897,5.729878057,4.779824146,2.040118092
AT1G26790,4.24962262,3.760375455,5.710204093,7.299942238,6.400014761
AT2G47190,3.711702061,5.920215646,7.040020538,7.199989731,7.040016045
AT1G06160,7.249899879,7.119990373,7.069866505,6.029869714,4.000016045
AT5G40430,3.547959067,0.900344648,2.690107823,3.529808101,0.540102368
AT3G50870,6.289761249,5.980115525,6.579902446,5.819807459,2.820054553
AT5G65640,11.16004621,11.21990373,10.71995379,10.35987806,8.459990373
AT5G03720,5.05037738,5.539951865,5.290145047,6.420111032,8.149991657
AT5G15850,4.620354275,5.080121301,5.7100783,6.320000642,6.330068031
AT2G46870,4.990269557,5.339957641,5.120091136,5.829973044,5.409896028
AT1G31320,8.049976895,8.019984597,7.93977922,6.219980104,5.909972082
AT4G04450,4.139314554,3.250408187,5.370023105,5.549979462,5.230058404
AT5G49450,8.770315767,9.180211795,10.28011938,11.21000963,11.36002118
AT3G61890,7.740346574,8.190063538,8.520157884,9.749991015,9.610051665
AT5G49330,5.350115525,5.499562932,3.23003209,3.480034016,4.010077016
AT2G36610,0.579314554,-0.309682308,1.340200243,2.899777936,-0.559941917
AT5G41920,6.170415888,6.709828639,5.819784354,4.139956357,3.460042038
AT2G46400,8.380585324,9.140375455,11.09006161,11.5699647,11.01997818
AT3G44350,0.910431292,1.470146331,2.230055195,2.660059046,3.580020217
AT3G05860,2.281463311,4.179414676,1.13993582,0.64005327,1.470016045
AT4G10240,1.481170649,2.999574485,0.790379947,3.749898595,2.170053591
AT2G40220,4.419422377,3.669726592,2.25025287,4.220093061,5.669990052
AT4G14540,4.869822862,4.639813235,3.669831848,2.35996085,1.75006065
AT4G00270,7.190069315,7.279847893,6.489979462,6.329951223,5.56995026
AT2G21900,7.830154033,8.030317692,9.680141197,10.77997625,10.40996919
AT1G56160,3.881055124,5.249381944,2.040284961,4.260035299,4.81001412
AT3G27920,4.168205519,1.840028881,1.990351708,4.729899237,3.160028239
AT5G04150,5.009383869,4.210161734,5.049816444,3.619933894,2.590107823
AT1G72360,10.32023875,10.62991336,10.17992812,9.619901804,8.08999294
AT2G22850,8.859799757,8.600084718,9.040026956,9.249885117,7.459959887
AT3G53820,4.779645725,4.319755473,3.050269557,5.150077658,6.359982992
AT3G02550,10.88014633,11.06993261,10.71979719,9.139951223,8.38001765
AT1G67970,7.260177138,7.490113599,8.08020281,9.66,9.660002246
AT3G23250,7.130824075,8.200392783,10.23989731,9.439966626,8.920028239
AT3G02380,5.370616131,6.170023105,6.290205377,7.889945447,7.040043643
AT3G02990,6.730084718,6.840048135,7.090102688,7.890068673,8.960013799
AT2G12940,2.879738144,2.539620694,0.570427441,3.899949939,3.12
AT5G18240,7.359992298,7.349959566,7.140007702,7.19987549,5.25998941
AT2G28550,8.680077016,8.780063538,9.110127077,10.1000507,10.89001316
AT1G32730,6.620084718,6.729863296,6.02009627,6.769962775,6.189924267
AT4G24150,3.95962262,3.470385082,5.470007702,5.530043643,6.209991977
AT2G40140,10.39053911,11.09029266,12.61003466,12.88000642,12.97999807
AT1G77450,9.059638023,8.589990373,8.540083434,9.190077658,10.40002984
AT2G44745,2.538998787,1.24028111,2.699940954,2.239980746,1.940083434
AT2G38250,5.529460886,4.830211795,5.930002567,5.950040434,6.580048135
AT1G76580,7.809930685,7.720067389,8.070073166,8.640091778,10.07000257
AT3G55980,9.500593026,10.27035235,12.10002182,12.26989924,10.6999862
AT3G06160,2.998459673,1.000204093,2.059976895,1.880021821,2.22006418
AT1G10585,2.201255367,3.829589888,1.700178421,3.089922342,1.880080225
AT3G06740,8.069961492,8.02,8.01988961,7.159923625,5.969990052
AT2G42660,7.699930685,7.609899879,7.089984597,6.969998716,6.949928118
AT3G56980,7.219707338,6.839867147,6.149836982,4.880060329,5.820068352
AT5G22570,9.210138629,9.390107823,9.950128361,10.94987485,8.999956999
AT5G40360,3.1204698,3.730182914,4.679614918,1.680072524,2.810046531
AT3G57670,3.54084718,4.640017329,4.729913998,4.059944805,3.199956678
AT1G33070,4.079614918,3.579707338,2.059916566,1.410151466,3.769956999
AT1G06170,2.001340085,3.740130928,4.419707338,2.13998588,1.920051344
AT4G27240,5.699807459,5.449645725,3.610075733,4.199953148,3.469991015
AT1G60380,4.959946089,4.889664979,3.150241318,5.029873565,3.060079584
AT1G01520,3.599761249,3.290013478,3.360206661,4.969972402,4.540044926
AT2G22770,9.619892177,9.479886401,8.890068031,9.419932611,8.369950581
AT4G15250,4.759068102,3.5502349,4.770155316,5.979891535,4.290066748
AT4G00130,2.190369679,2.669666904,0.939976895,0.760002567,0.800075412
AT3G48920,9.2495302,8.639901804,8.129860087,7.039983313,6.780000642
AT5G54070,4.29806689,1.79018869,2.770192541,4.269878057,2.370002888
AT5G44260,5.800793268,6.830119375,7.450082151,8.089992298,7.970024709
AT5G15480,4.91,4.909578335,2.720326036,5.259988448,5.080019896
AT3G13890,4.898498181,2.950292662,4.469726592,2.34001412,2.560027598
AT2G14760,4.289807459,4.039872923,3.380287528,5.620011552,5.799997754
AT3G61910,2.42169436,4.619645725,2.780247736,4.709953148,3.980023747
AT3G13840,7.679830564,7.459828639,6.570023105,6.749899879,5.190007381
AT5G67180,2.460808672,3.509936462,3.180191257,4.669808743,1.690061934
AT4G37850,0.980993511,2.270192541,3.269650859,0.550063538,1.539980746
AT1G21970,3.679453184,2.969853669,2.210278542,4.380041075,5.019939991
AT3G01080,3.381193753,4.930042359,5.150047493,5.520009627,5.670022784
AT1G69540,4.169799757,3.909643799,2.060286244,4.289916566,2.990059046
AT4G36540,7.19990758,7.079913357,6.629978179,6.459911431,5.079993261
AT4G29190,9.700338872,10.14007702,10.54016173,11.80001605,12.0499923
AT1G28300,2.699353063,1.86025993,3.210065464,3.719951865,2.970059688
AT3G12910,1.771147544,3.260207944,4.339835698,3.060094987,4.539970798
AT5G49520,8.420385082,8.920283035,10.39005263,10.79999037,10.6499923
AT5G61420,9.49990758,9.379878699,8.750033374,9.009951223,8.249953469
AT1G34310,7.278321044,5.100517935,7.789772802,6.020034657,6.560024068
AT5G57660,10.49004621,10.5500077,10.59004108,10.91005134,11.71004108
AT2G03710,5.13919903,4.099951865,3.850105256,4.669915924,3.359968552
AT5G56780,4.750777865,5.759676531,4.080290095,6.339992298,6.219940954
AT3G04410,4.870015403,4.89,4.889998716,4.879950581,4.109947051
AT2G20350,2.621070527,4.009967268,3.840050061,4.229855594,1.980010269
AT3G11100,8.200107823,8.33990373,7.839970477,7.609897953,6.020010911
AT1G31630,1.748659915,0.010258005,1.350062897,1.839905013,0.359973365
AT3G63350,4.468890965,3.029761249,1.790127077,2.780015403,3.019964059
AT1G73870,1.619599515,1.09995379,0.860012836,0.960146973,3.249976574
AT5G67010,5.279422377,4.529664979,2.790319618,5.279996149,5.219990052
AT1G48000,6.520007702,6.530009627,6.580069315,7.120063538,8.110022142
AT3G04100,3.190662341,4.050206019,5.120021821,5.289858162,3.080054232
AT3G25730,9.279922984,9.180030807,9.340204093,10.9300276,11.35997625
AT3G30530,2.380554518,3.100267632,4.489893461,3.659924267,2.480067389
