,exp1,exp2,exp3,exp4,exp5
AT1G68840,11.32060073,12.09997112,11.9496162,8.959679099,3.960094987
AT2G47890,4.360400485,4.880481352,7.380286244,9.610093061,11.06000128
AT3G07650,3.781093632,5.20054104,8.010344006,10.69002696,11.10994513
AT1G49720,6.119930685,6.030412037,8.170427441,11.500086,12.839957
AT5G17490,1.990061613,2.070015403,2.150426157,5.470155958,7.900009306
AT1G28050,4.059676531,3.640616131,6.840326036,9.380083434,10.6799294
AT1G33760,3.241540327,5.240689296,8.819722741,6.659783712,3.289931006
AT3G58120,7.710508308,8.36997497,8.239866505,7.199767667,3.579950581
AT4G17490,7.870924196,9.070375455,11.01989474,10.19982415,7.459874528
AT5G48250,7.150107823,7.290356201,9.140369679,12.02007637,13.20995989
AT4G17460,10.88020024,11.13984212,10.31964316,7.539919775,6.289992298
AT2G26150,5.239268345,4.29002118,4.399612351,1.380010269,1.540189332
AT1G66230,9.129992298,9.119872923,8.459706054,6.169826071,3.460072203
AT2G22770,7.779792056,7.509861371,6.789835698,5.509887043,3.74994673
AT5G05410,6.71033117,7.140725879,10.91011424,11.79995636,11.11998684
AT1G21910,9.849876774,9.690119375,10.3095456,6.769948656,5.970001605
AT2G40750,5.060808672,6.110446695,8.430109107,9.279910148,7.879880625
AT5G44210,3.939052699,2.710585324,5.750154033,6.950060971,7.899972082
AT1G18570,7.050654639,7.90002118,8.009937103,7.519802967,4.44996438
AT2G42380,5.890338872,6.330238751,7.569906297,6.839853027,4.549920416
AT1G06170,3.211917707,5.698960279,0.300051344,0.700109748,2.409984276
AT1G78600,8.180639236,9.010410112,11.14013863,12.21997433,11.81987742
AT3G61890,9.180338872,9.619909506,9.14985752,8.039994224,7.950165585
AT5G61600,9.590600728,10.36988448,9.769647008,7.019993582,6.919966305
AT1G76580,7.650107823,7.790009627,7.840302931,10.20010333,11.80997818
AT5G43840,2.12948399,1.459805534,0.450002567,0.470041717,1.120138629
AT3G11020,6.109838266,5.900560294,8.810168152,10.11998909,9.949947051
AT1G67970,6.599861371,6.420452471,8.770193824,10.28003402,10.8099432
AT4G17500,7.580685446,8.469967268,8.299794623,6.699948014,5.889928118
AT3G29020,5.697065677,1.890311916,3.509876774,2.550187406,5.469874528
AT2G25900,11.82030036,12.20996342,12.01987934,11.07979526,7.890045889
AT4G27410,8.620346574,9.069909506,8.600179705,10.00010911,11.70003145
AT5G60890,8.739884475,8.590036583,8.779922984,8.179832489,5.56998235
AT5G53290,5.628374955,3.520627683,6.780189974,8.25996085,7.649936141
AT5G53200,8.769822862,8.539901804,8.029830564,6.709906297,5.249986201
AT2G42150,6.660023105,6.689984597,6.610083434,7.260189332,10.20999037
AT3G55980,10.0704852,10.70031577,12.33996791,12.08977216,8.539998075
AT2G33480,8.999383869,8.199963417,8.009788205,6.35986843,4.310093382
AT2G46310,7.420477501,8.039951865,7.789702203,5.469888326,3.730077658
AT4G28140,5.660069315,5.750103972,6.290318334,8.770053911,9.609928439
AT5G22380,2.620154033,2.82020987,3.910100121,4.69005712,5.580041717
AT3G56980,6.380161734,6.589630322,4.670107823,5.510003209,5.559891856
AT1G28300,3.3809396,4.600119375,5.219937103,4.729842758,2.279964059
AT5G49450,9.950215646,10.23000193,10.23984468,9.029841475,6.560025993
AT1G22190,9.87037738,10.35990951,9.889655994,7.209976253,6.840028239
AT2G46400,7.180901091,8.350311916,9.969813877,8.519852385,6.219989089
AT1G10120,8.119861371,7.939886401,7.349944805,6.91988255,5.0899785
AT5G10970,6.539845967,6.33992876,5.969902446,5.209863296,3.080011552
AT2G22840,6.750916495,7.940348499,9.750101405,10.53998909,10.36994641
AT1G77450,6.860277259,7.219955716,6.989973044,6.780055195,7.64009595
AT5G61590,11.24991528,11.13985174,10.36988833,9.499933894,8.469972402
AT1G02340,6.800685446,7.689932611,7.340007702,7.400074449,8.560071882
AT1G01520,7.839830564,7.619828639,6.729862654,5.659986522,5.450122263
AT1G73830,9.260223347,9.549917207,9.119804892,7.599917207,6.31000706
AT1G56010,7.039175925,5.970150182,6.749951223,6.369877416,4.459965343
AT5G32460,3.930231049,4.229468587,1.470089852,2.170189332,5.119909185
AT4G14540,9.960177138,10.1899018,9.67987549,8.709863296,6.580036904
AT5G54070,4.709168223,3.630078942,4.039845967,2.839874848,0.890117771
AT3G46130,7.040130928,7.209896028,6.669838266,5.409874207,3.450064822
AT4G01460,8.470200243,8.729957641,8.509838266,7.249899237,5.680001925
