,exp1,exp2,exp3,exp4,exp5
AT5G43840,2.4004698,3.010539114,5.81020281,7.390046852,8.119996791
AT4G14540,2.499584112,1.960660415,5.390007702,5.450016045,5.700001284
AT1G16530,9.058960279,7.709855594,6.959819012,5.550009627,5.69995732
AT3G58120,8.119499394,7.469755473,6.199928118,5.639894744,4.000028881
AT2G21320,3.749899879,3.62002503,3.749991015,3.680000642,3.690112636
AT5G15850,4.819306853,3.92002503,4.049966626,3.789987806,3.60012098
AT1G18710,4.929507095,4.290413963,6.440020538,6.600042359,7.260025672
AT5G56780,3.791524924,5.769422377,2.770340156,5.419792698,2.190058083
AT1G03790,5.930616131,6.730258005,8.070056479,8.510051986,9.320002246
AT3G01080,4.0195302,3.41056607,6.349722741,4.190118734,6.040016045
AT5G51860,3.168883263,1.719772802,0.540164302,1.82007124,2.930044926
AT4G00130,3.418428866,1.379980746,1.280141197,2.379824146,-0.359905655
AT1G54160,6.440154033,6.640309991,8.250079584,8.870011552,9.050015724
AT1G48000,6.801047422,8.160075091,8.550125793,9.530027598,9.960007702
AT5G40360,2.699553305,2.119867147,1.430410754,4.629940954,3.710014441
AT1G66390,2.500207944,2.76978628,1.659969193,1.420203452,4.589975932
AT4G04450,3.731517222,5.700017329,5.789835698,4.509954432,3.79996438
AT2G34440,3.917520073,0.700267632,2.090216929,3.779911431,2.400003851
AT3G05860,2.550569921,3.289509021,0.739984597,0.620123226,2.540020859
AT2G06020,2.019738144,1.680063538,2.009988448,1.920033374,2.440077016
AT3G44350,4.308575197,2.459745846,1.140302931,3.500003851,3.559948656
AT2G26150,6.209730443,5.86025993,7.210128361,8.210019896,8.519999037
AT2G36610,0.739391571,-0.04966883,1.669568708,-1.689862654,0.450020859
AT1G55600,3.389114312,2.240598802,5.349789489,3.709955716,3.020059688
AT3G63350,3.489607217,2.980462098,5.380043643,5.719987164,5.51995732
AT1G66380,3.100115525,3.249547529,0.900350424,3.629978179,3.29003209
AT2G30420,4.000284961,4.369684233,2.729847251,1.540018612,1.830020859
AT2G40210,4.788860158,3.309755473,2.040306782,4.429998716,4.41002118
AT2G25230,2.689753548,2.370248378,3.659673964,1.120211153,4.409941917
AT5G04640,2.519653426,2.069921058,1.659975611,1.470189332,4.419965984
AT5G07500,4.309830564,4.090198317,5.119987164,5.019826071,2.310020859
AT2G40470,6.159276046,5.22002118,5.329793339,3.719980104,3.410076695
AT5G51870,3.378344148,1.230190615,2.219853669,1.080043643,1.76006418
AT4G15250,6.148613706,4.349867147,3.65996791,3.410093061,4.860029844
AT3G07650,6.80033117,7.230254154,8.550037225,8.840001284,8.8599217
AT3G61910,3.471101334,4.899566783,2.650184839,4.090076375,5.280003209
AT2G27220,5.419252941,4.449840191,3.619863938,2.560133495,4.64002118
AT2G47520,6.880947301,8.110350424,9.929888326,9.060023105,9.419979141
AT2G44910,5.419406974,4.650011552,4.709839549,3.460079584,4.699928118
AT3G27920,4.170338872,4.609805534,3.599804892,2.079997433,2.040030165
AT4G37780,5.498290237,3.279896028,2.740012836,2.840044926,3.540029202
AT2G31210,1.351925409,3.849759324,2.600141197,3.69990373,2.200056479
AT4G26170,3.859984597,3.839924909,3.449812594,1.990043001,2.659955395
AT3G06160,3.719322256,2.839741995,1.499930685,0.960150182,3.299970798
AT1G66230,6.440523711,7.11960144,5.050033374,5.310012836,5.509955395
AT1G01520,4.908621407,3.120246452,4.399726592,2.270095629,3.760037225
AT5G58010,7.520061613,7.599897953,7.069729159,4.960050702,5.750015403
AT2G28700,3.009468587,2.319948014,2.050091136,2.760141197,4.959956357
AT2G43140,7.999345361,7.149747771,5.839976895,5.659986522,5.450006739
AT5G14340,5.999468587,5.309832489,4.439821579,3.050145047,5.309999037
AT1G80730,5.59797447,2.97025993,4.320003851,4.350060329,5.290011552
AT5G42640,5.208790843,3.64009627,4.139772802,2.370053911,3.209984918
AT5G56860,1.880539114,2.580367753,4.489966626,4.229896028,2.610016366
AT3G27810,2.76,2.760342723,4.540023105,4.719858803,2.520056479
AT2G28160,8.719383869,7.919722741,6.480023105,6.659959566,6.030022463
AT2G12900,4.52802068,1.960456322,4.329849818,3.160079584,4.399994224
AT3G50890,5.080077016,5.179572559,2.960075733,3.550079584,4.789947693
AT5G58080,5.210023105,5.23988255,4.629816444,3.200019254,3.49998588
AT4G32980,5.337889752,2.600215646,3.720121943,4.669962134,4.080030165
AT2G46830,7.800215646,8.080028881,8.22987549,7.260029523,7.720077016
AT3G02380,5.459730443,5.109641874,3.250186123,4.700041717,5.350027598
AT2G17950,5.31948399,4.649707338,3.12998588,3.019996149,2.960034657
AT2G45050,9.330731655,10.27982286,9.359883192,8.449986522,8.239976895
AT2G17040,7.069915282,6.959695785,5.380043643,5.719972402,5.289978179
AT3G59060,3.00080097,4.04021372,5.149896028,4.340062255,5.309929402
AT3G30530,4.218598302,2.400011552,2.460277259,4.619941596,3.7100215
AT2G03060,4.580231049,4.880063538,5.21014248,6.320034016,6.849993261
AT1G06160,6.378983384,5.059707338,3.540272124,5.65997497,5.270016045
AT1G31630,0.961201455,2.519499394,-0.079727876,2.039956999,1.369972402
AT1G17310,6.299730443,5.950221422,7.100082151,7.74001412,7.960013157
AT5G41920,5.958051486,3.430390858,5.459876774,4.499986522,4.290041075
AT5G61420,8.409299151,7.499770876,6.310057762,6.759962134,6.169991015
AT4G28530,6.510539114,7.210084718,7.650037225,7.940048777,8.700012836
AT4G38340,3.709191328,2.659936462,2.330086002,3.000103972,4.619918491
AT3G07340,8.91042359,9.459643799,7.609987164,7.509990373,7.35999294
AT2G22850,9.379545604,8.789774727,7.619970477,7.389980104,7.080003851
AT2G12940,2.539514797,1.910132853,2.600093703,3.330044284,4.02001059
AT5G56620,5.999653426,5.549774727,4.380192541,5.880066748,6.919998075
AT1G31320,8.489314554,7.599971119,7.449902446,6.689980104,6.379985239
AT4G09960,5.159684233,4.749782429,3.62001412,3.730046852,4.45993935
AT4G02670,4.219830564,4.000369679,5.919928118,5.360045568,6.069998716
AT5G23000,3.210762462,4.200273408,5.620006418,5.669919775,4.420013478
AT4G26930,5.599175925,4.530225273,5.699707338,3.420040434,4.049997433
