,exp1,exp2,exp3,exp4,exp5
AT5G43840,1.030284961,1.401288099,8.090184839,9.530060329,10.47001508
AT1G66390,3.309299151,2.400856807,6.850155316,8.06021372,11.38999101
AT2G18300,10.44867532,8.729822862,7.809845967,6.60967974,1.620019575
AT1G73870,10.09036968,10.56977665,9.409840833,8.169580261,1.630198959
AT3G58120,8.268475076,6.289277972,2.539879341,1.60001412,1.819979141
AT3G07650,3.080069315,3.169944163,2.880654639,7.980031448,8.469824467
AT3G02380,11.71013863,11.88959181,9.76956229,6.359996791,6.310109427
AT2G37430,4.922772589,8.519491692,5.879667546,3.289895386,1.660074128
AT1G68840,12.29772032,9.339921058,8.929731726,6.8399217,5.62006771
AT1G03790,4.109946089,4.040231049,5.239917849,4.600212437,7.910048456
AT2G42380,6.119499394,5.46941275,2.419884475,1.520003851,1.579976895
AT2G26150,3.428575197,1.58070855,5.259745846,3.280188048,6.210047814
AT3G48920,3.129591813,2.59985752,1.860590459,6.459997433,6.420008664
AT5G17490,2.189784354,1.910849105,6.320082151,6.959950581,6.189940633
AT5G05410,6.420246452,6.740554518,9.620172003,10.96002888,11.40994994
AT1G48000,5.989653426,5.540177138,6.460277259,8.620076375,9.810014761
AT1G54160,6.140747059,7.110465949,9.529969193,9.290106539,10.95000802
AT5G04150,5.527512372,2.299967268,2.130459531,5.710022463,6.060026314
AT4G27410,10.10909891,8.940760536,12.89001155,12.98003466,13.52001123
AT1G75250,6.910585324,7.66971889,6.209815161,4.769905013,3.289978821
AT1G52890,6.89113214,8.360618056,11.57004493,11.91996085,11.3099724
AT2G47890,5.6004698,6.210550667,9.070146331,10.20997048,9.74996438
AT1G06160,6.917651001,3.87094345,8.770019254,8.91996085,8.309980104
AT5G44260,9.505964343,4.270797119,8.410060329,8.879898595,7.300000963
AT5G53200,7.79089339,8.949655352,7.159708621,4.889951223,4.130053911
AT2G18120,5.260747059,6.229584112,4.069644441,1.300133495,3.380070277
AT1G18710,5.181301576,6.870361977,8.750088569,9.439991015,9.300005776
AT4G17490,8.610931898,9.8195302,7.379884475,6.479901804,4.95003915
AT1G28050,3.961755973,6.24007124,6.610274692,8.749983955,8.499928439
AT1G77450,7.461070527,8.8504698,11.28990758,10.57007766,11.77999454
AT1G26790,5.720354275,6.179414676,3.140107823,3.979860729,1.810123547
AT4G21440,5.410146331,5.600579548,8.609992298,8.550010269,8.710018612
AT5G50915,10.38926064,9.42969386,7.839872923,6.849977537,6.499992298
AT2G46830,11.29020794,11.55985752,10.81975483,8.909925551,7.750136383
AT5G13330,6.369745846,6.040169436,6.920107823,7.760111674,9.500019254
AT1G34310,12.8699769,12.8398787,12.20974841,10.24996919,9.769976895
AT3G01330,5.889792056,5.619917207,5.19004621,5.549793981,2.340000321
AT1G63100,6.620184839,6.85985752,6.120026956,6.32993582,5.329905334
AT5G28770,11.33819782,8.99990373,8.499910148,7.799930685,6.720014441
AT4G36540,11.29928375,10.36972467,8.939938387,8.459960208,7.839966305
AT1G49720,5.191393996,7.000313842,8.630152749,9.819901162,8.279946409
AT5G37260,7.929491692,7.269878699,6.640198959,8.190204735,11.37989218
AT5G61590,11.94648805,7.39042359,9.590231049,11.38990373,9.889975291
AT3G51910,7.447473864,4.169976895,4.050007702,4.110158525,6.580016045
AT1G71030,11.97851358,10.05020794,11.13003851,11.42974264,7.420085681
AT5G48250,7.010192541,7.259926834,6.880414605,10.10997561,9.729891214
AT1G21910,10.23770491,7.259967268,7.089860087,6.000019896,6.309997112
AT1G28300,5.259822862,5.029707338,3.509759966,1.639998716,1.620059367
AT1G56010,7.367874349,4.610577623,7.610155316,8.81994673,7.990027918
AT5G53210,5.631355488,7.389768951,6.189922984,5.589865863,3.499996791
AT2G31380,10.56067004,11.42959759,9.339878057,8.389928118,7.270103972
AT1G68640,3.050916495,4.239830564,3.359965343,3.090176496,5.840026635
AT3G07340,7.858659915,6.120017329,6.20985752,5.100012194,5.289934536
AT3G62090,5.529691935,5.130098196,5.640317051,8.11002503,8.499980425
AT1G09530,7.949491692,7.290462098,9.690037225,9.980037225,10.5600199
AT1G56650,6.210261856,6.550521786,9.260008985,9.329986522,9.12001059
AT1G80580,1.689584112,1.150111674,1.730012836,1.830152107,4.200017008
AT3G61890,9.461093632,10.88033695,12.63000128,12.64002375,13.01001059
AT2G38250,4.629645725,4.169980746,4.069808743,2.580236825,6.270008664
AT5G06510,3.890400485,4.410492905,6.969799757,5.410129644,7.42998203
AT3G59060,11.99910661,10.84015018,11.61994737,11.20978821,7.910107823
AT4G17810,9.629406974,8.859707338,7.340008985,7.409938387,6.44997497
AT1G68520,12.28746616,8.999940312,8.690183556,10.11994737,9.29996438
AT2G25900,12.19750467,8.960198317,9.990001284,9.999886401,8.230005776
AT1G01030,6.210408187,6.739853669,5.97995379,5.619848535,3.260008343
AT1G68510,5.079122014,3.940028881,4.089697069,1.730062897,2.709956678
AT1G01520,6.182271982,9.130005776,9.159653426,6.46006418,7.460059688
AT3G23250,3.712549241,7.019705412,5.489939671,5.019863296,2.890068352
AT3G19360,6.959252941,5.989690009,4.379930685,3.83996791,3.34001412
AT5G39860,7.121309278,8.819545604,6.459919133,5.829980746,5.529974649
AT5G10970,6.337181201,2.680654639,6.07987549,5.110043001,5.780018612
AT1G80730,4.119815161,3.879976895,3.759702203,1.440010269,1.599984918
AT5G57660,12.24934536,11.40001733,11.48997176,11.26980618,8.250094987
AT5G25390,3.500115525,3.650202168,4.700128361,5.700082151,6.979897312
AT3G15030,7.830531413,8.51974007,7.169965343,6.899892819,5.22999647
AT2G30420,6.359969193,6.320013478,6.390005134,6.429872281,4.439961813
AT4G09820,2.319630322,1.840152107,2.629970477,2.400207302,5.629917849
AT2G21320,9.320770164,10.31968038,8.659924267,8.069912073,6.700109107
AT5G14340,5.548374955,3.440102047,3.969965343,3.699968552,3.209940312
AT1G73830,9.608459673,7.609905655,7.1199217,6.509951223,5.750022142
