,exp1,exp2,exp3,exp4,exp5,exp6
AT4G17490,8.081001213,8.729807459,8.478879412,2.660291379,4.929991015,4.789923305
AT2G46830,11.8495225,11.54010012,11.66965728,9.889593097,6.719926193,5.570201205
AT3G02380,12.37832104,11.29006931,11.3797728,10.19960722,7.139962775,6.560184518
AT1G01520,7.31169436,8.410215646,8.689329958,5.209908864,4.499851102,2.180172645
AT1G73870,10.53961492,10.29005391,10.35999807,10.34971889,8.159761249,4.440208586
AT3G07650,4.440739357,4.920485203,5.549890252,4.980554518,9.300021821,9.639841475
AT5G17490,1.735452758,5.270978108,6.539826713,5.639763817,3.799853027,1.510015082
AT3G55980,10.98072395,11.44986137,11.26923369,7.290008985,7.360020538,7.679996791
AT2G47890,4.632125651,6.010323469,6.430340797,8.200225915,9.959905655,8.489885759
AT5G04150,5.535563858,2.661193753,4.209901804,3.700035941,3.980196392,7.040023747
AT5G44260,8.058321044,6.969892177,6.830410112,8.959964059,8.679667546,3.500116166
AT2G37430,2.304359126,5.130600728,5.909104685,1.260062897,1.750082793,3.039962134
AT1G28050,5.001848392,6.200231049,6.500167511,7.370214362,9.03994673,8.209861691
AT3G23250,3.384220496,6.120192541,6.369156671,1.990089852,2.690066106,3.719952507
AT2G20880,5.464636384,8.469607217,7.959312629,4.389992298,4.329983955,4.080052307
AT1G74930,8.943034444,10.91008472,11.01934151,7.60001412,7.709931327,6.640025672
AT4G23810,7.573126864,9.599869072,9.429227911,5.420029523,5.650083434,6.949967268
AT2G40750,5.879768951,5.728890965,4.290342723,6.070335021,8.680021821,9.019901804
AT5G22380,1.966608003,6.247997575,3.649612993,1.640103972,2.449937103,1.47004268
AT4G27410,7.935421951,11.44993069,11.35958219,9.1899217,8.579938387,7.620009306
AT1G55950,5.190523711,5.529368466,4.709645725,2.869834415,1.580032732,2.090012515
AT5G61600,10.17889096,9.460084718,9.569405049,6.480084718,7.140009627,7.289973686
AT1G71030,10.9885675,10.06007702,10.16037353,12.10000128,12.10970926,7.580124189
AT5G37260,8.809630322,8.57,8.569603366,6.510198959,8.060215004,11.40985977
AT2G40140,9.481571134,10.5000077,10.50935884,7.180075733,7.770037866,8.359943521
AT4G17500,8.211987022,9.499984597,9.479397347,6.350060329,6.820026956,7.239941596
AT3G49760,0.766053485,4.690077016,4.790067389,5.139780503,3.430037866,4.020034016
AT2G17040,8.133049848,10.10992298,10.00947436,7.279839549,6.030125793,7.989963096
AT3G59060,11.83929145,11.38007702,11.47998652,11.40994352,10.96978243,7.580142801
AT1G64380,5.755360338,9.229984597,9.209370391,5.940060329,6.41002503,6.799976574
AT1G77450,6.385822436,10.16004621,10.21943393,7.279996149,7.250100121,8.80996085
AT5G44210,5.172726379,6.939869072,6.769830564,5.890025672,6.089828639,3.419993582
AT1G56010,6.236334022,3.86051601,4.530585324,7.569996149,7.539940954,6.620023426
AT5G59820,8.880677744,9.319915282,9.209389645,6.040039792,6.350030165,6.819984276
AT1G01530,4.749645725,4.520300364,4.909817086,3.959812594,2.499913357,1.150114562
AT5G48250,7.399091207,6.809992298,6.799948014,6.530438993,9.949963417,9.379909185
AT1G22190,11.35004621,11.37983056,11.15945318,8.320050061,8.709999358,8.700006097
AT5G35900,5.008613706,4.110670042,4.979961492,4.779685517,2.329989731,2.170119375
AT5G54070,4.545933537,1.911871497,4.339657277,2.559836982,1.290179063,4.080023105
AT5G57660,11.57083178,12.1100154,12.13000193,12.13998716,12.03975932,8.290117771
AT4G25440,2.614744207,5.689784354,5.410090494,5.880047493,6.249890894,4.549955716
AT5G40430,2.483280897,4.607481565,1.340336947,3.089702203,0.770150182,3.110033374
AT1G68840,11.97682693,9.919961492,9.869922984,9.469922984,8.869900521,7.320072845
AT2G06020,4.249768951,4.100030807,4.14018869,5.119880625,4.189780503,0.770091778
AT5G06510,2.944836627,6.080492905,6.72009242,7.199893461,6.369978821,6.040003851
