,exp1,exp2,exp3,exp4,exp5
AT4G37850,4.389376168,3.579258718,-0.269802325,1.269933252,0.230073486
AT5G17490,6.989376168,6.179820937,5.250057762,5.699893461,4.03994673
AT2G46830,7.539676531,7.119784354,5.999920416,5.379944805,4.520131249
AT1G31630,3.428975683,2.099605291,0.050168152,1.359883834,-0.449975611
AT1G01520,1.738613706,-0.05966883,1.660295229,3.959924909,2.790014761
AT2G28700,1.270947301,2.500103972,3.040024389,3.230104614,4.859993582
AT1G60240,4.197289024,0.680050061,0.940261856,2.979899237,1.410028881
AT2G36610,1.760207944,2.029353063,-1.329865221,-0.279930685,0.800030807
AT3G63350,1.070677744,1.950529487,4.699915282,4.039897312,2.440019575
AT5G43840,0.080508308,0.74009242,1.22026699,3.299749697,-0.599939991
AT2G40220,1.562572346,4.899840191,4.070012836,4.170028881,4.62001765
AT3G23130,1.8323567,4.889971119,4.740044926,5.090003851,5.149997754
AT1G77950,3.577404549,0.210229124,1.400138629,2.480048777,3.239938066
AT5G40430,2.818783142,1.240394709,3.290148898,4.449963417,3.879926514
AT5G22570,11.56852899,9.65978628,8.550035941,8.829955716,8.140015403
AT3G30530,4.568790843,3.000078942,3.410087285,4.089799757,0.97006418
AT1G56160,2.741024318,4.070094345,4.559819012,3.150102688,4.750047173
AT2G46510,9.678197817,7.339867147,6.649994866,6.610001925,6.639994545
AT3G56980,6.460030807,6.500192541,7.499922984,6.900109748,8.610027918
AT5G44260,6.519553305,5.939940312,5.629870356,4.619960208,3.999978179
AT1G21340,2.572094845,5.290086643,5.73998203,5.599990373,5.449996149
AT3G59060,2.790038508,2.840207944,3.92020281,5.499781787,2.100046531
AT5G27580,4.220361977,4.689969193,4.529738144,2.48995379,1.770055516
AT1G21970,2.529869072,2.360082793,2.790263139,4.839784996,1.490073807
AT1G73870,1.07957641,0.530583399,3.559849818,2.38989667,0.78004974
AT5G62110,0.668244027,-1.609449333,1.249866505,0.20999294,0.100053911
AT1G68240,5.860500606,6.510412037,8.64998203,8.509993582,8.409975291
AT3G13540,5.300177138,5.529455109,2.70040947,5.889978821,5.559977858
AT3G07650,6.319969193,6.280167511,7.150161734,8.409969193,7.929917207
AT5G27810,3.037674106,0.020036583,0.210242602,2.099961492,1.499994224
AT1G06170,4.598213221,2.280030807,2.440088569,3.130097554,4.649995186
AT1G10585,0.530616131,1.330148256,2.100068031,2.629956999,1.960058725
AT4G38340,2.570901091,3.739896028,3.200201526,4.770029523,5.229920737
AT2G42410,1.052156458,3.849949939,3.59,3.590016045,3.839987485
AT1G22590,1.300300364,1.689913357,1.240337588,3.869840191,1.38004268
AT5G35900,2.371725166,4.610113599,5.199724025,3.050082793,4.339993582
AT2G25230,3.060369679,3.53950517,0.970183556,2.399937103,1.420059367
AT5G51860,3.029599515,2.51039856,4.579589246,1.380121943,3.279987485
AT2G34440,1.120924196,2.32020987,3.409709905,1.150145689,3.419948656
AT5G57660,10.3299923,10.31994994,10.05990501,9.319903088,7.810086323
AT3G27920,4.548405761,2.479828639,1.590089852,2.29004621,3.009976895
AT1G31640,3.810300364,4.199988448,4.139690651,1.730161734,4.249955395
AT1G17460,7.330569921,8.070288811,9.570006418,9.619996791,9.570001605
AT1G26790,4.259722741,3.900053911,4.179792056,2.559955716,1.870070598
AT2G12940,1.372102546,4.099603366,2.040165585,3.32993582,2.330030486
AT4G21050,3.919222135,2.909605291,0.860218213,2.560010911,2.730008664
AT5G46010,2.600993511,3.889449333,1.030288811,3.280010911,3.449979141
AT3G10040,10.83961492,10.33973622,8.9700783,9.579987806,9.389956037
AT1G29570,1.658983384,0.34,0.340277259,2.499860729,0.330057441
AT2G22200,6.009160522,4.919971119,4.769973044,4.559917207,3.270008664
AT5G40360,3.708652214,1.959942238,1.660286244,3.889912073,2.520039792
AT1G34170,2.3809396,3.600038508,3.800168152,5.10983634,2.560041396
AT2G02540,5.42806689,2.920446695,5.239831848,3.929981388,3.640001925
AT1G43950,0.350562219,1.080129002,1.750118092,2.669861371,0.510062897
AT4G00130,4.328159309,1.939963417,1.750119375,2.679943521,1.800031769
AT4G37780,5.559661128,5.11966883,3.400157884,4.629902446,3.110047173
AT4G13480,5.149268345,4.200019254,4.300154033,5.500043001,6.170012194
AT1G32640,11.48865221,9.739938387,9.419957641,9.089988448,8.910007702
AT3G17010,5.499745846,5.17016366,6.019917849,5.379867147,3.310073166
AT5G06510,6.73009242,6.849684233,5.210237467,7.06003915,7.670006418
AT1G74930,8.298220922,5.990034657,6.169964059,5.889998075,5.860009306
AT4G00390,2.120508308,2.780129002,3.450133495,4.48999294,4.379988448
AT2G26950,2.57131698,4.28004621,4.520055195,4.949867789,2.890036904
AT5G49240,0.751332383,2.480152107,3.269917849,2.629919775,1.380040754
AT2G03710,2.541193753,4.090065464,4.430019254,4.579964059,4.020043322
AT5G49330,4.600292662,4.979587963,2.840297797,5.159964701,4.60996085
AT5G06500,5.149468587,4.460098196,4.969944805,4.539893461,2.880014761
AT5G58080,4.478297939,2.270211795,3.370030807,3.609951865,2.860056158
AT5G22380,2.430523711,3.109561007,0.830293946,3.119906939,1.670034336
AT5G04640,0.161332383,1.889699636,0.330268274,2.419943521,1.539976253
AT1G24260,4.189869072,4.020036583,4.210055195,4.639992298,4.51992523
AT1G49720,8.10004621,8.16016366,9.010055195,9.439939029,8.489947051
AT2G22750,4.139792056,3.870082793,4.300034657,4.5698434,2.130070598
AT4G14540,3.321232262,4.920059688,5.230088569,5.919962134,5.330000963
AT5G23000,4.649252941,3.680404336,5.779949939,5.39003915,5.999949618
AT5G56780,5.321124439,6.780107823,7.340025672,7.540000642,7.550001925
AT5G53200,5.979437781,5.250190615,6.239930685,5.699951865,4.949963096
AT5G60140,4.239722741,3.880242602,5.1399217,4.529962134,3.939954111
AT3G23240,7.788382657,5.69009627,6.189928118,5.629989731,5.470007381
AT4G10240,3.729145118,2.619709263,1.110172003,2.449991657,2.320023747
AT2G44910,5.319784354,5.039709263,3.530184839,4.970038508,5.569939671
AT1G33070,1.06042359,1.610252229,2.920015403,3.039879983,1.170023105
AT5G15840,4.510292662,4.889664979,3.150060329,3.62001797,3.899957641
AT1G09530,4.370662341,5.230098196,5.739847251,4.550028239,4.989945447
AT2G16910,3.610654639,4.460034657,4.639727876,2.520059046,3.43998235
AT4G26930,2.351655852,4.499957641,4.279993582,4.23000706,4.340005455
AT5G65590,2.729399272,1.950013478,2.020278542,4.189897312,2.590019575
AT5G37260,7.8,7.799961492,7.600093703,8.33007124,9.439921058
AT3G02550,12.4695148,11.83977665,10.68006546,11.18997497,10.79998235
AT5G32460,2.950023105,2.979741995,1.640270841,3.750012836,3.949970156
AT3G44460,4.85051601,5.519909506,5.049861371,3.970087285,5.329939991
AT4G31680,1.469314554,0.580109748,1.15011039,2.009913357,0.660064501
AT2G40210,3.919029594,2.660023105,2.779984597,2.660004493,2.730057441
AT3G53600,6.318937174,4.939967268,4.770029523,4.999949939,4.219995186
AT3G44350,3.878344148,1.730032732,1.900050061,2.29004621,3.009978821
AT1G14440,4.269961492,4.219946089,3.939894744,3.120043643,3.799948656
