,exp1,exp2,exp3,exp4,exp5
AT1G73870,10.91023105,11.20988833,10.6296791,8.12962968,2.360271483
AT2G46830,11.39031577,11.79967268,10.09962904,7.20979719,4.05024902
AT3G07650,4.290431292,4.849682308,3.200721387,8.82007124,9.929806496
AT3G02380,11.38043129,11.93980938,10.9495854,7.719908222,6.290184839
AT5G44260,9.766649789,5.420527562,8.160016687,8.289788847,4.999985559
AT2G40750,5.210207944,5.479894103,4.930550667,9.22002503,9.609932932
AT2G47890,5.370215646,5.650450546,7.990232333,9.79993582,8.799885438
AT4G17490,7.366626684,2.989915282,2.550459531,6.129979462,5.809936462
AT1G01520,5.861594239,7.929649576,6.109643158,3.330050702,4.120117129
AT5G37260,7.129406974,6.360017329,6.450116808,7.360253512,11.30986907
AT1G68840,12.1262339,7.240604578,10.37988062,9.449900521,7.900090815
AT1G21910,10.88689624,6.859992298,6.819920416,6.20001412,6.420051665
AT2G25900,12.20685773,8.130598802,11.23991657,10.58982607,7.880093703
AT1G06160,6.997720316,4.039734294,2.660456964,6.220025672,6.619940954
AT5G15850,11.09024645,11.4097574,10.14969707,7.790012836,7.990110069
AT1G28050,5.120554518,5.839963417,5.650361977,8.469991657,8.339884155
AT1G17460,6.230246452,6.550404336,8.6501566,9.870015403,10.10995315
AT2G20350,3.960254154,4.290030807,4.44998588,4.339926193,3.189906297
AT1G66390,2.140215646,2.419870998,1.749993582,1.700263781,5.809877737
AT5G48250,6.720415888,7.259926834,6.880387649,9.899982671,9.629898595
AT1G71030,11.61912201,10.48030999,12.08999743,12.06974071,8.030101405
AT5G57660,12.72924524,11.75007509,12.13994609,11.71978885,8.43010686
AT2G31380,10.25115525,11.74981901,10.80977922,9.089917849,7.810113278
AT5G04150,6.04783584,3.240571846,6.210123226,7.169980746,6.870008664
AT1G49720,6.310130928,6.480296513,8.020207944,9.639897953,8.049922663
AT3G59060,12.2690604,11.05007894,11.45993197,10.92982158,8.15012098
AT1G03490,4.150531413,4.839516722,2.32981131,0.860093061,2.310028881
AT5G49450,12.13701177,8.260369679,10.17997048,9.949903088,8.440029844
AT2G17040,7.838105398,5.380265706,6.760100121,7.540059046,8.460032411
AT5G61600,9.347188903,5.700227198,6.880116808,7.790043643,8.470022142
AT5G16560,5.631856094,8.039636098,6.15009627,6.899902446,5.379953469
AT4G00130,4.287435355,0.960616131,4.159745846,2.180094987,3.65993935
AT2G38250,2.939399272,2.160408187,4.279931969,3.750125793,5.709991015
AT1G68510,2.740030807,2.780138629,3.499634172,0.650243243,4.439986201
AT3G56980,5.71957641,5.170179063,6.099987164,6.00017072,8.659966626
AT5G15840,4.86033117,5.28981131,4.310184839,5.750102688,7.349878699
AT2G21320,8.911293875,10.58975162,9.299793339,7.69000706,7.800091457
AT5G61590,12.34711189,8.600392783,10.64009627,11.38990052,9.840017008
AT1G67970,6.679792056,6.410103972,6.950304215,9.319989731,9.159941275
AT1G79700,10.52889867,9.099884475,8.499988448,8.409894744,6.770030807
AT1G02340,6.220500606,6.869967268,6.699969193,6.459813877,3.560102368
AT1G02220,4.710215646,4.989865221,4.289799757,2.730045568,3.440091457
AT1G77640,7.007104185,3.250250303,4.549976895,4.370027598,4.800015724
AT3G06220,4.311078229,5.70985752,4.970057762,5.419798474,2.280059367
AT5G07700,6.208028381,3.650492905,6.209973044,5.99986843,3.950073807
AT1G66380,3.311147544,4.799844042,3.989905013,3.249867789,1.19008536
AT1G75250,7.830138629,8.009946089,7.730005134,7.769810668,4.820066106
AT1G18860,3.41089339,4.569466662,1.799974328,1.600010269,1.76004974
AT3G11020,6.099029594,4.840154033,5.64024902,7.579976253,7.209919454
AT2G22750,2.551625045,4.659591813,2.540250303,4.489844684,2.070077016
AT5G62110,-0.270539114,-0.969443557,1.919753548,0.000109748,1.709982992
AT2G31210,4.189430079,3.449705412,1.919928118,1.36005327,2.190055837
AT2G42380,7.56966883,7.13990373,6.639946089,6.219881908,4.38003562
AT4G26150,7.781232262,9.379545604,7.019883192,6.110035941,6.670041396
AT5G27580,3.07117835,4.599896028,4.059831848,2.750073807,3.899919775
AT5G15150,5.538952578,4.180258005,5.51993582,5.019948656,4.219944805
AT3G24310,1.232348999,4.279967268,4.109908864,3.40000706,3.509968873
AT4G31610,2.959691935,2.559570634,0.330231049,2.129905013,0.650001605
AT5G39660,9.328582899,7.490030807,7.649870356,6.640010911,6.810071882
AT1G26790,5.450685446,6.339491692,3.700056479,4.140040434,4.770051344
AT1G03790,5.629614918,5.129566783,2.880114241,3.769953148,3.040020859
AT1G06170,1.979876774,1.820442844,4.119757398,2.2299217,1.010073166
AT5G44210,4.800346574,5.250159809,6.080038508,6.379916566,5.079940633
AT2G46130,2.241463311,4.14002118,4.250010269,4.329851744,2.020075733
AT3G58120,9.779383869,8.97990758,8.500028239,8.719878057,6.820013478
AT4G23750,8.070978108,9.339639949,7.469991015,7.399937745,6.429997754
AT5G43840,0.420816373,1.480140555,2.210043643,2.549908222,1.120077337
AT4G09820,2.119792056,1.849921058,1.44009627,2.190139271,4.359968873
AT3G63350,4.558220922,2.249917207,1.819988448,1.730109107,3.429990052
AT4G17500,8.577466162,5.290223347,6.450012836,6.550044926,7.249997433
AT1G59530,4.608105398,2.149901804,1.640038508,1.940081509,3.20998203
AT1G73830,10.0485983,8.230152107,9.019862654,7.949937103,6.970024068
AT3G04420,3.600030807,3.639824788,2.730151466,3.910128361,5.90995379
AT1G22190,11.04805919,8.529971119,8.379993582,8.330022463,8.68003209
AT5G40430,3.95806689,1.45014248,2.190023105,2.370084718,3.690008343
AT5G28770,11.44852899,9.540146331,10.29991015,9.599913357,8.250067068
AT5G40350,1.94075476,2.919686158,1.290385082,4.289845325,1.880004814
AT2G22630,4.839137417,3.719851744,2.949880625,2.020047493,2.760051665
AT4G13480,5.579268345,4.629672681,2.930287528,5.169973044,4.749952507
AT3G49760,5.16825943,2.910363902,4.799978179,4.629883834,2.82006771
AT2G42410,5.439676531,5.019996149,4.999994866,4.9598434,2.520076054
AT3G46130,5.500685446,6.390206019,7.460061613,7.940023747,8.309977858
AT1G33760,4.118290237,1.899992298,1.860087285,2.539899237,0.970034978
AT1G74500,3.018428866,0.980059688,1.289911431,0.599967268,0.090010269
AT4G26930,5.558143906,3.150246452,4.429854953,3.299962134,2.710025351
AT5G25470,6.019599515,5.499861371,4.779827997,3.440150824,5.790014761
AT2G40220,4.839476289,4.160254154,5.480035941,5.759983955,5.509920737
AT2G36890,2.459884475,2.310321543,3.979948656,3.580093703,5.039968552
AT1G48000,3.980369679,4.45971889,3.000346574,5.699996149,5.639974328
AT4G27410,9.497735719,6.560204093,7.620006418,7.669948656,6.870034978
AT4G12350,5.118336447,2.959888326,2.380043643,2.720049419,3.489966947
AT5G06650,4.7,4.699736219,3.329872923,2.34012451,4.27995026
AT3G61890,9.469653426,9.019921058,8.609860087,7.519971761,7.080078621
AT2G20880,2.801085931,4.210190615,5.200005134,5.240014761,5.469951544
AT3G44350,3.888428866,1.849930685,1.489980746,1.340118734,3.189959887
AT3G06120,4.340870285,5.469591813,3.350143764,4.469910789,3.079990694
AT5G44160,2.539892177,2.399955716,2.170350424,4.89988255,3.069979462
AT2G43010,10.61939927,9.840129002,10.51001027,10.58983185,7.970064822
AT2G34440,3.54877544,1.95990373,1.460180988,2.87005327,3.700007381
AT1G80730,2.600315767,3.010113599,3.600100121,4.379807459,1.380047493
AT5G51860,3.71830564,1.520103972,2.060097554,2.819935178,1.810066427
AT1G66550,4.019892177,3.880215646,4.999607217,1.940116166,3.750001284
AT5G04640,3.448036083,0.899992298,0.860028239,1.080001284,1.100009627
AT5G46010,4.168321044,1.990161734,2.829943521,2.390129002,4.399941596
AT1G68520,12.42770491,9.450279184,10.90006033,11.36997754,11.02001861
AT1G75520,5.330177138,5.55985752,4.81977922,3.100162376,5.629996791
AT4G38960,8.609915282,8.500013478,8.569767667,6.759982671,6.490056479
AT4G24150,5.539761249,5.229666904,3.500112957,4.379940954,3.460066106
AT2G34820,3.399514797,2.770373529,4.709647008,1.960043001,2.629993903
AT2G21900,4.979922984,4.879564858,2.620237467,4.469933252,3.430044926
AT1G72350,5.04806689,2.540136704,3.249944805,2.820071882,3.939959887
AT1G69560,3.861255367,5.489994224,5.459952507,5.089879983,3.220023105
AT3G61910,4.589029594,3.330038508,3.529937103,3.040141838,5.249995186
AT2G44745,4.120808672,5.169441631,2.270150182,3.439998075,3.410000963
AT4G00232,5.249561007,4.67959759,2.590250303,4.539938387,3.580003209
AT3G01080,1.970154033,2.169822862,1.250175854,2.620084076,3.929922984
AT4G29190,11.23815931,8.85033117,10.57006675,11.08988961,9.370021821
AT5G42910,4.638914069,3.229759324,1.980192541,3.480055195,4.339985559
AT2G13570,2.970369679,3.450258005,4.789952507,4.419867147,2.350061613
AT2G31730,7.940485203,8.569561007,6.289983313,6.160050061,6.940014761
AT5G10970,6.169845967,5.970094345,6.459703487,4.150047493,4.890048777
AT1G18710,6.889584112,6.349969193,6.190094987,6.92983634,4.380045889
AT2G46310,6.36117835,7.889797832,6.839910148,6.139929402,5.0400568
AT5G39860,7.760269557,8.110219497,9.249878057,8.299879341,6.420065464
AT1G68880,3.240531413,3.929614918,1.930080867,2.559918491,1.290044605
AT5G22380,3.628498181,1.680090494,2.149980746,1.999980746,1.700062897
AT5G17490,3.96868302,2.260023105,2.379988448,2.289947372,1.469997754
AT5G35550,4.999276046,4.059799757,3.020075733,3.609930043,2.520063859
AT3G57670,4.728582899,2.890088569,3.349974328,3.149950581,2.379991015
AT4G37850,3.099730443,2.749626471,0.810030807,1.050042359,1.709991336
AT5G67450,6.758883263,5.309844042,4.499993582,4.450101405,6.029999037
AT4G15250,3.751039721,5.099749697,3.800213079,5.459840833,2.980037225
AT1G69120,6.439822862,6.209840191,5.379860087,4.290041075,4.930052628
AT3G56660,3.401609642,5.489967268,5.319815161,3.880078942,5.110013799
AT3G50870,4.210269557,4.560225273,5.729727876,3.609964701,3.060027598
AT3G12820,4.940177138,5.169755473,3.899905013,3.159990373,3.010050382
AT3G48920,3.808721529,2.150090494,2.619952507,2.250108465,3.94000706
AT2G28200,8.360523711,9.039709263,7.529888326,6.660062897,7.640039471
AT5G55020,5.209414676,4.450028881,4.600134779,5.649835057,3.080068031
AT1G74080,3.620184839,3.859819012,2.91982543,1.560037866,2.150003209
AT1G61110,5.579129715,4.449847893,3.659992298,3.599967268,3.090013478
AT5G06500,5.619676531,5.199971119,5.049758682,3.170051986,3.980022142
AT2G06020,5.038405761,2.97002503,3.100165585,4.390008343,4.520011232
AT3G46600,9.658167011,7.280300364,8.840047493,9.209998075,9.180017008
AT3G04410,3.38037738,3.869628396,1.940284961,4.160019896,4.469967589
AT4G23810,7.348321044,5.170150182,5.949949939,5.560075733,6.740012194
AT4G25440,3.250485203,3.880169436,4.760080867,5.389852385,3.090026956
AT1G72570,0.53995379,0.479963417,0.290269557,2.389858803,0.189992298
AT5G53200,8.04070855,8.959876774,8.31981131,6.850016045,7.100056479
