,exp1,exp2,exp3,exp4,exp5,exp6
AT5G53980,5.846765313,3.749514797,3.12075476,7.039961492,6.739861371,4.580089211
AT1G01520,1.005129289,4.331540327,6.329584112,4.16995379,3.809934536,2.790027918
AT5G62110,0.600462098,0.897273621,-2.6392953,1.020136062,2.079788847,-1.209983955
AT2G46830,8.030246452,8.189591813,7.659703487,6.119894744,5.299974328,4.9001351
AT3G12910,4.862233474,6.308113099,3.859568708,1.620241318,3.500043001,4.170058725
AT2G31210,3.558151608,2.359160522,1.270184839,2.229626471,-0.67990373,0.819967589
AT5G54070,4.620200243,4.749722741,4.38995379,4.149635456,1.310026956,1.730069315
AT2G28610,1.045283322,4.470292662,4.849888326,4.269866505,3.229912073,1.860057762
AT3G23250,9.200770164,9.698860158,8.219709263,6.709905013,5.970059688,6.899995507
AT5G27580,4.694085144,0.862980533,4.729645725,2.890192541,4.390001284,4.409992298
AT2G46400,10.51975355,10.35909121,9.179618769,7.200035941,7.48002503,7.869990694
AT5G22380,5.039337659,4.607866647,1.840456322,4.209690651,1.800011552,1.980050702
AT5G06510,4.36489824,7.539414676,6.779747771,5.469821579,4.080215646,7.439946089
AT5G43840,3.014916921,-0.277142693,3.429686158,1.799776653,0.060063538,1.050012515
AT2G40210,4.419984597,4.407520073,1.190275333,2.619869072,1.600160451,4.099986201
AT3G27810,4.274716678,0.84990758,0.730464024,3.139947372,2.730060971,3.679960529
AT5G22570,10.53889096,9.81872923,8.169768951,6.970179705,8.369975611,7.989972723
AT2G06020,2.677843542,1.278998787,-0.019222135,4.019804892,2.50003209,2.999954111
AT2G21320,5.092757185,6.879691935,6.479759324,5.229771518,3.450035299,4.0000783
AT4G04450,2.094436142,4.970154033,5.17,5.170047493,5.539982671,5.269933573
AT1G06160,7.449430079,7.078983384,5.760365828,7.660224631,9.40999294,9.299975611
AT1G66390,2.349075804,1.748991086,0.440252229,1.750275975,3.900001284,3.919920416
AT1G24260,5.000169436,5.10745846,1.810348499,3.620157884,4.849861371,2.690059367
