,exp1,exp2,exp3,exp4,exp5,exp6
AT4G17490,10.00007702,10.0500154,10.06993454,9.729613635,6.719701562,2.070031127
AT2G37430,6.383265493,8.500978108,9.769922984,9.369663695,6.749630322,0.990036583
AT3G23250,5.638752335,4.832379805,7.920348499,9.729631605,6.859655352,1.490035299
AT1G33760,6.688752335,5.879707338,5.499262568,1.669988448,1.579983313,1.319986522
AT1G01520,6.852094845,8.21080097,9.249197105,5.079699636,2.740075733,3.920120338
AT3G53600,0.960616131,1.36,1.360966555,6.379810026,4.8996868,0.020036904
AT2G47520,5.619676531,5.409946089,5.341005063,10.55981773,9.139812594,6.219926834
AT3G07650,4.809537902,4.510500606,5.159545604,2.800618698,7.620123226,9.539841796
AT1G73870,10.70003081,10.71925294,9.749845967,8.949852385,7.799810026,4.840180026
AT1G02340,5.632510733,7.260438993,7.829464736,5.049979462,4.889779862,1.460172324
AT3G02380,12.19892177,11.49927605,10.55986907,9.879807459,8.379887684,6.630176175
AT1G21910,10.39970734,10.21030807,10.60931455,7.049911431,6.359978821,6.030050061
AT5G61600,11.75832104,10.67081637,11.72937039,8.45993582,7.959959566,7.329999037
AT3G55980,12.06936847,11.66022335,11.94985367,11.18978821,9.539838907,7.030044926
AT1G66390,4.103573559,6.420901091,7.589004564,2.420052628,2.830160451,5.329932932
AT2G26150,2.501879199,3.72089339,4.880569921,7.839912715,7.159772802,3.620039471
AT1G06160,7.118736932,6.298359552,4.170899166,8.839960208,8.530088569,9.909916887
AT1G28050,3.51169436,4.610816373,5.670194466,6.680205377,8.279999358,8.269892177
AT4G23810,10.29018484,10.40927605,9.470144406,10.21978692,8.559849176,6.210004172
AT2G47890,4.433758398,6.8704698,7.480344648,9.270041075,9.589919775,8.339938708
AT2G46830,11.40978435,11.27005391,11.33972852,9.929888326,9.059869072,7.020147615
AT4G17500,9.928829351,9.170223347,9.460323469,11.13970991,8.879852385,6.580000963
AT1G68840,12.68821322,11.52979976,11.26994994,11.00985624,9.889837624,7.360092741
AT5G13330,5.171987022,6.458105398,4.000504457,6.620256721,8.6196868,3.740060971
AT5G06510,3.255452758,6.789345361,5.939329958,2.460089852,3.160173929,5.869964701
AT2G42380,6.439168223,5.899430079,5.159349212,1.780213079,3.440104614,5.070023747
AT3G46130,7.070831777,7.607674106,4.589824788,3.680292662,5.960123226,7.879983313
AT2G38250,3.304513158,6.23004621,6.29025993,7.639885759,6.749887684,4.99996085
AT3G23230,6.181432504,7.110323469,7.530406261,9.639594381,6.479897312,4.880012515
AT5G14340,4.817134992,2.960123226,3.120086643,3.569994866,3.529805534,0.500157884
AT1G74080,3.170323469,3.379976895,3.35016366,4.200405619,7.359776653,3.879959246
AT2G21320,10.30990758,10.24989218,10.10946089,7.30995379,6.950078942,8.180074449
AT2G18120,6.56070855,7.02037738,7.509474363,4.779776653,3.04017072,5.700028239
AT1G56010,6.600154033,6.697766526,3.79995379,3.560440277,6.989969193,6.510017329
AT5G04340,10.42886016,9.690146331,9.879961492,9.679819012,8.269906939,6.819997112
AT2G22200,6.440415888,6.708659915,4.969845967,4.169844684,2.959995507,2.89006065
AT1G66550,4.500154033,4.599799757,4.340367753,6.250275975,8.399734935,4.270024068
AT5G22380,4.840585324,5.220885688,6.369944163,6.079922984,5.479788847,2.190041717
AT3G50870,5.64915282,5.100569921,5.839509021,3.289803608,1.760118092,3.599996791
AT2G26320,4.536734507,2.420777865,3.429447408,0.560035941,0.840107823,2.520033374
