,exp1,exp2,exp3,exp4,exp5,exp6
AT3G16770,12.75163538,17.70186518,26.68970408,44.39132198,116.7512597,249.4931529
AT5G57660,173.6793242,183.9979806,225.3470235,277.5264059,383.6587892,377.0897448
AT5G37260,174.7808244,313.630979,375.7222193,284.518609,178.8510183,210.5821477
AT3G01470,134.0535976,162.0794819,187.8582448,200.7878221,226.4067055,279.5535781
AT1G75540,121.022825,181.9785996,208.9800936,220.3409514,281.1478368,276.0617252
AT5G24930,303.801102,398.0707171,405.5226143,443.0623804,454.9175767,472.8863672
AT1G78080,68.48384918,67.3090799,68.14039525,82.63418672,150.7755575,168.1493849
AT3G14230,74.97032582,100.8795696,127.5691386,139.3954268,152.69592,181.3651982
AT5G43840,4.483577183,71.29557949,66.92996401,87.32934134,97.96678316,122.3708163
AT5G44260,16.95778875,54.26138678,68.66627597,81.92003218,114.0840152,114.5591055
AT1G03790,40.73539284,121.6877121,87.54014019,109.7690815,112.3088392,138.460306
AT3G61890,48.27906361,111.0897926,98.55168248,126.4133958,138.748591,157.1647505
AT4G34000,142.5323607,176.4988284,164.3352866,219.2444364,232.8417959,226.4820427
AT4G36730,60.3603763,55.5023073,58.6955823,75.13120335,112.6292811,121.3902086
AT2G25900,43.97046837,63.19845988,67.97607563,79.14897682,109.5879903,109.2873447
AT1G25560,25.14659268,53.13225415,55.77306302,66.81433663,77.30460432,96.13631784
AT1G09770,36.70762094,49.33480858,57.73426008,70.82314411,106.4749047,103.504985
AT3G19860,36.79444496,48.05130658,61.62271192,69.01805159,101.7869725,100.9290485
AT1G22190,27.82484789,26.6402194,28.92048295,44.32351238,60.29060788,79.23324504
AT2G46830,91.57673634,19.41802672,30.08277729,38.15545411,21.14534417,31.86997298
AT2G24260,14.41927558,32.14476327,29.68687731,38.79968987,60.29732726,70.49519533
AT1G02340,46.41618437,71.22136044,74.96602672,85.63060644,104.5281746,109.9690021
AT4G27410,87.94256075,154.6224906,107.7872622,120.8965744,107.6359172,136.2160457
AT2G24790,149.407285,136.0479732,135.7699912,135.6781652,109.6657111,100.6627909
AT1G51070,94.46869606,76.52187263,75.19843393,69.31841317,51.03170503,41.83984199
AT1G49130,11.95690018,34.54860814,40.86610201,52.31295696,82.13215972,55.94778617
AT5G24800,24.1176685,29.32549367,34.45405108,45.37176866,69.32393133,67.18412043
AT5G13330,12.54522084,22.05524231,24.57267697,31.60442189,44.75131853,54.67725895
AT3G19290,17.34212154,33.86836265,37.63572328,45.14832591,55.30448617,70.45404664
AT1G06040,100.521019,46.14248251,51.1554583,66.30122852,42.26154556,59.26201096
AT5G54680,58.76470329,64.24397647,74.38639952,78.53636018,89.76030752,99.34322176
AT5G59780,16.37163731,21.3363382,24.84955423,30.60652066,46.8314441,60.67005431
AT5G47640,90.32635198,77.48816947,68.86159797,64.68568824,54.97078195,48.17581243
AT5G42520,24.11793113,31.37194403,41.17720361,43.29273952,66.33695273,64.86405611
AT3G02830,55.22158644,36.42115971,38.07904615,28.17156316,14.55883679,9.472961187
AT4G29190,37.53862226,73.54341708,67.49001151,77.9965798,96.06342732,78.21786549
AT1G68520,60.20707215,45.19118961,57.54574357,44.49547221,28.04878143,21.23795888
AT3G16857,29.30279019,35.45831673,38.74866985,45.7067237,68.25791233,65.52601799
AT3G47620,31.35896771,38.89709444,39.87831105,43.1096333,62.8442866,71.77496146
AT3G21270,7.215117636,15.92151389,21.25967139,28.23329,37.27039102,49.45499965
AT5G49450,54.92394869,93.47057597,78.68212411,100.7438665,96.5837367,88.3791808
AT4G01120,51.47044702,47.16307615,47.95461315,54.32375043,77.70797596,76.95911713
AT4G37790,41.91017705,66.65707484,57.04917912,69.29627546,77.88035052,88.80287937
AT2G19810,36.26120746,76.82465651,73.25774918,81.03889843,77.87373779,69.70294031
AT3G19580,32.10677767,45.95290926,34.6248028,42.96324671,50.65154752,67.71304321
AT1G71030,3.519843201,10.08825897,12.77824886,15.36341653,28.34318503,34.10917768
AT1G79700,16.65474955,30.28350985,35.57963317,42.15646361,56.60285351,52.03805484
AT5G61590,16.50611533,25.19458436,31.26431153,34.50057948,52.55796621,51.5050172
AT2G22770,57.22885491,32.72952673,27.81374979,25.21486227,20.92290437,17.94290599
AT1G13960,12.60784628,19.20034195,22.75253238,28.28241913,41.34314951,46.00206593
AT1G30970,18.54607265,19.11237873,23.04654961,28.7555568,46.10609374,49.0270112
AT3G17609,42.16211183,11.87539432,15.97068433,12.69173481,4.427966947,3.397980393
AT5G63790,49.73335389,52.49001078,52.60282186,61.13940732,73.83204451,75.21915875
AT5G07100,2.28400706,2.339145657,3.852134875,5.253369903,16.78014303,21.23727891
AT3G57800,44.15512963,60.7450455,71.60465753,78.43411883,82.13675307,74.44184889
AT4G36540,82.61143125,62.60186031,61.15083124,59.39804929,60.93366973,50.64183589
AT4G20380,35.94835787,38.73675139,46.54153093,52.05659582,70.62273667,62.41695305
AT5G60890,47.52975407,30.03471032,27.02572784,24.19877255,17.11095925,15.84091109
AT2G37120,37.89131718,40.36175595,37.82666835,34.38140492,15.8380413,17.12492645
AT5G28300,18.46749309,30.09799904,30.08868727,37.2275507,54.38778484,47.68290918
AT2G44730,22.53102034,30.4792711,33.29540588,37.51142372,50.71503212,51.71602296
AT3G51910,23.71092066,38.67132235,31.63341184,35.91115532,40.75136759,52.20610179
AT3G11450,24.86146261,28.46525483,31.11248318,36.13141525,49.07105696,50.84603455
AT5G46760,14.61951858,18.65909945,19.6922608,22.40136239,33.69418089,39.33109157
AT5G53980,9.350729389,38.40084144,36.75474407,44.48250135,28.94432735,39.14496125
AT4G31550,16.47351665,20.49777877,18.20027062,21.01128442,29.8743408,40.49407971
AT2G43010,24.92159502,21.76755721,27.55606985,38.66819495,44.74306312,46.71004013
AT1G25440,50.40097113,34.59774244,42.30823051,34.31571331,25.38184221,20.46500234
AT5G61600,5.095191386,6.586285057,9.547286019,12.51829517,21.71614479,26.22812647
AT1G26945,67.67625802,54.10700847,54.19618326,66.4854897,50.58388335,46.94883701
AT3G04930,17.91858186,22.4511936,24.46227822,27.35234423,38.07911337,41.61206895
AT2G28550,56.63748984,44.8736334,41.06561078,37.02300552,37.19474771,29.33292619
AT1G50600,23.24153578,27.41528891,30.41637671,34.32925874,42.39206534,44.42809932
AT5G07580,57.13822792,35.54456707,31.04799952,31.04318718,36.8759062,33.95290805
AT4G16780,19.98837468,22.90750003,28.10193585,37.82198575,37.37822832,44.4929655
AT2G21240,29.62702765,37.63257493,43.60418705,45.54711142,49.01915869,53.96403244
AT4G36900,30.50718554,39.74194676,39.18939933,43.33737603,55.05495026,53.50498904
AT1G75490,4.647304856,7.022345707,10.61332077,13.94519084,19.89216279,24.96506339
AT4G00150,18.54098999,18.46321584,20.70533964,24.23344567,38.12087982,34.37606938
AT3G29035,5.752769907,11.75023702,14.21224828,16.79123962,24.25814896,28.90001871
AT4G17460,33.49394777,17.50787466,16.20610946,17.34275997,9.862968648,8.885955876
AT3G60030,42.55375681,48.44920612,50.59027062,53.40129577,62.61800542,62.78707341
AT1G69600,9.093592769,13.71117887,15.5692219,17.87415567,22.72527668,31.34702635
AT3G54620,38.55420851,47.96764881,44.32036515,48.11314437,52.61218481,58.37110761
AT2G45050,22.87728271,32.86886233,31.43965483,38.24133242,48.59990431,45.61782261
AT5G22290,17.46282825,16.12522142,18.42549473,23.56429594,32.78607852,35.2330068
AT3G10490,10.90586323,17.6300336,17.9792426,20.4992247,27.50111081,30.95407891
AT5G60120,54.80787312,46.03008125,46.8735172,41.85895209,40.36580043,34.14690665
AT5G09330,31.7757402,29.75227678,32.62727822,35.51737966,47.34797885,46.68905401
AT3G13040,38.87839683,34.18075389,42.01149483,47.15103742,48.31716421,53.43408964
AT1G07530,15.93944888,19.43625492,22.08410773,23.20322123,30.09709605,33.0901148
AT1G78600,6.342247665,16.0608064,14.0500723,14.80117791,20.34514838,24.96909991
AT3G46600,30.91058905,35.49917521,37.31933724,40.82224549,48.47189025,45.05214778
AT5G67420,27.00949971,30.90263654,37.51373131,34.72319042,40.65703132,41.63316106
AT3G11100,15.67565528,20.78034484,24.36231529,27.63713876,31.96106396,33.95406312
AT5G67060,51.96359581,33.2356929,30.04617954,31.91119681,38.04412592,41.96790111
AT1G30500,6.55280097,12.79202272,13.02817685,14.86525396,22.77909261,25.66500058
AT5G11270,33.37696356,17.51413911,18.95864727,15.29492751,13.03600459,13.17898883
AT5G05410,49.86002219,65.61051994,50.23847577,55.18037215,66.77676462,59.44185141
AT5G53660,16.1702641,26.01659538,21.81473425,29.44103398,30.4996705,20.23183889
AT1G22640,57.45394627,64.8238849,53.24218773,55.19172447,46.60602667,47.43694636
AT2G33480,14.59814081,15.69522787,18.06237324,21.93926211,30.10702577,30.90997584
AT5G63420,27.17183135,10.27902484,10.53671581,7.585039696,8.821960176,7.581001605
AT2G01570,59.75575592,65.6445886,71.75804323,72.20663815,60.93095915,59.65789362
AT2G35940,10.8414078,14.01778638,11.79921719,14.05511633,17.68023368,24.96205776
AT5G44190,47.13784475,38.14053205,54.05250382,48.89860988,36.74209447,39.6859668
AT3G50700,7.901206019,9.506201783,11.60198046,11.39928143,20.16900491,20.32208555
AT1G64380,14.97915942,16.22062002,12.27428823,15.2682436,22.85916215,27.91200185
AT5G16540,25.18029325,19.67508809,20.5895534,15.9508564,11.47593033,9.30497136
AT1G28520,11.1527572,17.05121353,19.26918821,21.22408542,23.88608433,26.51406723
AT1G49720,6.607474421,10.30342523,14.71978676,12.50538794,24.5938623,20.30300221
AT4G37540,17.75585244,24.39651264,29.72104082,30.14508497,32.79306964,34.96301173
AT5G03740,34.95419961,20.93020352,23.04418272,24.94215413,29.74512425,33.61705767
AT3G23690,53.15021944,47.06959306,42.84288082,41.6049759,40.85389766,37.66493795
AT2G31380,19.62304905,4.426296224,7.502890637,6.366863649,2.117986843,1.708010429
AT5G04340,20.71607027,29.05143859,12.83423548,15.27984103,10.32613256,14.45701155
AT1G67710,25.63113197,11.08007191,11.82674026,9.12896592,8.067038701,9.272980024
AT4G14540,30.44309159,23.36704371,23.82072842,20.99989917,17.85789577,14.60995958
AT2G37630,42.28114646,43.42189555,42.33674768,39.71590549,36.77088659,33.23688852
AT1G19350,52.06444958,63.35622768,65.7205174,60.70820416,67.070081,69.59400119
AT4G32040,19.47739971,22.59092135,21.77414855,23.31719366,29.35208761,32.08206389
AT1G68840,21.19894801,20.79458321,26.85236929,30.68804955,32.23199945,32.21508292
AT4G17230,14.97830049,17.31887263,15.99625618,18.65720624,25.08402647,25.90908355
AT5G39860,21.28740659,16.66464245,12.95101425,13.0988254,7.657950132,6.103970894
AT3G07650,9.75941479,20.78016876,22.53239263,16.22428669,25.15794753,23.52306529
AT2G44430,9.729342594,12.39805179,12.93617425,14.7461522,19.48911097,22.9470473
AT5G51780,39.53147873,35.47090296,34.46283576,32.75674578,24.83507249,27.09394421
AT2G28200,13.53732693,16.08450677,21.34824251,23.86719623,29.98189969,26.85599076
AT1G21910,8.315024774,8.507972948,8.227044958,8.694053141,10.35011395,13.90116995
AT1G12860,24.42824344,18.53522855,20.90851229,15.84292568,13.52689632,10.29595825
AT2G29660,12.43704531,12.79013016,14.14212756,15.46726609,23.75900523,23.92202867
AT1G75710,21.58924684,23.51185194,21.97377049,19.58990825,16.73086304,12.46291803
AT1G61660,8.00821141,9.655146331,11.17523471,13.61325589,21.58698963,21.26398546
AT3G54810,28.73486362,19.88304611,20.36216645,22.09092645,19.79923204,27.03012581
AT2G18300,39.36935974,34.38162358,30.47216029,32.13685547,27.63288303,23.98799142
AT3G02990,14.09534426,16.77713574,18.18737863,22.12015788,27.04004884,28.56197004
AT4G36930,24.40263109,21.5290414,21.95929825,25.05740228,37.59278888,31.01392906
AT4G39070,26.00080907,16.72407336,17.48575384,14.92930791,24.52393771,22.58312565
AT1G72650,13.97322887,15.7560775,16.56116327,18.25713333,22.4121042,25.65905529
AT4G17500,4.029059431,4.492130543,5.84823721,8.312180988,13.95204323,15.29903742
AT1G10480,6.403968923,21.74045858,16.11729401,19.17103264,20.18808841,22.94295625
AT2G41070,5.967061228,6.444119279,7.683216031,9.927247511,17.63996245,16.47003341
AT5G37020,28.61214486,21.95083855,20.27374931,17.66989131,14.28298973,13.96298963
AT1G50420,14.66296059,14.35625329,16.98714479,18.49112185,22.28808854,25.0470577
AT1G21450,12.19107034,12.7391006,13.7841316,15.15120085,21.410044,22.78104164
AT3G22780,22.97140685,18.35075778,15.83470946,12.81693531,10.80093351,8.728992459
AT3G26744,38.25691361,37.58400462,37.63175355,35.07176943,27.88698363,27.37698991
AT4G08150,51.95089931,43.37671494,40.41603177,40.74629561,49.9580731,52.23597061
AT2G31280,16.03796945,15.80020332,17.91209521,18.90121128,25.48500199,25.54705098
AT4G00180,23.70296188,23.40632905,26.82413276,28.20330434,37.68684693,32.91698785
AT2G40970,17.97439971,21.0884595,25.86102137,26.08322479,33.08790928,30.26097534
AT1G77450,46.86710551,47.68872159,44.79734513,48.38192947,46.18379806,39.89090747
AT5G06110,15.12268038,12.63321276,14.84319514,16.87017845,22.43109637,25.43398412
AT3G21330,18.86643111,14.43532511,17.81256068,23.63619524,29.71974694,21.83391456
AT3G59060,27.63438766,15.07518985,17.04751408,22.38700828,22.64506482,24.66506495
AT3G28910,31.3272505,25.48882228,23.64304101,24.06891066,21.28489401,17.98196817
AT3G61630,12.52904775,12.90108019,13.73423548,16.1801584,21.11602275,21.82505542
AT2G23760,11.27225249,13.23911966,14.48217887,16.34026773,24.68287941,20.9250194
AT1G56010,6.038443101,9.489971215,9.191154899,10.80007679,13.19313876,17.51704255
AT1G10170,25.68685688,24.57184192,22.93024934,25.52024209,33.06391875,30.53209053
AT4G21750,38.84844035,34.48868279,31.1938658,29.79991409,27.12296666,26.08398811
AT1G14410,17.34275054,7.609937906,6.964863777,5.549945383,3.847992716,3.620997738
AT2G02740,16.3905716,5.263898724,4.211953983,3.733972852,2.888005969,3.074002038
AT4G21440,8.825054553,9.249642452,5.536321062,8.871032411,9.881241992,17.4220137
AT1G66230,16.29408902,9.197721008,6.299866858,4.916978307,4.240984982,3.772973125
AT1G74250,8.170931327,7.636097233,8.646120049,9.893116391,13.52011472,17.09504069
AT1G77950,1.456292919,3.738192733,5.740214779,7.971149444,12.62802506,13.40898248
AT2G42400,11.78925364,13.76521305,15.9780311,16.30117393,21.72102407,22.47102275
AT5G58340,6.956275719,9.104238847,11.58535707,15.29414755,19.89194461,18.16592882
AT5G12850,31.25418286,24.88873978,22.18592212,21.37692221,18.95297061,18.03700692
AT3G02550,12.70534978,15.42987851,14.16814874,15.71303328,16.75009377,19.67211169
AT4G29100,14.91516135,16.17227341,19.01207769,19.81917454,25.2580051,25.41700995
AT3G47600,16.61704781,24.77853386,19.93706412,20.60320788,27.08106989,29.25895987
AT3G58120,61.13871761,58.93898575,58.79150205,64.00618638,69.81396637,68.76586132
AT2G45190,37.69651795,26.15210243,27.21620486,29.34411658,32.9768443,28.12494113
AT3G46640,8.683659588,6.032143347,7.520967557,7.184293914,16.34289786,13.16005698
AT4G28110,1.526773558,15.34101689,5.130299305,8.238847219,3.478178068,9.026983907
AT1G17520,8.869194466,10.38398729,10.25219389,12.26613256,16.39706466,18.41202692
AT5G08790,14.27653944,10.68905998,11.31223394,13.74211251,17.24802747,18.10408437
AT4G38620,16.66508158,9.510752874,6.943920384,6.116973044,5.27697651,4.544991994
AT2G41710,7.259262882,9.307186957,11.24912804,12.57916671,17.77397965,17.14001356
AT1G52890,10.08692298,9.486490248,4.192092131,5.149061003,7.050101277,10.20611397
AT5G25220,30.28522771,32.05883692,30.36488467,29.16729555,38.37699259,38.14600902
AT5G39660,5.655119375,6.585261471,9.301291988,12.33399069,12.04409402,14.97403872
AT2G16720,13.35459855,18.0165715,13.56642378,17.9681025,21.16210904,24.55996008
AT1G58100,18.91764175,16.12715962,17.78511678,18.99812653,22.94104531,24.35305982
AT5G10140,3.89020435,5.482085199,6.367256657,9.033031801,10.02408988,12.82504748
AT2G41940,12.31075175,10.37720477,12.50423018,14.89516029,19.88999082,19.60400592
AT4G00050,15.5857653,5.968026571,6.243821033,4.385026667,5.215956133,3.849016238
AT4G34610,14.46764778,11.72361915,7.767813428,5.829956229,4.466006258,4.660989924
AT2G36080,15.51290809,14.79722864,17.17227447,20.02308417,22.64605632,24.40099477
AT5G49520,6.016185994,7.464785221,5.234131505,6.600114145,10.15709335,13.06604557
AT1G08970,27.133907,34.19886002,32.74499711,32.71508719,35.43212486,39.32297571
AT5G52010,16.78219017,10.47391933,9.635785991,7.412965824,6.347985656,5.900996695
AT3G50330,26.55463944,23.74565237,20.13514392,21.63011889,25.33514964,29.99781779
AT1G03970,4.893091521,5.60611023,6.75106556,7.432112348,10.9330713,13.15502761
AT5G15150,25.04447275,28.72682633,26.92312082,28.17781067,22.2779786,21.61094663
AT1G59750,32.67778012,30.96530989,34.18413064,35.5411153,39.13402859,40.02501369
AT2G34710,31.4821989,25.24228005,28.15082479,26.33089224,22.97296473,21.87397508
AT2G27050,45.97190065,45.19797872,44.97740539,49.18819928,55.39787864,51.61597232
AT4G39780,4.212123611,5.174921828,4.363111,5.516165328,10.66797349,9.84206694
AT4G16141,18.3358332,9.246910276,8.314943297,7.726025383,8.516981003,7.925009884
AT5G63470,19.45794237,19.00912457,20.30268953,17.0779028,14.04893197,11.9289844
AT4G29930,8.520382129,11.49628548,4.074977762,3.843944003,2.099012515,2.488978596
AT4G40060,47.95600662,40.2178555,38.71713776,40.14822559,47.17788079,43.46304467
AT5G12840,38.26784391,37.05148052,31.65659572,37.84402442,38.60513959,42.95499321
AT3G52250,12.31431333,14.75480534,12.73329122,15.75809062,18.5820302,19.52304589
AT5G16600,18.56429292,20.84571619,17.89806248,18.54695167,17.04092407,14.67491528
AT1G14685,26.26779943,32.49500289,32.52468866,29.29098331,28.77083246,23.55000802
AT1G02220,10.72293512,2.427896606,1.35396284,0.968009948,1.277980329,0.664998668
AT2G28450,8.388754061,6.473109556,7.611056414,8.197181374,13.84899076,13.56102607
AT5G26880,31.61969521,21.45629026,24.47068433,21.19208735,23.91396146,22.7130141
AT4G17695,28.47980438,26.95544779,21.22007538,22.00301595,22.4999484,20.89196247
AT3G22170,19.53539548,22.61607326,23.37713054,24.73311921,28.44797356,27.62401834
AT2G38090,16.25378204,14.55585752,13.07585011,11.51897949,10.87991923,8.36296937
AT3G50750,5.421180732,6.829125729,8.135236729,10.59411912,14.30596448,13.19898915
AT1G03040,23.48046332,19.30020939,21.47496034,21.06306341,23.03911636,26.66503841
AT1G14920,20.9507074,26.46140973,30.71702176,30.94283663,25.85203661,26.99298517
AT1G28050,10.06235402,12.82006681,13.51408106,14.35611636,17.98200696,18.19901534
AT4G16110,9.567688783,14.93292356,14.13909608,15.13708815,17.88400738,18.11402352
AT2G16485,9.254998845,9.245957256,8.802290929,11.82410391,15.06201605,15.56201332
AT3G15510,12.03798588,11.92815827,13.57213362,14.96012788,18.94502882,19.84296929
AT3G51120,11.31822348,13.05896736,12.72022951,15.10413407,19.28196791,18.28200953
AT1G48000,1.919218855,3.624077787,4.432116295,5.640019639,6.252071882,8.492052852
AT5G60450,21.08992234,20.48485925,19.02273266,16.24594679,14.58798116,14.00098516
AT1G22985,3.998338872,6.638056607,7.226173383,9.02704682,10.48603764,11.65902904
AT1G69310,3.368400357,6.48689314,5.377186283,7.312022688,8.019116648,11.6540096
AT1G24625,24.83357012,21.48461347,17.47017242,19.26092359,16.88002715,17.72596303
AT3G50890,11.55635094,14.28979466,12.15695889,11.72988005,7.991974681,7.20297152
AT2G40950,5.59610179,6.389147005,7.916057955,8.518071336,10.74105645,12.50002678
AT2G31370,31.48331866,26.17588727,25.0049769,24.76497978,24.13496836,23.14897205
AT1G80010,9.207161093,10.46201714,10.64010725,11.75411158,15.23101807,15.79402445
AT4G35580,18.48724145,20.36818965,22.33801771,22.52209171,25.38001996,26.00201775
AT2G46810,14.88416476,8.378073166,9.138001155,9.149982479,8.603930685,6.443974023
AT2G20570,24.83984013,15.80561912,22.2358993,21.19004159,22.48585547,17.98200794
AT4G17810,17.36641943,12.84396207,12.44975595,9.914988576,9.558976446,8.824997064
