,exp1,exp2,exp3,exp4,exp5,exp6
AT3G16770,17.57339194,28.41704819,39.30589383,58.97829907,130.6247639,279.0790351
AT5G57660,159.1552954,169.2522135,233.7953697,310.3446576,455.4837318,540.6109648
AT2G25900,46.30249788,81.33979086,89.55672493,117.8603658,160.4221813,197.2348872
AT1G78080,65.79260887,78.32572617,85.86891399,95.36437371,169.3330175,201.0397802
AT5G37260,112.3289864,213.4913242,258.3946398,161.1749702,129.0863451,139.8383852
AT1G75540,134.3691156,182.007919,191.5554127,216.6167269,270.4306789,291.5865391
AT3G01470,138.9030282,131.3344059,145.9388306,164.9525488,182.0547307,235.9864203
AT4G36730,57.39443945,53.02909585,64.4126932,82.00021638,119.9050578,152.8661342
AT5G59780,32.66527308,42.58237468,46.47477584,54.5336659,75.28503953,107.6786336
AT1G02340,35.93594556,51.09182985,59.7121332,71.48293633,100.6607921,125.3433447
AT4G34000,71.865095,57.02716574,69.13604752,80.01795548,140.9530594,142.8043076
AT5G44260,10.45525072,51.35660362,57.62804969,78.91726686,87.23334625,98.02305332
AT2G24790,153.108171,154.440361,158.1898484,156.613793,119.0022154,94.55296894
AT1G49130,14.83047177,41.87524824,54.84109777,66.24414372,101.8836963,92.42060386
AT3G19860,38.40697547,53.7959731,63.9039113,73.36992599,102.2251541,107.0281376
AT1G09770,40.23503862,56.11570768,63.46714831,75.39505849,108.3788657,104.1950858
AT5G49450,45.32717172,77.82391601,87.34018659,110.0506377,98.76141255,111.6173203
AT1G51070,102.1663104,89.00416514,80.33203027,70.25943233,52.56973686,44.36980688
AT1G79700,18.0162001,35.15485402,44.02581512,52.49262858,72.08037067,83.63100316
AT1G06040,114.054486,39.9461899,52.30587596,61.40360953,49.23617374,54.65014702
AT3G16857,27.90491688,35.04740049,39.20803289,49.93678765,74.48124052,81.97604745
AT5G54680,66.90522636,76.45807307,77.21765916,84.06441422,96.97264151,116.963215
AT1G71030,6.332050375,14.51449127,19.61749059,24.71342574,37.98040315,50.54335222
AT1G22190,29.41334177,24.28645103,28.97144063,33.548406,46.20045671,60.4323881
AT5G42520,27.11385283,33.75754094,39.3768131,47.82273101,70.60215371,75.39206501
AT3G14230,84.4521467,101.1751325,112.9381004,113.9806117,101.8803544,112.9256428
AT2G46830,70.75133546,11.04894653,20.88009771,21.89483538,16.76487257,12.79401016
AT1G25560,26.70503721,42.5742375,45.04179673,53.31711267,56.82829841,66.1274049
AT2G24260,13.53720576,15.14040722,19.37048694,24.4284114,37.24847638,52.09317893
AT5G24800,23.84934632,26.54702243,26.78082937,35.39576246,59.15507089,61.3641063
AT3G47620,30.02248251,33.78097516,33.5234621,38.32368423,59.64517486,65.09419663
AT1G68520,74.63573295,64.76541997,58.74038993,52.40349484,36.66172929,28.22598463
AT3G02830,58.25905258,35.29949747,30.07926911,22.48776921,15.2958348,10.14795089
AT3G17609,54.11648453,18.94304852,19.44636875,12.88979385,6.465912619,3.742996631
AT5G61590,27.66759353,47.86991432,46.98054451,52.6361083,56.01122091,62.89535049
AT5G07100,3.59413311,4.631155092,6.242178967,8.101284479,16.96626372,25.18442505
AT5G13330,13.73181311,12.27614604,13.79337286,17.6664724,32.38709184,35.24938593
AT4G16780,20.14766991,25.36710047,36.79802846,47.48013738,51.76138986,63.9098702
AT5G67420,34.40974462,40.21046537,45.04424385,47.57732998,57.86029382,67.01620209
AT1G30970,22.31535774,25.10223904,27.58519206,29.58062143,48.94534529,59.7049496
AT2G21240,30.58188492,37.4753768,41.38924395,43.92320631,50.35232533,60.49025494
AT3G61890,9.447396121,12.53358879,18.6494413,23.233623,42.64704958,44.19199076
AT4G01120,26.20641974,29.47651813,34.85825021,37.45751569,53.52716145,58.55810415
AT1G26945,67.43103755,59.93563073,76.87361555,83.266372,63.69675839,56.16768096
AT2G45050,21.51786765,36.06704713,46.94373628,54.5913804,66.44479738,60.13074557
AT5G24930,272.7261965,274.258279,287.5446972,305.1718355,300.046927,297.7725067
AT1G25440,62.65866782,44.49139128,38.16846984,32.66171908,23.90788698,20.38603443
AT5G61600,7.743583271,12.28716857,14.03828198,16.96727925,25.66922611,32.71529459
AT5G46760,17.5622349,19.39212717,20.71323721,23.17735196,34.14527867,42.8292219
AT4G20380,40.2359061,47.2944724,52.20162046,58.64670399,80.58380605,74.53984496
AT2G22770,57.89480414,40.78964784,37.13178253,34.87271404,25.9618736,22.02285471
AT3G57800,44.37661811,56.98141464,61.28856318,67.13845347,81.26907727,83.67687427
AT3G29035,9.643779406,15.71534811,19.331457,24.07820948,30.60629526,39.80713471
AT5G53660,14.67349726,34.12622547,36.46842475,40.8796963,31.41547847,15.16385141
AT5G60890,45.80638221,25.41443903,19.58761347,15.57288509,11.99195113,10.46894067
AT2G43010,25.33867211,14.99557194,20.93664934,27.68143132,41.12213321,45.27305728
AT2G19810,18.41695005,33.60751832,38.99121382,41.21228724,50.16305186,51.77905844
AT4G37790,27.16742064,30.44425829,33.12743466,37.64231439,47.43916106,52.45812047
AT3G15510,13.7938812,20.65838778,24.6862426,27.20630068,36.57618282,42.27309221
AT4G29190,20.164325,38.27539288,42.35612169,43.62042475,56.85593627,54.86984959
AT3G04930,18.62071587,24.1972142,26.42230133,29.55228519,38.43920875,44.94411036
AT5G07580,66.53364016,40.3616258,36.47472515,33.61997529,32.85012891,36.86702769
AT3G58120,66.43163423,71.37301575,81.92383553,90.60214611,95.15502692,95.9937784
AT3G54620,34.57460111,39.25724963,41.85054884,47.55129908,56.87102862,57.76312733
AT5G53980,10.25249957,29.72364963,36.47150426,41.70883127,36.4511023,39.63905718
AT4G36900,17.40447827,21.13022845,23.50329699,26.58830787,36.1821668,41.38010121
AT2G37120,37.78748443,41.56133464,45.03625025,37.24858337,24.26586198,19.96495308
AT2G44730,25.82625441,27.80821391,30.03056405,35.88934388,46.60510503,49.87804146
AT1G13960,13.27740806,16.45607172,17.20130383,20.35739914,32.79508321,35.38809813
AT3G51910,21.25686592,28.00192606,27.23447866,32.20613295,36.34916812,41.58819262
AT5G60120,55.28969842,45.15082806,43.36458373,39.04089192,35.67279247,29.20590551
AT4G40060,33.65422643,35.41844612,40.05203957,40.46332321,50.53515089,55.23709577
AT5G44190,64.07070073,53.94981324,52.00949073,46.71962663,35.08500889,35.36227971
AT5G28300,20.43927596,38.16819456,40.18955875,45.99324039,53.48360247,41.09590922
AT3G50700,10.11653321,14.26996987,13.95710956,15.09525489,23.03813356,27.20018283
AT4G32040,19.09552782,23.20709021,24.14413333,25.52921712,32.29516825,37.53815983
AT3G59060,27.28233824,14.33837584,18.24251591,23.60127768,32.25410821,35.62610157
AT2G28200,17.17265438,22.27044284,26.8703897,30.91830582,40.44803164,41.43395711
AT2G33480,19.73079052,18.0992142,20.32422402,22.6513389,33.21217345,38.61702245
AT3G07650,9.799127192,26.36896399,25.99457535,21.58431737,31.47410019,34.59606036
AT3G46130,12.36093582,11.86128814,14.85429276,17.89532061,27.88614126,32.28801795
AT1G75490,3.699260187,5.726173191,7.525247896,10.1002349,17.42015734,22.32309622
AT3G60030,47.57001443,55.47199673,55.43809126,56.38625127,64.21600026,64.22418206
AT2G28550,56.75596908,40.93580024,38.86081786,36.96904557,38.38883323,33.19191527
AT5G28770,22.94708027,46.94068356,43.65387668,42.37307127,44.59392054,42.11812844
AT2G27050,47.16714402,48.28919177,50.28134561,53.87118946,59.77515384,64.56908573
AT3G11100,16.45081625,22.80921478,25.04016116,26.71413337,30.87005779,32.67117672
AT5G09330,35.81700449,35.85203408,36.20632684,39.60131143,49.30599836,49.25512674
AT4G17460,42.85882268,33.6886608,40.55225252,43.17454329,28.94302208,29.63085754
AT2G37630,39.6124361,50.79884221,49.15991162,48.2419001,45.1287831,38.3698193
AT2G31380,25.90761788,7.352086066,8.245777326,5.932902671,2.899961107,1.688038572
AT3G19580,8.121064309,8.622144694,10.12514354,11.61622457,18.61411905,22.3241137
AT1G07530,17.10530768,19.50215268,21.0881575,22.72418914,28.6181341,32.79710747
AT5G11270,35.5917757,26.05478291,23.79957631,19.39883146,14.14700526,14.31100037
AT3G46600,34.23193626,41.52488823,40.36419264,42.36531249,52.10293569,50.09911658
AT4G00150,21.14229882,23.46999249,23.3923484,27.01132071,37.00500067,37.0260568
AT1G68840,28.64107874,37.04416626,38.77122431,41.10085142,36.4711945,42.53219894
AT1G58100,22.46507779,23.07114826,24.6112194,26.890093,29.78822492,36.79710322
AT4G37540,26.01179237,32.18429969,35.29756087,41.12305382,42.80007811,45.23403918
AT3G46640,7.68793107,7.151269076,9.946147583,11.47925852,19.53513914,23.87102156
AT1G03790,10.91009986,11.68824164,14.19847442,19.12625361,27.02902943,27.94599469
AT3G19290,11.47722399,13.22195572,12.76215586,14.38125091,22.20007644,24.58210879
AT5G51780,39.98291989,54.93836939,58.77507971,59.60267419,49.45033217,59.80100469
AT3G10490,11.23650921,15.20290286,14.19404765,14.68925008,22.48210638,25.79709085
AT5G16540,28.53312586,21.72382267,19.88164794,16.22491085,13.44687979,9.700971279
AT1G67710,27.33606689,12.27771648,9.332807555,7.333986811,6.923069058,9.074990726
AT4G39780,5.254040177,5.567124863,6.864183299,8.768125376,12.67510583,15.97314062
AT1G05805,16.68692882,23.92215355,25.51711408,26.70213728,30.98015875,35.9270009
AT4G08150,55.75879187,46.34748601,41.00880852,39.02053366,55.64991952,53.14195079
AT4G39070,34.56197273,26.55961723,22.58373891,19.87226218,28.0420886,30.80313938
AT3G11450,25.42239181,36.26381083,34.29949233,39.41319755,45.56880508,39.4950599
AT2G29660,13.20118753,14.66206729,15.36118436,17.27610205,20.45614996,25.12910282
AT1G50600,24.54082761,23.19810234,24.26109598,25.25816465,30.3891316,34.49010014
AT3G13040,45.42377095,35.85020082,37.93636583,41.73617011,47.03709829,50.10006501
AT3G50330,23.31296534,23.04304217,23.48131866,26.79093771,24.84977967,17.98383381
AT5G39860,17.38454386,21.62172164,29.11716905,30.872685,21.0569114,18.29590989
AT3G22780,23.24305442,23.66662878,19.81067798,16.4658702,12.42090713,9.526971825
AT5G51790,7.761731142,13.4571987,15.521382,19.48913016,23.54504881,25.06597314
AT2G23760,11.53426815,13.62296525,13.26217839,15.11525919,23.19203116,24.16304226
AT4G17230,13.14506957,13.68700597,13.74909666,14.75318699,20.58005317,22.2371139
AT1G21450,13.60722848,15.38697949,15.17410407,16.2552409,23.76201601,24.26108355
AT5G37020,29.6489314,21.32473208,18.54189064,17.40589137,14.02096294,12.8659945
AT1G56010,8.255322442,10.76717463,12.581204,14.70013083,18.77709431,21.71604672
AT1G12860,23.63258193,20.37570734,17.33575855,14.82793004,12.64789327,9.321958652
AT5G39660,7.481969707,7.24620804,9.407220748,11.70008302,14.28712987,18.33407978
AT2G45190,41.94835204,36.90028356,29.45896948,29.14228881,38.14177967,31.27591387
AT1G22640,30.98437122,33.8767951,42.13492616,41.36797635,40.63116334,45.72101279
AT2G35940,7.267943008,6.82403331,7.170096944,8.177157178,13.07511524,16.66607811
AT2G42400,12.07245838,15.64317021,17.41109608,18.40914248,22.8490671,24.94006004
AT1G19350,45.20429131,55.2626981,52.12681641,50.22015776,55.13598142,54.55714907
AT3G02550,9.492409984,12.68606922,13.40508414,14.27905205,15.9011668,21.09908177
AT4G17500,6.364177138,7.744212758,9.954130158,11.3060705,13.50307246,15.76110986
AT3G50750,6.820346959,9.523096078,10.52111851,11.7521247,15.63807798,18.0680724
AT5G05410,17.39538855,20.42194378,19.83795514,19.37244429,33.21671411,24.30791435
AT5G67060,43.75812823,44.75657564,40.34934715,43.95490331,40.941976,40.19382196
