"LowPh.Root.30","LowPh.Root.60","LowPh.Root.180","LowPh.Root.360","LowPh.Root.720","LowPh.Root.1440","LowPh.Root.2880"
"AT5G53980",4.24,1.18,5.37,6.21,5.8,7.4,7.31
"AT2G21900",4.86,2.45,1.82,2.75,3.5,6.17,7.02
"AT1G68240",5.19,0.61,1.84,1.68,3.65,4.99,4.82
"AT2G28700",1.18,2.01,4.84,3.01,4.77,5.09,5.88
"AT3G61950",2.51,4.44,3.62,2.23,4.07,0.58,5.12
"AT3G63350",6.11,5.5,3.85,2.46,2.8,2.3,3.05
"AT5G60140",3.67,4.89,2.58,3.38,4.25,2.92,0.22
"AT3G02310",3.69,1.88,4.52,2.3,5.33,1.16,2.77
"AT4G37850",4.7,5.12,3.72,4.32,2.08,1.74,1.6
"AT3G02550",6.5,4.75,5.66,7.11,7.43,8.4,8.99
"AT4G03170",2.25,0.11,1.67,2.86,2.42,1.34,4.88
"AT4G18390",3.66,3.62,4.39,1.88,2.23,4.38,6.26
"AT3G12820",5.12,4.03,3.91,5.39,7.85,7.08,5.24
"AT4G25410",5.17,6.3,5.71,5.24,5.75,2.04,3.79
"AT3G53310",3.35,3.43,5.16,3.5,0.52,4.12,4.42
"AT5G58080",5.11,2.9,1.03,3.85,2.53,1.12,2.49
"AT4G00232",3.69,1.59,4.14,4.62,2.14,5.19,1.9
"AT5G60970",1.57,4.72,1.8,2.82,5.13,3.23,4.44
"AT4G11880",3.23,2.04,3.03,4.68,4.09,4.11,6.39
"AT3G60390",3.91,5.33,5.11,5.11,5.44,5.7,1.81
"AT4G21050",2.45,3.73,1.49,2.84,4.53,0.55,1.89
"AT1G66380",1.39,0.58,3.78,1.03,3.52,3.36,3.21
"AT4G17710",3.45,5.57,1.43,3.66,4.55,3.45,4.93
"AT3G01080",2.47,4.81,3.96,4.55,5.17,6.19,6.39
"AT1G21340",3.85,3.9,3.63,5.19,4.59,1.53,1.98
"AT4G26170",0.23,2.63,0.36,1.88,2.79,3.91,1.88
"AT1G80580",5.13,3.54,2.94,2.69,3.19,1.21,1.44
"AT4G10240",2.8,1.44,1.01,0.29,2.3,4.28,2.63
"AT1G01520",1.54,2.08,4.56,3.79,2.2,0.69,2.38
"AT5G51860",2.31,3.43,1.04,4.46,1.82,3.65,1.2
"AT3G04410",3.72,4.13,4.56,1.6,2.3,1.12,2.82
"AT1G71200",3.3,4.44,2.56,1.98,2.52,1.08,0.6
"AT1G75430",3.93,0.66,2.68,3.27,3.62,2.77,4.78
"AT5G44260",6.8,5.56,6.27,5.06,2.83,4.46,5.11
"AT1G26680",5.94,5.56,2.76,6.28,6.2,6.37,5.1
"AT2G42440",4.03,3.2,3.5,5.15,5.88,6.6,5.17
"AT5G06510",2.46,3.34,5.05,4.56,5.41,5.46,5.91
"AT5G62110",0.08,1.58,-1.14,2.25,0.88,-0.76,-0.37
"AT2G31210",2.99,3.23,2.17,-0.38,1.99,2.43,0.94
"AT3G61250",1.34,3.62,4.63,4.69,4.37,5.06,4.24
"AT2G26320",3.5,3.38,0.59,3.25,4.22,2.9,1.6
"AT5G42910",3.98,4.17,1.07,2.47,2.02,3.56,1.45
"AT3G30530",3.75,3.89,3.61,4.98,3.5,6.06,6.44
"AT3G57670",2.73,1.73,3.94,4.65,4.71,4.8,2.66
"AT5G67060",3.65,4.68,4.56,2.5,2.79,1.56,4.6
"AT5G18000",3.94,1.94,3.42,3.35,2.82,3.66,0.45
"AT1G56160",2.38,5.2,4.03,5.12,5.8,5.78,5.24
"AT2G38250",5.11,3.09,5.37,5.82,5.55,6.1,7.05
"AT1G69540",1.12,4.21,4.2,1.94,1.83,2.94,2.08
