"StdPh.Root.30","StdPh.Root.60","StdPh.Root.180","StdPh.Root.360","StdPh.Root.720","StdPh.Root.1440","StdPh.Root.2880"
"AT2G12940",4.29,3.61,0.36,0.37,1.56,2.56,5.21
"AT2G21900",1.83,3.92,3.65,2.49,2.27,4.5,7.18
"AT1G57560",7.13,7.95,8.32,7.55,8.58,6.8,3.37
"AT4G03170",-0.23,0.65,1.04,-0.6,2.84,4,2.08
"AT5G53980",4.95,3.51,5.25,6.01,6.23,8.18,7.58
"AT4G11880",3.64,1.46,2.21,2.61,3.5,5.19,5.82
"AT2G20350",2.52,4.18,0.88,1.84,2.66,5.07,4.6
"AT1G10585",3.61,1.08,2.23,3.02,-0.58,3.55,2.92
"AT1G14440",4.12,5.2,4.33,3.15,0.6,2.27,2.95
"AT2G37740",4.63,5.58,1.54,2.33,3.05,3.62,5.25
"AT1G06170",2.65,3.14,-0.06,4.33,2.29,4.24,2.12
"AT3G11020",4.29,4.77,5.4,5.58,2.42,6.04,7.13
"AT4G13480",2.87,4.4,2.53,4.42,1.44,4.81,5.62
"AT1G33070",3.08,4.71,0.56,1.01,2.75,2.29,3.84
"AT2G31210",2.35,2.09,0.11,3.5,0.07,1.96,3.8
"AT5G27810",1.14,4.37,3.41,2.36,4.65,2.64,0.98
"AT2G28700",2.57,1.96,1.92,2.34,1.52,3.65,5.69
"AT5G27050",0.9,3.6,5.4,2.88,3.85,2.35,4.19
"AT1G31630",2.49,-0.11,0.85,0.49,2.51,3.86,2.76
"AT5G60470",4.49,2.75,2.44,5.54,2.96,1.9,5.13
"AT3G44460",2.68,3.82,4.61,1.86,1.66,5.49,3.58
"AT5G35900",2.94,5.45,1.35,3.55,4.45,5.09,3.8
"AT1G54160",4.08,3.64,1.68,2.96,5.21,3.08,5.67
"AT1G25330",0.68,3.96,2.57,3.05,1.45,0.88,3.84
"AT5G15060",2.21,2.88,5.18,3.89,3.61,5.32,5.86
"AT3G30530",2.73,1.87,4.21,4.08,3.88,4.47,6.11
"AT1G49190",1.02,3.17,3.84,3.58,3.62,1.82,5.03
"AT5G60140",3.5,4.62,3.58,1.31,5.06,2.01,3.14
"AT4G31680",1.72,1.85,0.66,3.98,2.08,0.58,-0.03
"AT4G18870",4.02,1.04,3.33,0.58,0.82,2.19,1.79
"AT4G01460",4.4,1.49,2.35,0.72,3.52,2.54,3.75
"AT3G12820",3.4,2.95,5.32,3.25,6.1,5.8,4.71
"AT2G38250",2.87,4.2,4.15,5,4.92,5.48,7.06
"AT5G39700",3.42,5.49,5.09,3.74,1.73,4.75,3.21
"AT1G60380",3.59,2.16,1.88,0.66,3.01,4.68,2.51
"AT5G15480",2.5,2.71,1.3,3.98,1.17,3.28,4.61
"AT5G42640",2.88,1.81,0.17,0.12,3.56,1.69,2.15
"AT4G36260",5.21,3.01,4.99,5.39,4.87,6.11,7.21
"AT1G80580",4.95,2.73,1.86,2.27,2.79,4.86,4.28
"AT2G36610",0.85,1.25,2.92,2.27,2.94,4.65,3.13
"AT1G77980",2.24,4.48,3.54,5.08,2.48,5.21,5.1
"AT5G67180",3.51,3.71,0.67,3.54,2.69,4.51,4.08
"AT5G60970",1.9,2.38,3.04,3.49,1.09,5.04,3.09
"AT3G56520",3.44,3.75,2.79,4.54,1.26,4.83,4.56
"AT1G26790",2.79,3.96,1.59,2.84,4.3,1.1,4.1
"AT3G59580",5.56,1.64,3.78,4.36,4.89,3.73,4.44
"AT2G03710",3.7,5.32,1.97,4.8,3.45,2.39,2.8
"AT3G06160",1.22,3.56,2.86,0.24,2.6,2.83,0.92
"AT3G17010",2.31,2.52,4.75,2.96,2.64,5.53,3.36
"AT4G34400",4.97,2.03,3.99,3.84,3.59,5.37,5.54
"AT1G34650",2.67,4.29,3.14,1.68,4.39,3.81,5.35
"AT2G26320",1.06,3.82,2.89,1.94,3.96,4.55,3.3
"AT2G12900",1,4.12,1.8,2.16,1.66,3.62,3.7
"AT3G03660",4.56,3.55,3.21,3.02,2.2,4.82,5.68
