"Nacl.RootEpiderm.60","Nacl.RootEpiderm.180","Nacl.RootEpiderm.480","Nacl.RootEpiderm.1200","Nacl.RootEpiderm.1920","Nacl.RootEpiderm.2880"
"AT2G20880",9.95,7.61,5.76,5.73,5.25,6.15
"AT5G62165",2.01,2.27,1.69,3.64,5.32,5.26
"AT1G74430",2.69,1.68,0.74,1.03,5.07,3.14
"AT3G57670",1.92,4.69,3.13,4.26,0.71,1.45
"AT5G62110",1.16,2.92,3.62,1.99,-0.68,1.43
"AT3G61950",0.2,3.79,3.22,4.24,3.91,2.6
"AT3G50870",2.34,0.73,4.15,4.12,1.36,3.29
"AT5G15480",5.64,4.57,2.28,2.45,2.52,2.46
"AT4G21050",0.41,0.92,1.95,0.65,4,0.34
"AT4G17785",5.31,3.96,2.77,4.81,2.12,2.16
"AT3G48920",8.7,8.26,7.21,7.29,5.03,6.03
"AT1G75430",2.54,2.93,4.95,4.95,2.37,5.28
"AT3G23240",5.1,6.25,6.38,7.67,8.24,8.62
"AT2G01430",6.16,5.48,4.33,2.37,3.97,3.65
"AT4G10240",4.48,3.67,0.55,3.05,2.26,2.94
"AT5G27580",2.75,3,4.34,0.92,0.89,2.24
"AT3G12910",4.44,2.86,3.2,3.19,5.03,6.21
"AT4G29100",5.39,4.39,2.76,1.86,4.36,2.94
"AT5G60140",0.69,3.05,2.58,3.3,3.31,4.67
"AT1G68520",4.58,2.55,2.09,3.61,3.96,5.61
"AT1G33070",0.65,1.15,0.75,3.97,0.71,1.92
"AT2G13150",0.72,3.14,0.36,1.98,2.86,0.29
"AT3G46130",1.2,1.25,1.52,0.18,3.28,3.39
"AT1G59530",2.5,2.64,-0.76,2.11,2,1.37
"AT2G42380",3.97,2.77,5.37,2.11,3.96,2.25
"AT5G65100",8.2,6.06,5.77,5.37,4.87,4.82
"AT1G31630",1.98,4.51,2.02,1.95,1.71,0.76
"AT2G42410",0.8,0.74,2.67,3.45,0.38,1.19
"AT5G43410",1.03,3.41,2.79,1.32,4.19,2.01
"AT5G25220",6.37,5.83,4.98,5.1,3.36,3.47
"AT1G73410",0.38,1.83,4.05,2.7,1.58,2.07
"AT1G62700",4.61,1.7,2.03,3.38,1.44,3.27
"AT5G11050",5.95,5.16,5.15,2.84,5.1,3.34
"AT3G12820",2.36,2.38,4.4,1.56,2.48,4.5
"AT1G66550",5.3,4.17,4.86,4.44,3.91,1.83
"AT3G59580",3.21,3.84,3.99,0.84,2.03,2.27
"AT2G02060",4.82,3.79,2.6,1.82,2.49,1.74
"AT2G37000",0.63,2.86,0.82,1.19,2.18,3.61
"AT1G68880",3.29,4.08,3.15,1.12,4.46,2.49
"AT5G15800",2.1,4.49,1.1,1.58,2.97,2.37
"AT3G53820",5.96,4.44,3.61,4.84,3.2,2.7
"AT1G18710",2.23,2.46,3.67,4.75,5.09,4.34
"AT1G22590",1.71,3.78,2.03,2.05,0.88,3.85
"AT2G27220",3.04,0.65,2.02,3.94,3.34,3.21
"AT1G75250",7.39,4.92,6.85,6.57,5.74,4.35
"AT1G67100",4.47,4.87,2.77,3.1,5.6,5.36
"AT3G56980",4.76,3.16,3.68,3.86,1.41,4.27
"AT1G74080",4.67,3.13,4.09,3.12,1.3,3.78
"AT2G39250",2.52,1,3.61,2.86,1.58,4.04
"AT1G26780",3.47,1.43,4.78,4.14,3.37,4.14
"AT4G36590",2.86,3.97,5.18,3.42,1.83,4.18
"AT3G05860",4.28,4.68,3.22,2.13,2,2.33
"AT3G44460",2.94,5.32,3.81,5.01,6.17,4.96
"AT4G31680",2.08,1.45,1.81,1.22,4.41,2.35
"AT4G24660",2.87,2.63,3.9,4.75,4.83,5.47
"AT3G04420",6.15,5.76,3.39,5.36,3.63,4.59
"AT4G03170",1.58,1.42,3.78,2.76,0.92,3.21
"AT4G25410",4.27,4.65,3.52,2.96,5.67,5.77
"AT4G18870",3.6,1.12,2.52,1.88,0.38,2.25
"AT2G17040",2.31,2.95,0.81,2.7,3.59,3.96
"AT1G02220",8.95,8.66,7.55,7.19,5.94,7.07
"AT3G04410",5.35,2.2,2.86,3.52,3.49,2.7
"AT2G14210",4.19,2.78,4.9,5.87,4.91,5.48
"AT3G24310",2.06,2.06,3.04,2.46,0.54,3.78
"AT4G35550",9.3,7.73,7.88,7.94,6.01,7.21
"AT5G60970",1.03,0.68,2.94,2.42,3.41,2.23
"AT1G01520",3.13,2.55,3.42,2.12,4.25,1.2
"AT1G01030",1.73,4.11,3.47,2.79,4.02,4.66
"AT1G16640",2.31,4.69,4.38,4.68,4.99,5.26
"AT5G53980",3.16,4.15,3.62,5.5,5.5,5.44
"AT4G33280",3.55,2.73,3.8,1.25,4.08,3.71
"AT3G60390",2.17,1.83,3.42,2.27,3.99,4.33
"AT3G63350",4.91,3.67,5.45,6.22,5.99,6.51
"AT3G49760",7.72,6.46,6.12,5.62,4.66,5.43
"AT3G04450",4.08,3.09,4.23,2.06,4.97,4.32
"AT4G00130",3.59,1.94,2.89,2.52,2.48,4.86
"AT3G02380",3.38,1.21,3.68,3.31,4.26,2.95
"AT1G53160",2.26,5.17,4.54,3.38,3.22,4.01
"AT3G46770",3.15,2.41,1.9,3.19,4.45,4.41
"AT2G38300",2.23,0.4,1.27,2.72,0.24,2.16
"AT1G64000",4.47,1.92,4.53,3.01,3.96,4.26
"AT5G52170",5.46,6.75,7.62,7.31,8.39,7.87
"AT2G12940",2,0.55,3.03,1.81,2.85,3.32
"AT4G05170",5.56,4.93,4.35,2.88,4.97,5.67
"AT5G67180",3.41,2.87,1.69,3.6,4.65,4.03
"AT5G40430",2.47,2.52,1.96,0.94,4.07,2.58
"AT1G43950",-0.03,1.72,1.15,2.03,2.99,1.18
"AT4G35270",4.41,4.53,2.02,3.49,2.65,4.04
"AT5G39700",1.58,3.31,1.14,3.06,1.56,3.34
"AT3G20880",5.05,3.86,4.31,4.67,3.22,6.13
"AT5G35900",1.97,3.25,2.89,1.77,3.93,1.29
"AT1G30500",3.45,3.81,5.44,5.17,5.35,5.98
"AT5G46010",1.19,2.11,2.56,4.1,2.87,1.82
"AT2G21320",1.5,2.04,2.77,2.41,2.81,4.44
"AT4G31620",2.28,1.96,0.86,3.8,1.43,2.12
"AT5G06510",2.13,1.02,3.65,3.21,1.54,2.25
"AT4G36060",4.17,5.32,5.07,5.41,2.84,5.05
"AT2G42150",5.27,5.1,5.35,4.01,2.79,4.67
"AT2G03060",2.59,5.08,3.79,3.61,4.61,2.76
"AT5G55020",2.03,1.79,2.9,3.56,0.7,2.47
"AT5G04640",-0.32,1.2,1.24,1.57,2.76,1.22
"AT2G20350",2.88,1.49,1.43,2.95,0.88,3.18
"AT1G69540",1.94,3.92,3.86,4.61,4.12,4.54
"AT5G42700",3.9,3.72,4.96,3.57,5.4,5.89
"AT1G27740",9.57,7.93,8.19,8.15,7.24,6.72
"AT3G11090",3.62,3.3,5.18,4.36,2.74,5
"AT5G10970",3.18,3.9,2.65,3.97,1.36,2.7
"AT4G37780",1.29,0.73,-0.04,0.39,0.34,2.64
"AT3G23230",6.35,7.43,7.91,7.82,8.83,8.98
"AT5G32460",3.16,3.41,2.35,2.98,0.83,3.2
"AT4G21340",3.96,1.41,2.79,1.68,1.95,1.69
"AT1G69580",3.72,1.95,2.7,3.56,2.32,1.21
"AT5G06710",3.73,4.27,3.91,4.58,2.68,2.1
"AT2G34820",1.2,3.14,1.35,3.2,1.5,1.25
"AT2G21900",1.63,2.12,1.58,1.16,3.39,3.37
"AT5G57620",5.72,5.48,4.16,4.32,5.17,3.19
"AT1G57560",9.57,7.48,7.75,7.3,7.06,7.03
"AT1G03790",7.92,10.11,9.92,10.42,9.01,8.85
"AT1G56160",3.97,2.34,4.78,3.14,3.59,2.42
"AT3G27650",5.24,3.18,2.76,2.73,3.29,3.14
"AT4G02670",2.82,2.08,4.12,1.49,3.39,2.96
"AT4G18390",2.7,4.44,4.15,4.12,3.47,5.47
"AT5G27050",4.41,3.88,4.93,2.43,4.64,3.36
"AT3G04100",3.09,2.44,2.65,3.31,5.05,3.43
"AT2G06020",1.25,1.15,1.8,1.75,2.08,3.7
"AT2G17770",2.2,1.97,3.14,3.86,4.35,3.33
"AT5G49240",4.06,1.62,1.48,2.48,2.2,2.44
"AT5G12330",5.83,5.87,6.17,7.01,4.22,6.22
"AT5G57720",3.3,4.95,3.76,3.94,3.33,2.15
"AT1G31320",4.32,2.94,3.71,3.22,5.34,4.7
"AT1G46264",2.88,5.06,3.37,2.85,2.83,4.16
"AT4G18020",3.84,3.12,4,5.16,5.4,5.05
"AT5G56200",5.87,3.38,5.11,4.22,4.42,5.41
"AT5G25475",4.32,5.94,5.7,6.02,6.94,6.57
"AT4G37850",7.34,8.47,8.66,8.86,9.93,9.53
"AT1G77950",2.98,2.92,1.89,1.66,2.32,4.14
"AT3G10040",5.25,6.13,7.1,7.58,7.31,7.3
"AT2G31380",2.69,4.15,4.47,4.98,3.78,2.89
"AT1G66380",0.5,2.78,2.31,1.66,0.72,1.98
"AT1G26680",3.86,2.12,2.06,1.62,3.36,3.25
"AT2G26580",4,2.96,1.58,2.25,3.03,1.86
"AT1G22130",2.98,0.89,1.76,2.54,0.71,1.6
"AT1G75490",3.78,5.46,5.23,5.56,6.13,6.27
"AT5G49330",4.56,3.02,4.57,2.59,4.32,4.54
"AT3G44350",3,3.16,4.26,3.21,1.5,3.27
"AT2G38250",5.97,7.61,7.2,7.91,8.04,8.53
"AT1G68130",5.11,3.54,4.62,3.31,4.75,2.97
"AT1G25250",2.87,4.56,3.76,5.34,3.43,3.59
"AT2G31730",3.8,1.97,2.08,3.04,3.44,4.09
"AT3G54390",3.66,3.82,4.85,5.71,4.01,5.46
"AT4G08250",6.08,4.86,5.72,4.64,3.71,5.67
"AT2G28710",8.12,7.66,6.93,6.74,5.82,6.12
"AT5G46690",4.9,4.62,4.59,3.64,2.65,3.4
"AT5G42640",2.17,0.75,1.94,2.98,3.17,2.59
"AT2G25230",3.25,2.28,2.12,3.71,2.01,1.32
"AT5G49620",2.04,3.28,2.8,4.31,3.55,2.12
"AT1G10585",1.63,3.31,1.07,1.85,2.3,3.13
"AT1G05710",3.98,5.54,5.63,6.47,5.4,6.24
"AT5G60470",3.39,4.67,2.48,2.83,4.29,2.91
"AT2G31210",1.96,3.32,2.39,1.39,1.87,0.76
"AT4G31610",1.06,1.1,1.15,1.36,3.29,1.17
"AT2G18120",2.26,3.66,1.81,1.77,2.08,3.6
"AT3G57600",4.53,2.3,3.39,3.41,4.43,4.36
"AT1G77980",3.17,2.26,3.94,3.79,4.7,4.3
"AT4G13480",3.27,4.4,2.48,3.27,3.65,1.93
"AT2G22750",3.83,4.86,4.7,5.1,6.25,5.88
"AT2G46510",7.56,8.68,8.99,8.79,10.23,9.24
"AT5G64530",2.1,0.88,1.87,3.5,2.25,1.61
"AT2G32370",4.22,3.61,3.7,3.28,1.83,2.59
"AT4G11880",0.74,2.23,0.41,2.08,1.83,2.53
"AT4G25440",3.44,3.45,3.03,2.71,2.96,5.1
"AT1G29570",1.73,2.19,0.44,0.97,2.85,1.8
"AT2G46310",4.57,2.33,3.9,2.7,3.66,2.77
"AT3G30260",3.63,3.85,3.38,1.72,2.16,3.18
"AT4G00232",1.85,2.41,4.07,2.75,3.7,2.38
"AT1G69560",4.39,2.93,4.35,2.46,3.2,2.6
"AT1G21340",10.79,10.51,10.18,8.69,9.37,9.03
"AT3G61830",4.55,5.14,4.68,3.63,4.26,2.77
"AT2G31180",5.77,5.54,4.75,5.12,3.47,5.53
"AT5G16600",5.33,2.99,3.8,4.08,3.11,3.63
"AT4G36540",4.15,3.33,2.59,3.59,3.28,1.74
"AT5G17490",5.33,4.56,3.98,3.43,5.65,4.99
"AT5G65230",2.74,2.34,2.72,2.4,2.11,4.43
"AT5G06250",4.57,3.49,4.67,5.18,4.09,5.89
"AT2G30420",2.51,3.08,3.13,1.56,3.6,1.68
"AT1G33060",4.38,5.26,6.11,6.23,6.71,5.9
"AT3G06160",1.86,1.19,3.13,1.26,1.31,2.7
"AT5G17260",1.92,2.72,1.77,3.72,3.64,2.61
"AT2G16210",3.91,3.57,4.41,4.77,3.99,2.39
"AT1G25330",1.63,-0.14,1.1,1.16,2.36,1.02
"AT5G25160",1.1,2.8,1.59,2.02,2.79,0.89
"AT5G01860",2.79,3.55,2.5,4.43,3.18,4.43
"AT3G02310",2.61,3.45,1.15,2.18,2.36,1.51
"AT5G59780",4.14,3.15,5.47,4.46,3.78,3.57
"AT5G04400",4.53,2.46,3.73,4.55,4.52,3.97
"AT5G06080",2.1,3.45,2.24,1.86,3.18,1.32
"AT1G17590",1.97,2.19,3.32,2.71,4.08,3.46
"AT5G42910",2.63,2.9,2.2,0.71,2.46,1.58
"AT3G05690",5.18,4.25,3.68,5.44,4.79,3.45
"AT3G02550",8.56,10.21,10.55,10.63,10.22,10.72
"AT5G18000",3.29,3.69,4.17,4.08,4.36,2.18
"AT1G34170",2.53,2.61,1.53,1.18,2.07,3.41
"AT2G33720",3.62,3.19,4.13,4.52,3.89,2.24
"AT1G63100",5.22,6.16,6.52,5.14,7.19,6.49
"AT2G24260",10.49,9.3,8.81,9.87,8.53,8.5
"AT5G41090",4.59,3.39,3.24,3.94,2.52,4.5
"AT4G28530",4.79,5.82,6.56,6.5,5.64,4.73
"AT4G21550",5.07,5.89,5.8,3.93,5.36,4.32
"AT1G17460",6.49,5.87,6.23,4.29,5.91,6.2
"AT1G15790",2.95,3.81,4.55,3.94,3.78,5.27
