"Cold.Root.30","Cold.Root.60","Cold.Root.180","Cold.Root.360","Cold.Root.720","Cold.Root.1440"
"AT1G59530",4.05,3.75,3.19,2.43,6.39,8.91
"AT3G53600",1.5,4.13,5.39,6.54,7.77,6.91
"AT5G48250",7.2,7.5,8.4,10.43,12.07,11.95
"AT3G10040",9.65,10.13,8.81,7.19,6.41,4.84
"AT2G43500",6.78,6.56,7.59,7.88,10.09,11.62
"AT5G22380",2.34,3.72,3.06,5.54,6.46,6.32
"AT5G32460",4.62,3.99,0.91,3.93,0.86,1.57
"AT1G16530",8.41,8.46,8.29,7.87,5.21,4.78
"AT3G11020",6.06,5.98,8.05,9.59,9.32,9.12
"AT3G24310",5.43,6.12,8.7,9.46,8.34,8.76
"AT3G50750",5.8,5.88,5.84,5.72,4.38,1.94
"AT2G46310",7.53,7.64,7.88,7.51,5.45,4.05
"AT1G80730",5.7,6.3,5.74,4,2.5,3.52
"AT5G07580",9.42,9.78,9.64,8.21,6.94,6.35
"AT1G26790",4.25,3.76,5.71,7.3,6.4,6.86
"AT5G40430",3.55,0.9,2.69,3.53,0.54,3.73
"AT3G50870",6.29,5.98,6.58,5.82,2.82,4.52
"AT5G03720",5.05,5.54,5.29,6.42,8.15,7.89
"AT1G31320",8.05,8.02,7.94,6.22,5.91,5.04
"AT5G49450",8.77,9.18,10.28,11.21,11.36,12.02
"AT5G49330",5.35,5.5,3.23,3.48,4.01,6.41
"AT2G36610",0.58,-0.31,1.34,2.9,-0.56,1.25
"AT5G41920",6.17,6.71,5.82,4.14,3.46,4.77
"AT3G44350",0.91,1.47,2.23,2.66,3.58,4.21
"AT3G05860",2.28,4.18,1.14,0.64,1.47,1.97
"AT4G10240",1.48,3,0.79,3.75,2.17,3.84
"AT4G14540",4.87,4.64,3.67,2.36,1.75,3.64
"AT4G00270",7.19,7.28,6.49,6.33,5.57,4.02
"AT2G21900",7.83,8.03,9.68,10.78,10.41,9.45
"AT1G56160",3.88,5.25,2.04,4.26,4.81,5.25
"AT5G04150",5.01,4.21,5.05,3.62,2.59,5.95
"AT1G72360",10.32,10.63,10.18,9.62,8.09,7.87
"AT3G53820",4.78,4.32,3.05,5.15,6.36,5.83
"AT3G02550",10.88,11.07,10.72,9.14,8.38,8.93
"AT1G67970",7.26,7.49,8.08,9.66,9.66,9.73
"AT3G02380",5.37,6.17,6.29,7.89,7.04,8.4
"AT2G12940",2.88,2.54,0.57,3.9,3.12,3.12
"AT5G18240",7.36,7.35,7.14,7.2,5.26,4.93
"AT1G32730",6.62,6.73,6.02,6.77,6.19,3.83
"AT4G24150",3.96,3.47,5.47,5.53,6.21,5.96
"AT2G40140",10.39,11.09,12.61,12.88,12.98,12.92
"AT2G44745",2.54,1.24,2.7,2.24,1.94,4.54
"AT2G38250",5.53,4.83,5.93,5.95,6.58,8.08
"AT1G76580",7.81,7.72,8.07,8.64,10.07,10.15
"AT3G55980",9.5,10.27,12.1,12.27,10.7,10.27
"AT3G06160",3,1,2.06,1.88,2.22,4.22
"AT1G10585",2.2,3.83,1.7,3.09,1.88,4.38
"AT2G42660",7.7,7.61,7.09,6.97,6.95,4.71
"AT3G56980",7.22,6.84,6.15,4.88,5.82,7.95
"AT3G57670",3.54,4.64,4.73,4.06,3.2,1.85
"AT1G33070",4.08,3.58,2.06,1.41,3.77,2.43
"AT1G06170",2,3.74,4.42,2.14,1.92,3.52
"AT1G60380",4.96,4.89,3.15,5.03,3.06,5.54
"AT1G01520",3.6,3.29,3.36,4.97,4.54,5.94
"AT4G15250",4.76,3.55,4.77,5.98,4.29,6.37
"AT4G00130",2.19,2.67,0.94,0.76,0.8,3.15
"AT3G48920",9.25,8.64,8.13,7.04,6.78,6.8
"AT5G44260",5.8,6.83,7.45,8.09,7.97,8.74
"AT5G15480",4.91,4.91,2.72,5.26,5.08,5.7
"AT2G14760",4.29,4.04,3.38,5.62,5.8,5.73
"AT3G13840",7.68,7.46,6.57,6.75,5.19,5.42
"AT5G67180",2.46,3.51,3.18,4.67,1.69,3.62
"AT4G37850",0.98,2.27,3.27,0.55,1.54,0.94
"AT3G01080",3.38,4.93,5.15,5.52,5.67,6.38
"AT1G69540",4.17,3.91,2.06,4.29,2.99,4.83
"AT4G36540",7.2,7.08,6.63,6.46,5.08,4.87
"AT4G29190",9.7,10.14,10.54,11.8,12.05,11.81
"AT3G12910",1.77,3.26,4.34,3.06,4.54,3.63
"AT5G49520",8.42,8.92,10.39,10.8,10.65,10.41
"AT5G57660",10.49,10.55,10.59,10.91,11.71,12.99
"AT2G03710",5.14,4.1,3.85,4.67,3.36,2.38
"AT5G56780",4.75,5.76,4.08,6.34,6.22,4.38
"AT3G04410",4.87,4.89,4.89,4.88,4.11,2.46
"AT2G20350",2.62,4.01,3.84,4.23,1.98,2.3
"AT3G11100",8.2,8.34,7.84,7.61,6.02,6.36
"AT1G31630",1.75,0.01,1.35,1.84,0.36,-0.47
"AT3G63350",4.47,3.03,1.79,2.78,3.02,1.9
"AT1G73870",1.62,1.1,0.86,0.96,3.25,2.52
"AT5G67010",5.28,4.53,2.79,5.28,5.22,4.91
"AT1G48000",6.52,6.53,6.58,7.12,8.11,8.8
"AT3G04100",3.19,4.05,5.12,5.29,3.08,4.77
"AT3G30530",2.38,3.1,4.49,3.66,2.48,4.58
"AT4G37780",2.78,4.88,5.51,4.09,4.4,5.04
"AT2G28200",8.89,9,8.86,8.19,6.89,7.06
"AT3G25790",9.29,9.09,8.62,7.71,7.57,6.88
"AT4G17880",8.87,8.97,8.29,8.73,7.04,6.84
"AT5G51870",1.14,1.64,3.17,1.66,1.86,3.48
"AT3G50890",2.17,4.43,4.21,4.17,3.75,4.84
"AT5G51860",2.06,1.4,1.08,1.96,3.34,3.23
"AT4G01460",5.26,5.41,3.6,5.21,4.03,3.32
"AT1G13300",11.09,11.21,10.93,10.54,9.34,9.09
"AT2G25230",1.44,3.28,3.68,3.48,3.37,2
"AT5G49240",1.6,3.16,3.22,2.88,1.66,3.87
"AT1G14440",4.12,4.76,2.54,4.96,4.92,4.26
"AT2G21320",5.74,5.7,5.83,6.17,4.83,7.6
"AT5G62110",0.99,-0.28,1.01,0.58,2.02,2.09
"AT5G08070",5.38,5.31,3.43,5.7,5.9,5.5
"AT5G39660",8.14,8.43,9.41,10.18,9.93,10.16
"AT4G22700",3.5,3.7,3.08,3.41,5.26,4.92
"AT1G60350",4.54,4.84,4.39,5.4,3.89,2.84
"AT3G06220",3.34,1.31,1.58,2.35,2.68,3.42
"AT5G23650",3.96,4.26,3.53,5.1,5.38,5.76
"AT3G46130",9.7,9.5,9.3,8.56,7.37,8.4
"AT2G31210",1.16,3.3,2.52,3.18,1.62,2.78
"AT5G04640",0.4,0.63,2.62,0.66,1.05,1.85
"AT3G58120",8.47,8.35,8.05,8.06,6.65,6.54
"AT5G58080",4.36,3.63,3.12,4.15,4.91,2.58
"AT4G18020",8.42,8.8,8.8,8.41,8.23,6.52
"AT3G29020",2.93,4.66,3.86,3.14,5.09,3.75
"AT4G03170",3.99,3.58,2.06,4.15,3.88,2.7
"AT3G30260",5.73,3.75,4.46,5.93,5.47,5.08
"AT1G29600",6.43,6.58,6.41,5.84,4.7,4.89
"AT1G03790",3.66,5.16,5.83,5.76,5.61,5.62
"AT2G35430",6.66,6.75,5.31,4.95,5.41,4.94
"AT5G35900",4.49,4.73,4.55,3.32,2.66,3.7
"AT1G05710",9.27,9.18,9.56,8.95,8.24,7.36
"AT4G26440",0.85,0.99,0.72,0.86,1.03,2.87
"AT5G42910",2.84,4,2.7,4.82,3.99,3.47
"AT1G74080",6.92,7.14,7.91,8.51,8.97,7.48
"AT5G59780",11.78,11.5,11.11,10.79,9.59,10.44
"AT2G45650",0.47,0.53,2.52,0.6,0.78,0.68
"AT5G17490",5.43,3.59,4.34,3.23,4.61,4.13
"AT2G25000",8.21,8.29,8.47,8.14,6.98,6.63
"AT1G26680",4.65,4.9,4.04,3.61,4.36,2.77
"AT4G17785",6.5,6.73,7.24,7.17,7.18,8.72
"AT1G66380",3.03,2.36,2.95,3.68,3.93,1.88
"AT3G04420",6.32,5.88,6,6.56,4.39,5.47
"AT5G65590",2.7,3.58,3.78,4.12,3.58,5.04
"AT2G06020",2.99,1.18,2.28,3.12,2.68,3.22
"AT4G37730",9.62,9.63,9.93,9.48,8.52,8
"AT3G18650",3.09,2.75,4.28,3.96,3.29,4.71
