"Osmotic.Shoot.30","Osmotic.Shoot.60","Osmotic.Shoot.180","Osmotic.Shoot.360","Osmotic.Shoot.720","Osmotic.Shoot.1440"
"AT1G73870",10.09,10.57,9.41,8.17,1.63,7.83
"AT3G58120",8.27,6.29,2.54,1.6,1.82,1.17
"AT3G02380",11.71,11.89,9.77,6.36,6.31,9.72
"AT2G37430",4.92,8.52,5.88,3.29,1.66,3.97
"AT1G03790",4.11,4.04,5.24,4.6,7.91,9.42
"AT2G42380",6.12,5.47,2.42,1.52,1.58,0.86
"AT3G48920",3.13,2.6,1.86,6.46,6.42,6.69
"AT5G17490",2.19,1.91,6.32,6.96,6.19,4.34
"AT1G48000",5.99,5.54,6.46,8.62,9.81,10.27
"AT1G54160",6.14,7.11,9.53,9.29,10.95,11.2
"AT5G04150",5.53,2.3,2.13,5.71,6.06,6.88
"AT1G75250",6.91,7.67,6.21,4.77,3.29,2.63
"AT5G44260",9.51,4.27,8.41,8.88,7.3,7.33
"AT2G18120",5.26,6.23,4.07,1.3,3.38,5.57
"AT1G18710",5.18,6.87,8.75,9.44,9.3,9.48
"AT1G28050",3.96,6.24,6.61,8.75,8.5,6.27
"AT1G26790",5.72,6.18,3.14,3.98,1.81,5.66
"AT4G21440",5.41,5.6,8.61,8.55,8.71,9.29
"AT5G50915",10.39,9.43,7.84,6.85,6.5,6.26
"AT3G01330",5.89,5.62,5.19,5.55,2.34,2.35
"AT1G63100",6.62,6.86,6.12,6.33,5.33,2.38
"AT5G28770",11.34,9,8.5,7.8,6.72,7.17
"AT4G36540",11.3,10.37,8.94,8.46,7.84,6.79
"AT5G48250",7.01,7.26,6.88,10.11,9.73,6.34
"AT2G31380",10.56,11.43,9.34,8.39,7.27,10.51
"AT3G62090",5.53,5.13,5.64,8.11,8.5,7.89
"AT1G80580",1.69,1.15,1.73,1.83,4.2,4.73
"AT2G38250",4.63,4.17,4.07,2.58,6.27,6.54
"AT5G06510",3.89,4.41,6.97,5.41,7.43,6.87
"AT4G17810",9.63,8.86,7.34,7.41,6.45,5.67
"AT1G68520",12.29,9,8.69,10.12,9.3,8.19
"AT2G25900",12.2,8.96,9.99,10,8.23,8.41
"AT1G01030",6.21,6.74,5.98,5.62,3.26,3.52
"AT1G68510",5.08,3.94,4.09,1.73,2.71,1.36
"AT1G01520",6.18,9.13,9.16,6.46,7.46,9.32
"AT3G19360",6.96,5.99,4.38,3.84,3.34,3.78
"AT5G39860",7.12,8.82,6.46,5.83,5.53,4.74
"AT5G10970",6.34,2.68,6.08,5.11,5.78,6.36
"AT1G80730",4.12,3.88,3.76,1.44,1.6,1.13
"AT5G57660",12.25,11.4,11.49,11.27,8.25,11.21
"AT5G25390",3.5,3.65,4.7,5.7,6.98,3.78
"AT3G15030",7.83,8.52,7.17,6.9,5.23,5.12
"AT2G30420",6.36,6.32,6.39,6.43,4.44,3.25
"AT2G21320",9.32,10.32,8.66,8.07,6.7,10.1
"AT1G73830",9.61,7.61,7.12,6.51,5.75,6.44
"AT3G25790",5.54,2.82,1.63,3.24,4.41,3.17
"AT5G27580",4.93,4.59,2.15,4.14,1.68,3.85
"AT4G36990",7.63,7.32,9,9.07,10.4,10.43
"AT1G68120",6.48,5.95,3.92,4.97,3.62,3.25
"AT3G10040",6.91,5,4.2,3.86,4.77,3.06
"AT2G20350",4.13,3.06,4.51,3.34,3.83,0.83
"AT2G31730",8.4,7.08,6.39,6.18,5.31,4.8
"AT1G29600",6.97,6.6,6.46,5.09,5.05,3.6
"AT1G13300",7.04,4.41,3.38,3.97,4.12,4.56
"AT1G25330",4.3,3.25,2.24,4.34,2.38,1.1
"AT3G24310",1.18,1.67,3.33,3.78,4.51,3
"AT1G27740",3.38,2.76,4.47,5.61,4.02,6.03
"AT4G25440",2.94,3.21,6.03,5.06,3.82,3.07
"AT5G22380",3.4,5.86,3.56,5.25,6.07,6.04
"AT2G25230",2.9,4.34,1.2,2.33,1,2.28
"AT1G68880",4.52,2.68,2.79,1.77,3.61,4.97
"AT4G24150",5.77,3.52,5.3,3.12,5.72,5.71
"AT3G04100",2.66,2.88,2.9,4.6,5.58,4.51
"AT5G57620",4.56,5,4.95,2.12,3.68,2.77
"AT3G11020",6.31,5.39,6.67,8.13,7.61,5.12
"AT1G13290",4.39,3.73,4.68,6.29,6.41,6.36
"AT5G48560",4.13,2.96,2.5,5.21,5.47,3.89
"AT2G26950",3.86,4.13,2.27,5.18,5.17,2.95
"AT2G40750",5.02,5.95,4.3,5.7,7.67,4.97
"AT2G06020",2.95,2.55,1.54,4.54,2.88,4.44
"AT1G69540",3.48,2.5,3.7,4.52,5.01,5.69
"AT1G22590",9.48,9.3,7.96,7.92,7.46,6.46
"AT1G30500",8.1,7.8,9.54,9.65,10.41,10.44
"AT5G53660",6.88,7.29,7.21,7.16,8.78,9.69
"AT4G00130",3.93,3.09,2.2,2.92,1.18,1.12
"AT1G77640",6.78,5.45,3.44,4.49,5.32,5.41
"AT4G29190",11.02,9.16,11.97,12.25,11.68,11.36
"AT2G21900",6.03,5.47,5.46,4.85,4.48,2.9
