"Salt.Shoot.30","Salt.Shoot.60","Salt.Shoot.180","Salt.Shoot.360","Salt.Shoot.720","Salt.Shoot.1440"
"AT1G75250",7.91,7.81,6.37,3.88,2.48,1.74
"AT2G40750",4.1,3.92,2.94,8.7,8.07,2.79
"AT3G02380",11.78,11.75,10.59,7.06,6.07,10.1
"AT1G73870",10.33,10.8,10.43,8.69,5.13,10.36
"AT5G03720",6.62,6.08,5.61,6.11,5.29,1
"AT3G58120",8.44,6.34,2.92,6.77,3.82,4.94
"AT5G17490",2.75,1.96,5.57,5.53,5.7,5.56
"AT5G25390",3.96,4.29,7.06,7.38,7.91,6.8
"AT1G31630",1.56,3.58,0.38,0.71,4.28,0.64
"AT5G28770",11.28,9.57,8.48,7.81,6.54,7.75
"AT5G44260",8.44,5.93,7.98,8.59,5.21,5.02
"AT5G32460",3.41,2.38,4.89,5.56,2.62,1.12
"AT2G25820",2.4,4.17,5.5,5.89,6.49,6.65
"AT1G01520",6.11,8.29,9.27,5.83,5.7,8.72
"AT5G57660",12.54,11.56,11.57,11.07,7.95,10.21
"AT2G31380",10.88,11.54,10.19,8.78,7.44,10.8
"AT3G18650",1.45,1.78,4.86,4.75,4.52,3.12
"AT5G48250",6.98,7.03,6.36,9.45,9.6,6.25
"AT4G21050",3.44,1.68,2.97,5.41,1.31,3.98
"AT5G39860",8.43,8.96,8.52,6.87,5.89,5.38
"AT3G53600",3.54,0.6,3.24,0.85,3.1,0.3
"AT5G06510",4.2,6.23,8,7.58,7.67,7.88
"AT1G28050",5.88,5.55,6.21,8.5,8.9,6.23
"AT2G31730",7.51,7.01,4.81,6.68,6.75,9.13
"AT2G46310",8.21,7.2,4.21,5.92,6.22,5.4
"AT5G49450",11.34,8.28,8.55,8.92,7.38,7.87
"AT1G68510",2.42,2,4.18,5.08,5.12,4.56
"AT1G73830",9.6,7.93,7.13,6.64,6.14,6.11
"AT2G20880",3.82,6.75,7.32,7,5.66,5.32
"AT2G25900",12.02,9.4,10.22,10.02,8.41,8.69
"AT4G11880",2.38,3.09,5.84,3.56,3.51,4.99
"AT2G26320",2.15,1.33,5.04,3.38,3.23,3.46
"AT3G29020",2.52,5.51,4.24,4.8,3.36,2.36
"AT3G11020",5.95,4.67,6.58,7.87,7.45,5.13
"AT4G31620",3.8,5.7,3.72,5.49,5.26,2.52
"AT2G22750",4.96,4.79,3.58,3.18,1.78,4.81
"AT1G18710",6.29,5.95,8.54,8.45,8.91,7.92
"AT5G60140",4.92,2.7,3.08,5.02,2.57,5.17
"AT2G21320",9.62,10.71,8.86,8.57,7.35,10.21
"AT3G02550",9.03,6.93,6.49,6.64,6.18,5.45
"AT1G33070",2.04,2.92,3.83,4.9,4.88,2.57
"AT2G37430",2.23,1.46,4.42,2.56,1.14,1.46
"AT1G54160",7.47,8.07,9.78,9.6,9.75,10.64
"AT1G18860",5.22,5.28,4.32,4.19,3.05,2.33
"AT2G34830",4.54,5.31,4.89,4.2,5.05,2.08
"AT2G34140",3.17,3.63,2.43,4.47,5.76,3.38
"AT3G50870",5.78,4.02,2.7,2.84,4.29,3.21
"AT4G21440",5.38,6.29,8.29,7.85,7.5,8.05
"AT5G57520",4.91,2.82,5.23,5.45,2.99,4.57
"AT2G42380",6.87,3.66,4.78,4.69,3.97,4.4
"AT1G33760",1.8,2.19,1.55,4.28,2.42,1.04
"AT5G17260",3.74,2.46,5.5,5.05,4.18,4.8
"AT2G22200",7.23,6.65,8.16,6.38,6.37,4.91
"AT2G21900",4.7,5.31,4.8,5.49,2.72,5.57
"AT3G10040",6.34,5.99,5.36,3.32,5.14,4.78
"AT5G62110",0.38,1.45,-0.67,2.17,1.21,-0.12
"AT3G62090",4.42,5.62,6.58,7.13,7,5.47
"AT1G69540",4.08,3.02,4.44,4.63,4.71,2.1
"AT3G04420",2.29,3.94,2.64,4.96,2.48,3.72
"AT4G37850",2.87,1.68,3.91,1.28,1.48,1.55
"AT3G30530",4.21,5.45,3.51,4.77,3.61,2.52
"AT4G00232",5.23,5.42,3.8,4.94,5.63,3.03
"AT4G36990",7.29,7.32,8.21,8.61,8.74,10.05
"AT2G38250",3.93,2.4,5.03,5.29,4.2,4.52
"AT2G18490",0.92,3.4,1.02,1.04,0.89,0.66
"AT1G07540",2.97,3.17,2.67,2.13,3.04,5.14
"AT5G57620",2.66,5.56,4.75,4.38,5.06,3.85
"AT1G67970",6.36,6.53,7.24,8.88,8.21,6.68
"AT2G14210",5.03,4.08,4.42,5.49,2.52,4.39
"AT1G13290",3.56,6.26,6.12,5.83,5.83,6.02
"AT3G55980",9.89,7.32,7.39,7.24,7.61,7.91
"AT4G25440",2.93,4.17,5.33,4.97,5.62,3.96
"AT1G04990",7.11,7.67,8.58,9.26,9.85,8.46
"AT1G26790",5.39,6.07,4.36,3.56,4.62,6.03
"AT1G68520",12.25,10.02,9.39,10.65,10.23,9.86
"AT5G40430",1.81,4.54,4.38,3.4,4.03,3.42
"AT3G23230",5.28,5.08,6.08,3.85,4.72,3.37
"AT1G03490",1.88,4.28,2.44,2.91,4.33,3.33
"AT1G76580",7.66,7.88,8.42,9.84,9.68,9.64
"AT5G59780",9.47,10.1,10.22,9.68,7.61,8.85
"AT3G03660",3.16,4.61,3.17,2.66,1.7,3.62
"AT5G51870",2.25,1.96,3.04,1.58,4.31,2.71
"AT2G13570",4.5,3.96,2.94,4.46,2.46,2.42
"AT5G48560",3.22,3.89,2.52,4.6,2.96,4.98
"AT4G00050",10.54,10.76,8.96,8.77,9.79,11.07
"AT3G24310",3.04,4.4,1.92,2.83,1.72,2.53
"AT1G31050",3.5,5.11,2.91,3.95,4.88,2.89
"AT4G22950",3.77,5.65,6.44,5.73,5.95,6.22
"AT5G19490",3.34,5.22,5.12,5.52,6.02,5.75
"AT1G29570",2.42,1.79,1.09,1.86,0.26,0.03
"AT4G36540",11.39,10.45,9.57,9.44,9.62,8.66
"AT1G69810",3.79,2.48,2.58,4.53,3.39,4.69
"AT5G49520",6.39,5.05,4.7,6.21,6.01,7.28
"AT1G66470",4.29,5.54,4.94,3.29,3.33,3.52
"AT4G12350",2.26,3.36,3.08,1.81,2.05,4.25
"AT5G04150",5.66,4.21,5.68,6.66,5.37,6.72
"AT5G53290",2.71,3.44,5.22,3.62,4.37,3.03
"AT3G48920",3.83,2.42,4.39,4.25,5.06,4.63
"AT5G39660",9.33,7.92,7.17,6.8,7.43,8.32
"AT1G06040",12.68,12.79,12.63,12.15,10.36,12.32
"AT3G12910",4.16,3.12,3.76,1.97,1.98,2.7
"AT3G56980",3.92,5.4,6.08,6.28,5.81,6.29
"AT4G15250",4.42,5.8,5.93,3.95,5.5,4.07
"AT4G24150",3.67,5.57,3.17,4.27,3.21,4.29
"AT1G80730",3,3.7,4.52,2.75,2.43,2.06
