"Drought.Shoot.15","Drought.Shoot.30","Drought.Shoot.60","Drought.Shoot.180","Drought.Shoot.360","Drought.Shoot.720","Drought.Shoot.1440"
"AT3G02380",12.38,11.29,11.38,10.2,7.14,6.56,12.31
"AT1G01520",7.31,8.41,8.69,5.21,4.5,2.18,7.56
"AT1G73870",10.54,10.29,10.36,10.35,8.16,4.44,10.94
"AT5G17490",1.73,5.27,6.54,5.64,3.8,1.51,1.98
"AT3G55980",10.98,11.45,11.27,7.29,7.36,7.68,7.58
"AT5G04150",5.54,2.66,4.21,3.7,3.98,7.04,7.78
"AT5G44260",8.06,6.97,6.83,8.96,8.68,3.5,7.12
"AT2G37430",2.3,5.13,5.91,1.26,1.75,3.04,1.86
"AT1G28050",5,6.2,6.5,7.37,9.04,8.21,3.9
"AT2G20880",5.46,8.47,7.96,4.39,4.33,4.08,5.71
"AT2G40750",5.88,5.73,4.29,6.07,8.68,9.02,5.96
"AT5G22380",1.96,6.25,3.65,1.64,2.45,1.47,2.8
"AT1G55950",5.19,5.53,4.71,2.87,1.58,2.09,2.48
"AT2G40140",9.48,10.5,10.51,7.18,7.77,8.36,6.6
"AT3G49760",0.76,4.69,4.79,5.14,3.43,4.02,5.08
"AT2G17040",8.13,10.11,10.01,7.28,6.03,7.99,6.84
"AT1G64380",5.75,9.23,9.21,5.94,6.41,6.8,6.07
"AT5G48250",7.4,6.81,6.8,6.53,9.95,9.38,6.55
"AT5G35900",5.01,4.11,4.98,4.78,2.33,2.17,5.89
"AT5G57660",11.57,12.11,12.13,12.14,12.04,8.29,11.96
"AT4G25440",2.61,5.69,5.41,5.88,6.25,4.55,3.17
"AT5G40430",2.48,4.61,1.34,3.09,0.77,3.11,4.15
"AT2G06020",4.25,4.1,4.14,5.12,4.19,0.77,3.63
"AT5G06510",2.94,6.08,6.72,7.2,6.37,6.04,6.16
"AT1G69540",1.21,4.83,4.67,4.2,5.04,4.2,4.98
"AT3G23230",5.52,7.04,6.27,3.35,3.6,5.34,5.67
"AT2G31210",2.58,3.75,0.71,1.15,0.06,3.08,1.68
"AT2G38250",3.06,6.04,5.49,3.8,5.12,2.93,2.92
"AT1G69810",2.33,2.76,2.6,2.46,1.92,4.56,5.46
"AT3G12910",1.77,4.35,4.64,2.37,1,3.08,2.69
"AT2G22200",6.09,8.61,8.43,7.06,6.13,5.93,5.18
"AT3G56980",5.7,5.14,3.78,4.89,5.19,7.64,6.87
"AT4G17230",7.8,10.77,10.77,8.58,8.84,8.35,7.74
"AT3G24310",3.81,2.24,2.96,2.45,4.4,1.84,0.62
"AT2G25820",2.77,5.49,5.42,3.4,2.4,4.33,3.17
"AT1G33760",4.27,3.33,2.49,1.77,1.1,0.88,2.91
"AT1G74500",2.55,4.7,2.46,1.34,3.46,2.49,1.28
"AT3G53600",1.29,3.64,3.63,1.01,0.96,1.46,1.63
"AT1G26790",6.78,5.62,5.89,3.5,4.76,4.14,6.14
"AT3G04410",5.33,5.41,5.76,3.26,4.21,2.68,4.09
"AT2G22750",4.69,4.42,3.7,1.5,2.82,4.3,4.49
"AT2G21320",10.52,10.06,10.16,9.22,7.59,8.23,10.35
"AT2G13150",3.54,1.68,4.45,4.82,3.48,4.34,5
"AT1G60380",4.19,3.99,4.61,3.33,3.62,1.63,5.17
"AT3G03660",4,5.37,2.44,3.69,2.63,2.98,4.78
"AT4G21050",0.79,2.75,3.3,3,1.37,3.11,3.77
"AT2G25900",11.54,9.73,9.75,11.09,10.98,8.51,11.12
"AT4G24150",6.28,4.8,4.46,3.22,3.41,3.76,5.12
"AT2G13570",2.97,4.98,2.82,5.5,3.32,3.99,2.91
"AT5G57620",2.82,3.96,3.42,5.54,2.73,3.85,5.12
"AT3G06220",3.74,4.59,5.84,5.4,2.58,4.33,4.51
"AT1G33280",2.16,3.54,4.6,4.41,1.95,4,4.11
"AT3G29020",5.09,5.42,4.87,2.33,3.62,4,3.81
"AT1G72350",3.81,5.58,4.2,2.3,2.84,3.46,4.15
"AT2G31380",11.08,10.89,10.86,10.57,9.07,8.61,11.24
"AT1G67710",3.41,2.68,3.71,5.5,5.3,3.94,3.42
"AT1G49190",3.59,3.42,4.2,4.71,4.04,1.52,4.13
"AT2G18490",1.85,2.67,0.59,0.41,2.98,1.41,0.72
"AT4G00130",3.05,3.03,4.11,0.99,2.75,2.1,1.8
"AT5G09780",5.74,5.09,5.18,5.63,2.99,4.88,6.06
"AT5G39660",9.45,8.39,8.23,7.8,6.55,7.23,9.06
"AT2G20350",1.44,2.77,3.8,2.7,3.13,3.8,4.54
"AT3G44350",2.23,2.92,2.18,2.36,3.17,0.53,3.67
"AT3G44460",2.92,5.06,5.62,3.54,4.88,4.27,5.36
"AT2G47520",4.81,2.62,5.3,4.81,4.71,3.74,5.46
"AT5G46010",4.06,1.99,3.59,1.94,3.63,4.37,3.82
"AT3G11020",4.79,6.29,6.5,5.6,7.72,7.07,5.73
"AT5G42640",4.01,3.91,2.94,1.33,3.7,4.1,3.46
"AT3G57670",3.25,3.46,4.9,3.25,2.12,4.51,2.68
"AT2G36610",0.16,1.55,-0.37,0.37,2.45,0.2,0.94
"AT2G46310",7.32,7.73,7.18,5.64,5,6.57,6.64
"AT3G50700",7.53,7.51,7.54,8.89,9.8,8.9,7.38
"AT5G67450",6.19,6.97,6.71,5.01,5.29,5.76,4.29
"AT1G18710",5.19,7.55,8.19,6.86,7.04,6.62,7.55
"AT1G33070",2.44,3.17,2.03,4.32,2.19,2.12,4.03
"AT1G03490",4.35,4.56,1.84,2.86,2.77,2.96,3.28
"AT5G49520",6.12,7.83,7.88,5.71,5.79,6.23,5.92
"AT3G30530",2.72,3.49,3.15,3.43,3.55,1.21,4.17
"AT5G55020",5.69,3.71,5.01,3.8,2.97,5,4.61
"AT1G67970",6.3,7.95,7.42,7.45,8.85,8.26,6.4
"AT1G01030",6.23,6.94,6.9,6.25,4.16,6.38,6.29
"AT1G27740",3.48,2.42,3.87,2.02,3.7,4.31,4.48
"AT4G25410",3.83,3.15,4.8,5.28,5.35,5.44,5.48
"AT2G12940",0.27,0.72,2.8,1.17,1.23,2.01,2.33
"AT2G30130",1.57,2.29,3.59,1.14,1.19,1.22,2.43
"AT5G66980",4.97,4.86,4.96,2.58,4.06,3.65,4.79
"AT4G38960",8.11,8.65,8.85,8.46,6.8,6.73,8.67
"AT3G02310",4.42,5.95,6.34,5.52,3.96,5.9,6.02
"AT4G15250",4.68,4.69,5.05,4.2,3.4,3.89,6.19
"AT2G25230",1.94,2.26,2.08,3.19,0.46,2.76,1.37
"AT3G12820",5.47,2.96,3.13,4.41,4.66,4.67,4.45
"AT1G80580",2.03,3.77,1.33,1.86,1.16,2.13,1.29
"AT2G31730",8.38,7.38,7.44,5.62,6.38,7.55,7.13
"AT5G41920",6.07,6.16,6.31,7.48,7.48,7.86,5.56
"AT5G27580",3.52,3.34,4.61,3.86,4.12,1.84,3.1
"AT4G03170",1.96,3.1,1.43,2.54,1.68,0.98,0.53
"AT1G06040",12.64,12.52,12.5,12.57,12.1,10.29,12.9
