"Wounding.Shoot.15","Wounding.Shoot.30","Wounding.Shoot.60","Wounding.Shoot.180","Wounding.Shoot.360","Wounding.Shoot.720","Wounding.Shoot.1440"
"AT1G33760",9.45,8.21,2.74,1.92,2.19,2.68,2.8
"AT2G37430",6.66,7.2,6.29,2.93,1.5,2.02,1.66
"AT1G73870",10.3,9.95,9.54,9.27,6.66,4.16,10.89
"AT5G17490",4.31,7.11,8.79,6.07,3.87,2.1,2.95
"AT3G55980",12.97,11.89,9.07,7.94,7.48,7.81,7.92
"AT3G02380",11.5,10.86,10.25,10.32,7.26,7.05,12.46
"AT2G40750",7.36,5.67,4.91,8.81,10.27,9.23,6.26
"AT1G10585",6.96,5.8,10.41,10.68,9.29,8.62,7.08
"AT3G46130",6.68,4.58,4.03,7.68,8.08,8.73,8.06
"AT5G04150",5.08,4.71,3.46,2.31,4.21,6.48,7.21
"AT3G53600",2.38,4.81,4.84,1.8,1.38,1.56,0.64
"AT5G22380",6.02,5.48,2.82,1.56,2.84,2.4,2.96
"AT1G13300",4.56,3.07,2.6,4.24,6.04,7,5.74
"AT2G25230",4.26,-0.37,1.38,1.92,1.96,1.55,4.05
"AT3G44350",4.18,5.2,1.66,1.47,2.3,1.77,1.21
"AT2G17040",10.23,8.53,5.42,7.64,7.49,7.92,7.71
"AT5G06510",5.15,2.91,3.97,6.7,6.74,5.64,5.89
"AT1G22130",4.66,3.94,3.67,1.83,5.85,5.01,2.66
"AT1G01520",6.22,5.31,6.66,5.28,3.53,4.12,7.42
"AT1G28050",5.45,6.47,7.61,7.18,8.99,7.8,5.12
"AT2G12940",1.72,3.55,4.79,2.46,0.87,1.62,1.58
"AT5G62110",-0.06,-0.56,-0.06,2.46,1.69,-1.35,1.12
"AT1G64380",7.53,8.55,9.12,6.15,6.48,6.73,5.37
"AT5G57660",11.98,12.38,12.27,12.32,11.47,8.66,12.13
"AT2G22750",3.64,4.58,4.88,4.4,2.17,1.39,4.3
"AT5G41920",5.84,5.69,5.82,7.25,7.92,7.55,4.14
"AT3G30260",4.34,3.3,2.83,1.59,5.37,2.15,4.19
"AT5G35900",4.79,2.34,4.26,4.74,3.7,1.76,5.27
"AT5G48250",6.3,6.89,6.99,6.96,9.63,9.22,6.69
"AT5G44260",7.96,6.35,5.17,8.29,7.78,5.13,6.24
"AT2G31210",1.79,2.5,1.51,0.61,2.28,1.06,4.62
"AT2G40140",11.23,9.06,7.81,7.97,7.9,8.19,7.46
"AT3G18650",0.98,1.43,3.74,1.52,3.77,3.75,3.48
"AT4G18870",2.36,4.76,3.41,4.82,4.88,2,4.86
"AT5G24590",10.41,10.43,8.59,7.81,7.81,7.69,7.62
"AT1G77640",9.07,7.64,6.14,5.93,5.96,5.56,6.73
"AT2G32930",6.15,5.44,6.84,5.36,3.67,5.28,3.45
"AT2G22200",4.75,7.06,7.81,6.56,4.43,6.58,6.2
"AT5G53290",5.03,6.12,7.76,6.28,4.76,4.48,4.55
"AT3G53820",3.44,3.2,3.87,3.1,3.68,4.46,0.67
"AT2G31380",10.31,10.21,11.93,11.34,8.84,9.12,11.56
"AT3G56980",5.6,6.33,5.39,4.47,5.6,8.25,6.62
"AT2G36610",3.22,1.4,2.93,0.57,0.74,0.23,0.79
"AT5G49520",9.07,9.36,9.55,7.58,7.02,6.98,7.02
"AT2G21900",4.88,5.8,5.32,4.87,5.78,2.46,5.71
"AT1G74430",8.66,9.72,10.5,7.72,8.28,7.29,7.73
"AT4G17230",10.36,10.43,9.22,8.36,8.7,8.02,7.35
"AT5G25160",2.8,5.39,3.76,5.88,3.26,4.81,4.96
"AT3G11020",4.91,6.21,5.31,6.89,7.92,6.99,5.03
"AT4G24150",6.14,4.2,3.5,5.89,3.76,3.4,4.96
"AT1G75250",6.71,7.14,6.42,6.06,6.72,3.95,7.29
"AT3G63350",1.5,4.34,3.83,3.38,2.96,1.51,3.63
"AT5G65080",2.73,3,5,5.17,5.48,5.15,4.58
"AT3G12910",3.77,4.08,3.92,1.8,4.31,1.62,3.44
"AT5G67450",7.82,6.78,5.62,5.54,4.49,5.14,5.71
"AT5G66980",4.64,4.78,5.42,2.04,4.91,4.58,4.75
"AT3G58120",8.41,8.66,6.1,8.22,8.07,6.8,6.21
"AT2G30420",5.91,5.83,4.31,7.36,7.35,6.93,6.63
"AT2G38250",5.89,5.98,7.37,5.26,4.06,4.78,5.29
"AT3G62090",3.12,5.68,5.71,6.12,4.75,6.03,5.16
"AT3G06120",3.25,3.06,3.44,3.82,5.72,5.27,3.71
"AT1G68150",5.47,5.56,5.04,3.11,3.56,5.66,5.25
"AT1G03490",3.74,3.06,3.12,1.72,3.15,0.78,2.15
"AT1G74080",4.38,3.16,3.55,5.79,5.09,3.25,3.44
"AT5G42910",3.2,5.22,4.99,3.84,2.5,3.68,4.86
"AT4G33280",6.21,6,3.82,6.46,6.87,6.56,5.64
"AT5G49450",11.38,9.84,8,10.16,10.38,9.64,9.88
"AT1G66140",6.99,7.01,6.47,8.8,8.37,8.48,8.95
"AT1G18710",6.75,7.11,9,5.74,7,6.44,6.61
"AT4G03170",2.92,1.79,2.58,1,2.37,2.84,4.24
"AT1G68510",2.84,3.44,5.4,3.41,4.66,4.95,5.09
"AT1G67970",7.58,6.96,6.55,7.63,8.95,8.3,6.06
"AT1G17310",2.41,1.83,4,4.23,4.24,4.31,3.4
"AT5G52260",2.66,5.58,4.69,4.54,5.04,5.42,5.31
"AT2G25900",10.98,8.98,8.72,10.88,10.26,8.7,9.97
"AT2G06020",2.43,4.58,3.27,3.75,5.42,3.28,3.38
"AT5G63420",7.48,7.04,7.36,7.92,9.05,9.46,6.99
"AT3G49760",4.13,4.72,3.97,4.59,2.79,2.11,3.14
"AT4G11880",3.15,4.8,3.98,2.8,5.53,4.53,3.44
"AT2G20350",3.97,4.5,5.17,3.52,2.38,3.22,4.8
"AT1G72350",2.75,3.06,4.11,2.62,5.16,3.13,4.48
"AT5G39860",7.33,6.75,7.61,8.74,7.84,5.88,8.38
"AT3G23230",6.52,6.84,6.11,5.3,4.04,4.92,5.71
"AT3G02310",4.7,4.1,6.61,5.47,4.96,6.38,6.33
"AT4G33450",4.37,5.23,5.87,4.1,5.38,5.7,3.25
"AT5G57520",3.93,4.54,3.23,3.5,3.26,4.21,5.94
"AT3G05690",7.04,7.6,8.54,9.19,9.77,8.28,9.1
"AT1G20700",5.19,5.23,5.08,5.75,5.52,5.34,2.92
"AT5G11060",8.48,7.75,7.99,9.69,10.05,9.9,9.31
"AT3G50700",7.41,7.57,7.62,9.06,9.57,8.94,7.3
"AT4G38960",8.64,8.24,8.62,7.97,6.18,6.91,8.37
"AT1G60380",5.19,4.96,3.07,3.01,4.04,5.08,4.79
"AT2G13570",2.72,2.53,3.13,3.6,3.8,3.34,5.37
"AT1G26790",5.13,5.94,6.48,4.27,4.53,5.28,6.72
"AT3G06220",5.18,4.7,3.25,4.86,5.87,3.49,4.97
"AT2G12900",2.95,4.25,2.86,2.1,2.9,4.62,4.13
"AT2G34440",4.1,3.51,4.2,2.57,4.57,2,3.37
"AT5G40430",1.51,3.73,3.1,4.34,3.04,3.98,3.51
"AT2G34830",2.6,3.04,3.93,5.16,4.71,4,3.26
"AT5G27810",2.38,0.74,3.17,0.62,1.32,1.5,1.32
"AT3G24310",2.58,1.35,2.43,1.03,3.65,1.94,2.87
"AT1G33070",5.13,3.32,2.49,2.66,3.64,3.01,3.96
"AT1G66380",5.07,3.5,3.22,3.45,5.06,3,4.65
"AT2G40970",8.12,7.83,7.34,9,7.67,6.28,8.66
"AT3G46600",10.52,9.69,7.63,8.68,8.88,8.94,9.14
"AT2G44745",3.99,4.46,4.06,5.05,3.57,2.42,2.96
"AT2G37740",3.3,5.71,4.12,3.95,5.51,3.89,4.19
"AT5G59780",8.29,9.22,10.47,10.38,9.31,8.78,10.46
"AT3G05860",0.86,1.04,2.52,2.04,3.01,2.64,1.06
"AT1G09030",2.59,3.88,4.75,3.61,2.09,3.15,2.87
"AT1G49190",5.12,4.17,4.01,3.4,4.09,2.66,2.68
"AT4G25440",4.29,4.98,5.7,4.91,6.28,4.92,3.58
"AT2G25000",7.55,7.03,6.76,7.3,8,8.65,9.15
"AT1G73830",8.54,8.18,7.41,9.43,7.89,6.71,8.43
"AT2G42380",7.12,6.68,4.62,6.5,6.08,5.33,5.57
"AT1G59530",3.72,3.21,2.79,3.58,1.7,3.53,4.46
"AT3G56520",1.6,3.34,3.99,2.35,3.38,3.92,3.31
"AT5G57620",4.44,4.57,5.37,4.22,2.84,5.4,4.49
"AT5G32460",2.8,3.07,2.53,3.38,4.65,1.91,2.88
"AT4G29190",9.29,8.55,9.03,10.86,10.09,8.5,9.42
"AT2G28200",7.58,5.95,7.32,7.43,6.48,8.11,8.3
"AT3G48920",4.62,3.38,5.49,3.28,4.06,3.15,4.07
"AT5G51860",2.83,3.54,1.94,2.81,2.18,1.46,3.76
"AT1G74500",0.94,1.97,0.54,2.29,2.8,2.47,2.3
"AT2G40470",4,1.88,2.55,2,2.74,1.43,2.01
"AT4G21050",3.35,2.66,1.63,3.15,3.88,2.03,3.63
"AT5G42640",3.22,4.7,3.22,2.67,4.27,4.7,3.12
"AT3G04410",4.42,2.8,4.34,4.89,2.91,4.04,3.14
"AT5G39660",9.25,7.8,7.79,7.79,6.9,7.28,8.85
"AT2G46310",6.12,7.36,7.45,6.5,6.66,5.21,5.68
"AT1G06170",2.35,2.48,0.67,0.28,1.79,1.36,1.09
"AT5G18000",3.04,1.31,2.78,2.29,2.17,2.33,3.94
"AT2G42280",6.82,6.23,7.88,8.23,8.32,8.34,7.6
"AT1G17460",6.66,6.4,6.28,7.34,8.52,7.84,6.88
"AT1G72570",2.7,1.92,1.02,0.45,0.52,0.8,1.45
"AT1G76580",7.57,8.29,9.93,8.47,8.34,7.91,7.5
"AT2G43140",1.08,2.62,2.94,1.31,1.38,0.94,2.37
"AT1G16530",4.75,4.34,5.24,3.42,3.39,4.1,5.42
"AT2G31730",8.55,8.62,7.78,6.64,6.61,7.49,7.84
"AT4G37850",1.78,2.29,1.07,3.29,1.48,1.17,1.14
"AT5G23650",4.62,3.9,2.62,4.56,3.54,4.11,5.04
"AT1G31050",4.69,3.9,3.15,4.71,4.84,4.46,5.73
"AT4G12750",6.96,6.95,6.6,8,8.71,8.14,6.89
"AT3G04420",2.76,4.04,3.91,1.96,4.03,3.18,3.94
"AT1G13290",3.93,5.41,5.64,4.85,6.17,4.65,4.2
"AT1G68120",5.75,6.03,5.27,4.7,6.14,6.08,4.05
"AT1G32730",6.36,6.37,4.39,6.04,6.49,6.15,6.89
"AT2G21320",9.4,8.77,9.63,9.05,7.84,8.32,10.19
"AT1G29570",2.28,1.79,1.92,0.29,0.28,1.64,1.14
"AT3G13840",4.86,3.12,5.42,4.52,4.49,5.13,5.38
"AT4G31610",1.79,2.89,0.9,0.74,2.42,1.23,1.77
"AT1G04990",6.84,6.56,7.06,8.04,8.18,8.57,6.96
"AT5G61430",4.67,6.14,6.55,5.83,6.61,7.16,6.08
"AT5G56620",3.68,4.66,3.27,5.41,4.99,4.82,3.87
"AT2G18490",2.3,2.05,3.43,0.9,1.64,2.27,1.65
"AT2G20880",5.91,5.83,6.45,5.8,4.88,5.23,4.11
"AT1G02220",6.75,4.66,5.38,5.26,5.09,5.61,6.61
"AT4G00130",2.62,1.32,2.91,3.34,1.92,2.23,3.48
"AT5G50820",4.54,5.69,6.8,5.99,4.86,5.81,6.22
"AT2G14760",3.36,3.27,3.62,3.15,4.42,3.99,5.31
"AT4G26930",4.97,4.62,4.97,3.77,4.44,3.15,5.38
"AT2G46510",9.82,10.45,10.37,8.39,9.11,9.19,8.92
"AT5G38800",2.8,3.08,4.7,4.03,4.3,2.92,4.22
"AT3G10040",5.64,5.34,4.83,6.39,5.87,5.83,4.07
"AT2G24260",5.67,3.99,5.03,5.81,5.66,6.3,5.97
"AT4G13480",2.95,4.96,3.58,4.29,4.72,3.2,3.64
"AT5G47670",4.54,6.4,6.21,5.51,5.21,4.51,4.88
"AT5G60140",4.22,3.51,2.39,3.38,4.56,3.96,4.46
"AT3G03660",5.01,2.88,3.23,4,4.68,4.36,4.11
"AT5G19490",5.7,5.5,5.83,3.76,5.04,4.83,5.89
"AT3G02550",8.25,6.3,7.21,7.67,7.24,6.05,7.19
"AT2G47810",6.3,6.75,4.7,6.38,6.11,6.25,5.06
"AT5G15130",3.08,4.24,2.06,2.46,3.21,2.79,3.8
"AT1G06040",12.36,12.3,12.47,12.44,11.73,10.47,12.59
"AT1G56160",4.54,5.3,5.28,4.65,3.25,5.19,5.28
"AT2G32370",5.29,5.75,4.91,4.94,5.33,3.6,4.12
"AT2G27220",3.78,4.62,4.87,4.08,5.36,4.81,3.19
"AT1G54160",6.08,6.62,6.76,7.53,8.04,6.34,7.67
"AT1G34170",3.21,2.57,3.17,2.82,4.86,3.3,3.12
"AT1G72830",6.83,7.04,7.25,8.35,8.72,7.8,8.34
"AT5G65230",6.6,4.89,5.03,6.27,6.52,6.28,6.54
"AT5G25470",5.35,6.07,4.29,5.18,5.62,6.24,6.41
"AT5G17260",3.92,4.47,3.69,4.08,3.54,4.89,5.61
"AT3G10590",4.54,5.97,4.17,4.97,5.78,5.83,5.85
"AT5G49620",3.97,3.84,4.25,4.95,5.02,3.05,4.93
"AT5G07500",5.23,4.93,5.22,4.03,6.24,5.84,5.84
"AT5G42700",5.29,5.49,4.73,3.52,5.21,5.43,5.59
"AT5G65100",4.47,4.86,3.72,4.36,5.88,3.82,4.71
"AT4G00232",3.85,4.04,5.12,3.96,3.73,4.85,5.57
"AT3G06160",5.62,6.44,4.63,6.16,6.35,6.88,6.1
"AT1G31640",5.69,5.28,5.51,6,6.32,4.15,6.09
"AT4G02670",5,4.09,3.33,4.24,3.66,4.07,5.39
"AT3G66656",2.22,2.41,3.88,2.56,2.24,3.8,2.51
"AT5G28770",10.72,10.39,9.01,10.29,9.59,9.23,10.77
"AT1G15790",5.94,5.09,5.61,6.3,7.26,6.74,6.22
"AT5G67580",7.88,8.35,8.72,8.5,8.47,8.61,8.46
"AT5G67300",12.04,12.59,12.31,10,9.85,9.71,9.65
"AT5G67190",6.51,5.21,5.62,6.2,3.89,4.61,6.74
"AT5G66940",7.29,7.16,6.95,6.77,7.29,6.89,7.07
"AT5G66730",9.21,9.27,9.25,8.73,8.45,8.56,8.68
"AT5G66700",5.71,6.25,6.03,5.75,6.21,6.29,6.23
"AT5G66300",5.56,5.74,6.47,5.76,5.88,5.7,5.24
"AT5G65640",7.79,7.25,8.5,8.75,8.55,8.09,8.28
"AT5G65510",1.25,1.5,2.12,1.86,2.96,3,1.77
"AT5G65410",9.38,9.5,8.08,8.45,8.93,8.62,8.9
"AT5G65310",8.03,8.6,9.02,9.24,9.45,8.88,7.79
"AT5G65210",7.82,7.46,6.99,8.37,8.59,8.09,8.57
"AT5G65130",5.62,4.49,4.74,3.65,3.73,3.7,4.22
"AT5G64060",3.89,3.82,3.25,4.71,5.93,5.2,3.1
"AT5G63790",11.1,11.54,11.41,10.44,10.76,11.1,9.63
"AT5G63260",8.18,8.39,8.59,8.47,8.68,8.59,8.61
"AT5G62940",7.29,7.07,7.52,7.21,7.68,7.53,6.84
"AT5G62470",9.68,8.69,8.43,7.57,7.5,7.7,7.81
"AT5G62380",5.57,5.66,5.31,4.17,4.89,5.95,5.68
"AT5G62320",3.64,3.31,3.8,2.12,3.87,3.83,4.54
"AT5G62020",10.07,8.88,8.38,8.45,7.7,8.09,9.18
"AT5G62000",9.86,10.21,10.39,10.28,9.87,9.61,9.48
"AT5G61850",4.66,5.72,6.04,5.73,6.39,6.66,6.48
"AT5G61620",4.32,5.94,5.47,4.62,5.85,3.88,5.51
"AT5G61600",11.37,7.59,6.81,7.52,7.74,7.36,7.04
"AT5G61590",11.25,9.43,9.73,10.91,11.62,10.45,10.75
"AT5G61380",8.19,8.51,7.96,7.83,10.5,10.43,7.19
"AT5G60890",8.16,10.06,11.07,8.53,8.69,8.75,9
"AT5G60850",9.16,9.8,10.23,9.94,8.79,8.16,8.99
"AT5G60130",5.13,5.42,4.48,5.75,5.44,5.04,4.42
"AT5G59430",8.3,7.75,7.21,8.56,7.88,8.15,8.46
"AT5G58900",7.34,8.17,8.45,8.39,8.54,8.7,8
"AT5G58850",2.27,2.62,2.59,1.48,3.16,2.24,3.45
"AT5G56860",7.54,8.25,9.29,8.66,7.95,9.05,8.85
"AT5G56110",4.56,4.95,5.8,6.03,4.53,6.09,6.36
"AT5G54680",10.88,10.76,11.03,10.64,10.88,11.09,11.45
"AT5G54230",2.56,2.8,3.38,2.91,3.66,3.4,2.64
"AT5G54070",2.96,4.29,3.83,3.63,3.4,3.59,2.09
"AT5G53950",6.17,6.35,6.46,6.43,6.57,6.54,6.76
"AT5G52830",5.78,5.26,5.61,5.96,6.19,6.33,6.32
"AT5G52660",8.22,8.37,9.18,8.75,8.23,8.27,8.62
"AT5G52020",7.93,9.54,8.11,5.34,4.83,2.92,5.3
"AT5G51990",6.09,5.58,5.8,4.56,5.31,5.58,6.08
"AT5G51190",10.93,8.49,6.29,6.41,5.66,5.65,6.45
"AT5G48670",6.4,5.61,5.63,6.29,6.87,6.21,6.49
"AT5G47640",9,8.6,8.18,8.8,9.23,9.68,9.36
"AT5G47390",10.36,9.35,9.16,10.07,9.86,9.44,10.22
"AT5G47370",9.07,9.35,8.91,9.94,8.56,8.21,9.32
"AT5G47230",9.53,7.21,6.65,6.62,6.68,5.86,5.45
"AT5G47220",10.82,10.8,9.9,7.66,8.89,8.45,7.63
"AT5G46830",3.12,2.7,4.38,5.06,4.79,3.54,5.38
"AT5G46590",4,5.33,8.19,6.74,6.12,5.58,6.36
"AT5G46350",6.8,6.28,7.03,7.19,7.6,6.7,7.08
"AT5G45300",7.84,7.86,7.97,7.71,7.92,8.04,8.19
"AT5G43840",2.76,1.08,2.2,1.59,1.38,0.64,1.54
"AT5G43700",9.56,9.27,8.82,10.02,9.66,9.16,9.43
"AT5G43270",8.81,9.2,8.95,9.11,9,8.93,9.53
"AT5G39820",2.34,1.85,2.02,2.12,2.11,2.29,2.8
"AT5G39760",7.15,7.25,7.63,7.47,7.61,7.79,7.23
"AT5G39610",6.8,5.73,5.99,7.47,7.77,7.54,6.59
"AT5G37020",8.62,8.57,8.7,8.96,8.85,8.7,9.37
"AT5G29000",5.3,6.39,6.62,7.27,7.44,7.79,6.79
"AT5G25810",6.16,6.62,9.1,7.2,6.56,6.3,7.04
"AT5G25190",9.75,7.41,7.02,8.53,6.97,6.54,8.55
"AT5G24110",5.86,6.8,6.22,2.42,2.34,3.34,3.9
"AT5G22990",2.2,4.04,4.56,0.45,2.77,2.98,3.04
"AT5G22570",5.71,5.36,4.1,4.84,6.13,6.84,5.51
"AT5G22220",6.64,6.61,7.13,6.83,6.83,6.82,7.13
"AT5G20730",8.93,9.14,9.63,9.3,9.49,9.33,9.33
"AT5G20240",6.54,6.5,6.58,6.64,7.21,7.3,7.36
"AT5G19790",3.49,3.25,3.73,3.17,3.61,2.75,3.7
"AT5G18830",8.67,8.68,8.38,8.56,8.79,8.82,9.15
"AT5G18560",6.13,6.61,6.17,6.08,6.43,6.47,5.94
"AT5G18450",6.49,7.08,6.74,6.64,6.7,6.3,6.63
"AT5G18270",6.71,6.36,5.45,5.74,5.99,6.03,6.81
"AT5G17800",5.66,5.54,6.55,6.91,6.66,6.85,6.82
"AT5G17300",8.57,7.58,8.59,8.38,5.94,7.7,9.68
"AT5G16820",6.87,6.22,7.02,8.13,8.11,7.63,7.25
"AT5G16560",3.68,2.84,5.44,5.67,4.59,4.31,4.42
"AT5G15840",3.23,4.58,3.29,3.67,5.53,6.3,4.32
"AT5G15830",7.21,6.74,6.52,6.81,4.69,6.06,7.55
"AT5G15210",8.27,8.32,8.19,9.03,8.5,8.9,8.82
"AT5G14960",6.14,6.31,5.86,6.78,7.48,6.46,6.63
"AT5G13910",8.32,8.38,8.22,8.49,8.01,8.02,8.49
"AT5G13790",2.12,2.47,3.83,2.34,3.17,2.57,2.25
"AT5G13180",9.32,9.75,10.95,10.87,10.46,10.16,10.82
"AT5G13080",4.13,2.51,3.45,1.9,4.62,5.77,3.52
"AT5G11510",6.75,6.61,6.42,6.81,7,7.23,6.75
"AT5G11260",7.37,6.83,6.97,7.06,6.86,7.86,7.36
"AT5G10510",6.51,6.92,6.52,7.06,6.97,6.7,7.18
"AT5G10030",8.23,8.13,8.1,8.94,8.43,8.39,8.41
"AT5G09410",9.96,10.11,10.09,10.02,9.91,9.7,10.25
"AT5G08750",8.37,8.62,8.66,9.25,9.01,9.29,9.27
"AT5G08520",8.31,8.3,6.92,9.41,9.8,9.04,8.04
"AT5G08330",10.9,10.73,9.66,10.46,10.35,9.02,9.51
"AT5G08130",9.02,9.36,10.63,9.34,9.66,9,9.28
"AT5G07680",3.91,4.18,4.4,5.21,5.54,5.01,5.46
"AT5G07310",3.35,3.56,3.13,4.53,2.63,3.73,3.61
"AT5G06960",8.02,7.87,8.15,8.26,7.93,8.06,8.48
"AT5G06950",7.95,7.92,8.08,8.09,8.14,7.98,8.16
"AT5G06100",6.8,6.72,7.05,7.04,7.41,7.17,7.13
"AT5G05790",7.06,7.33,7.45,6.9,6.93,7.36,7.61
"AT5G05550",5.85,4.79,2.85,6.1,4.49,5.1,3.54
"AT5G05410",8.18,7.8,7.88,7.96,9,8.6,7.8
"AT5G04760",9.75,8.67,8.69,8.68,8.53,8.69,8.72
"AT5G04410",10.32,10.36,10.39,10.05,10.29,10.37,10.43
"AT5G04390",5.48,5.77,5.8,5.36,5.92,5.73,5.89
"AT5G04340",10.2,9.07,10.11,7.85,7.71,7.33,7.01
"AT5G04240",8.09,8.45,8.39,8.32,8.67,8.14,8.47
"AT5G03790",3.5,2.42,3.66,3.71,3.89,1.92,3.04
"AT5G03150",5,4,5.22,5.78,4.17,4.58,5.29
"AT5G02840",10.92,10.92,10.47,10.93,9.84,10.3,11.1
"AT5G02460",6.48,7.36,7.35,7.13,6.64,6.54,6.56
"AT5G01380",6.22,6.95,8.71,6.58,5.29,4.88,4.57
"AT4G38620",7.76,7.93,8.12,7.83,7.69,8.13,7.84
"AT4G38170",7.32,7.47,7.17,7.49,7.75,7.65,7.55
"AT4G38000",6.7,6.64,6.58,5.96,7.17,7.03,7.01
"AT4G37790",8.51,9.32,10.18,8.96,8.46,8.98,8.85
"AT4G37650",6.97,7,7.3,7.46,6.8,7.24,7.48
"AT4G37260",11.78,10.47,8.87,8.96,9.61,9.14,8.81
"AT4G37180",8.54,8.63,7.8,8.67,8.21,7.56,8.1
"AT4G36930",6.55,6.76,6.86,7.02,7.72,6.98,6.66
"AT4G36920",6.75,7.46,8.76,7.35,7.58,7.8,7.75
"AT4G36780",8.18,8.12,8.17,8.14,7.88,7.87,7.59
"AT4G36740",1.66,2.5,1.58,2.33,2.1,2.5,2.46
"AT4G36730",11.41,11.59,10.7,10.15,10.04,9.73,10.72
"AT4G36620",6.21,6.06,6.36,6.22,6.57,6.44,6.51
"AT4G36160",6.2,6.17,6.61,6.25,6.02,5.71,6.24
