"Heat.Root.15","Heat.Root.30","Heat.Root.60","Heat.Root.180"
"AT3G63350",3.14,6.36,11.44,10.48
"AT5G03720",5.35,3.11,6.08,9.3
"AT4G26170",3.41,4.42,0.29,-0.13
"AT1G07540",2.34,2.05,3.31,6.28
"AT5G52170",7.21,6.12,6,2.74
"AT4G10240",3.25,0.19,3.41,4.3
"AT1G16530",7.62,5.9,4.17,3.77
"AT5G62110",2.9,4.53,2.14,0.32
"AT4G31630",4.55,4.94,1.7,1.84
"AT1G06170",3.52,4.04,1.97,0.29
"AT1G68240",5.88,4.43,6.69,8.45
"AT1G80580",0.69,3.5,2.33,4.6
"AT4G37780",4.5,2.54,0.52,1.82
"AT5G06510",3.9,7.52,6.04,7.17
"AT5G44260",6.5,3.08,5.47,6.53
"AT5G07500",1.57,4.68,5.07,4.02
"AT3G53600",5.02,4.69,4.44,1.62
"AT2G34440",1.78,4.27,1.19,3.95
"AT1G33070",2.79,5.39,1.87,2.68
"AT1G66380",3.24,4.19,1.2,4.62
"AT1G59530",4.52,2.3,1.02,3.1
"AT1G60240",1.01,4.5,2.29,3.05
"AT3G12910",4.94,5.66,2.55,3.29
"AT1G26680",6.1,6.71,5.3,3.46
"AT2G42410",4.12,1.36,4.39,3.93
"AT1G31630",3.17,0,1.45,0.56
"AT5G53980",5.42,3.11,3.51,2.12
"AT4G36990",10.96,12.06,13.65,13.81
"AT4G18870",2.88,2.93,3.08,0.29
"AT5G04150",5.87,6.09,5.65,3.23
"AT5G15800",4.58,2.36,3.64,5.45
"AT2G32930",3.35,6.3,3.75,4.47
"AT3G06220",2.08,3.09,2.8,5.12
"AT5G56780",6.02,5.84,5.43,3.24
"AT5G58080",2.17,5.26,3.32,3.84
"AT2G25230",3.98,1.2,3.8,2.74
"AT1G26260",7.88,7.96,6.87,5.22
"AT5G50480",5.7,6.84,5.56,3.77
"AT1G01030",4.48,4.88,2.79,2.29
"AT3G24310",6.08,5.53,5.68,8.19
"AT2G20350",3.74,1.4,2.93,4.2
"AT3G23240",6.34,3.79,6.04,6.32
"AT4G00130",1.36,4.31,3.23,3.05
"AT5G18000",2.55,2.08,2.48,4.74
"AT3G12820",6.73,5.56,5.51,3.81
"AT5G35900",5.06,4.45,2.73,5.44
"AT2G28700",2.65,5.15,3.13,2.66
"AT3G11020",5.91,6.41,7.38,8.58
"AT1G55950",1.25,3.82,1.8,1.63
"AT1G65360",2.51,4.86,4.9,4.59
"AT2G40210",2.71,5.11,4.58,5.12
"AT1G68880",8.51,9.12,7.04,6.82
"AT2G17040",5.5,6.85,5.27,4.13
"AT5G55020",3.04,5.61,4.74,5.11
"AT2G22750",3.06,1.72,3.66,4.34
"AT5G27580",2.75,4.43,3.5,5.29
"AT2G30130",7.7,8.46,9.62,10.12
"AT1G43950",1.03,2.25,1.77,3.62
"AT4G17695",6.14,6.64,4.75,4.37
"AT1G73870",1.71,1.42,3.28,3.57
"AT5G67180",5.09,4.33,4.95,2.73
"AT5G03740",9.92,10.27,11.52,12.22
"AT4G36060",6.74,6.09,5.66,4.23
"AT5G43410",3.7,1.32,1.7,1.84
"AT1G49190",3.6,4.67,2.08,3.43
"AT2G03710",5.44,5.66,3.38,4.39
"AT1G72830",9.83,9.99,8.12,8.09
"AT3G50890",3,4.68,3.04,4.95
"AT1G20640",8.59,9.26,10.72,10.61
"AT4G24150",5.59,6.24,4.33,6.73
"AT2G36610",0.21,2.53,1.7,0.72
"AT3G04100",5.27,3.3,5.32,3.79
"AT1G18400",5.96,6.98,7.58,8.39
"AT5G51870",1.27,3.38,3.26,3.29
"AT3G30260",5.69,6.09,3.84,4.64
"AT2G25000",8.07,8.27,6.68,6.21
"AT5G42640",4.52,5.09,2.93,3.29
"AT1G72570",0.5,-0.17,1.58,2.03
"AT5G48250",7.22,7.5,8.27,9.46
"AT1G71200",6.33,7.4,6.01,8.18
"AT4G17710",5.04,6.33,3.91,4.88
"AT3G27650",6.08,4.99,3.94,4.08
"AT2G31210",1.91,3.71,1.55,1.84
"AT4G15250",5.68,4.75,4.33,3.31
"AT3G11090",4.76,4.37,2.55,3.73
"AT3G05860",4.41,2.26,2.87,3.86
"AT1G63100",8.11,8.48,7.71,6.29
"AT2G37430",7.8,7.59,7.58,5.76
"AT1G26790",4.32,4.63,2.53,4.28
"AT2G12900",3.94,5,3.46,2.75
"AT1G28520",6.43,7.11,5.78,4.91
"AT1G74430",5.53,6.02,5.2,3.84
"AT5G04640",2.4,2.33,0.9,0.62
"AT2G26320",2.91,5.01,4.17,3.33
"AT3G05690",9.88,10.22,8.11,9.32
"AT1G10585",3.16,3.46,1.67,3.74
"AT3G49950",4.75,3.35,2.56,3.21
"AT1G31320",8.03,8.03,6.9,6.17
"AT3G60110",5.22,5.78,4.71,3.65
"AT4G13480",5.34,5.36,5.09,3.48
"AT2G26950",4.88,5.56,3.46,4.22
"AT1G68510",4.03,5.36,3.64,5.37
"AT5G22380",3.56,4.13,2.21,4.05
"AT4G35270",7.4,7.39,5.97,5.76
"AT2G01430",8.28,8.55,9.5,10.19
"AT1G80730",6.08,5.97,4.31,4.77
"AT5G15310",5.3,6.44,5.31,4.29
"AT3G66656",3.04,2.71,2.63,4.49
"AT1G66140",9.11,9,7.8,7.39
"AT4G33280",6.16,6.46,4.53,5.44
"AT5G16600",7.89,8.93,9.79,9.59
"AT2G37060",7.15,6.67,7.38,8.64
"AT2G20880",5.7,7.74,6.61,6.82
"AT1G01520",3.84,3.14,1.83,2.87
"AT1G13600",8.14,8.2,9.07,9.9
"AT5G65590",1.8,3.63,3.34,3.34
"AT5G60140",4.42,5.24,3.4,3.69
"AT2G40470",5.71,4.77,6.76,5.96
"AT2G30420",2.8,2.39,2.98,1.19
"AT1G03790",4.45,6.19,5.49,6.09
"AT2G28510",9.22,9.05,8,7.59
"AT1G03490",4.08,4.92,3.63,3.04
"AT2G38300",7.34,7.06,6.03,5.7
"AT1G77950",2.46,3.65,3.02,4.29
"AT2G45650",0.51,2.42,1.64,1.7
"AT1G25330",2.41,4.01,3.6,2.54
"AT3G54990",7.77,6.72,5.94,6.36
"AT3G18650",4.23,3.7,2.84,4.65
"AT5G23650",5.36,5.85,4.03,4.91
"AT4G37740",8.4,8.67,7.46,7.07
"AT4G37850",1.47,3.08,1.53,2.3
"AT1G29570",1.79,0.54,2.23,1.03
"AT2G32250",9.06,8.94,8.14,7.44
"AT5G42910",4.48,5.22,3.84,3.51
"AT4G09460",8.48,9.19,9.71,10.25
"AT4G22950",7.94,8.58,7.86,9.49
"AT2G22200",5.26,6.22,4.89,4.46
"AT4G34400",5.46,6.86,5.98,7.05
"AT3G15030",3.28,3.99,2.78,2.25
"AT1G64100",6.58,6.93,5.22,6.13
"AT5G11590",4.12,5.62,4.32,4.05
"AT2G42280",8.43,8.36,8.41,9.87
"AT4G00480",8.12,7.93,7.69,6.49
"AT2G19510",2.24,1.68,0.84,0.7
"AT4G39410",5.5,6.53,4.88,6.12
"AT3G44350",0.89,1.57,0.78,2.34
"AT1G72350",5.68,5.9,4.75,6.47
"AT2G44430",6.94,7.25,6.45,5.62
"AT1G22590",3.33,2.74,3.37,4.44
"AT4G29100",9.7,10.02,8.77,8.56
"AT2G40750",9.63,9.71,8.66,8.29
"AT1G21340",5.39,5.6,4.24,4.34
"AT5G60970",5.14,6.03,4.38,4.8
"AT5G57660",10.18,10.86,11.53,11.72
"AT1G09030",3.52,3.29,4.82,4.24
"AT2G31380",8.05,7.26,7.12,6.35
"AT1G54160",6.39,6.6,5.05,5.8
"AT5G49620",6.11,7.34,5.72,6.34
"AT5G07160",1,1.16,0.58,2.2
"AT3G56520",4.01,5.22,5.38,5.5
"AT3G17010",5.98,5.35,5.96,4.53
"AT5G67580",8.12,8.25,7.96,8.11
"AT5G67300",10.18,10.36,9.83,9.96
"AT5G67190",4.93,5.97,5.8,7
"AT5G66940",6.37,6.93,7.25,7.06
"AT5G66730",9,9.26,8.7,9.45
"AT5G66700",9.6,10.61,9.27,10.82
"AT5G66300",6.15,6.04,5.68,6.09
"AT5G65510",4.92,4.56,4.12,3.45
"AT5G65410",2.58,3.67,3.27,3.41
"AT5G65310",10.31,9.72,8.96,9.12
"AT5G65210",11.84,12.03,11.28,11.91
"AT5G65130",4.29,3.39,4.45,3.96
"AT5G64220",9.75,9.76,10.34,10.88
"AT5G64060",6.48,6.03,4.4,3.5
"AT5G63790",10.63,10.85,11.18,11.02
"AT5G63260",8.96,9.16,9.25,9.17
"AT5G62940",6.7,7.45,5.59,5.8
"AT5G62470",6.7,6.9,6.81,8.41
"AT5G62380",5.45,5.94,5.13,3.5
"AT5G62320",4.95,5.11,3.17,2.29
"AT5G62020",9.5,10.09,11.78,11.48
"AT5G62000",9.64,9.66,8.89,9.78
"AT5G61890",6.34,7.08,6.5,6.38
"AT5G61850",6.09,6.39,6.3,6.31
"AT5G61620",6.12,6.62,5.72,5.74
"AT5G61420",9.41,9.34,8.29,7.26
"AT5G61380",9.13,9.2,8.94,9.81
"AT5G60890",10.71,10.34,8.66,8.94
"AT5G60850",8.8,9.12,9.57,9.36
"AT5G60690",10.17,10.37,9.87,9.84
"AT5G60200",8.73,9.39,8.36,7.6
"AT5G60130",5.6,6.49,4.64,4.48
"AT5G59430",7.84,8.05,7.77,7.96
"AT5G58900",8.48,6.99,8.01,8.46
"AT5G58850",1.77,1.93,1.67,2
"AT5G56860",3.46,4.75,2.37,5
"AT5G56110",5.89,6.48,5.92,6.09
"AT5G54230",8.08,8.84,8.98,7
"AT5G54070",4.38,4.93,4.39,4.17
"AT5G53950",6,5.7,6.01,5.87
"AT5G53200",6.01,6.13,6.91,6.46
"AT5G52830",8.92,8.74,8.45,9.06
"AT5G52660",7.96,8.06,7.7,8.13
"AT5G52020",6.93,6.65,7.62,6.88
"AT5G51990",5.75,4.89,4.77,5.05
"AT5G51190",10.25,8.53,9.23,7.7
"AT5G48150",9.99,9.78,9.53,9.46
"AT5G47640",8.48,8.13,7.62,7.37
"AT5G47390",9.56,9.7,9.49,9.63
"AT5G47370",9.54,9.61,9.41,9.68
"AT5G47230",9.36,8.96,8.86,8.48
"AT5G47220",8.28,7.99,8.37,8.06
"AT5G46830",4.24,5.09,4,5.37
"AT5G46590",8.03,8.84,6.96,6.69
"AT5G46350",6.18,6.73,6.3,6.54
"AT5G45300",8.09,7.84,7.72,7.73
"AT5G44210",6.07,6.71,6.48,5.51
"AT5G43840",2.14,0.96,0.76,3.39
"AT5G43270",8.62,8.46,7.93,7.7
"AT5G39820",5.9,5.46,3.78,2.17
"AT5G39760",6.8,6.73,5.92,6.12
"AT5G39610",8.34,9.33,7.9,8.55
"AT5G37020",8.76,8.45,7.9,7.04
"AT5G35550",5.18,5.75,4.95,5.19
"AT5G29000",7.96,8.08,7.79,8.34
"AT5G25810",9.16,8.89,9.16,8.59
"AT5G25190",6.43,6.57,6.17,5.8
"AT5G24110",4.42,6.17,3.59,4.56
"AT5G23260",6.07,6.4,5.89,5.35
"AT5G22990",3.04,3.73,1.35,4.39
"AT5G22220",7.39,7.37,6.93,7.03
"AT5G21120",5.58,5.77,5.44,5.72
"AT5G20240",7.46,7.55,7.02,7.63
"AT5G19790",7.32,6.25,7.09,7.19
"AT5G18830",9.91,9.77,9.5,9.66
"AT5G18560",7.48,8.13,7.29,7.29
"AT5G18450",7.07,7.73,6.96,7.21
"AT5G18270",8.84,8.76,8.61,8.86
"AT5G17800",8.94,8.67,7.91,7.73
"AT5G17430",6.84,7.39,6.9,7.43
"AT5G17300",7.39,7.4,8.95,8.77
