"X60mins","X240mins","X480mins","X720mins","X1440mins","X2160mins","X3600mins"
"AT5G57660",173.678,183.994,225.342,277.523,383.659,377.089,423.506
"AT5G24930",303.789,398.07,405.519,443.062,454.917,472.887,433.45
"AT5G44260",16.953,54.26,68.665,81.919,114.084,114.559,121.136
"AT1G03790",40.725,121.691,87.538,109.769,112.308,138.46,157.532
"AT2G25900",43.968,63.198,67.975,79.148,109.588,109.287,130.77
"AT2G24260",14.417,32.145,29.686,38.799,60.297,70.495,82.669
"AT1G51070",94.471,76.522,75.199,69.319,51.032,41.84,31.992
"AT1G49130",11.954,34.548,40.865,52.312,82.133,55.948,42.621
"AT5G24800",24.117,29.325,34.453,45.371,69.324,67.184,74.69
"AT1G06040",100.528,46.142,51.154,66.302,42.261,59.262,59.945
"AT5G59780",16.371,21.336,24.849,30.606,46.831,60.67,64.055
"AT5G42520",24.117,31.371,41.177,43.292,66.337,64.864,68.361
"AT3G02830",55.224,36.421,38.08,28.172,14.559,9.473,7.054
"AT4G29190",37.534,73.544,67.489,77.996,96.064,78.218,69.835
"AT1G68520",60.209,45.19,57.547,44.496,28.049,21.238,18.675
"AT5G49450",54.919,93.472,78.68,100.744,96.584,88.379,99.647
"AT2G19810",36.256,76.825,73.257,81.039,77.874,69.703,65.983
"AT1G79700",16.653,30.283,35.579,42.156,56.603,52.038,55.456
"AT1G30970",18.546,19.112,23.046,28.755,46.106,49.027,49.725
"AT3G57800",44.153,60.744,71.604,78.434,82.137,74.442,65.024
"AT4G36540",82.614,62.602,61.151,59.398,60.934,50.642,40.414
"AT2G37120",37.891,40.362,37.827,34.382,15.838,17.125,12.541
"AT5G28300",18.466,30.098,30.088,37.227,54.388,47.683,42.023
"AT3G11450",24.861,28.465,31.112,36.131,49.071,50.846,52.999
"AT5G46760",14.619,18.659,19.692,22.401,33.694,39.331,45.038
"AT5G53980",9.347,38.401,36.754,44.483,28.944,39.145,36.73
"AT1G25440",50.403,34.597,42.309,34.316,25.382,20.465,20.611
"AT3G04930",17.918,22.451,24.462,27.352,38.079,41.612,45.909
"AT5G07580",57.141,35.545,31.048,31.043,36.876,33.953,28.222
"AT2G21240",29.626,37.632,43.604,45.547,49.019,53.964,55.986
"AT1G75490",4.647,7.022,10.613,13.945,19.892,24.965,28.916
"AT4G00150",18.541,18.463,20.705,24.233,38.121,34.376,38.7
"AT3G29035",5.752,11.75,14.212,16.791,24.258,28.9,30.066
"AT3G60030",42.553,48.449,50.59,53.401,62.618,62.787,67.362
"AT2G45050",22.876,32.869,31.439,38.241,48.6,45.618,34.562
"AT5G22290",17.463,16.125,18.425,23.564,32.786,35.233,35.657
"AT3G10490",10.905,17.63,17.979,20.499,27.501,30.954,35.872
"AT3G13040",38.879,34.18,42.011,47.151,48.317,53.434,59.021
"AT1G07530",15.939,19.436,22.084,23.203,30.097,33.09,40.245
"AT3G46600",30.91,35.499,37.319,40.822,48.472,45.052,54.262
