"X60mins","X180mins","X360mins","X720mins","X1440mins"
"AT3G55980",423.953,16.373,36.671,30.652,7.871
"AT4G29190",20.684,202.368,388.613,92.721,64.722
"AT5G57660",79.026,213.652,342.847,392.123,198.212
"AT5G48250",2.438,50.971,215.057,59.514,33.123
"AT5G24930",405.151,313.24,301.645,347.81,492.274
"AT1G68520",47.424,145.214,178.4,95.938,143.667
"AT1G73870",129.317,32.519,11.006,19.03,36.471
"AT3G45260",4.522,75.726,123.038,49.114,20.025
"AT2G18328",155.357,200.876,183.984,127.482,83.638
"AT2G31380",103.974,210.38,147.952,165.77,111.432
"AT2G20570",183.906,123.163,76.838,84.323,126.708
"AT2G41900",50.642,53.87,70.805,144.505,105.437
"AT3G02830",154.069,122.786,84.876,55.907,89.221
"AT5G44190",84.343,165.925,79.931,86.108,80.916
"AT2G21320",56.924,69.171,49.128,56.039,133.605
"AT1G76580",4.341,28.621,92.471,56.916,21.431
"AT5G07580",72.778,92.713,64.804,14.876,18.82
"AT5G24590",81.722,15.756,29.136,13.63,9.546
"AT1G25440",64.714,100.968,87.593,63.834,134.077
"AT2G40140",93.281,34.957,89.285,78.298,35.873
"AT5G28770",20.386,80.441,46.601,18.199,22.788
"AT1G28050",1.502,12.316,67.639,26.859,12.261
"AT4G18390",17.806,47.448,83.778,43.872,47.276
"AT1G06040",156.627,154.754,117.487,105.354,146.546
"AT2G34720",38.572,27.718,32.271,64.505,78.597
"AT3G02380",62.285,43.721,7.175,42.66,35.237
"AT5G25220",71.821,41.715,19.939,27.701,36.079
"AT5G50915",42.197,24.088,4.642,1.046,3.321
"AT3G46600",49.087,7.255,11.953,21.341,9.486
"AT5G06710",9.634,33.379,47.81,27.645,8.667
"AT2G19810",4.412,5.199,9.925,34.492,35.92
"AT5G08790",11.265,18.304,29.097,52.883,27.735
"AT3G50700",0.672,13.059,36.772,4.637,5.632
"AT5G58620",14.407,9.652,19.506,44.356,13.932
"AT1G33760",30.953,1.19,1.676,0.108,0.02
