"X60mins","X180mins","X360mins","X720mins","X1440mins"
"AT4G36990",574.037,163.887,118.34,84.498,116.048
"AT5G49450",5.478,80.397,104.971,136.097,311.503
"AT5G57660",33.111,136.819,195.782,192.247,261.539
"AT3G63350",187.099,18.043,12.945,1.705,0.308
"AT5G24930",253.304,290.375,208.253,151.474,136.178
"AT3G46080",0.783,25.557,30.954,69.204,152.947
"AT5G03740",49.567,76.995,92.679,143.943,193.849
"AT5G24800",21.212,45.074,82.983,104.138,160.072
"AT3G02830",119.867,62.36,44.852,22.335,9.766
"AT3G55980",15.72,20.461,27.486,55.37,105.656
"AT2G20570",102.923,31.22,30.422,22.715,6.706
"AT2G25900",2.526,69.292,90.157,90.408,75.893
"AT1G68520",39.191,103.901,95.406,93.681,31.8
"AT2G21240",8.249,22.468,39.936,56.522,92.964
"AT5G08790",17.905,17.881,16.223,35.491,89.386
"AT1G72650",8.707,24.373,36.114,82.947,64.196
"AT1G25440",69.916,83.881,78.838,59.692,9.607
"AT4G29190",2.704,47.247,69.675,56.331,77.885
"AT1G49130",1.873,60.995,61.758,24.322,6.12
"AT5G28770",7.244,45.052,44.695,54.812,84.51
"AT1G71260",21.133,14.86,29.297,62.335,71.559
"AT1G73870",61.439,41.812,21.605,6.751,1.218
"AT3G46600",11.479,41.684,46.395,60.823,76.892
"AT4G00050",63.834,26.474,27.214,8.944,0.715
"AT2G31380",61.151,27.562,25.743,8.212,2.818
"AT3G11450",10,18.107,29.23,68.014,42.609
"AT2G37060",3.928,12.774,23.965,37.713,56.273
"AT1G06040",83.192,93.191,78.974,57.582,43.011
"AT1G51070",55.102,33.612,25.556,12.624,3.68
"AT3G10490",4.354,6.832,13.048,32.563,50.658
"AT3G11100",4.37,20.486,29.737,51.243,48.824
"AT2G20880",17.802,41.944,54.978,49.221,68.044
"AT5G03720",6.036,36.498,34.812,49.858,53.04
"AT3G02380",50.439,21.835,15.633,7.77,3.327
"AT1G21450",7.638,21.58,28.771,33.595,55.523
"AT2G18328",41.059,6.279,9.038,24.534,0.446
"AT4G14540",29.662,49.688,57.468,59.598,26.422
