"X60mins","X180mins","X360mins","X720mins","X1440mins","X2880mins"
"AT2G18328",112.762,77.616,180.932,170.904,379.666,217.873
"AT1G73870",48.224,86.554,46.16,3.413,159.758,211.463
"AT5G24930",405.591,356.474,285.615,227.599,349.681,423.856
"AT5G57660",161.551,140.431,141.841,10.276,62.613,59.782
"AT1G25440",79.992,196.68,200.719,194.409,147.799,238.606
"AT3G55980",101.358,76.983,93.486,203.312,121.162,54.046
"AT2G46510",135.591,12.322,14.563,31.578,15.754,13.258
"AT2G20570",133.553,125.032,134.254,123.676,144.247,241.106
"AT5G44190",48.819,114.809,142.205,27.776,52.425,83.898
"AT1G18710",106.336,0.749,4.78,8.954,7.215,4.172
"AT2G31380",76.551,129.315,54.029,4.547,84.88,77.294
"AT1G68520",30.549,106.744,67.138,138.713,40.686,71.942
"AT1G06040",87.227,116.17,108.252,19.316,119.887,123.109
"AT3G02830",162.367,129.065,77.769,101.243,161.444,164.684
"AT4G20970",4.975,95.19,37.443,22.006,2.449,1.889
"AT4G00050",44.603,38.429,15.953,20.617,93.543,97.76
"AT3G02380",20.489,49.154,11.203,4.008,81.893,80.523
"AT1G10585",42.133,92.136,15.293,10.571,4.902,2.832
"AT1G01520",22.844,8.16,2.21,1.013,68.41,61.828
"AT2G40140",30.439,27.85,39.63,94.92,41.951,23.471
"AT2G21320",28.626,30.724,21.163,2.591,65.394,65.936
"AT5G07580",8.093,51.553,66.939,75.188,34.826,35.052
"AT5G08790",54.233,39.228,35.734,76.812,23.191,14.592
"AT4G17230",65.02,16.89,21.757,29.159,5.843,5.022
"AT4G36540",17.332,72.88,71.496,56.758,50.184,48.383
"AT4G35550",63.597,11.765,10.096,13.966,20.958,18.654
"AT2G25900",7.812,34.542,53.633,8.191,10.254,9.25
"AT5G25220",72.875,59.084,35.534,41.459,73.112,83.246
"AT5G59780",59.181,37.212,47.485,9.391,21.16,23.288
"AT1G19700",27.626,20.916,15.002,10.944,53.669,50.909
"AT4G14540",25.768,57.197,56.462,65.901,78.04,66.57
"AT3G02150",51.218,19.047,15.579,12.855,11.346,12.782
"AT5G17490",38.963,3.784,2.388,1.048,0.652,0.753
"AT3G13040",39.232,62.677,39.89,23.277,54.2,60.705
"AT5G28770",10.264,37.653,35.09,4.043,15.017,9.985
"AT1G70000",33.623,14.152,11.493,5.661,34.483,38.523
"AT2G40750",0.502,2.311,10.309,35.025,1.43,1.254
