  ,exp1,exp2,exp3,exp4,exp5
AT1G01010,8.84070855045,9.76002503031,9.89000256721,9.90997240247,9.48000866434
AT1G01030,3.84144020581,5.71004235899,5.92986522138,4.87996085002,4.26998748484
AT1G01040,8.88979205585,8.61984596729,7.81998588034,7.71005391145,8.54999839549
AT1G01050,11.3798151608,11.1398536689,10.3799602082,10.0700365828,10.6399993582
AT1G01060,8.42963802314,7.95939927244,4.83994352134,4.40014504747,6.6600872852
AT1G01070,7.70979975748,7.44979398125,6.38003850818,6.68013542042,8.79002053769
AT1G01080,7.13972274113,6.77994223773,6.4799781787,6.31005776227,7.2099993582
AT1G01090,11.5000693147,11.5898382657,10.7499165656,10.1000577623,11.0000051344
AT1G01100,13.5399383869,13.4599191328,13.0399602082,12.7300160451,12.9799987164
AT1G01110,8.19978435421,7.92003273195,8.09002952294,8.31990693857,6.86997336518
AT1G01120,10.5503696785,11.029915282,10.5899845967,10.4700269557,10.8900147615
AT1G01130,3.41110133385,4.83983826566,4.00007701635,4.59995764101,3.94003754547
AT1G01140,4.29096270442,5.53992490906,5.14977023455,3.36013221141,5.42001540327
AT1G01150,4.65953020024,4.05006161308,4.37,4.37001861229,4.66001476147
AT1G01160,9.70990758038,9.58994801396,9.31994095413,8.86003337375,9.3799788205
AT1G01170,8.93993838692,8.85980938453,7.86989859513,7.08011039011,8.80000930614
AT1G01180,6.11980745912,5.86995956641,5.66005262784,6.06998973115,5.91001732868
AT1G01190,10.2999845967,10.2797381444,8.92000898524,8.98999037296,8.83999133566
AT1G01200,6.60996149182,6.55983441484,5.70000256721,5.72002695572,6.14000417172
AT1G01220,8.46993068528,8.37998459673,8.29999871639,8.29000513442,8.37000352992
AT1G01225,7.81011552453,7.9599133566,7.50998331312,7.38001732868,7.64998812665
AT1G01230,9.62011552453,9.7699133566,9.31997432788,9.12000577623,9.21000288811
AT1G01240,9.31021564579,9.59003080654,9.74997304428,9.54003273195,10.0499961492
AT1G01250,3.19959951496,2.68003465736,2.85994608855,2.44012900239,4.44991496111
AT1G01260,8.93010782289,9.06997689509,8.94995379019,8.58998010411,8.27999743279
AT1G01280,0.809591813327,0.280250303149,1.58000256721,1.59999550738,1.53001379876
AT1G01290,8.23988447547,8.08995956641,7.87990758038,7.16003979178,7.78000866434
AT1G01300,9.61003850818,9.65975354767,8.37991656562,7.73005776227,8.62999647008
AT1G01310,1.43944548226,0.720053911447,1.00006674751,1.52002053769,1.83996534264
AT1G01320,7.29005391145,7.35992875987,6.99009113602,7.69999871639,7.68001540327
AT1G01330,6.57996919346,6.53990950578,6.0701091065,6.91998010411,6.61001476147
AT1G01340,8.63008471799,8.74014825648,9.5100654639,10.019948014,9.20999775369
AT1G01360,10.5897150395,10.2200269557,10.3599383869,9.87999614918,9.81999454467
AT1G01370,6.88995379019,6.82984596729,6.03003465736,6.29999807459,6.26998588034
AT1G01390,4.91029266214,5.28975547308,4.01985110172,2.86017777942,5.62996277543
AT1G01410,4.03985366893,3.84966690427,2.12025800478,4.13004235899,4.78995154388
AT1G01420,4.55046979976,5.15952442402,2.69016815237,4.00007316554,5.1400218213
AT1G01430,9.08983826566,8.87986137056,8.15999486558,8.1200218213,8.46001315696
AT1G01440,8.13999229836,8.13005391145,8.41003465736,8.67996470084,8.13000513442
AT1G01450,5.27979975748,5.02005006063,5.27981130993,3.81003273195,4.31998523853
AT1G01460,2.2497612493,1.93986714679,1.25017842122,2.64002053769,2.959977216
AT1G01470,11.4707701635,12.4700115525,12.5299075804,11.8100231049,12.1699849176
AT1G01480,7.09107052731,8.4807181775,12.2101835556,13.6399229836,12.4400279184
AT1G01490,10.8899922984,10.8800404336,11.0899499394,10.7000211795,11.0300041717
AT1G01500,8.72013862944,8.89999422377,8.86997432788,8.67001989589,8.98000352992
AT1G01510,10.269915282,10.1599114312,9.69997689509,9.51999294017,9.40999326107
AT1G01520,4.69970733786,4.32004235899,4.54006803111,5.0699351779,4.06000834344
