  ,exp1,exp2,exp3,exp4,exp5
AT1G01010,2.97120915675,4.54007894176,4.95009627044,5.69996149182,5.0999566783
AT1G01030,5.999345361,5.15015595812,5.95991656562,5.31004941883,6.07999871639
AT1G01040,8.61011552453,8.75998844755,8.69996919346,8.45999550738,8.38999550738
AT1G01050,11.000084718,11.1099614918,10.9099845967,10.7900218213,11.1299996791
AT1G01060,11.0800616131,11.1594705126,8.40979462306,6.80987292302,4.83020762325
AT1G01070,7.9494993937,7.30010589749,7.84997176067,7.62997176067,7.19002503031
AT1G01080,10.3801309278,10.5499595664,10.3399332525,9.82001604507,10.0699784996
AT1G01090,12.2100539114,12.2799557156,12.0499383869,11.5699987164,11.5500115525
AT1G01100,12.9900462098,13.0499364615,12.7199602082,12.4100102688,12.5700016045
AT1G01110,5.35950709534,4.7196303215,2.80011552453,3.70001476147,3.93001829138
AT1G01120,10.5100462098,10.5701058975,11.1199691935,10.8799621336,10.290032411
AT1G01130,4.33918362665,3.27984596729,2.4800654639,2.99011359912,4.76002759753
AT1G01140,10.8395070953,10.2000981959,10.7099653426,10.4400301647,10.9100128361
AT1G01150,5.19983056402,4.97994801396,4.70993196889,4.18004749342,4.91998908935
AT1G01160,8.91019254088,9.15989987874,8.64002310491,8.81999871639,8.80000802254
AT1G01170,11.6399383869,11.5600365828,11.7499704771,11.5200102688,11.6799881266
AT1G01180,6.04032346868,6.45993068528,6.09989346071,5.27002759753,5.69997368608
AT1G01190,5.60913741684,4.48975354767,3.20996662625,2.94996855166,2.46003144834
AT1G01200,4.64950709534,4.01020216793,5.06002310491,5.23989602792,3.61997496969
AT1G01220,8.52030806541,8.91996534264,8.7400436426,9.0799993582,9.0700006418
AT1G01225,7.57018483925,7.81001925409,7.90994223773,7.45999486558,7.37998588034
AT1G01230,9.42015403271,9.62005583686,9.91001155245,9.99996855166,9.50999582828
AT1G01240,9.56983826566,9.36031384164,10.989951223,10.609872923,8.63002856023
AT1G01250,5.29938386917,4.50073550617,8.32002695572,8.53,8.53000385082
AT1G01260,7.70016173434,7.90989987874,7.39001925409,7.54001604507,7.78998331312
AT1G01280,1.71996149182,1.6699345361,1.33013477862,2.37988575908,0.600025672118
AT1G01290,8.37006931472,8.4600442844,8.68998202952,8.54997561149,8.17001476147
AT1G01300,9.37033887195,9.80982286239,8.89008086717,9.52002567212,9.91996919346
AT1G01310,1.46012322617,1.61999807459,1.60991656562,0.960016045074,1.21000128361
AT1G01320,11.8000924196,11.9198324894,11.0500192541,11.2000269557,11.6200022463
AT1G01330,10.1801155245,10.3297728018,9.15008086717,9.78000128361,9.8000009627
AT1G01340,5.19987677383,5.03974199522,3.70023104906,5.49997047706,5.03992940168
AT1G01360,9.13010782289,9.27008471799,9.70996790985,9.45999679099,9.40997432788
AT1G01370,6.39029266214,6.77005391145,7.04993196889,6.51996598444,5.9899993582
AT1G01390,7.91983056402,7.69993261069,7.34985623614,6.23000641803,6.32998299222
AT1G01410,4.68030036378,5.06991143119,4.61001540327,4.73001668688,4.98999807459
AT1G01420,7.50015403271,7.70005583686,7.98998588034,7.87996405904,7.32001283606
AT1G01430,10.8295302002,10.2199518648,9.97004235899,10.2999762533,9.93001347786
AT1G01440,8.34967653132,7.92997111887,7.78006803111,8.3099788205,7.9799993582
AT1G01450,5.93,5.93002695572,6.06997304428,5.85999165656,5.72998941025
AT1G01460,2.69003850818,2.74007316554,3.1199127148,2.43998523853,2.21000994795
AT1G01470,10.4600616131,10.5405564432,13.4300282393,13.6499781787,13.3099996791
AT1G01480,2.6303696785,3.11040626126,5.22004749342,5.5899133566,4.24010076306
AT1G01490,11.9696380231,11.4999942238,11.469908864,10.7599768951,10.4000208586
AT1G01500,9.07042358994,9.61998844755,9.56003594096,9.83994544675,8.99000256721
AT1G01510,9.5402387507,9.84995186478,9.59999358197,9.55000962704,9.69999294017
AT1G01520,6.1116789565,8.29018869007,9.26955843957,5.82999165656,5.70009691224
AT1G01530,4.60056992102,5.33988447547,4.74002438851,4.92994673036,4.10001379876
AT1G01540,10.209745846,9.87999422377,9.85002310491,10.0300006418,10.0400099479
AT1G01550,11.5500539114,11.619915282,11.1800089852,11.2499781787,10.9100157242
AT1G01560,6.98993068528,6.90003273195,7.07005391145,7.48995443199,6.78000449262
AT1G01570,6.00056992102,6.74014440566,7.49004492621,7.83996534264,7.29998620124
AT1G01600,7.76002310491,7.78999229836,7.75006418029,8.24999229836,8.12999422377
AT1G01610,9.55034657359,9.99988062465,9.38004107539,9.70001026885,9.86000738073
AT1G01620,13.1298613706,12.9499961492,12.9299525066,12.5599679099,12.0600070598
AT1G01630,10.449915282,10.3399345361,10.0000500606,10.3899942238,10.3000121943
AT1G01640,3.99983826566,3.79025222856,5.10017970482,6.49997689509,6.1399553947
AT1G01650,9.15033117032,9.58011744994,10.1900154033,10.309993582,10.2099922984
AT1G01660,5.27060072756,6.04994031233,5.73987677383,4.78005006063,5.55997593239
AT1G01670,6.81016173434,7.02000577623,7.05001283606,7.14999614918,7.08998748484
