  ,exp1,exp2,exp3,exp4,exp5,exp6
AT1G01010,-0.000847179887351,0.000854881522691,-0.000144405662617,-3.20901472481e-05,-1.92540883489e-06,4.17171914226e-06
AT1G01030,-0.000323468684261,0.000123226165433,-0.000107822894754,7.18819298358e-05,-0.000103972077084,3.49782605005e-05
AT1G01040,-0.000385081766978,-0.000192540883489,2.69557236884e-05,2.18213001287e-05,2.56721177985e-06,6.41802944963e-07
AT1G01050,-0.000184839248149,-0.000192540883489,1.15524530093e-05,1.28360588993e-05,8.98524122948e-06,2.24631030737e-06
AT1G01060,-0.000677743909881,-0.000300363778243,-0.000329244910766,-0.000187406459929,9.37032299646e-05,8.02253681204e-05
AT1G01070,-0.000154032706791,-0.00069314718056,0.000175212203975,2.95229354683e-05,-2.69557236884e-05,3.11274428307e-05
AT1G01080,0.000508307932411,-3.85081766978e-05,1.92540883489e-06,1.41196647892e-05,3.85081766978e-06,-6.73893092211e-06
AT1G01090,3.08065413582e-05,-6.9314718056e-05,-2.69557236884e-05,-3.33737531381e-05,3.33737531381e-05,3.5299161973e-06
AT1G01100,-0.00033887195494,-5.39114473769e-05,1.15524530093e-05,-1.92540883489e-05,1.28360588993e-05,6.09712797715e-06
AT1G01110,0.000554517744448,-6.16130827164e-05,-2.88811325233e-05,-2.82393295784e-05,8.98524122948e-06,7.05983239459e-06
AT1G01120,0.000415888308336,0.000115524530093,-0.000111673712424,3.85081766978e-05,3.85081766978e-06,-6.41802944963e-06
AT1G01130,-0.00112443875958,0.000446694849694,6.73893092211e-05,-5.2627841487e-05,3.97917825877e-05,-1.15524530093e-05
AT1G01140,0.00394323729385,-0.000107822894754,-0.000748984036772,0.00035170801384,-0.000161092539186,-1.18733544818e-05
AT1G01150,-7.70163533955e-05,-0.000531412838429,0.000200242518828,-4.36426002575e-05,1.54032706791e-05,9.62704417444e-07
AT1G01160,-0.000462098120373,-7.70163533955e-05,8.08671710653e-05,1.41196647892e-05,-3.08065413582e-05,1.47614677341e-05
AT1G01170,-0.0014016976318,0.000154032706791,3.27319501931e-05,7.82999592855e-05,-4.42844032024e-05,8.02253681204e-06
AT1G01180,0.000123226165433,-3.08065413582e-05,-1.7328679514e-05,4.10753884776e-05,-3.5299161973e-05,4.49262061474e-06
