  ,exp1,exp2,exp3,exp4,exp5,exp6
AT1G01010,5.70896798086,5.0397381444,4.69996534264,4.52016686877,5.8200224631,6.16996630535
AT1G01030,6.23109363222,6.93996919346,6.89987484843,6.24973172637,4.16014248025,6.37999711189
AT1G01040,9.06950709534,8.74977665258,8.46004813522,8.70998459673,8.59000770164,8.71000994795
AT1G01050,10.9698767738,10.8900231049,10.9199364615,10.5900179705,10.7300333738,11.2499906939
AT1G01060,12.0590758038,11.4599922984,11.4493703913,8.17973429358,6.11005455325,6.96015499541
AT1G01070,7.07967653132,6.87019254088,7.12014633107,7.87988960989,7.01999101476,6.88002791843
AT1G01080,10.5599691935,10.5400231049,10.57,10.5699922984,10.5100224631,10.8599839549
AT1G01090,12.4195533052,12.1299383869,12.049967268,11.8799858803,11.7699839549,11.5200211795
AT1G01100,13.1695687084,12.889915282,12.7799595664,12.5699602082,12.2600121943,12.450009627
AT1G01110,2.82993838692,2.79194081211,5.30976510012,4.09010268847,4.88993774511,3.92002342581
AT1G01120,11.0406777439,11.4800616131,11.5597477714,10.2499948656,10.2099922984,10.0900430008
AT1G01130,6.53625700522,4.11116294694,5.6196303215,3.69983313123,2.40013349501,4.47998235042
AT1G01140,10.2701232262,10.3497997575,10.0901155245,10.6899460886,10.2699955074,10.2000012836
AT1G01150,4.92038508177,5.17006931472,5.25989602792,4.72005006063,5.10996341723,4.54002727663
AT1G01160,9.19906040049,8.58989987874,8.46003273195,8.63000128361,8.64001283606,8.84001668688
AT1G01170,11.4097997575,11.2800462098,11.339990373,11.2900616131,11.7700070598,11.8799887684
AT1G01180,6.35950709534,6.03998459673,6.0198478927,5.23010525568,6.05000513442,6.12999839549
AT1G01190,7.28574869729,4.53021564579,4.81005391145,5.08997304428,4.87991913283,3.62006738931
AT1G01200,5.51964572477,5.28971503949,4.91996726805,4.75005904587,5.20994737216,4.39000513442
AT1G01220,8.57016943598,8.68009241962,8.80000577623,8.83001026885,8.91001476147,9.13999101476
AT1G01225,7.37990758038,7.32010782289,7.45991720742,7.02998074591,6.88001476147,7.11001187335
AT1G01230,9.22975354767,9.07,9.07005391145,9.35004877702,9.72997561149,9.35000481352
