"V12GSE10670_1","V12GSE10670_2","V12GSE10670_3","V12GSE10670_4","V12GSE10670_5","V12GSE10670_6","V12GSE10670_7","V12GSE10670_8"
"AT1G01010",6.05,6.36,3.64,5.64,6.28,5.97,6.28,5.34
"AT1G01030",2.97,2.78,3.58,3.41,3.6,3.75,3.24,3.22
"AT1G01040",9.34,9.52,9.28,9.58,9.22,9.71,9.31,9.34
"AT1G01050",10.7,10.7,10.84,10.82,10.78,10.85,10.86,10.6
"AT1G01060",7.75,7.81,7.48,6.89,7.96,7.11,7.8,7.69
"AT1G01070",8.33,9.14,8.11,9.01,8.29,9.04,8.07,9.45
"AT1G01080",9.23,7.26,8.97,7.7,9.05,7.92,9,7.45
"AT1G01090",11.75,11.89,11.87,11.73,12.05,11.86,11.67,11.56
"AT1G01100",11.03,10.86,10.74,10.84,10.94,10.79,11.09,10.7
"AT1G01110",2.6,2.66,3.28,4.69,3.14,3.6,3.82,2.51
"AT1G01120",10.29,8.85,9.82,9.12,9.83,8.98,9.05,8.35
"AT1G01130",4.18,5,3.97,4.99,5.76,4.6,3.92,4.84
"AT1G01140",10.64,9.05,10.55,9.29,10.35,9.67,10.7,9.79
"AT1G01150",2.45,2.44,3.41,4.39,4.18,3.68,2.83,4.48
"AT1G01160",7.65,8.39,7.95,8.33,7.95,8.59,8.16,8.42
"AT1G01170",11.97,10.37,11.96,11.02,11.66,10.89,11.36,10.33
"AT1G01180",6.37,3.89,5.5,5.85,6.13,5.33,5.61,6.05
"AT1G01190",5.99,3.65,4.52,3.92,3.69,3.72,4.3,3.59
"AT1G01200",5.78,4.53,2.66,4.33,5.04,2.36,3.44,5.16
"AT1G01220",9.27,8.87,9.21,9.1,9.25,8.98,8.94,8.75
"AT1G01225",6.49,6.1,6.07,6.55,6.48,6.15,6.43,6.4
"AT1G01230",10.55,10.32,10.62,10.51,10.47,10.58,10.31,10.34
"AT1G01240",10.85,11.95,10.52,11.32,10.54,11.39,10.54,12.03
"AT1G01250",6.97,9.25,7.31,9,7.54,9.1,6.27,8.62
"AT1G01260",8.02,7.76,7.4,7.92,8.06,7.94,7.58,7.63
"AT1G01280",2.23,1.61,2.03,2.19,1.53,1.55,1.29,1.99
"AT1G01290",8.41,8.43,8.11,8.55,8.35,8.89,8.93,8.68
"AT1G01300",9.95,7.31,10.18,8.82,10.24,8.92,10.34,7.6
"AT1G01310",1.47,1.85,2.28,2.02,1.85,1.88,1.32,1.92
"AT1G01320",10.23,11.22,10.34,10.75,10.67,10.89,10.54,11.02
"AT1G01330",7.41,6.57,7.11,6.61,7.3,6.3,6.93,6.68
"AT1G01340",7.6,6.74,7.16,5.81,6.82,4.79,7.58,7.38
"AT1G01360",9.12,8.89,9.09,9.48,9.78,9.24,9.29,9.05
"AT1G01370",6.19,3.73,4.1,3.46,4.09,4.4,4.17,4.44
"AT1G01390",7.82,5.98,8.37,7.19,8.48,6.68,8.05,6.07
"AT1G01410",3.46,2.27,4.2,3.39,1.15,4.68,1.83,4.74
"AT1G01420",8.83,7.94,9.28,9,9.34,8.91,9.05,8.46
"AT1G01430",9.32,8.26,8.77,8.35,9,8.46,8.98,7.94
"AT1G01440",7.31,7.57,7.61,7.5,7.53,7.4,7.62,7.55
