"V12GSE10670_1","V12GSE10670_2","V12GSE10670_3","V12GSE10670_4","V12GSE10670_5","V12GSE10670_6","V12GSE10670_7","V12GSE10670_8"
"AT2G18300",9.94,3.01,9.53,4.48,9.72,3.63,10.52,3.7
"AT5G43840",2.76,8.22,3.2,7.58,1.24,7.31,4.37,7.86
"AT1G66390",7.81,13.45,8.52,13.56,10.03,13.58,8.47,13.75
"AT1G68840",9.52,5.24,9.47,4.88,9.61,5.4,9.8,5.17
"AT4G17490",7.83,3.51,8.82,4.64,8.82,5.92,8.21,4.27
"AT4G36540",9.62,4.34,9.12,6.58,9.26,6.45,9.57,5.12
"AT4G01460",6.95,1.56,4.83,2.75,5.93,1.87,4.46,1.81
"AT4G09820",3.35,8.91,5.4,8.47,5.96,8.51,5.55,8.61
"AT2G26150",3.66,8.49,3.36,6.88,5.69,6.24,4.26,8.32
"AT3G49940",8.53,4.89,8.24,5.86,8.03,5.65,8.15,3.13
"AT3G61890",9.71,13.59,9.61,12.61,10.03,12.94,9.08,13.64
"AT3G49760",2.09,6.78,2.41,4.94,4.68,5.59,2.2,6.47
"AT1G77450",8.36,12.67,8.54,11.43,8.66,11.73,8.73,12.51
"AT1G52890",9.2,13,9.76,12.37,9.72,12.85,9.07,13.54
"AT4G17460",7.26,3.3,7.19,5.34,7.86,5.18,7.44,3.02
"AT3G12910",6.2,6.55,3.54,3.01,3.93,2.19,5.62,7.43
"AT5G22570",10.38,6.05,9.75,6.8,9.34,6.4,10.78,8.52
"AT5G13330",5.22,8.98,4.65,7.48,4.77,7.38,5.85,9.23
"AT1G73870",9.19,6.05,9.3,6.74,8.92,5.69,8.95,5.19
"AT3G44350",7.07,2.89,6.24,2.93,5.98,4.13,7.19,5.21
"AT4G27410",10.8,14.7,11.19,13.46,11.13,13.86,10.97,14.55
"AT5G16600",4.22,7.35,4.49,7.1,4.36,7.08,3.16,7.07
"AT5G65100",2.81,1.79,5.73,4.79,4.64,3.19,2.54,0.76
"AT1G48000",6.76,10.17,7.18,9.55,7.24,9.63,6.29,10.21
"AT5G17490",2,5.4,3.56,6.21,3.12,6.5,2.97,4.89
"AT1G74930",9.32,6.15,9.76,8,10.27,7.64,9.89,6.34
"AT5G37260",4.04,6.65,3.67,4.52,3.16,4.74,1.68,6.16
"AT5G67420",9.72,6.54,9.07,6.19,9.01,6.74,9.59,6.53
"AT1G68520",10.17,6.89,10.05,8.35,9.88,8.53,10.46,6.56
"AT1G09530",7.26,10.42,7.77,10.06,7.75,10.29,7.01,10.22
"AT2G25900",8.99,4.73,8.39,6.81,8.73,7.17,8.96,6.43
"AT1G18570",9.42,5.72,9.06,6.79,9.13,6.52,9.57,7.78
"AT1G06160",7.14,4.36,7.48,5.46,8.06,5.25,8.07,5
"AT2G40750",11.94,8.51,12.53,10.15,12.23,9.65,11.84,9.81
"AT4G23810",10.8,8.13,10.13,7.56,9.82,7.68,11.38,10.21
"AT2G17040",11.57,8.29,10.93,8.53,11.13,8.32,11.62,10.05
"AT5G53200",7.44,4.74,7.39,5.98,7.43,4.74,6.58,3.71
"AT2G36610",2.37,3.68,1.4,1.44,2.42,0.94,4.5,0.2
"AT5G40350",4.83,1.62,2.52,4.34,2.44,1.42,1.86,4.53
"AT1G66140",6.62,3.82,7.29,4.9,6.84,4.63,7.36,4.75
"AT1G80580",5.33,4.91,4.8,4.15,4.71,2.03,1.89,5.2
"AT3G53820",1.46,3.28,4.83,1.71,0.98,1.09,1.68,3.47
"AT4G08150",5.27,3.18,4.63,2.86,2.3,3.79,1.57,1.43
"AT1G18860",3.31,5.89,3.26,4.97,2.93,4.74,5.49,6.72
"AT4G35900",5.7,2.97,4.4,5.84,4.85,3.19,6.15,2.72
"AT1G68640",1.35,5.35,2.95,5.35,4.25,4.95,3.42,3.65
"AT2G20350",1.56,2.14,2.42,3.27,5.37,4.34,2.47,4.66
"AT5G39860",7.32,3.4,6.77,5.21,6.86,5.65,7.25,5.12
"AT3G46070",5.3,4.97,2.88,5.42,3.02,3.48,1.77,4.89
"AT5G67450",7.77,5.24,7.02,4.8,6.75,4.23,7.84,6.17
"AT3G24310",4.97,5.03,2.89,2.48,4.09,4.54,3.29,1.2
"AT4G26170",3.15,1.49,4.86,3.05,4.69,2.48,1.1,2.95
"AT2G36080",5.14,6.9,3.02,6.27,4.23,5.2,4.7,6.72
"AT3G53600",2,1.68,2.2,2.65,3.44,1.52,1.67,5.43
"AT2G38250",3.77,5.58,2.56,3.42,2.87,3.66,4.57,6.29
"AT3G25730",6.88,2.81,5.61,5.56,6.17,5.09,6.85,5.27
"AT1G33760",5.3,2.43,4.57,3.17,5.14,2.92,5.88,3.4
"AT3G56980",6.07,4.82,4.86,4.66,4.19,1.85,4.68,3.24
"AT3G25710",3.37,5.91,2.94,5.37,3.45,5.84,4.98,5.77
"AT1G75250",5.72,2.85,5.3,4.08,4.99,3.11,5.36,2.66
"AT5G38800",4.68,3.72,2.57,4.21,4.31,1.85,3.72,1.3
"AT2G03060",4.4,4.67,2.34,5.39,3.92,5.59,2.82,2.82
"AT5G49450",7.93,9.9,7.31,7.89,7.39,7.59,7.43,10.47
"AT4G10240",2.12,3.15,3.78,4.55,4.88,1.71,4.29,2.16
"AT2G34140",3.07,5.93,2.71,4.06,3.19,4.72,3.46,5.66
"AT3G62090",7.3,9.53,7.49,9.32,7.31,9.45,6.66,9.32
"AT2G30420",6.38,4.4,6.07,5.49,6.3,4.02,6.57,3.46
"AT1G74080",4.89,6.02,4.04,4.38,2.67,5.01,5.63,6.41
"AT3G50750",8.95,6.32,8.66,7.15,8.87,6.88,9.22,6.68
"AT5G60890",7.42,5.38,7.58,5.55,7.54,4.62,7.21,5.62
"AT2G24260",4.62,5.29,2.1,5.24,4.65,5.72,5.17,5.87
"AT3G25790",4.7,3.6,1.37,3.18,3.44,3.95,5.21,2.73
"AT2G37430",5.31,2.18,3.03,2.91,4.31,2.41,4.37,2.17
"AT3G60390",7.58,4.49,7.97,6.84,8.11,6.88,7.52,6.24
"AT5G42910",3.64,5.29,2.82,3.17,5.47,3.23,3.86,2.1
"AT5G46010",2.21,4.44,3.65,2.65,4.13,3.12,2.4,0.86
"AT2G22750",3.77,3.89,3.02,3.09,3.33,2.82,1.36,0.6
"AT3G51960",5.89,8.31,6.32,7.13,5.77,7.3,5.79,8.7
"AT1G69600",5.2,1.95,4.57,4.58,3.23,3.38,2.62,2.68
"AT5G53660",7.81,9.95,7.2,8.99,7.09,9.61,7.73,9.39
"AT2G40210",3.42,4.08,3.73,6.16,3.32,4.55,2.46,4.96
"AT1G02220",6.22,6.94,5.63,4.88,6.02,5.16,5.58,8.44
"AT3G48920",4.74,6.62,4.05,4.56,3.75,4.79,4.59,6.87
"AT5G46690",6.44,4.68,6.44,4.74,6.94,4.96,5.61,3.58
"AT2G26320",3.3,2.61,4.02,3.82,5.14,2.01,2.08,2.12
"AT2G47190",7.17,9.18,6.28,8.06,7.07,8.6,7.3,9.5
"AT2G42410",4.62,2.12,4.78,3.43,5.62,3.75,4.79,3.13
"AT3G02310",4.89,3.67,3.86,5.28,3.55,4.84,5.66,2.22
"AT1G33280",3.55,2.77,3.27,5.33,4.74,1.88,4.5,3.34
"AT4G32890",4.89,4.23,5.31,5.41,5.36,5.3,4.27,2.1
"AT3G46130",8.3,6.37,8.88,7.21,8.61,7.23,8.51,5.87
"AT1G69540",5.56,4.82,2.98,5.71,4.2,3.65,2.73,3.73
"AT5G05410",10.57,13.22,10.98,11.89,11.05,12.17,10.21,12.97
"AT1G10585",5.62,6.48,3.83,5.85,5.09,6.63,5.89,7.54
"AT2G37260",5.88,6.85,4.37,7.04,5.38,7.53,5.27,7.02
"AT3G01330",4.3,3.47,1.05,3.72,3.44,2.43,2.48,1.69
"AT2G02540",4.12,4.51,2.91,5.07,4.83,3.91,4.62,1.82
"AT3G07340",5.32,3.48,5.31,2.28,4.4,4.03,5.17,3.35
"AT5G07580",10.3,8.06,10.48,8.89,10.58,8.66,10.39,8.22
"AT4G00130",2.88,3.02,4.75,4.2,4.02,2.42,1.64,2.19
"AT5G54070",4.42,1.38,4.23,3.27,3.87,3.71,3.56,1.94
"AT4G22680",5.05,3.26,2.32,3.03,3.17,3.76,2.47,5.19
"AT4G18870",3.37,2.85,3.99,4.37,2.88,2.64,5.92,4
"AT4G23750",4.87,5.29,6.38,5.88,5.75,5.48,3.98,3.1
"AT1G64000",1.75,4,2.94,4.14,2.99,3.01,3.02,5.36
"AT5G32460",2.81,3.06,3.87,1.96,5.14,2.82,3.53,1.8
"AT2G45190",6.86,4.18,6.17,4.52,6.66,4.58,6.37,5.12
"AT1G17950",2.99,4.26,2.18,1.91,1.57,4.14,2.38,3.94
"AT5G57520",4.2,4.71,2.21,4.35,3.25,2.34,1.92,2.96
"AT2G36450",4.74,3.29,6.24,5.83,6.35,6.09,6.1,6.23
"AT1G71930",6.18,3.34,4.88,5.82,3.48,4.57,5.81,5.2
"AT2G20570",12,9.87,12.12,10.96,12.4,10.62,12.08,9.78
"AT1G57560",6.08,4.27,6.27,5.26,6.25,3.86,6.94,5.81
"AT5G14750",5.51,4.73,4.63,4.05,4.36,4.76,2.1,3.27
"AT4G31630",4.98,4.58,3.67,4.33,3.31,4.8,4.87,1.9
"AT1G73830",6.04,3.49,3.94,4.69,5.24,5.97,4.8,3.29
"AT4G13480",5.58,2.41,5.68,5.37,4.98,4.6,4.5,4.28
"AT2G28610",3.3,2.98,1.88,3.37,2.28,1.58,4.77,3.73
"AT5G67060",5.97,2.89,4.62,5.78,5.77,4.44,5.43,4.29
"AT5G17260",4.64,1.81,3.11,3.19,3.03,2.74,3.61,1.26
"AT1G46264",6.28,4.5,5.24,4.84,5.21,5.07,5.27,2.64
"AT1G31630",1.23,2.89,1.74,2.67,3.51,1.97,3.87,1.05
"AT3G61120",3.71,2.29,5.55,5.02,5.32,4.21,4.41,4.39
"AT1G67100",6.86,4.69,6.33,5.62,6.33,5.84,6.58,3.81
"AT2G44910",3.02,2.93,4.19,4.45,2.66,3.25,3.59,5.78
"AT3G61630",6.31,8.59,5.81,7.91,6.32,7.88,7.75,8.13
"AT1G01520",5.04,6.59,5.4,6.18,3.76,6.34,4.27,6.05
"AT1G73410",5.42,1.89,3.45,3.7,3.16,3.26,3.95,2.65
"AT1G31050",4.36,3.14,5.15,5.87,6.17,4.31,5.13,3.82
"AT3G10590",4.52,2.16,3.61,4.94,3.46,2.3,4.57,3.66
"AT1G32730",3.62,6.09,5.16,5.99,6.09,4.37,4.24,6.19
"AT1G22490",5.71,7.66,5.06,7.52,6.24,7.57,6.21,7.59
"AT5G65070",4.51,2.47,3.1,3.28,3.63,4.24,4.62,1.75
"AT1G22985",7.91,10.19,8.56,9.48,8.05,9.58,8.04,10.39
"AT5G04760",9.36,11.75,9.64,11.05,9.57,11.08,9.58,11.55
"AT3G50870",5.25,4.02,4.85,3.67,5.12,4.86,2.54,3.14
"AT2G25820",4.68,7.22,5.76,7.17,5.81,6.87,4.94,6.77
"AT5G07690",7.66,5.23,7.4,6.2,7.55,5.86,7.54,5.69
"AT5G60200",5.88,2.87,5.1,4.29,4.03,5.44,4.02,3.71
"AT5G57620",2.84,3.8,3.53,4.47,5.19,4.06,5.94,3.65
"AT1G78600",9.97,12.03,9.88,11.53,10.22,11.76,9.98,12
"AT3G06160",4.63,2.86,2.29,2.2,4.31,2.15,3.28,2.3
"AT5G09780",5.72,3.89,5.81,3.88,4.88,4.97,5.72,3.26
"AT5G07500",5.6,5.36,2.67,4.16,3.73,4.72,4.17,5.26
"AT3G55980",10.31,8.53,10.13,8.68,10.55,8.37,10.55,8.75
"AT5G65790",2.96,3.39,2.47,3.81,2.39,5.01,1.88,2.96
"AT2G31180",5.71,5.68,5.16,5.41,3.88,3.16,4.38,5.75
"AT5G63420",7.02,4.29,6.37,6.99,6.89,6.9,5.78,5.48
"AT3G04410",1.91,3.81,5.18,4,4.74,4.37,3.83,3.65
"AT4G12350",3.07,5.25,2.41,3.72,3.24,4.71,4.62,4.37
"AT2G46400",8.96,7.42,8.18,7,7.78,6.54,9.3,8.65
"AT4G33280",6.42,3.8,5.42,4.52,4.06,4.24,6.01,4.37
"AT1G59530",1.91,4.02,5.11,3.97,3.21,4.5,4.28,4.28
"AT2G02060",4.59,6.66,4.54,5.97,4.21,4.84,4.21,6.18
"AT3G03660",5.5,3.55,5.09,4.89,4.34,2.66,5.34,4.61
"AT5G52260",4.66,2.58,3.91,5.62,4.1,3.96,4.99,5.29
"AT2G45120",5.79,3.62,3.62,4.38,5.33,3.65,5.28,3.32
"AT5G40430",4,3.27,3.84,3.18,1.45,2.71,1.47,2.98
"AT1G68510",2.94,3.87,3.3,2.41,4.71,2.2,4.76,3.24
"AT5G66770",6.52,3.95,6.35,5.99,6.66,5.03,5.87,4.79
"AT2G25230",1.56,3.19,3.78,3.71,1.96,2.72,1.2,2.54
"AT1G54160",9.37,11.66,9.42,10.83,9.48,11.06,9.41,11.09
"AT1G28300",4.33,1.57,1.82,3,1.8,2.08,1.66,1.7
"AT1G77980",5.76,5.33,6.23,5.42,6.17,4.02,6.26,3.88
"AT1G06170",2.09,1.22,2.25,3.71,2.3,1.1,0.68,2.35
"AT4G15250",4.62,2.98,4.35,4.45,5.04,3.12,5.2,2.84
"AT5G23000",2.46,3.17,2.57,3.92,4.09,1.46,3.91,3.94
"AT1G26790",1.8,2.55,4.2,2.09,3.1,2.48,2.59,0.96
"AT2G46310",4.12,5.47,5.82,6.27,4.65,4.54,6.35,6.63
"AT4G21050",4.34,3.12,5.47,4.46,4.87,3.02,4.97,3.23
"AT1G66470",5.74,3.83,4.76,3.63,5.31,4.59,6.3,4.1
"AT2G14760",5.94,3.88,4.41,4.2,4.22,3.45,3.83,5.92
"AT4G36260",3.62,6.53,5.94,6.2,6.06,6.49,5.72,6.25
"AT3G61910",5.42,4.27,3.52,3.83,3.31,2.54,2.56,3.31
"AT3G18650",4.73,4.29,5,4.45,2.62,3.45,5.06,2.96
"AT3G23250",6.04,4.44,4.64,3.81,5.88,4.25,6.29,4.52
"AT5G06070",2.41,4.31,4.77,3.84,3.08,5.38,3.58,3.68
"AT1G56650",10.22,12.14,10.77,12.37,11.2,12.41,10.18,11.96
"AT2G22770",1.99,4.2,3.33,3.31,4.66,3.49,4.97,3.97
"AT1G30500",9.7,11.7,10.01,11.72,10.17,11.72,9.94,11.56
"AT4G24540",7.52,4.89,7.33,6.73,7.05,6.55,7.07,5.49
"AT2G32370",6.14,3.56,4.55,4.18,3.78,4,5.7,4.89
"AT1G71200",5.58,2.72,4.73,4.94,3.83,4.06,4.83,3.5
"AT5G15150",3.47,3.07,3.04,3.22,3.62,1.89,4,5.12
"AT1G31640",4.91,2.56,4.39,4.83,3.69,4.04,5.38,5.1
"AT1G14350",5.91,5.62,5.1,5.85,6.59,3.6,6.27,5.27
"AT3G53790",3.71,3.58,3.45,4.62,3.68,2.36,5.44,4.36
"AT2G31210",4.35,2.93,2.28,3.86,2.55,3.94,2.23,4.36
"AT4G27240",7.18,6.02,6.95,5.29,6.99,5.36,6.96,4.98
"AT5G06080",4.91,2.91,4.1,4.26,5.5,4.3,5.44,3.46
"AT4G16110",6.8,7.62,5.35,6.91,5.28,7.09,6.84,7.61
"AT1G71692",3.6,5.76,3.97,4.45,5.21,3.09,3.47,4.41
"AT4G31610",2.6,1.57,4.05,2.66,3.14,2.66,1.45,1.56
"AT1G01010",6.05,6.36,3.64,5.64,6.28,5.97,6.28,5.34
"AT4G37650",6.3,4.84,7.01,5.76,6,4.76,6.58,4.64
